5868_55088_000000_000000	Title: Madam How and Lady Why or, First Lessons in Earth Lore for Children	Title: Madam How and Lady Why or, First Lessons in Earth Lore for Children	false	1.23	4.83	19.372253
5868_55088_000001_000000	Author: Charles Kingsley	Author: Charles Kingsley	false	4.83	5.1	-20
5868_55088_000002_000000	Release Date: April 19, 2005 [eBook #1697]	Release Date: april nineteenth two thousand five [eBook # sixteen ninety seven]	false	5.1	6.12	17
5868_55088_000003_000000	Language: English	Language: English	false	6.12	6.3	-8
5868_55088_000004_000000	Character set encoding: ISO-646-US (US-ASCII)	Character set encoding: i s o six four six u s (u s ASCII)	false	6.3	7.5	26.83804
5868_55088_000005_000000	***START OF THE PROJECT GUTENBERG EBOOK MADAM HOW AND LADY WHY***	asterisk asterisk START OF THE PROJECT GUTENBERG EBOOK MADAM HOW AND LADY WHY asterisk asterisk	false	7.5	9.69	23.955849
5868_55088_000006_000000	Transcribed from the 1889 Macmillan and Co. edition by David Price, email ccx074@coventry.ac.uk	Transcribed from the eighteen eighty nine Macmillan and Co. edition by David Price, email c c x o seven four at coventry dot ac dot u k	false	9.69	14.91	19.561905
5868_55088_000007_000000	MADAM HOW AND LADY WHY or, FIRST LESSONS IN EARTH LORE FOR CHILDREN	MADAM HOW AND LADY WHY or, FIRST LESSONS IN EARTH LORE FOR CHILDREN	false	14.91	26.925	20.168644
5868_55088_000008_000000	DEDICATION	DEDICATION	true	26.925	27.91	27.197512
5868_55088_000009_000000	To my son Grenville Arthur, and to his school-fellows at Winton House This little book is dedicated.	To my son Grenville Arthur, and to his school fellows at Winton House This little book is dedicated.	false	28.79	35.44	18.832832
5868_55088_000010_000000	PREFACE	PREFACE	true	37.37	38.23	19.177124
5868_55088_000011_000000	My dear boys,--When I was your age, there were no such children's books as there are now.	My dear boys,--When I was your age, there were no such children's books as there are now.	true	39.02	43.93	18
5868_55088_000011_000001	Those which we had were few and dull, and the pictures in them ugly and mean: while you have your choice of books without number, clear, amusing, and pretty, as well as really instructive, on subjects which were only talked of fifty years ago by a few learned men, and very little understood even by them.	Those which we had were few and dull, and the pictures in them ugly and mean: while you have your choice of books without number, clear, amusing, and pretty, as well as really instructive, on subjects which were only talked of fifty years ago by a few learned men, and very little understood even by them.	true	44.21	62.08	19.689894
5868_55088_000011_000002	So if mere reading of books would make wise men, you ought to grow up much wiser than us old fellows. But mere reading of wise books will not make you wise men: you must use for yourselves the tools with which books are made wise; and that is--your eyes, and ears, and common sense.	So if mere reading of books would make wise men, you ought to grow up much wiser than us old fellows. But mere reading of wise books will not make you wise men: you must use for yourselves the tools with which books are made wise; and that is-your eyes, and ears, and common sense.	false	62.93	83.74	19.488573
5868_55088_000012_000000	Now, among those very stupid old-fashioned boys' books was one which taught me that; and therefore I am more grateful to it than if it had been as full of wonderful pictures as all the natural history books you ever saw.	Now, among those very stupid old-fashioned boys' books was one which taught me that; and therefore I am more grateful to it than if it had been as full of wonderful pictures as all the natural history books you ever saw.	true	84.89	97.33	20
5868_55088_000012_000001	Its name was _Evenings at Home_; and in it was a story called "Eyes and no Eyes;" a regular old-fashioned, prim, sententious story; and it began thus:--	Its name was underscore Evenings at Home underscore; and in it was a story called "Eyes and no Eyes;" a regular old-fashioned, prim, sententious story; and it began thus:--	false	97.79	108.43	20.161198
