5007_31603_000001_000000	CHAPTER III.	CHAPTER three.
5007_31603_000002_000000	Fighting the Flames With Dynamite.	Fighting the Flames With Dynamite.
5007_31603_000003_000000	Shaken by earthquake, swept by flames, the water supply cut off by the breaking of the mains, the authorities of the doomed city for a time stood appalled.	Shaken by earthquake, swept by flames, the water supply cut off by the breaking of the mains, the authorities of the doomed city for a time stood appalled.
5007_31603_000003_000001	What could be done to stay the fierce march of the flames which were sweeping resistlessly over palace and hovel alike, over stately hall and miserable hut?	What could be done to stay the fierce march of the flames which were sweeping resistlessly over palace and hovel alike, over stately hall and miserable hut?
5007_31603_000003_000002	Water was not to be had; what was to take its place?	Water was not to be had; what was to take its place?
5007_31603_000003_000003	Nothing remained but to meet ruin with ruin, to make a desert in the path of the fire and thus seek to stop its march.	Nothing remained but to meet ruin with ruin, to make a desert in the path of the fire and thus seek to stop its march.
5007_31603_000003_000004	They had dynamite, gunpowder and other explosives, and in the frightful exigency there was nothing else to be used.	They had dynamite, gunpowder and other explosives, and in the frightful exigency there was nothing else to be used.
5007_31603_000004_000000	While the soldiers under General Funston took military charge of the city, squads of cavalry and troops of infantry patrolling the streets and guarding the sections that had not yet been touched by the flames, Mayor Schmitz and Chief of Police Dinan sprang into the breach and prepared to make a desperate charge against the platoons of the fire. This was not all that was needed to be done.	While the soldiers under General Funston took military charge of the city, squads of cavalry and troops of infantry patrolling the streets and guarding the sections that had not yet been touched by the flames, Mayor Schmitz and Chief of Police Dinan sprang into the breach and prepared to make a desperate charge against the platoons of the fire. This was not all that was needed to be done.
5007_31603_000004_000001	From the "Barbary Coast," as the resort of the vicious and criminal classes was called, hordes of wretches poured out as soon as night fell, seeking to slip through the guards and loot stores and rob the dead in the burning section.	From the "Barbary Coast," as the resort of the vicious and criminal classes was called, hordes of wretches poured out as soon as night fell, seeking to slip through the guards and loot stores and rob the dead in the burning section.
5007_31603_000004_000002	Orders were given to the soldiers to kill all who were engaged in such work, and these orders were carried out.	Orders were given to the soldiers to kill all who were engaged in such work, and these orders were carried out.
5007_31603_000004_000003	An associated Press reporter saw three of these thieves shot and fatally wounded, and doubtless others of them were similarly dealt with elsewhere.	An associated Press reporter saw three of these thieves shot and fatally wounded, and doubtless others of them were similarly dealt with elsewhere.
5007_31603_000005_000000	A band of fire-fighters was quickly organized by the Mayor and Chief of Police, and the devoted firemen put themselves in the face of the flames, determined to do their utmost to stay them in their course.	A band of fire fighters was quickly organized by the Mayor and Chief of Police, and the devoted firemen put themselves in the face of the flames, determined to do their utmost to stay them in their course.
5007_31603_000005_000001	Cut off from the use of their accustomed engines and water streams, which might have been effective if brought into play at the beginning of the struggle, there was nothing to work with but the dynamite cartridge and the gunpowder mine, and they set bravely to work to do what they could with these.	Cut off from the use of their accustomed engines and water streams, which might have been effective if brought into play at the beginning of the struggle, there was nothing to work with but the dynamite cartridge and the gunpowder mine, and they set bravely to work to do what they could with these.
5007_31603_000005_000002	On every side the roar of explosions could be heard, and the crash of falling walls came to the ear, while people were forced to leave buildings which still stood, but which it was decided must be felled.	On every side the roar of explosions could be heard, and the crash of falling walls came to the ear, while people were forced to leave buildings which still stood, but which it was decided must be felled.
5007_31603_000005_000003	Frequently a crash of stone and brick, followed by a cloud of dust, gave warning to pedestrians that destruction was going on in the forefront of the flames, and that travel in such localities was unsafe.	Frequently a crash of stone and brick, followed by a cloud of dust, gave warning to pedestrians that destruction was going on in the forefront of the flames, and that travel in such localities was unsafe.
5007_31603_000006_000000	FIGHTING THE FLAMES.	FIGHTING THE FLAMES.
5007_31603_000008_000000	One instance of the peril they ran may be given.	One instance of the peril they ran may be given.
5007_31603_000008_000003	While he was in the building the explosion took place, and he received injuries that seemed likely to prove fatal, his skull being fractured and several bones broken, while he was injured internally.	While he was in the building the explosion took place, and he received injuries that seemed likely to prove fatal, his skull being fractured and several bones broken, while he was injured internally.
5007_31603_000008_000004	In the early morning, when the fire reached the municipal building on Portsmouth Square, the nurses, with the aid of soldiers, got out fifty bodies which were in the temporary morgue and a number of patients from the receiving hospital. Just after they reached the street with their gruesome charge a building was blown up, and the flying bricks and splinters came falling upon them.	In the early morning, when the fire reached the municipal building on Portsmouth Square, the nurses, with the aid of soldiers, got out fifty bodies which were in the temporary morgue and a number of patients from the receiving hospital. Just after they reached the street with their gruesome charge a building was blown up, and the flying bricks and splinters came falling upon them.
5007_31603_000008_000005	The nurses fortunately escaped harm, but several of the soldiers were hurt, and had to be taken with the other patients to the out-of-doors Presidio hospital.	The nurses fortunately escaped harm, but several of the soldiers were hurt, and had to be taken with the other patients to the out of doors Presidio hospital.
5007_31603_000009_000000	The Southern Pacific Hospital, at Fourteenth and Missouri Streets, was among the buildings destroyed by dynamite, the patients having been removed to places of safety, and the Linda Vista and the Pleasanton, two large family hotels on Jones Street, in the better part of the city, were also among those blown up to stay the progress of the conflagration.	The Southern Pacific Hospital, at Fourteenth and Missouri Streets, was among the buildings destroyed by dynamite, the patients having been removed to places of safety, and the Linda Vista and the Pleasanton, two large family hotels on Jones Street, in the better part of the city, were also among those blown up to stay the progress of the conflagration.
5007_31603_000010_000000	THE STRUGGLE AGAINST THE FIRE.	THE STRUGGLE AGAINST THE FIRE.
