6395_84349_000000_000000	The police appear to have made great efforts to discover the assassin, but without success.	The police appear to have made great efforts to discover the assassin, but without success.	false	0	1.5	17.771894
6395_84349_000000_000001	The King of Bavaria caused an inquiry into Caspar Hauser's case to be made, and the well-known jurist, Feuerbach, to whom the inquiry was deputed, reported significantly, "_There are circles of human society into which the arm of justice dares not penetrate._"	The King of Bavaria caused an inquiry into Caspar Hauser's case to be made, and the well-known jurist, Feuerbach, to whom the inquiry was deputed, reported significantly, "underscore There are circles of human society into which the arm of justice dares not penetrate.underscore"	false	1.5	2.64	18
6395_84349_000001_000000	Who then was Caspar Hauser, and why include him among pretenders to royal lineage?	Who then was Caspar Hauser, and why include him among pretenders to royal lineage?	false	2.64	3.15	9
6395_84349_000001_000001	It was surmised, and still is believed by many, that he was elder son of the Grand Duke Karl of Baden and his much-admired consort, the Grand Duchess Stephanie Tascher, Napoleon's adopted daughter.	It was surmised, and still is believed by many, that he was elder son of the Grand Duke Karl of Baden and his much admired consort, the Grand Duchess Stephanie Tascher, Napoleon's adopted daughter.	false	3.15	7.14	20.29567
6395_84349_000001_000002	Their son, born in September 1812, was alleged to have died when a few weeks old, but the popular idea in Baden was, and indeed still is, that this boy was carried off and a dead child substituted in his stead, at the instigation of the Grand Duke Karl's uncle and successor, Ludwig, a man to whom the most disgraceful crimes and cruel outrages are imputed.	Their son, born in september eighteen twelve, was alleged to have died when a few weeks old, but the popular idea in Baden was, and indeed still is, that this boy was carried off and a dead child substituted in his stead, at the instigation of the Grand Duke Karl's uncle and successor, Ludwig, a man to whom the most disgraceful crimes and cruel outrages are imputed.	false	7.14	19.62	23.244394
6395_84349_000002_000000	THE FALSE DAUPHINS IN FRANCE.	THE FALSE DAUPHINS IN FRANCE.	true	19.62	21.405	20.84971
6395_84349_000003_000000	1793-1859.	seventeen ninety three to eighteen fifty nine.	true	21.405	24.85	21
6395_84349_000004_000000	Had not these pages already proved to what an extent human credulity could go, it would be almost useless to offer the following most extraordinary details as matters of fact.	Had not these pages already proved to what an extent human credulity could go, it would be almost useless to offer the following most extraordinary details as matters of fact.	true	25.01	36.46	22.279816
6395_84349_000004_000001	That a dead person might be personated by a living being is quite within the range of probability, but that thirty or more totally different individuals should in this nineteenth century not only deem it, but prove it, possible to dupe numbers of people into believing that they were a prince whose decease had been publicly certified and most zealously investigated into, scarcely seems to come within the range of the possible.	That a dead person might be personated by a living being is quite within the range of probability, but that thirty or more totally different individuals should in this nineteenth century not only deem it, but prove it, possible to dupe numbers of people into believing that they were a prince whose decease had been publicly certified and most zealously investigated into, scarcely seems to come within the range of the possible.	true	36.74	64.39	19
6395_84349_000004_000002	In order to better comprehend the various marvellous stories detailed by the impostors about to be referred to, the true story of the little dauphin, styled by the French royalists Louis the Seventeenth, should be told.	In order to better comprehend the various marvellous stories detailed by the impostors about to be referred to, the true story of the little dauphin, styled by the French royalists Louis the Seventeenth, should be told.	false	64.85	78.49	21.175797
6395_84349_000005_000000	On the 27th March, 1785, Louis Charles, the second son of Louis the Sixteenth of France, was born at the Chateau de Versailles.	On the twenty seventh of march seventeen eighty five, Louis Charles, the second son of Louis the Sixteenth of France, was born at the Chateau de Versailles.	true	78.86	88.51	21.76039
6395_84349_000005_000001	The birth of this second son caused great rejoicings in the royal circle, where his earliest years were environed with all the care and adulation bestowed upon princes.	The birth of this second son caused great rejoicings in the royal circle, where his earliest years were environed with all the care and adulation bestowed upon princes.	true	89.24	99.4	17
6395_84349_000005_000002	His father created the child Duke of Normandy, whilst the death of his elder brother in 1789 brought him next in succession to the throne, raised him to the rank of dauphin, and, if possible, made him a greater idol than before in the eyes of the Court. At four years of age he is described as of slight but well-shaped figure, with a broad, open forehead, finely-arched eyebrows, and large blue eyes; his complexion was fair, and his hair, of a dark chestnut colour, curled naturally, and fell in ringlets over his shoulders. Amid the gaieties of the French Court at Versailles doubtless the little lad's mental faculties were rapidly developed, although it would be idle to place any credence in the authenticity of the sage replies and clever repartees ascribed to him by some Court writers.	His father created the child Duke of Normandy, whilst the death of his elder brother in seventeen eighty nine brought him next in succession to the throne, raised him to the rank of dauphin, and, if possible, made him a greater idol than before in the eyes of the Court. At four years of age he is described as of slight but well shaped figure, with a broad, open forehead, finely arched eyebrows, and large blue eyes; his complexion was fair, and his hair, of a dark chestnut colour, curled naturally, and fell in ringlets over his shoulders. Amid the gaieties of the French Court at Versailles doubtless the little lad's mental faculties were rapidly developed, although it would be idle to place any credence in the authenticity of the sage replies and clever repartees ascribed to him by some Court writers.	false	99.95	152.38	20.334906
6395_84349_000005_000003	But his happy childish life was of short duration: the starving and infuriated populace of Paris, driven from one misery to another, deemed if they could only bring the king to the metropolis means would be discovered for overcoming their distress.	But his happy childish life was of short duration: the starving and infuriated populace of Paris, driven from one misery to another, deemed if they could only bring the king to the metropolis means would be discovered for overcoming their distress.	true	153.26	169.93	22
6395_84349_000005_000004	Under the influence of this infatuation, an enormous crowd, chiefly composed of women, marched from Paris, invaded the regal precincts of Versailles, and deputed a few of their number to see the king.	Under the influence of this infatuation, an enormous crowd, chiefly composed of women, marched from Paris, invaded the regal precincts of Versailles, and deputed a few of their number to see the king.	true	170.81	183.97	20
6395_84349_000005_000005	Louis the Sixteenth received the deputation with great kindness, but the power of royal words was over, and the following day he was compelled to return to the capital, accompanied by the Queen and the dauphin.	Louis the Sixteenth received the deputation with great kindness, but the power of royal words was over, and the following day he was compelled to return to the capital, accompanied by the Queen and the dauphin.	false	184.55	197.7	20.93025
6395_84349_000005_000006	The people, in their destitute condition, could only think of bread, and believing the king could command possession of it, familiarly styled him "The Baker," so that now, seeing the royal family's return, they shouted joyously, "No more poverty; we are bringing back the baker and his wife, and the little shopboy." The poor child so designated could not find anything better to say of the Tuileries, as they entered that place, than, "Everything is very ugly here." His mother endeavoured to console the prince for that by reminding him Louis the Fourteenth had lived there.	The people, in their destitute condition, could only think of bread, and believing the king could command possession of it, familiarly styled him "The Baker," so that now, seeing the royal family's return, they shouted joyously, "No more poverty; we are bringing back the baker and his wife, and the little shopboy." The poor child so designated could not find anything better to say of the Tuileries, as they entered that place, than, "Everything is very ugly here." His mother endeavoured to console the prince for that by reminding him Louis the Fourteenth had lived there.	true	197.7	232.96	20.935595
6395_84349_000006_000000	It is needless to recapitulate the well-known story of the precarious state to which the royal family were speedily reduced in Paris, and how they made secret preparations for leaving the capital in disguise.	It is needless to recapitulate the well-known story of the precarious state to which the royal family were speedily reduced in Paris, and how they made secret preparations for leaving the capital in disguise.	false	233.69	246.16	19
6395_84349_000006_000001	On the 20th of June, 1791, the attempted flight was commenced, the dauphin, who had been dressed as a girl, deeming he was being attired to play in a comedy.	On the twentieth of June, seventeen ninety one, the attempted flight was commenced, the dauphin, who had been dressed as a girl, deeming he was being attired to play in a comedy.	true	246.83	256.9	19.347015
6395_84349_000006_000002	The flight was, indeed, carried out, but the royal party got no further than Varennes, where they were discovered, and after being allowed to spend the night there were carried back to Paris (although it was wonderful that they reached it alive), and five days after their departure were again installed in the Tuileries.	The flight was, indeed, carried out, but the royal party got no further than Varennes, where they were discovered, and after being allowed to spend the night there were carried back to Paris (although it was wonderful that they reached it alive), and five days after their departure were again installed in the Tuileries.	true	257.18	276.43	18
6395_84349_000006_000003	From that time until the 13th of August, 1792, when the royal family were imprisoned in the Temple, the whole of its members had been under close surveillance, and had no fresh opportunity of escaping from the capital.	From that time until the thirteenth of August, seventeen ninety two, when the royal family were imprisoned in the Temple, the whole of its members had been under close surveillance, and had no fresh opportunity of escaping from the capital.	true	277.31	291.19	22.188692
6395_84349_000006_000004	From the date of their incarceration in the Temple their doom was sealed, and nothing but death released any one save the Princess Marie Theresa from captivity.	From the date of their incarceration in the Temple their doom was sealed, and nothing but death released any one save the Princess Marie Theresa from captivity.	true	291.71	301.12	21
6395_84349_000006_000005	After a while the king was separated from his family, and placed in a portion of the prison called the Great Tower, and there also the dauphin was placed, with his father, until the trial and execution of the latter, when he was returned to his mother's care.	After a while the king was separated from his family, and placed in a portion of the prison called the Great Tower, and there also the dauphin was placed, with his father, until the trial and execution of the latter, when he was returned to his mother's care.	false	301.94	316.99	20
6395_84349_000006_000006	On the 3rd of July, 1793, a most terrible trial awaited the hapless boy: on that day, in accordance with a decree of the "Committee of Public Safety," he was removed from the custody of his mother, and consigned to the charge of Simon, formerly a cobbler, but now appointed guardian to the dauphin at a salary of twenty pounds a month, conditionally upon his never leaving his youthful prisoner, and never, upon any pretence, leaving the tower where the child was confined.	On the third of July, seventeen ninety three, a most terrible trial awaited the hapless boy: on that day, in accordance with a decree of the "Committee of Public Safety," he was removed from the custody of his mother, and consigned to the charge of Simon, formerly a cobbler, but now appointed guardian to the dauphin at a salary of twenty pounds a month, conditionally upon his never leaving his youthful prisoner, and never, upon any pretence, leaving the tower where the child was confined.	true	317.15	343.3	15
6395_84349_000007_000000	The fearful and miserable life which the poor boy endured whilst in charge of the brutal Simon, and his scarcely less brutal wife, is so well known that the saddening details need not be repeated; suffice to recall the fact that by hard work, strong drinks, close confinement, improper food, and even blows, the unfortunate child was brought to the brink of the grave.	The fearful and miserable life which the poor boy endured whilst in charge of the brutal Simon, and his scarcely less brutal wife, is so well known that the saddening details need not be repeated; suffice to recall the fact that by hard work, strong drinks, close confinement, improper food, and even blows, the unfortunate child was brought to the brink of the grave.	false	343.4	365.52	20.970163
