7832_258250_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
7832_258250_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
7832_258250_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
7832_258250_000012_000000	When it was the Six Hundred and Thirty-seventh Night,	When it was the Six Hundred and Thirty seventh Night,
7832_258250_000013_000006	Peace on Abraham the Friend await!	Peace on Abraham the Friend await!
7832_258250_000013_000007	But afterwards.	But afterwards.
7832_258250_000013_000010	But an thou obey not my bidding, behold, I will hasten to thee and cut off thy head and lay waste thy dominions.	But an thou obey not my bidding, behold, I will hasten to thee and cut off thy head and lay waste thy dominions.
7832_258250_000013_000011	Verily, I give thee good counsel, and the Peace be on those who pace the path of salvation and obey the Most High King!" When Ajib read these words and knew the threat they contained, his eyes sank into the crown of his head and he gnashed his teeth and flew into a furious rage.	Verily, I give thee good counsel, and the Peace be on those who pace the path of salvation and obey the Most High King!" When Ajib read these words and knew the threat they contained, his eyes sank into the crown of his head and he gnashed his teeth and flew into a furious rage.
7832_258250_000013_000014	Ajib and his men also took horse and host charged down upon host.	Ajib and his men also took horse and host charged down upon host.
7832_258250_000013_000015	-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.
7832_258250_000014_000000	When it was the Six Hundred and Thirty-eighth Night,	When it was the Six Hundred and Thirty eighth Night,
7832_258250_000015_000001	Then ruled the Kazi of Battle, in whose ordinance is no wrong, for a seal is on his lips and he speaketh not; and the blood railed in rills and purfled earth with curious embroidery; heads grew gray and hotter waxed battle and fiercer.	Then ruled the Kazi of Battle, in whose ordinance is no wrong, for a seal is on his lips and he speaketh not; and the blood railed in rills and purfled earth with curious embroidery; heads grew gray and hotter waxed battle and fiercer.
7832_258250_000015_000005	Who is for jousting?	Who is for jousting?
7832_258250_000015_000006	Let no sluggard come out nor weakling!" Whereupon there rushed at him a horseman of the Kafirs, as he were a flame of fire; but Sahim let him not stand long before him ere he overthrew him with a thrust.	Let no sluggard come out nor weakling!" Whereupon there rushed at him a horseman of the Kafirs, as he were a flame of fire; but Sahim let him not stand long before him ere he overthrew him with a thrust.
7832_258250_000015_000007	Then a second came forth and he slew him also, and a third and he tare him in twain, and a fourth and he did him to death; nor did they cease sallying out to him and he left not slaying them, till it was noon, by which time he had laid low two hundred braves.	Then a second came forth and he slew him also, and a third and he tare him in twain, and a fourth and he did him to death; nor did they cease sallying out to him and he left not slaying them, till it was noon, by which time he had laid low two hundred braves.
7832_258250_000015_000008	Then Ajib cried to his men, "Charge once more," and sturdy host on sturdy host down bore and great was the clash of arms and battle-roar.	Then Ajib cried to his men, "Charge once more," and sturdy host on sturdy host down bore and great was the clash of arms and battle roar.
7832_258250_000015_000012	And it was thus.	And it was thus.
7832_258250_000015_000019	If we prove the victors, we shall have power to him and, if we be beaten, his being alive in our hands will be a strength to us." And the Emirs said, "The Minister speaketh sooth"!	If we prove the victors, we shall have power to him and, if we be beaten, his being alive in our hands will be a strength to us." And the Emirs said, "The Minister speaketh sooth"!
7832_258250_000015_000020	--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	--And Shahrazad perceived the dawn of day and ceased saying her permitted say.
