2971_4275_000000_000000	I. A DISCUSSION SOMEWHAT IN THE AIR	I. A DISCUSSION SOMEWHAT IN THE AIR	false	22.23	27.4	22.740948
2971_4275_000001_000000	The flying ship of Professor Lucifer sang through the skies like a silver arrow; the bleak white steel of it, gleaming in the bleak blue emptiness of the evening.	The flying ship of Professor Lucifer sang through the skies like a silver arrow; the bleak white steel of it, gleaming in the bleak blue emptiness of the evening.	false	28.1	39.52	22.814312
2971_4275_000001_000001	That it was far above the earth was no expression for it; to the two men in it, it seemed to be far above the stars.	That it was far above the earth was no expression for it; to the two men in it, it seemed to be far above the stars.	true	40.4	48.13	20.661745
2971_4275_000001_000002	The professor had himself invented the flying machine, and had also invented nearly everything in it.	The professor had himself invented the flying machine, and had also invented nearly everything in it.	true	48.38	54.85	20.672209
2971_4275_000001_000003	Every sort of tool or apparatus had, in consequence, to the full, that fantastic and distorted look which belongs to the miracles of science.	Every sort of tool or apparatus had, in consequence, to the full, that fantastic and distorted look which belongs to the miracles of science.	true	55.46	66.13	23.775082
2971_4275_000001_000004	For the world of science and evolution is far more nameless and elusive and like a dream than the world of poetry and religion; since in the latter images and ideas remain themselves eternally, while it is the whole idea of evolution that identities melt into each other as they do in a nightmare.	For the world of science and evolution is far more nameless and elusive and like a dream than the world of poetry and religion; since in the latter images and ideas remain themselves eternally, while it is the whole idea of evolution that identities melt into each other as they do in a nightmare.	true	68.45	89.95	21.265068
2971_4275_000002_000000	All the tools of Professor Lucifer were the ancient human tools gone mad, grown into unrecognizable shapes, forgetful of their origin, forgetful of their names.	All the tools of Professor Lucifer were the ancient human tools gone mad, grown into unrecognizable shapes, forgetful of their origin, forgetful of their names.	true	90.74	101.59	21.867317
2971_4275_000002_000001	That thing which looked like an enormous key with three wheels was really a patent and very deadly revolver.	That thing which looked like an enormous key with three wheels was really a patent and very deadly revolver.	true	101.87	109.48	22.183096
2971_4275_000002_000002	That object which seemed to be created by the entanglement of two corkscrews was really the key.	That object which seemed to be created by the entanglement of two corkscrews was really the key.	true	110.06	115	21.282495
2971_4275_000002_000003	The thing which might have been mistaken for a tricycle turned upside-down was the inexpressibly important instrument to which the corkscrew was the key.	The thing which might have been mistaken for a tricycle turned upside-down was the inexpressibly important instrument to which the corkscrew was the key.	true	115.58	124.63	24.51619
2971_4275_000002_000004	All these things, as I say, the professor had invented; he had invented everything in the flying ship, with the exception, perhaps, of himself.	All these things, as I say, the professor had invented; he had invented everything in the flying ship, with the exception, perhaps, of himself.	false	125.45	134.11	21.62094
2971_4275_000002_000005	This he had been born too late actually to inaugurate, but he believed at least, that he had considerably improved it.	This he had been born too late actually to inaugurate, but he believed at least, that he had considerably improved it.	true	134.63	142.03	22.212547
2971_4275_000003_000000	There was, however, another man on board, so to speak, at the time.	There was, however, another man on board, so to speak, at the time.	true	142.64	147.22	22.28035
