7520_258954_000000_000000	[Sidenote: Is of growing interest and influence]	[Sidenote: Is of growing interest and influence]	false	0	0.99	19.516886
7520_258954_000001_000000	Moreover, with the growth of the modern state, with the interest increasing importance of business, and of industrial and commercial interests, as compared with changes of dynasty or the personal rivalries of rulers, economic questions have grown in relative importance.	Moreover, with the growth of the modern state, with the interest increasing importance of business, and of industrial and commercial interests, as compared with changes of dynasty or the personal rivalries of rulers, economic questions have grown in relative importance.	false	0.99	3.72	15
7520_258954_000001_000001	In our own country, particularly since the subjects of slavery and of States' rights ceased to absorb the attention of our people, economic questions have pushed rapidly into the foreground.	In our own country, particularly since the subjects of slavery and of States' rights ceased to absorb the attention of our people, economic questions have pushed rapidly into the foreground.	false	3.72	4.29	12
7520_258954_000001_000002	Indeed, it has of late been more clearly seen that many of the older political questions, such as the American Revolution and slavery, formerly discussed almost entirely in their political and constitutional aspects, were at bottom questions of economic rivalry and of economic welfare.	Indeed, it has of late been more clearly seen that many of the older political questions, such as the American Revolution and slavery, formerly discussed almost entirely in their political and constitutional aspects, were at bottom questions of economic rivalry and of economic welfare.	false	4.29	6.15	19.157204
7520_258954_000001_000003	The remarkable increase in the attention given to this study in colleges and universities in the last twenty years is but the index of the greatly increased interest and attention felt in it by citizens generally.	The remarkable increase in the attention given to this study in colleges and universities in the last twenty years is but the index of the greatly increased interest and attention felt in it by citizens generally.	false	6.15	13.26	18.839579
7520_258954_000002_000000	To sum up, it may be said that in the study of political economy we are seeking the reason, connection, and relations in the great multitude of acts arising out of the dependence of desires on the world of things and men.	To sum up, it may be said that in the study of political economy we are seeking the reason, connection, and relations in the great multitude of acts arising out of the dependence of desires on the world of things and men.	false	13.26	27.75	21.290718
7520_258954_000003_000000	CHAPTER 2	CHAPTER two	true	27.75	29.175	22.67728
7520_258954_000004_000000	ECONOMIC MOTIVES	ECONOMIC MOTIVES	true	29.175	31.12	16.425642
7520_258954_000005_000000	Sec. I. MATERIAL WANTS, THE PRIMARY ECONOMIC MOTIVES	Sec. i MATERIAL WANTS, THE PRIMARY ECONOMIC MOTIVES	false	31.34	36.45	19.952044
7520_258954_000006_000000	[Sidenote: Feeling urges to economic actions]	[Sidenote: Feeling urges to economic actions]	false	36.45	39.7	17.195532
7520_258954_000007_000000	1.	one.	true	39.89	40.86	20.21284
7520_258954_000007_000001	_A logical explanation of industry must begin with a discussion of the nature of wants, for the purpose of industry is to gratify wants._ An economic want may be defined as a feeling of incompleteness, because of the lack of a part of the outer world or of some change in it.	underscore A logical explanation of industry must begin with a discussion of the nature of wants, for the purpose of industry is to gratify wants.underscore An economic want may be defined as a feeling of incompleteness, because of the lack of a part of the outer world or of some change in it.	false	40.86	58.99	19.638376
7520_258954_000007_000002	Often the question asked when one first sees a moving trolley car or automobile or bicycle is: What makes it go?	Often the question asked when one first sees a moving trolley car or automobile or bicycle is: What makes it go?	true	59.6	67.6	19.396534
7520_258954_000007_000003	The first question to ask in the part of the study of economic society here undertaken is: What is its motive force?	The first question to ask in the part of the study of economic society here undertaken is: What is its motive force?	true	67.94	76.15	20.350536
7520_258954_000007_000004	Without an answer to that question one cannot hope to understand the ceaseless and varied activities of men occupied in the making of a living.	Without an answer to that question one cannot hope to understand the ceaseless and varied activities of men occupied in the making of a living.	true	76.43	84.67	19.434156
7520_258954_000007_000005	The question merits long and careful study, but the general answer is so simple that it seems almost self-evident: The motive force in economics is found in the feelings of men.	The question merits long and careful study, but the general answer is so simple that it seems almost self evident: The motive force in economics is found in the feelings of men.	true	84.86	96.37	20.708227
7520_258954_000007_000006	It is men's desire to make use of men and things about them which calls forth all the manifold phenomena studied in economics.	It is men's desire to make use of men and things about them which calls forth all the manifold phenomena studied in economics.	true	96.5	104.16	19.755735
7520_258954_000008_000000	[Sidenote: Animal species shaped by their environment]	[Sidenote: Animal species shaped by their environment]	false	104.16	108.12	18.18381
7520_258954_000009_000000	2.	two.	false	108.12	108.96	15.739867
7520_258954_000009_000001	_Wants among animals depend on the environment; that is to say, the utmost that creatures of a lower order than man can do is to take things as they find them._ The imagination and intelligence of animals are not developed enough to lead them to desire much beyond that which is ordinarily to be obtained.	underscore Wants among animals depend on the environment; that is to say, the utmost that creatures of a lower order than man can do is to take things as they find them.underscore The imagination and intelligence of animals are not developed enough to lead them to desire much beyond that which is ordinarily to be obtained.	false	108.96	128.46	19.406471
7520_258954_000009_000002	And so the environment shapes and affects the animal.	And so the environment shapes and affects the animal.	true	128.46	131.41	21.382076
7520_258954_000009_000003	The fish is fitted to live in the water and thrives there, and we must believe, enjoys living there.	The fish is fitted to live in the water and thrives there, and we must believe, enjoys living there.	true	131.63	138.34	18.785671
7520_258954_000009_000004	The horse and the cow like best the food of the fields, and so each species of animal, in order to survive in the severe struggle for existence, has been forced to fit itself to the conditions in which it lives.	The horse and the cow like best the food of the fields, and so each species of animal, in order to survive in the severe struggle for existence, has been forced to fit itself to the conditions in which it lives.	false	138.38	151.21	20.947525
7520_258954_000009_000005	After the animal has been thus fitted, its desire is for those things normally to be found in its surroundings.	After the animal has been thus fitted, its desire is for those things normally to be found in its surroundings.	true	151.31	157.96	20.25172
7520_258954_000009_000006	So different animals desire or want different things, but always it is the environment that determines the want, and not the want that determines the environment.	So different animals desire or want different things, but always it is the environment that determines the want, and not the want that determines the environment.	true	158.06	168.36	18.72687
7520_258954_000010_000000	[Sidenote: Simple wants of primitive men]	[Sidenote: Simple wants of primitive men]	false	168.36	171.01	20.84985
7520_258954_000011_000000	3.	three.	true	171.14	172.05	19.276236
7520_258954_000011_000001	_In simpler human societies, wants are mostly confined to physical necessities; that is, in the earlier stages of society, man's wants are very much like those of the animals._ Man bends his energies to securing the things necessary to survival.	underscore In simpler human societies, wants are mostly confined to physical necessities; that is, in the earlier stages of society, man's wants are very much like those of the animals.underscore Man bends his energies to securing the things necessary to survival.	false	172.05	189.97	18.855234
7520_258954_000011_000002	He feels the pangs of hunger and he strives to secure food.	He feels the pangs of hunger and he strives to secure food.	true	190.04	194.13	19.202635
7520_258954_000011_000003	He feels the need of companionship, for it is only through association and mutual help that men, so weak as compared with many kinds of animals, are able to resist the enemies which beset them.	He feels the need of companionship, for it is only through association and mutual help that men, so weak as compared with many kinds of animals, are able to resist the enemies which beset them.	true	194.13	206.56	20.044449
7520_258954_000011_000004	He needs clothing to protect him against the harsher climates of the lands to which he moves.	He needs clothing to protect him against the harsher climates of the lands to which he moves.	true	206.81	211.51	20.882568
7520_258954_000011_000005	For the same purpose, to protect himself against the cold and rain, he needs a shelter, a cave, a wigwam, or a hut; for a house is but a larger dress.	For the same purpose, to protect himself against the cold and rain, he needs a shelter, a cave, a wigwam, or a hut; for a house is but a larger dress.	true	211.64	221.88	19.574076
7520_258954_000012_000000	[Sidenote: Manifold wants in civilized society]	[Sidenote: Manifold wants in civilized society]	false	221.88	225.43	20.965338
7520_258954_000013_000000	4.	four.	true	225.8	226.59	23.867132
7520_258954_000013_000001	_In human society, wants develop and transform the world._ In the rudest societies of which there is any record, savages are found with wants developed in a great number of directions beyond the wants of any animals.	underscore In human society, wants develop and transform the world.underscore In the rudest societies of which there is any record, savages are found with wants developed in a great number of directions beyond the wants of any animals.	false	226.59	241.45	19.712172
7520_258954_000013_000002	Man is not a passive victim of circumstances; his wants are not determined solely by his environment; his desires soar beyond the things about him.	Man is not a passive victim of circumstances; his wants are not determined solely by his environment; his desires soar beyond the things about him.	true	242.27	252.43	18.476078
7520_258954_000013_000003	As men become more the masters of circumstances, their desires anticipate mere physical wants; they seek a more varied food of finer flavor and more delicately prepared.	As men become more the masters of circumstances, their desires anticipate mere physical wants; they seek a more varied food of finer flavor and more delicately prepared.	true	252.8	264.85	21.298069
7520_258954_000013_000004	Dress is not limited by physical comfort, for one of the earliest of the esthetic wants to develop is the love of personal ornament.	Dress is not limited by physical comfort, for one of the earliest of the esthetic wants to develop is the love of personal ornament.	true	264.95	272.95	20.26228
7520_258954_000013_000005	The rude hut or communal lodge to protect against rain and cold becomes a home.	The rude hut or communal lodge to protect against rain and cold becomes a home.	false	273.71	278.65	18.60493
7520_258954_000013_000006	Out of the earlier rude companionship develop the noblest sentiments of friendship and family life.	Out of the earlier rude companionship develop the noblest sentiments of friendship and family life.	true	279.47	286.24	19.042992
7520_258954_000013_000007	Seeking to gratify the senses and the love of action, men develop esthetic tastes, the love of the beautiful in sound, in form, in taste, in color, in motion.	Seeking to gratify the senses and the love of action, men develop esthetic tastes, the love of the beautiful in sound, in form, in taste, in color, in motion.	false	286.37	299.11	19.80057
