1826_139361_000003_000000	CHAPTER XX.	CHAPTER twenty.
1826_139361_000003_000001	BETWEEN THE TWO MEN	BETWEEN THE TWO MEN
1826_139361_000005_000000	Yes!	Yes!
1826_139361_000005_000001	Probably so.	Probably so.
1826_139361_000006_000001	Your name is Dacosta!"	Your name is Dacosta!"
1826_139361_000008_000000	"You are Joam Dacosta," continued Torres, "who, twenty-five years ago, were a clerk in the governor-general's office at Tijuco, and you are the man who was sentenced to death in this affair of the robbery and murder!"	"You are Joam Dacosta," continued Torres, "who, twenty five years ago, were a clerk in the governor general's office at Tijuco, and you are the man who was sentenced to death in this affair of the robbery and murder!"
1826_139361_000009_000001	Had he made a mistake in accusing his host?	Had he made a mistake in accusing his host?
1826_139361_000009_000002	No!	No!
1826_139361_000009_000003	For Joam Garral made no start at the terrible accusations.	For Joam Garral made no start at the terrible accusations.
1826_139361_000009_000004	Doubtless he wanted to know to what Torres was coming.	Doubtless he wanted to know to what Torres was coming.
1826_139361_000010_000000	"Joam Dacosta, I repeat!	"Joam Dacosta, I repeat!
1826_139361_000010_000001	It was you whom they sought for this diamond affair, whom they convicted of crime and sentenced to death, and it was you who escaped from the prison at Villa Rica a few hours before you should have been executed!	It was you whom they sought for this diamond affair, whom they convicted of crime and sentenced to death, and it was you who escaped from the prison at Villa Rica a few hours before you should have been executed!
1826_139361_000010_000002	Do you not answer?"	Do you not answer?"
1826_139361_000011_000001	His elbow rested on a small table, and he looked fixedly at his accuser without bending his head.	His elbow rested on a small table, and he looked fixedly at his accuser without bending his head.
1826_139361_000012_000000	"Will you reply?" repeated Torres.	"Will you reply?" repeated Torres.
1826_139361_000013_000000	"What reply do you want from me?" said Joam quietly.	"What reply do you want from me?" said Joam quietly.
1826_139361_000014_000000	"A reply," slowly answered Torres, "that will keep me from finding out the chief of the police at Manaos, and saying to him, 'A man is there whose identity can easily be established, who can be recognized even after twenty-five years' absence, and this man was the instigator of the diamond robbery at Tijuco.	"A reply," slowly answered Torres, "that will keep me from finding out the chief of the police at Manaos, and saying to him, 'A man is there whose identity can easily be established, who can be recognized even after twenty five years' absence, and this man was the instigator of the diamond robbery at Tijuco.
1826_139361_000016_000000	"Nothing, for neither you nor I will have any interest in talking about the matter."	"Nothing, for neither you nor I will have any interest in talking about the matter."
1826_139361_000018_000000	"No!	"No!
1826_139361_000020_000001	Do not be in a hurry to reply by a formal refusal.	Do not be in a hurry to reply by a formal refusal.
1826_139361_000020_000002	Remember that you are in my power."	Remember that you are in my power."
1826_139361_000022_000000	Torres hesitated for a moment.	Torres hesitated for a moment.
1826_139361_000023_000000	The attitude of this guilty man, whose life he held in his hands, was enough to astonish him.	The attitude of this guilty man, whose life he held in his hands, was enough to astonish him.
1826_139361_000025_000000	"You have a daughter!--I like her--and I want to marry her!"	"You have a daughter!--I like her-and I want to marry her!"
1826_139361_000033_000000	"All?"	"All?"
1826_139361_000034_000000	"All, if necessary.	"All, if necessary.
1826_139361_000035_000000	"You are a consummate scoundrel, Torres," quietly said Joam, whose coolness never forsook him.	"You are a consummate scoundrel, Torres," quietly said Joam, whose coolness never forsook him.
1826_139361_000038_000000	"Really!"	"Really!"
1826_139361_000039_000000	"And I add," replied Joam, "that you hold the proof of his innocence, and are keeping it back to proclaim it on the day when you marry his daughter."	"And I add," replied Joam, "that you hold the proof of his innocence, and are keeping it back to proclaim it on the day when you marry his daughter."
1826_139361_000041_000000	"I am listening, Torres."	"I am listening, Torres."
1826_139361_000042_000000	"Well," said the adventurer, half keeping back his words, as if he was sorry to let them escape from his lips, "I know you are innocent!	"Well," said the adventurer, half keeping back his words, as if he was sorry to let them escape from his lips, "I know you are innocent!
1826_139361_000044_000000	"Is dead."	"Is dead."
