1827_143625_000000_000000	CLXXVII	c l x x v i i	false	6.78	35.88	21.955854
1827_143625_000001_000000	When a man prides himself on being able to understand and interpret the writings of Chrysippus, say to yourself:--	When a man prides himself on being able to understand and interpret the writings of Chrysippus, say to yourself:--	true	35.88	42.82	23.801159
1827_143625_000002_000000	If Chrysippus had not written obscurely, this fellow would have had nothing to be proud of.	If Chrysippus had not written obscurely, this fellow would have had nothing to be proud of.	true	42.95	48.46	22.88582
1827_143625_000002_000001	But what is it that I desire?	But what is it that I desire?	true	48.89	51.1	23.872063
1827_143625_000002_000002	To understand Nature, and to follow her!	To understand Nature, and to follow her!	true	51.65	54.27	21.12574
1827_143625_000002_000003	Accordingly I ask who is the Interpreter. On hearing that it is Chrysippus, I go to him.	Accordingly I ask who is the Interpreter. On hearing that it is Chrysippus, I go to him.	true	54.27	60.22	21.995087
1827_143625_000002_000004	But it seems I do not understand what he wrote.	But it seems I do not understand what he wrote.	true	60.68	63.37	20.110458
1827_143625_000002_000005	So I seek one to interpret that.	So I seek one to interpret that.	true	63.5	65.65	27.038942
1827_143625_000002_000006	So far there is nothing to pride myself on.	So far there is nothing to pride myself on.	true	66.35	69.13	20.322739
1827_143625_000002_000007	But when I have found my interpreter, what remains is to put in practice his instructions.	But when I have found my interpreter, what remains is to put in practice his instructions.	false	69.2	74.29	22
1827_143625_000002_000008	This itself is the only thing to be proud of.	This itself is the only thing to be proud of.	true	74.87	77.68	24.565838
1827_143625_000002_000009	But if I admire the interpretation and that alone, what else have I turned out but a mere commentator instead of a lover of wisdom?--except indeed that I happen to be interpreting Chrysippus instead of Homer.	But if I admire the interpretation and that alone, what else have I turned out but a mere commentator instead of a lover of wisdom?--except indeed that I happen to be interpreting Chrysippus instead of Homer.	true	77.75	89.38	20.635387
1827_143625_000002_000010	So when any one says to me, Prithee, read me Chrysippus, I am more inclined to blush, when I cannot show my deeds to be in harmony and accordance with his sayings.	So when any one says to me, Prithee, read me Chrysippus, I am more inclined to blush, when I cannot show my deeds to be in harmony and accordance with his sayings.	true	90.14	100.35	23.701937
1827_143625_000003_000000	CLXXVIII	c l x x v i i i	false	100.35	105.48	20.220577
1827_143625_000004_000000	At feasts, remember that you are entertaining two guests, body and soul. What you give to the body, you presently lose; what you give to the soul, you keep for ever.	At feasts, remember that you are entertaining two guests, body and soul. What you give to the body, you presently lose; what you give to the soul, you keep for ever.	true	105.48	117.75	24.504948
1827_143625_000005_000000	CLXXIX	c l x x i x	false	117.75	123.6	18.8095
1827_143625_000006_000000	At meals, see to it that those who serve be not more in number than those who are served.	At meals, see to it that those who serve be not more in number than those who are served.	true	123.6	129.67	22
1827_143625_000006_000001	It is absurd for a crowd of persons to be dancing attendance on half a dozen chairs.	It is absurd for a crowd of persons to be dancing attendance on half a dozen chairs.	true	130.04	135.3	22
1827_143625_000007_000000	CLXXX	c l x x x	false	135.3	140.805	15.998839
1827_143625_000008_000000	It is best to share with your attendants what is going forward, both in the labour of preparation and in the enjoyment of the feast itself.	It is best to share with your attendants what is going forward, both in the labour of preparation and in the enjoyment of the feast itself.	true	140.805	149.32	24
1827_143625_000008_000001	If such a thing be difficult at the time, recollect that you who are not weary are being served by those that are; you who are eating and drinking by those who do neither; you who are talking by those who are silent; you who are at ease by those who are under constraint.	If such a thing be difficult at the time, recollect that you who are not weary are being served by those that are; you who are eating and drinking by those who do neither; you who are talking by those who are silent; you who are at ease by those who are under constraint.	false	149.78	169.27	23.386251
1827_143625_000008_000002	Thus no sudden wrath will betray you into unreasonable conduct, nor will you behave harshly by irritating another.	Thus no sudden wrath will betray you into unreasonable conduct, nor will you behave harshly by irritating another.	true	169.34	178.08	21.671692
1827_143625_000009_000000	CLXXXI	c l x x x i	false	178.08	183.135	20.746126
1827_143625_000010_000000	When Xanthippe was chiding Socrates for making scanty preparation for entertaining his friends, he answered:--"If they are friends of ours they will not care for that; if they are not, we shall care nothing for them!"	When Xanthippe was chiding Socrates for making scanty preparation for entertaining his friends, he answered:--"If they are friends of ours they will not care for that; if they are not, we shall care nothing for them!"	true	183.135	197.16	22.640968
1827_143625_000011_000000	CLXXXII	c l x x x i i	false	197.16	201.195	20.719675
1827_143625_000012_000000	Asked, Who is the rich man?	Asked, Who is the rich man?	true	201.195	202.995	20
1827_143625_000012_000001	Epictetus replied, "He who is content."	Epictetus replied, "He who is content."	true	202.995	206.61	26.229126
1827_143625_000013_000000	CLXXXIII	c l x x x i i i	false	206.61	210.96	22.414099
1827_143625_000014_000000	Favorinus tells us how Epictetus would also say that there were two faults far graver and fouler than any others--inability to bear, and inability to forbear, when we neither patiently bear the blows that must be borne, nor abstain from the things and the pleasures we ought to abstain from.	Favorinus tells us how Epictetus would also say that there were two faults far graver and fouler than any others-inability to bear, and inability to forbear, when we neither patiently bear the blows that must be borne, nor abstain from the things and the pleasures we ought to abstain from.	false	210.96	231.04	23.125196
