1777_142750_000000_000001	TRUTH AND FALSEHOOD	TRUTH AND FALSEHOOD
1777_142750_000001_000002	Whatever we are acquainted with must be something; we may draw wrong inferences from our acquaintance, but the acquaintance itself cannot be deceptive.	Whatever we are acquainted with must be something; we may draw wrong inferences from our acquaintance, but the acquaintance itself cannot be deceptive.
1777_142750_000001_000003	Thus there is no dualism as regards acquaintance.	Thus there is no dualism as regards acquaintance.
1777_142750_000001_000004	But as regards knowledge of truths, there is a dualism.	But as regards knowledge of truths, there is a dualism.
1777_142750_000001_000005	We may believe what is false as well as what is true.	We may believe what is false as well as what is true.
1777_142750_000001_000006	We know that on very many subjects different people hold different and incompatible opinions: hence some beliefs must be erroneous.	We know that on very many subjects different people hold different and incompatible opinions: hence some beliefs must be erroneous.
1777_142750_000001_000009	This is a question of the very greatest difficulty, to which no completely satisfactory answer is possible.	This is a question of the very greatest difficulty, to which no completely satisfactory answer is possible.
1777_142750_000001_000011	It is this preliminary question which is to be considered in this chapter.	It is this preliminary question which is to be considered in this chapter.
1777_142750_000001_000012	In this chapter we are not asking how we can know whether a belief is true or false: we are asking what is meant by the question whether a belief is true or false.	In this chapter we are not asking how we can know whether a belief is true or false: we are asking what is meant by the question whether a belief is true or false.
1777_142750_000002_000000	There are three points to observe in the attempt to discover the nature of truth, three requisites which any theory must fulfil.	There are three points to observe in the attempt to discover the nature of truth, three requisites which any theory must fulfil.
1777_142750_000003_000000	(1) Our theory of truth must be such as to admit of its opposite, falsehood.	(one) Our theory of truth must be such as to admit of its opposite, falsehood.
1777_142750_000003_000001	A good many philosophers have failed adequately to satisfy this condition: they have constructed theories according to which all our thinking ought to have been true, and have then had the greatest difficulty in finding a place for falsehood.	A good many philosophers have failed adequately to satisfy this condition: they have constructed theories according to which all our thinking ought to have been true, and have then had the greatest difficulty in finding a place for falsehood.
1777_142750_000003_000002	In this respect our theory of belief must differ from our theory of acquaintance, since in the case of acquaintance it was not necessary to take account of any opposite.	In this respect our theory of belief must differ from our theory of acquaintance, since in the case of acquaintance it was not necessary to take account of any opposite.
1777_142750_000004_000000	(2) It seems fairly evident that if there were no beliefs there could be no falsehood, and no truth either, in the sense in which truth is correlative to falsehood.	(two) It seems fairly evident that if there were no beliefs there could be no falsehood, and no truth either, in the sense in which truth is correlative to falsehood.
1777_142750_000005_000000	(3) But, as against what we have just said, it is to be observed that the truth or falsehood of a belief always depends upon something which lies outside the belief itself.	(three) But, as against what we have just said, it is to be observed that the truth or falsehood of a belief always depends upon something which lies outside the belief itself.
1777_142750_000005_000001	If I believe that Charles I died on the scaffold, I believe truly, not because of any intrinsic quality of my belief, which could be discovered by merely examining the belief, but because of an historical event which happened two and a half centuries ago.	If I believe that Charles the first died on the scaffold, I believe truly, not because of any intrinsic quality of my belief, which could be discovered by merely examining the belief, but because of an historical event which happened two and a half centuries ago.
1777_142750_000005_000002	If I believe that Charles I died in his bed, I believe falsely: no degree of vividness in my belief, or of care in arriving at it, prevents it from being false, again because of what happened long ago, and not because of any intrinsic property of my belief.	If I believe that Charles the first died in his bed, I believe falsely: no degree of vividness in my belief, or of care in arriving at it, prevents it from being false, again because of what happened long ago, and not because of any intrinsic property of my belief.
1777_142750_000005_000003	Hence, although truth and falsehood are properties of beliefs, they are properties dependent upon the relations of the beliefs to other things, not upon any internal quality of the beliefs.	Hence, although truth and falsehood are properties of beliefs, they are properties dependent upon the relations of the beliefs to other things, not upon any internal quality of the beliefs.
1777_142750_000006_000000	The third of the above requisites leads us to adopt the view--which has on the whole been commonest among philosophers--that truth consists in some form of correspondence between belief and fact.	The third of the above requisites leads us to adopt the view-which has on the whole been commonest among philosophers-that truth consists in some form of correspondence between belief and fact.
1777_142750_000006_000002	By this partly--and partly by the feeling that, if truth consists in a correspondence of thought with something outside thought, thought can never know when truth has been attained--many philosophers have been led to try to find some definition of truth which shall not consist in relation to something wholly outside belief.	By this partly-and partly by the feeling that, if truth consists in a correspondence of thought with something outside thought, thought can never know when truth has been attained-many philosophers have been led to try to find some definition of truth which shall not consist in relation to something wholly outside belief.
1777_142750_000006_000004	It is said that the mark of falsehood is failure to cohere in the body of our beliefs, and that it is the essence of a truth to form part of the completely rounded system which is The Truth.	It is said that the mark of falsehood is failure to cohere in the body of our beliefs, and that it is the essence of a truth to form part of the completely rounded system which is The Truth.
1777_142750_000007_000000	There is, however, a great difficulty in this view, or rather two great difficulties.	There is, however, a great difficulty in this view, or rather two great difficulties.
1777_142750_000007_000002	It may be that, with sufficient imagination, a novelist might invent a past for the world that would perfectly fit on to what we know, and yet be quite different from the real past.	It may be that, with sufficient imagination, a novelist might invent a past for the world that would perfectly fit on to what we know, and yet be quite different from the real past.
1777_142750_000007_000003	In more scientific matters, it is certain that there are often two or more hypotheses which account for all the known facts on some subject, and although, in such cases, men of science endeavour to find facts which will rule out all the hypotheses except one, there is no reason why they should always succeed.	In more scientific matters, it is certain that there are often two or more hypotheses which account for all the known facts on some subject, and although, in such cases, men of science endeavour to find facts which will rule out all the hypotheses except one, there is no reason why they should always succeed.
1777_142750_000008_000000	In philosophy, again, it seems not uncommon for two rival hypotheses to be both able to account for all the facts.	In philosophy, again, it seems not uncommon for two rival hypotheses to be both able to account for all the facts.
1777_142750_000008_000001	Thus, for example, it is possible that life is one long dream, and that the outer world has only that degree of reality that the objects of dreams have; but although such a view does not seem inconsistent with known facts, there is no reason to prefer it to the common-sense view, according to which other people and things do really exist.	Thus, for example, it is possible that life is one long dream, and that the outer world has only that degree of reality that the objects of dreams have; but although such a view does not seem inconsistent with known facts, there is no reason to prefer it to the common sense view, according to which other people and things do really exist.
1777_142750_000009_000000	The other objection to this definition of truth is that it assumes the meaning of 'coherence' known, whereas, in fact, 'coherence' presupposes the truth of the laws of logic.	The other objection to this definition of truth is that it assumes the meaning of 'coherence' known, whereas, in fact, 'coherence' presupposes the truth of the laws of logic.
1777_142750_000009_000001	Two propositions are coherent when both may be true, and are incoherent when one at least must be false.	Two propositions are coherent when both may be true, and are incoherent when one at least must be false.
1777_142750_000009_000002	Now in order to know whether two propositions can both be true, we must know such truths as the law of contradiction.	Now in order to know whether two propositions can both be true, we must know such truths as the law of contradiction.
1777_142750_000009_000003	For example, the two propositions, 'this tree is a beech' and 'this tree is not a beech', are not coherent, because of the law of contradiction.	For example, the two propositions, 'this tree is a beech' and 'this tree is not a beech', are not coherent, because of the law of contradiction.
1777_142750_000009_000004	But if the law of contradiction itself were subjected to the test of coherence, we should find that, if we choose to suppose it false, nothing will any longer be incoherent with anything else.	But if the law of contradiction itself were subjected to the test of coherence, we should find that, if we choose to suppose it false, nothing will any longer be incoherent with anything else.
1777_142750_000009_000005	Thus the laws of logic supply the skeleton or framework within which the test of coherence applies, and they themselves cannot be established by this test.	Thus the laws of logic supply the skeleton or framework within which the test of coherence applies, and they themselves cannot be established by this test.
1777_142750_000011_000001	It remains to define precisely what we mean by 'fact', and what is the nature of the correspondence which must subsist between belief and fact, in order that belief may be true.	It remains to define precisely what we mean by 'fact', and what is the nature of the correspondence which must subsist between belief and fact, in order that belief may be true.
1777_142750_000012_000000	In accordance with our three requisites, we have to seek a theory of truth which (1) allows truth to have an opposite, namely falsehood, (2) makes truth a property of beliefs, but (3) makes it a property wholly dependent upon the relation of the beliefs to outside things.	In accordance with our three requisites, we have to seek a theory of truth which (one) allows truth to have an opposite, namely falsehood, (two) makes truth a property of beliefs, but (three) makes it a property wholly dependent upon the relation of the beliefs to outside things.
1777_142750_000013_000000	The necessity of allowing for falsehood makes it impossible to regard belief as a relation of the mind to a single object, which could be said to be what is believed.	The necessity of allowing for falsehood makes it impossible to regard belief as a relation of the mind to a single object, which could be said to be what is believed.
1777_142750_000013_000001	If belief were so regarded, we should find that, like acquaintance, it would not admit of the opposition of truth and falsehood, but would have to be always true.	If belief were so regarded, we should find that, like acquaintance, it would not admit of the opposition of truth and falsehood, but would have to be always true.
1777_142750_000013_000002	This may be made clear by examples.	This may be made clear by examples.
1777_142750_000013_000003	Othello believes falsely that Desdemona loves Cassio.	Othello believes falsely that Desdemona loves Cassio.
1777_142750_000013_000004	We cannot say that this belief consists in a relation to a single object, 'Desdemona's love for Cassio', for if there were such an object, the belief would be true.	We cannot say that this belief consists in a relation to a single object, 'Desdemona's love for Cassio', for if there were such an object, the belief would be true.
1777_142750_000013_000005	There is in fact no such object, and therefore Othello cannot have any relation to such an object.	There is in fact no such object, and therefore Othello cannot have any relation to such an object.
1777_142750_000013_000006	Hence his belief cannot possibly consist in a relation to this object.	Hence his belief cannot possibly consist in a relation to this object.
1777_142750_000014_000000	It might be said that his belief is a relation to a different object, namely 'that Desdemona loves Cassio'; but it is almost as difficult to suppose that there is such an object as this, when Desdemona does not love Cassio, as it was to suppose that there is 'Desdemona's love for Cassio'.	It might be said that his belief is a relation to a different object, namely 'that Desdemona loves Cassio'; but it is almost as difficult to suppose that there is such an object as this, when Desdemona does not love Cassio, as it was to suppose that there is 'Desdemona's love for Cassio'.
1777_142750_000014_000001	Hence it will be better to seek for a theory of belief which does not make it consist in a relation of the mind to a single object.	Hence it will be better to seek for a theory of belief which does not make it consist in a relation of the mind to a single object.
1777_142750_000015_000000	It is common to think of relations as though they always held between two terms, but in fact this is not always the case.	It is common to think of relations as though they always held between two terms, but in fact this is not always the case.
1777_142750_000015_000001	Some relations demand three terms, some four, and so on.	Some relations demand three terms, some four, and so on.
1777_142750_000015_000002	Take, for instance, the relation 'between'.	Take, for instance, the relation 'between'.
1777_142750_000015_000003	So long as only two terms come in, the relation 'between' is impossible: three terms are the smallest number that render it possible.	So long as only two terms come in, the relation 'between' is impossible: three terms are the smallest number that render it possible.
1777_142750_000015_000004	York is between London and Edinburgh; but if London and Edinburgh were the only places in the world, there could be nothing which was between one place and another.	York is between London and Edinburgh; but if London and Edinburgh were the only places in the world, there could be nothing which was between one place and another.
1777_142750_000015_000007	Instances might be multiplied indefinitely, but enough has been said to show that there are relations which require more than two terms before they can occur.	Instances might be multiplied indefinitely, but enough has been said to show that there are relations which require more than two terms before they can occur.
1777_142750_000016_000001	When Othello believes that Desdemona loves Cassio, he must not have before his mind a single object, 'Desdemona's love for Cassio', or 'that Desdemona loves Cassio ', for that would require that there should be objective falsehoods, which subsist independently of any minds; and this, though not logically refutable, is a theory to be avoided if possible.	When Othello believes that Desdemona loves Cassio, he must not have before his mind a single object, 'Desdemona's love for Cassio', or 'that Desdemona loves Cassio ', for that would require that there should be objective falsehoods, which subsist independently of any minds; and this, though not logically refutable, is a theory to be avoided if possible.
1777_142750_000016_000002	Thus it is easier to account for falsehood if we take judgement to be a relation in which the mind and the various objects concerned all occur severally; that is to say, Desdemona and loving and Cassio must all be terms in the relation which subsists when Othello believes that Desdemona loves Cassio.	Thus it is easier to account for falsehood if we take judgement to be a relation in which the mind and the various objects concerned all occur severally; that is to say, Desdemona and loving and Cassio must all be terms in the relation which subsists when Othello believes that Desdemona loves Cassio.
1777_142750_000016_000003	This relation, therefore, is a relation of four terms, since Othello also is one of the terms of the relation.	This relation, therefore, is a relation of four terms, since Othello also is one of the terms of the relation.
1777_142750_000016_000004	When we say that it is a relation of four terms, we do not mean that Othello has a certain relation to Desdemona, and has the same relation to loving and also to Cassio.	When we say that it is a relation of four terms, we do not mean that Othello has a certain relation to Desdemona, and has the same relation to loving and also to Cassio.
