1777_142750_000000_000000	CHAPTER XII.	CHAPTER twelve.	false	0.21	16.47	22.004782
1777_142750_000000_000001	TRUTH AND FALSEHOOD	TRUTH AND FALSEHOOD	true	16.47	18.16	20.71893
1777_142750_000001_000000	Our knowledge of truths, unlike our knowledge of things, has an opposite, namely _error_.	Our knowledge of truths, unlike our knowledge of things, has an opposite, namely underscore error underscore.	false	19.64	25.08	22.157885
1777_142750_000001_000001	So far as things are concerned, we may know them or not know them, but there is no positive state of mind which can be described as erroneous knowledge of things, so long, at any rate, as we confine ourselves to knowledge by acquaintance.	So far as things are concerned, we may know them or not know them, but there is no positive state of mind which can be described as erroneous knowledge of things, so long, at any rate, as we confine ourselves to knowledge by acquaintance.	true	25.08	36.64	18
1777_142750_000001_000002	Whatever we are acquainted with must be something; we may draw wrong inferences from our acquaintance, but the acquaintance itself cannot be deceptive.	Whatever we are acquainted with must be something; we may draw wrong inferences from our acquaintance, but the acquaintance itself cannot be deceptive.	true	37.07	44.89	24.545073
1777_142750_000001_000003	Thus there is no dualism as regards acquaintance.	Thus there is no dualism as regards acquaintance.	true	44.99	47.74	20.995646
1777_142750_000001_000004	But as regards knowledge of truths, there is a dualism.	But as regards knowledge of truths, there is a dualism.	true	48.02	50.89	21.141369
1777_142750_000001_000005	We may believe what is false as well as what is true.	We may believe what is false as well as what is true.	true	50.9	54.19	20.876436
1777_142750_000001_000006	We know that on very many subjects different people hold different and incompatible opinions: hence some beliefs must be erroneous.	We know that on very many subjects different people hold different and incompatible opinions: hence some beliefs must be erroneous.	true	54.59	61.29	21.728878
1777_142750_000001_000007	Since erroneous beliefs are often held just as strongly as true beliefs, it becomes a difficult question how they are to be distinguished from true beliefs.	Since erroneous beliefs are often held just as strongly as true beliefs, it becomes a difficult question how they are to be distinguished from true beliefs.	false	61.29	69.13	20.526293
1777_142750_000001_000008	How are we to know, in a given case, that our belief is not erroneous?	How are we to know, in a given case, that our belief is not erroneous?	true	69.56	73.15	19
1777_142750_000001_000009	This is a question of the very greatest difficulty, to which no completely satisfactory answer is possible.	This is a question of the very greatest difficulty, to which no completely satisfactory answer is possible.	true	73.7	79.24	23.604448
1777_142750_000001_000010	There is, however, a preliminary question which is rather less difficult, and that is: What do we _mean_ by truth and falsehood?	There is, however, a preliminary question which is rather less difficult, and that is: What do we underscore mean underscore by truth and falsehood?	false	79.61	86.14	23.345705
1777_142750_000001_000011	It is this preliminary question which is to be considered in this chapter.	It is this preliminary question which is to be considered in this chapter.	true	86.72	90.04	23.78436
1777_142750_000001_000012	In this chapter we are not asking how we can know whether a belief is true or false: we are asking what is meant by the question whether a belief is true or false.	In this chapter we are not asking how we can know whether a belief is true or false: we are asking what is meant by the question whether a belief is true or false.	true	90.32	99.22	23.520838
1777_142750_000001_000013	It is to be hoped that a clear answer to this question may help us to obtain an answer to the question what beliefs are true, but for the present we ask only 'What is truth?' and 'What is falsehood?' not 'What beliefs are true?' and 'What beliefs are false?' It is very important to keep these different questions entirely separate, since any confusion between them is sure to produce an answer which is not really applicable to either.	It is to be hoped that a clear answer to this question may help us to obtain an answer to the question what beliefs are true, but for the present we ask only 'What is truth?' and 'What is falsehood?' not 'What beliefs are true?' and 'What beliefs are false?' It is very important to keep these different questions entirely separate, since any confusion between them is sure to produce an answer which is not really applicable to either.	true	99.53	123.43	24.32561
1777_142750_000002_000000	There are three points to observe in the attempt to discover the nature of truth, three requisites which any theory must fulfil.	There are three points to observe in the attempt to discover the nature of truth, three requisites which any theory must fulfil.	true	124.31	130.87	24.793812
1777_142750_000003_000000	(1) Our theory of truth must be such as to admit of its opposite, falsehood.	(one) Our theory of truth must be such as to admit of its opposite, falsehood.	true	131.33	136.93	24.947105
1777_142750_000003_000001	A good many philosophers have failed adequately to satisfy this condition: they have constructed theories according to which all our thinking ought to have been true, and have then had the greatest difficulty in finding a place for falsehood.	A good many philosophers have failed adequately to satisfy this condition: they have constructed theories according to which all our thinking ought to have been true, and have then had the greatest difficulty in finding a place for falsehood.	true	137.21	148.18	20.5813
1777_142750_000003_000002	In this respect our theory of belief must differ from our theory of acquaintance, since in the case of acquaintance it was not necessary to take account of any opposite.	In this respect our theory of belief must differ from our theory of acquaintance, since in the case of acquaintance it was not necessary to take account of any opposite.	true	148.43	157.21	23.389887
1777_142750_000004_000000	(2) It seems fairly evident that if there were no beliefs there could be no falsehood, and no truth either, in the sense in which truth is correlative to falsehood.	(two) It seems fairly evident that if there were no beliefs there could be no falsehood, and no truth either, in the sense in which truth is correlative to falsehood.	true	157.64	166.78	22.768446
1777_142750_000004_000001	If we imagine a world of mere matter, there would be no room for falsehood in such a world, and although it would contain what may be called 'facts', it would not contain any truths, in the sense in which truths are things of the same kind as falsehoods. In fact, truth and falsehood are properties of beliefs and statements: hence a world of mere matter, since it would contain no beliefs or statements, would also contain no truth or falsehood.	If we imagine a world of mere matter, there would be no room for falsehood in such a world, and although it would contain what may be called 'facts', it would not contain any truths, in the sense in which truths are things of the same kind as falsehoods. In fact, truth and falsehood are properties of beliefs and statements: hence a world of mere matter, since it would contain no beliefs or statements, would also contain no truth or falsehood.	true	167.03	190.42	21.421904
1777_142750_000005_000000	(3) But, as against what we have just said, it is to be observed that the truth or falsehood of a belief always depends upon something which lies outside the belief itself.	(three) But, as against what we have just said, it is to be observed that the truth or falsehood of a belief always depends upon something which lies outside the belief itself.	true	191.45	200.74	23.608507
1777_142750_000005_000001	If I believe that Charles I died on the scaffold, I believe truly, not because of any intrinsic quality of my belief, which could be discovered by merely examining the belief, but because of an historical event which happened two and a half centuries ago.	If I believe that Charles the first died on the scaffold, I believe truly, not because of any intrinsic quality of my belief, which could be discovered by merely examining the belief, but because of an historical event which happened two and a half centuries ago.	true	201.2	214	22.556463
1777_142750_000005_000002	If I believe that Charles I died in his bed, I believe falsely: no degree of vividness in my belief, or of care in arriving at it, prevents it from being false, again because of what happened long ago, and not because of any intrinsic property of my belief.	If I believe that Charles the first died in his bed, I believe falsely: no degree of vividness in my belief, or of care in arriving at it, prevents it from being false, again because of what happened long ago, and not because of any intrinsic property of my belief.	true	214.67	229.18	21.79037
1777_142750_000005_000003	Hence, although truth and falsehood are properties of beliefs, they are properties dependent upon the relations of the beliefs to other things, not upon any internal quality of the beliefs.	Hence, although truth and falsehood are properties of beliefs, they are properties dependent upon the relations of the beliefs to other things, not upon any internal quality of the beliefs.	true	229.37	239.08	22.803509
1777_142750_000006_000000	The third of the above requisites leads us to adopt the view--which has on the whole been commonest among philosophers--that truth consists in some form of correspondence between belief and fact.	The third of the above requisites leads us to adopt the view-which has on the whole been commonest among philosophers-that truth consists in some form of correspondence between belief and fact.	true	240.77	250.78	23.053514
1777_142750_000006_000001	It is, however, by no means an easy matter to discover a form of correspondence to which there are no irrefutable objections.	It is, however, by no means an easy matter to discover a form of correspondence to which there are no irrefutable objections.	true	251.09	257.14	19
1777_142750_000006_000002	By this partly--and partly by the feeling that, if truth consists in a correspondence of thought with something outside thought, thought can never know when truth has been attained--many philosophers have been led to try to find some definition of truth which shall not consist in relation to something wholly outside belief.	By this partly-and partly by the feeling that, if truth consists in a correspondence of thought with something outside thought, thought can never know when truth has been attained-many philosophers have been led to try to find some definition of truth which shall not consist in relation to something wholly outside belief.	true	257.42	274.66	23.88295
1777_142750_000006_000003	The most important attempt at a definition of this sort is the theory that truth consists in _coherence_.	The most important attempt at a definition of this sort is the theory that truth consists in underscore coherence underscore.	false	274.94	280.92	25.808523
1777_142750_000006_000004	It is said that the mark of falsehood is failure to cohere in the body of our beliefs, and that it is the essence of a truth to form part of the completely rounded system which is The Truth.	It is said that the mark of falsehood is failure to cohere in the body of our beliefs, and that it is the essence of a truth to form part of the completely rounded system which is The Truth.	true	280.92	290.89	20.32631
1777_142750_000007_000000	There is, however, a great difficulty in this view, or rather two great difficulties.	There is, however, a great difficulty in this view, or rather two great difficulties.	true	291.23	295.42	21.461735
1777_142750_000007_000001	The first is that there is no reason to suppose that only _one_ coherent body of beliefs is possible.	The first is that there is no reason to suppose that only underscore one underscore coherent body of beliefs is possible.	false	295.64	300.43	22.496088
1777_142750_000007_000002	It may be that, with sufficient imagination, a novelist might invent a past for the world that would perfectly fit on to what we know, and yet be quite different from the real past.	It may be that, with sufficient imagination, a novelist might invent a past for the world that would perfectly fit on to what we know, and yet be quite different from the real past.	true	300.59	309.49	23.869963
1777_142750_000007_000003	In more scientific matters, it is certain that there are often two or more hypotheses which account for all the known facts on some subject, and although, in such cases, men of science endeavour to find facts which will rule out all the hypotheses except one, there is no reason why they should always succeed.	In more scientific matters, it is certain that there are often two or more hypotheses which account for all the known facts on some subject, and although, in such cases, men of science endeavour to find facts which will rule out all the hypotheses except one, there is no reason why they should always succeed.	true	309.83	326.8	21.898794
