5635_58137_000000_000000	"Well, a giraffe's neck runs out at a more convenient angle," said the Donkey.	"Well, a giraffe's neck runs out at a more convenient angle," said the Donkey.	false	0	3.84	25.954659
5635_58137_000000_000001	"Still, it _is_ tiresome without a check-rein.	"Still, it underscore is underscore tiresome without a check rein.	false	3.84	5.25	20.824331
5635_58137_000000_000002	You hear a great deal about a check-rein being a cruel invention, but, on the contrary, it's a great blessing.	You hear a great deal about a check rein being a cruel invention, but, on the contrary, it's a great blessing.	false	5.25	9.18	25.809425
5635_58137_000000_000003	Now, a nose-bag is a positive outrage, and the more oats it contains the more of an imposition it is.	Now, a nose bag is a positive outrage, and the more oats it contains the more of an imposition it is.	false	9.18	14.58	23.87239
5635_58137_000000_000004	People have the queerest ideas!"	People have the queerest ideas!"	false	14.58	15.9	23.12148
5635_58137_000001_000000	SELECTING THE FACULTY	SELECTING THE FACULTY	true	15.9	17.17	27.244167
5635_58137_000002_000000	BY BAYNARD RUST HALL	BY BAYNARD RUST HALL	true	17.21	18.7	24.175653
5635_58137_000003_000000	Our Board of Trustees, it will be remembered, had been directed by the Legislature to procure, as the ordinance called it, "Teachers for the commencement of the State College at Woodville." That business, by the Board, was committed to Dr. Sylvan and Robert Carlton--the most learned gentleman of the body, and of--the New Purchase.	Our Board of Trustees, it will be remembered, had been directed by the Legislature to procure, as the ordinance called it, "Teachers for the commencement of the State College at Woodville." That business, by the Board, was committed to dr Sylvan and Robert Carlton-the most learned gentleman of the body, and of-the New Purchase.	false	19.94	38.02	23.175632
5635_58137_000003_000001	Our honorable Board will be more specially introduced hereafter; at present we shall bring forward certain rejected candidates, that, like rejected prize essays, they may be published, and _thus_ have their revenge.	Our honorable Board will be more specially introduced hereafter; at present we shall bring forward certain rejected candidates, that, like rejected prize essays, they may be published, and underscore thus underscore have their revenge.	false	38.87	49.81	22.280844
5635_58137_000004_000000	None can tell us how plenty good things are till he looks for them; and hence, to the great surprise of the Committee, there seemed to be a sudden growth and a large crop of persons even in and around Woodville, either already qualified for the "Professorships," as we named them in our publication, or who _could_ "qualify" by the time of election.	None can tell us how plenty good things are till he looks for them; and hence, to the great surprise of the Committee, there seemed to be a sudden growth and a large crop of persons even in and around Woodville, either already qualified for the "Professorships," as we named them in our publication, or who underscore could underscore "qualify" by the time of election.	false	50.75	67.3	24.17932
5635_58137_000004_000001	As to the "chair" named also in our publications, one very worthy and disinterested schoolmaster offered, as a great collateral inducement for his being elected, "_to find his own chair!_"--a vast saving to the State, if the same chair I saw in Mr. Whackum's school-room.	As to the "chair" named also in our publications, one very worthy and disinterested schoolmaster offered, as a great collateral inducement for his being elected, "underscore to find his own chair!underscore"--a vast saving to the State, if the same chair I saw in mr Whackum's school room.	false	67.85	82.87	22.344795
5635_58137_000004_000002	For his chair there was one with a hickory bottom; and doubtless he would have filled it, and even lapped over its edges, with equal dignity in the recitation room of Big College.	For his chair there was one with a hickory bottom; and doubtless he would have filled it, and even lapped over its edges, with equal dignity in the recitation room of Big College.	true	83.18	92.11	23.8846
5635_58137_000005_000000	The Committee had, at an early day, given an invitation to the Rev. Charles Clarence, A.M., of New Jersey, and his answer had been affirmative; yet for political reasons we had been obliged to invite competitors, or _make_ them, and we found and created "a right smart sprinkle."	The Committee had, at an early day, given an invitation to the reverend Charles Clarence, a m, of New Jersey, and his answer had been affirmative; yet for political reasons we had been obliged to invite competitors, or underscore make underscore them, and we found and created "a right smart sprinkle."	false	93.2	108.49	21.918734
5635_58137_000006_000000	Hopes of success were built on many things--for instance, on poverty; a plea being entered that something ought to be done for the poor fellow--on one's having taught a common school all his born days, who now deserved to rise a peg--on political, or religious, or fanatical partizan qualifications--and on pure patriotic principles, such as a person's having been "born in a canebrake and rocked in a sugar trough." On the other hand, a fat, dull-headed, and modest Englishman asked for a place, because he had been born in Liverpool! and had seen the world beyond the woods and waters, too!	Hopes of success were built on many things-for instance, on poverty; a plea being entered that something ought to be done for the poor fellow-on one's having taught a common school all his born days, who now deserved to rise a peg-on political, or religious, or fanatical partizan qualifications-and on pure patriotic principles, such as a person's having been "born in a canebrake and rocked in a sugar trough." On the other hand, a fat, dull headed, and modest Englishman asked for a place, because he had been born in Liverpool! and had seen the world beyond the woods and waters, too!	false	109.04	143.47	22.43208
5635_58137_000006_000001	And another fussy, talkative, pragmatical little gentleman rested his pretensions on his ability to draw and paint maps!--not projecting them in roundabout scientific processes, but in that speedy and elegant style in which young ladies _copy_ maps at first chop boarding-schools!	And another fussy, talkative, pragmatical little gentleman rested his pretensions on his ability to draw and paint maps!--not projecting them in roundabout scientific processes, but in that speedy and elegant style in which young ladies underscore copy underscore maps at first chop boarding schools!	false	144.2	159.34	24.339174
