3294_167597_000000_000000	CHAPTER IX	CHAPTER nine	false	2.91	7.905	21.20711
3294_167597_000001_000000	Until Prince Andrew settled in Bogucharovo its owners had always been absentees, and its peasants were of quite a different character from those of Bald Hills.	Until Prince Andrew settled in Bogucharovo its owners had always been absentees, and its peasants were of quite a different character from those of Bald Hills.	true	7.905	17.29	20
3294_167597_000001_000001	They differed from them in speech, dress, and disposition.	They differed from them in speech, dress, and disposition.	true	17.66	21.25	20.351313
3294_167597_000001_000002	They were called steppe peasants.	They were called steppe peasants.	true	21.47	23.29	22.934904
3294_167597_000001_000003	The old prince used to approve of them for their endurance at work when they came to Bald Hills to help with the harvest or to dig ponds, and ditches, but he disliked them for their boorishness.	The old prince used to approve of them for their endurance at work when they came to Bald Hills to help with the harvest or to dig ponds, and ditches, but he disliked them for their boorishness.	true	23.63	35.05	20.476456
3294_167597_000002_000000	Prince Andrew's last stay at Bogucharovo, when he introduced hospitals and schools and reduced the quitrent the peasants had to pay, had not softened their disposition but had on the contrary strengthened in them the traits of character the old prince called boorishness.	Prince Andrew's last stay at Bogucharovo, when he introduced hospitals and schools and reduced the quitrent the peasants had to pay, had not softened their disposition but had on the contrary strengthened in them the traits of character the old prince called boorishness.	false	35.96	53.2	20
3294_167597_000002_000001	Various obscure rumors were always current among them: at one time a rumor that they would all be enrolled as Cossacks; at another of a new religion to which they were all to be converted; then of some proclamation of the Tsar's and of an oath to the Tsar Paul in 1797 (in connection with which it was rumored that freedom had been granted them but the landowners had stopped it), then of Peter Fedorovich's return to the throne in seven years' time, when everything would be made free and so "simple" that there would be no restrictions.	Various obscure rumors were always current among them: at one time a rumor that they would all be enrolled as Cossacks; at another of a new religion to which they were all to be converted; then of some proclamation of the Tsar's and of an oath to the Tsar Paul in seventeen ninety seven (in connection with which it was rumored that freedom had been granted them but the landowners had stopped it), then of peter Fedorovich's return to the throne in seven years' time, when everything would be made free and so "simple" that there would be no restrictions.	true	53.87	87.79	21.113201
3294_167597_000002_000002	Rumors of the war with Bonaparte and his invasion were connected in their minds with the same sort of vague notions of Antichrist, the end of the world, and "pure freedom."	Rumors of the war with Bonaparte and his invasion were connected in their minds with the same sort of vague notions of Antichrist, the end of the world, and "pure freedom."	true	88.1	98.53	20.346125
3294_167597_000003_000000	In the vicinity of Bogucharovo were large villages belonging to the crown or to owners whose serfs paid quitrent and could work where they pleased.	In the vicinity of Bogucharovo were large villages belonging to the crown or to owners whose serfs paid quitrent and could work where they pleased.	true	99.08	108.37	20.902546
3294_167597_000003_000001	There were very few resident landlords in the neighborhood and also very few domestic or literate serfs, and in the lives of the peasantry of those parts the mysterious undercurrents in the life of the Russian people, the causes and meaning of which are so baffling to contemporaries, were more clearly and strongly noticeable than among others.	There were very few resident landlords in the neighborhood and also very few domestic or literate serfs, and in the lives of the peasantry of those parts the mysterious undercurrents in the life of the Russian people, the causes and meaning of which are so baffling to contemporaries, were more clearly and strongly noticeable than among others.	true	108.89	128.8	19.079168
3294_167597_000003_000002	One instance, which had occurred some twenty years before, was a movement among the peasants to emigrate to some unknown "warm rivers." Hundreds of peasants, among them the Bogucharovo folk, suddenly began selling their cattle and moving in whole families toward the southeast.	One instance, which had occurred some twenty years before, was a movement among the peasants to emigrate to some unknown "warm rivers." Hundreds of peasants, among them the Bogucharovo folk, suddenly began selling their cattle and moving in whole families toward the southeast.	true	129.41	147.31	20.7331
