2581_155520_000000_000000	XXI	twenty one	true	17.805	18.7	6
2581_155520_000001_000000	MERLE SHIRLEY OVERACTS	MERLE SHIRLEY OVERACTS	true	18.95	21.28	12
2581_155520_000002_000000	Appalled, I wondered who it was who had, to cover up one crime, committed another?	Appalled, I wondered who it was who had, to cover up one crime, committed another?	true	23.48	28.84	12
2581_155520_000002_000001	Who had struck down an innocent man to save a guilty neck?	Who had struck down an innocent man to save a guilty neck?	true	29.03	32.98	8
2581_155520_000003_000000	Kennedy hurried to the side of the physician and I followed.	Kennedy hurried to the side of the physician and I followed.	true	33.8	37.09	12
2581_155520_000004_000000	"What symptoms did you observe?" asked Kennedy, quickly, seeking confirmation of his own first impressions.	"What symptoms did you observe?" asked Kennedy, quickly, seeking confirmation of his own first impressions.	true	37.31	42.31	7
2581_155520_000005_000000	"His mouth seemed dry and I should say he suffered from a quick prostration.	"His mouth seemed dry and I should say he suffered from a quick prostration.	true	42.74	47.62	12
2581_155520_000005_000001	There seemed to be a complete loss of power to swallow or speak.	There seemed to be a complete loss of power to swallow or speak.	true	47.78	51.61	12
2581_155520_000005_000002	The pupils were dilated as though from paralysis of the eyes. Both pharynx and larynx were affected.	The pupils were dilated as though from paralysis of the eyes. Both pharynx and larynx were affected.	true	51.77	57.94	17
2581_155520_000005_000003	There was respiration paralysis. It seemed also as though the cranial nerves were partially paralyzed. It was typically a condition due to some toxic substance which paralyzed and depressed certain areas of the body."	There was respiration paralysis. It seemed also as though the cranial nerves were partially paralyzed. It was typically a condition due to some toxic substance which paralyzed and depressed certain areas of the body."	true	58.22	70.72	15
2581_155520_000006_000000	Kennedy nodded.	Kennedy nodded.	true	71.72	72.94	11
2581_155520_000006_000001	"That fits in with a theory I have."	"That fits in with a theory I have."	true	73.28	75.52	9
2581_155520_000007_000000	I thought quickly, then inquired; "Could it be the snake venom again?"	I thought quickly, then inquired; "Could it be the snake venom again?"	true	75.8	79.51	11
2581_155520_000008_000000	"No," Kennedy replied, shaking his head; "there's a difference in the symptoms and there is no mark on any exposed part of the body, as near as I could see in a superficial examination."	"No," Kennedy replied, shaking his head; "there's a difference in the symptoms and there is no mark on any exposed part of the body, as near as I could see in a superficial examination."	true	80.06	89.5	9
2581_155520_000009_000000	He turned to the physician.	He turned to the physician.	true	90.26	91.63	9
2581_155520_000009_000001	"Could you give me blood smears and some of the stomach contents, at once?	"Could you give me blood smears and some of the stomach contents, at once?	true	92.36	95.83	8
2581_155520_000009_000002	Twice, now, some one has been stricken down before the very eyes of the actors.	Twice, now, some one has been stricken down before the very eyes of the actors.	true	96.5	101.17	10
2581_155520_000009_000003	This thing has gone too far to trifle with or delay a moment."	This thing has gone too far to trifle with or delay a moment."	true	101.3	105.34	10
