7833_102238_000001_000000	THE LINCOLN-STONE PROTEST	THE LINCOLN STONE PROTEST
7833_102238_000003_000000	On the 3rd of March, the day before the Legislature adjourned, Mr. Lincoln caused to be entered upon its records a paper which excited but little interest at the time, but which will probably be remembered long after the good and evil actions of the Vandalia Assembly have faded away from the minds of men.	On the third of March, the day before the Legislature adjourned, mr Lincoln caused to be entered upon its records a paper which excited but little interest at the time, but which will probably be remembered long after the good and evil actions of the Vandalia Assembly have faded away from the minds of men.
7833_102238_000003_000001	It was the authentic record of the beginning of a great and momentous career.	It was the authentic record of the beginning of a great and momentous career.
7833_102238_000004_000000	Resolutions upon the subject of domestic slavery having passed both branches of the General Assembly at its present session, the undersigned hereby protest against the passage of the same.	Resolutions upon the subject of domestic slavery having passed both branches of the General Assembly at its present session, the undersigned hereby protest against the passage of the same.
7833_102238_000005_000000	They believe that the institution of slavery is founded on both injustice and bad policy, but that the promulgation of abolition doctrines tends rather to increase than abate its evils.	They believe that the institution of slavery is founded on both injustice and bad policy, but that the promulgation of abolition doctrines tends rather to increase than abate its evils.
7833_102238_000006_000000	They believe that the Congress of the United States has no power under the Constitution to interfere with the institution of slavery in the different States.	They believe that the Congress of the United States has no power under the Constitution to interfere with the institution of slavery in the different States.
7833_102238_000007_000000	They believe that the Congress of the United States has the power, under the Constitution, to abolish slavery in the District of Columbia, but that the power ought not to be exercised, unless at the request of the people of the District.	They believe that the Congress of the United States has the power, under the Constitution, to abolish slavery in the District of Columbia, but that the power ought not to be exercised, unless at the request of the people of the District.
7833_102238_000008_000000	The difference between these opinions and those contained in the above resolutions is their reason for entering this protest.	The difference between these opinions and those contained in the above resolutions is their reason for entering this protest.
7833_102238_000010_000000	It may seem strange to those who shall read these pages that a protest so mild and cautious as this should ever have been considered either necessary or remarkable.	It may seem strange to those who shall read these pages that a protest so mild and cautious as this should ever have been considered either necessary or remarkable.
7833_102238_000010_000001	We have gone so far away from the habits of thought and feeling prevalent at that time that it is difficult to appreciate such acts at their true value.	We have gone so far away from the habits of thought and feeling prevalent at that time that it is difficult to appreciate such acts at their true value.
7833_102238_000010_000002	But if we look a little carefully into the state of politics and public opinion in Illinois in the first half of this century, we shall see how much of inflexible conscience and reason there was in this simple protest.	But if we look a little carefully into the state of politics and public opinion in Illinois in the first half of this century, we shall see how much of inflexible conscience and reason there was in this simple protest.
7833_102238_000013_000000	The whole of the North-west territory had, it is true, been dedicated to freedom by the ordinance of 1787, but in spite of that famous prohibition, slavery existed in a modified form throughout that vast territory wherever there was any considerable population.	The whole of the north-west territory had, it is true, been dedicated to freedom by the ordinance of seventeen eighty seven, but in spite of that famous prohibition, slavery existed in a modified form throughout that vast territory wherever there was any considerable population.
7833_102238_000014_000000	But this quasi-toleration of the institution was not enough for the advocates of slavery.	But this quasi toleration of the institution was not enough for the advocates of slavery.
7833_102238_000014_000002	Some of the leading politicians, exaggerating the extent of this desire, imagined they saw in it a means of personal advancement, and began to agitate the question of a convention to amend the Constitution.	Some of the leading politicians, exaggerating the extent of this desire, imagined they saw in it a means of personal advancement, and began to agitate the question of a convention to amend the Constitution.
7833_102238_000014_000003	At that time there was a considerable emigration setting through the State from Kentucky and Tennessee to Missouri.	At that time there was a considerable emigration setting through the State from Kentucky and Tennessee to Missouri.
7833_102238_000014_000005	When young bachelors came from Kentucky on trips of business or pleasure, they dazzled the eyes of the women and excited the envy of their male rivals with their black retainers.	When young bachelors came from Kentucky on trips of business or pleasure, they dazzled the eyes of the women and excited the envy of their male rivals with their black retainers.
7833_102238_000014_000006	The early Illinoisans were perplexed with a secret and singular sense of inferiority to even so new and raw a community as Missouri, because of its possession of slavery.	The early Illinoisans were perplexed with a secret and singular sense of inferiority to even so new and raw a community as Missouri, because of its possession of slavery.
7833_102238_000014_000007	Governor Edwards, complaining so late as 1829 of the superior mail facilities afforded to Missouri, says: "I can conceive of no reason for this preference, unless it be supposed that because the people of Missouri have negroes to work for them they are to be considered as gentlefolks entitled to higher consideration than us plain 'free-State' folks who have to work for ourselves."	Governor Edwards, complaining so late as eighteen twenty nine of the superior mail facilities afforded to Missouri, says: "I can conceive of no reason for this preference, unless it be supposed that because the people of Missouri have negroes to work for them they are to be considered as gentlefolks entitled to higher consideration than us plain 'free State' folks who have to work for ourselves."
7833_102238_000015_000003	In the House of Representatives there was a contest for a seat upon the result of which the two-thirds majority depended.	In the House of Representatives there was a contest for a seat upon the result of which the two thirds majority depended.
7833_102238_000015_000004	The seat was claimed by John Shaw and Nicholas Hansen, of Pike County.	The seat was claimed by john Shaw and Nicholas Hansen, of Pike County.
7833_102238_000015_000005	The way in which the contest was decided affords a curious illustration of the moral sense of the advocates of slavery.	The way in which the contest was decided affords a curious illustration of the moral sense of the advocates of slavery.
7833_102238_000015_000006	They wanted at this session to elect a senator and provide for the convention.	They wanted at this session to elect a senator and provide for the convention.
7833_102238_000015_000007	Hansen would vote for their senator and not for the convention.	Hansen would vote for their senator and not for the convention.
7833_102238_000015_000008	Shaw would vote for the convention, but not for Thomas, their candidate for senator.	Shaw would vote for the convention, but not for Thomas, their candidate for senator.
7833_102238_000015_000011	They were not more magnanimous in their victory than scrupulous in the means by which they had gained it.	They were not more magnanimous in their victory than scrupulous in the means by which they had gained it.
7833_102238_000016_000000	They considered their success already assured; but they left out of view the value of the moral forces called into being by their insolent challenge.	They considered their success already assured; but they left out of view the value of the moral forces called into being by their insolent challenge.
7833_102238_000016_000001	The better class of people in the State, those heretofore unknown in politics, the schoolmasters, the ministers, immediately prepared for the contest, which became one of the severest the State has ever known.	The better class of people in the State, those heretofore unknown in politics, the schoolmasters, the ministers, immediately prepared for the contest, which became one of the severest the State has ever known.
7833_102238_000016_000002	They established three newspapers, and sustained them with money and contributions.	They established three newspapers, and sustained them with money and contributions.
7833_102238_000016_000003	The Governor gave his entire salary for four years to the expenses of this contest, in which he had no personal interest whatever.	The Governor gave his entire salary for four years to the expenses of this contest, in which he had no personal interest whatever.
7833_102238_000016_000005	They spent their money mostly in printer's ink and in the payment of active and zealous colporteurs. The result was a decisive defeat for the slave party.	They spent their money mostly in printer's ink and in the payment of active and zealous colporteurs. The result was a decisive defeat for the slave party.
7833_102238_000016_000006	The convention was beaten by 1800 majority, in a total vote of 11612, and the State saved forever from slavery.	The convention was beaten by eighteen hundred majority, in a total vote of eleven thousand six hundred twelve, and the State saved forever from slavery.
7833_102238_000018_000000	But these supreme efforts of the advocates of public morals, uninfluenced by considerations of personal advantage, are of rare occurrence, and necessarily do not survive the exigencies that call them forth.	But these supreme efforts of the advocates of public morals, uninfluenced by considerations of personal advantage, are of rare occurrence, and necessarily do not survive the exigencies that call them forth.
7833_102238_000018_000001	The apologists of slavery, beaten in the canvass, were more successful in the field of social opinion.	The apologists of slavery, beaten in the canvass, were more successful in the field of social opinion.
7833_102238_000018_000002	In the reaction which succeeded the triumph of the antislavery party, it seemed as if there had never been any antislavery sentiment in the State.	In the reaction which succeeded the triumph of the antislavery party, it seemed as if there had never been any antislavery sentiment in the State.
7833_102238_000018_000006	Any mention of the subject of slavery was thought in the worst possible taste, and no one could avow himself opposed to it without the risk of social ostracism.	Any mention of the subject of slavery was thought in the worst possible taste, and no one could avow himself opposed to it without the risk of social ostracism.
7833_102238_000018_000007	Every town had its one or two abolitionists, who were regarded as harmless or dangerous lunatics, according to the energy with which they made their views known.	Every town had its one or two abolitionists, who were regarded as harmless or dangerous lunatics, according to the energy with which they made their views known.
7833_102238_000019_000000	From this arose a singular prejudice against New England people.	From this arose a singular prejudice against New England people.
7833_102238_000019_000002	Senator James A. McDougall once told us that although he made no pretense of concealing his Eastern nativity, he never could keep his ardent friends in Pike County from denying the fact and fighting any one who asserted it.	Senator james a McDougall once told us that although he made no pretense of concealing his Eastern nativity, he never could keep his ardent friends in Pike County from denying the fact and fighting any one who asserted it.
7833_102238_000019_000004	The taint of slavery, the contagion of a plague they had not quite escaped, was on the people of Illinois.	The taint of slavery, the contagion of a plague they had not quite escaped, was on the people of Illinois.
7833_102238_000019_000005	They were strong enough to rise once in their might and say they would not have slavery among them.	They were strong enough to rise once in their might and say they would not have slavery among them.
7833_102238_000019_000006	But in the petty details of every day, in their ordinary talk, and in their routine legislation, their sympathies were still with the slave-holders.	But in the petty details of every day, in their ordinary talk, and in their routine legislation, their sympathies were still with the slave holders.
7833_102238_000019_000007	They would not enlist with them, but they would fight their battles in their own way.	They would not enlist with them, but they would fight their battles in their own way.
7833_102238_000020_000000	Their readiness to do what came to be called later, in a famous speech, the "dirty work" of the South was seen in the tragic death of Rev.	Their readiness to do what came to be called later, in a famous speech, the "dirty work" of the South was seen in the tragic death of Rev.
7833_102238_000020_000001	Elijah P. Lovejoy, in this very year of 1837.	Elijah p Lovejoy, in this very year of eighteen thirty seven.
7833_102238_000020_000002	He had for some years been publishing a religious newspaper in St. Louis, but finding the atmosphere of that city becoming dangerous to him on account of the freedom of his comments upon Southern institutions, he moved to Alton, in Illinois, twenty-five miles further up the river.	He had for some years been publishing a religious newspaper in saint Louis, but finding the atmosphere of that city becoming dangerous to him on account of the freedom of his comments upon Southern institutions, he moved to Alton, in Illinois, twenty five miles further up the river.
7833_102238_000020_000004	Having thus expressed their determination to vindicate the law, they held a meeting, and cited him before it to declare his intentions.	Having thus expressed their determination to vindicate the law, they held a meeting, and cited him before it to declare his intentions.
7833_102238_000020_000005	He said they were altogether peaceful and legal; that he intended to publish a religious newspaper and not to meddle with politics.	He said they were altogether peaceful and legal; that he intended to publish a religious newspaper and not to meddle with politics.
7833_102238_000020_000007	But Mr. Lovejoy was a predestined martyr.	But mr Lovejoy was a predestined martyr.
