7833_102238_000000_000000	CHAPTER VIII	CHAPTER eight	false	24.93	25.99	26.77863
7833_102238_000001_000000	THE LINCOLN-STONE PROTEST	THE LINCOLN STONE PROTEST	true	26.21	28.38	28
7833_102238_000002_000000	[Sidenote: 1837.]	[Sidenote: eighteen thirty seven.]	false	28.38	30.45	-20
7833_102238_000003_000000	On the 3rd of March, the day before the Legislature adjourned, Mr. Lincoln caused to be entered upon its records a paper which excited but little interest at the time, but which will probably be remembered long after the good and evil actions of the Vandalia Assembly have faded away from the minds of men.	On the third of March, the day before the Legislature adjourned, mr Lincoln caused to be entered upon its records a paper which excited but little interest at the time, but which will probably be remembered long after the good and evil actions of the Vandalia Assembly have faded away from the minds of men.	true	30.45	48.07	24.595615
7833_102238_000003_000001	It was the authentic record of the beginning of a great and momentous career.	It was the authentic record of the beginning of a great and momentous career.	true	49.1	53.68	21.180119
7833_102238_000003_000002	The following protest was presented to the House, which was read and ordered to be spread on the journals, to wit:	The following protest was presented to the House, which was read and ordered to be spread on the journals, to wit:	false	54.29	61.86	22.530931
7833_102238_000004_000000	Resolutions upon the subject of domestic slavery having passed both branches of the General Assembly at its present session, the undersigned hereby protest against the passage of the same.	Resolutions upon the subject of domestic slavery having passed both branches of the General Assembly at its present session, the undersigned hereby protest against the passage of the same.	true	61.86	73.78	21.278637
7833_102238_000005_000000	They believe that the institution of slavery is founded on both injustice and bad policy, but that the promulgation of abolition doctrines tends rather to increase than abate its evils.	They believe that the institution of slavery is founded on both injustice and bad policy, but that the promulgation of abolition doctrines tends rather to increase than abate its evils.	true	75.17	88.03	22.319044
7833_102238_000006_000000	They believe that the Congress of the United States has no power under the Constitution to interfere with the institution of slavery in the different States.	They believe that the Congress of the United States has no power under the Constitution to interfere with the institution of slavery in the different States.	true	88.7	96.37	20
7833_102238_000007_000000	They believe that the Congress of the United States has the power, under the Constitution, to abolish slavery in the District of Columbia, but that the power ought not to be exercised, unless at the request of the people of the District.	They believe that the Congress of the United States has the power, under the Constitution, to abolish slavery in the District of Columbia, but that the power ought not to be exercised, unless at the request of the people of the District.	true	96.86	109.81	24.416466
7833_102238_000008_000000	The difference between these opinions and those contained in the above resolutions is their reason for entering this protest.	The difference between these opinions and those contained in the above resolutions is their reason for entering this protest.	true	110.48	117.61	21.451416
