7247_94108_000001_000000	CHAPTER III.	CHAPTER three.
7247_94108_000002_000000	Shingis Old Town--The dynamiter--Yellow Creek.	Shingis Old Town-The dynamiter-Yellow Creek.
7247_94108_000003_000001	It was then the seat of Barney Curran, an Indian trader--the same Curran whom Washington, three years later, employed in the mission to Venango.	It was then the seat of Barney Curran, an Indian trader-the same Curran whom Washington, three years later, employed in the mission to Venango.
7247_94108_000003_000002	But the smaller sister town of Beaver, on the lower side of the mouth,--or rather the western outskirts of Beaver a mile below the mouth,--has the most ancient history.	But the smaller sister town of Beaver, on the lower side of the mouth,--or rather the western outskirts of Beaver a mile below the mouth,--has the most ancient history.
7247_94108_000003_000003	On account of a ford across the Beaver, about where is now a slack-water dam, the neighborhood became of early importance to the French as a fur-trading center.	On account of a ford across the Beaver, about where is now a slack water dam, the neighborhood became of early importance to the French as a fur trading center.
7247_94108_000003_000005	During the French and Indian War, the place was prominent as a rendezvous for the enemies of American borderers; numerous bloody forays were planned here, and hither were brought to be adopted into the tribes, or to be cruelly tortured, according to savage whim, many of the captives whose tales have made lurid the history of the Ohio Valley.	During the French and Indian War, the place was prominent as a rendezvous for the enemies of American borderers; numerous bloody forays were planned here, and hither were brought to be adopted into the tribes, or to be cruelly tortured, according to savage whim, many of the captives whose tales have made lurid the history of the Ohio Valley.
7247_94108_000004_000001	The wide uplands at once become more rustic, especially those of the left bank, which no longer is threaded by a railway, as heretofore all the way from Brownsville.	The wide uplands at once become more rustic, especially those of the left bank, which no longer is threaded by a railway, as heretofore all the way from Brownsville.
7247_94108_000004_000002	The two ranges of undulating hills, some three hundred and fifty feet high, forming the rim of the basin, are about a half mile apart; while the river itself is perhaps a third of a mile in width, leaving narrow bottoms on alternate sides, as the stream in gentle curves rebounds from the rocky base of one hill to that of another.	The two ranges of undulating hills, some three hundred and fifty feet high, forming the rim of the basin, are about a half mile apart; while the river itself is perhaps a third of a mile in width, leaving narrow bottoms on alternate sides, as the stream in gentle curves rebounds from the rocky base of one hill to that of another.
7247_94108_000004_000003	When winding about such a base, there is at this stage of the water a sloping, stony beach, some ten to twenty yards in width, from which ascends the sharp steep, for the most part heavily tree-clad--maples, birches, elms and oaks of goodly girth, the latter as yet in but half-leaf.	When winding about such a base, there is at this stage of the water a sloping, stony beach, some ten to twenty yards in width, from which ascends the sharp steep, for the most part heavily tree clad-maples, birches, elms and oaks of goodly girth, the latter as yet in but half leaf.
7247_94108_000004_000004	On the "bottom side" of the river, the alluvial terrace presents a sheer wall of clay rising from eight to a dozen feet above the beach, which is often thick-grown with willows, whose roots hold the soil from becoming too easy a prey to the encroaching current.	On the "bottom side" of the river, the alluvial terrace presents a sheer wall of clay rising from eight to a dozen feet above the beach, which is often thick grown with willows, whose roots hold the soil from becoming too easy a prey to the encroaching current.
7247_94108_000004_000005	Sycamores now begin to appear in the bottoms, although of less size than we shall meet below.	Sycamores now begin to appear in the bottoms, although of less size than we shall meet below.
7247_94108_000004_000006	Sometimes the little towns we see occupy a narrow and more or less rocky bench upon the hill side of the stream, but settlement is chiefly found upon the bottoms.	Sometimes the little towns we see occupy a narrow and more or less rocky bench upon the hill side of the stream, but settlement is chiefly found upon the bottoms.
7247_94108_000005_000000	Shippingsport (32 miles), on the left bank, where we stopped this noon for eggs, butter, and fresh water, is on a narrow hill bench--a dry, woe-begone hamlet, side-tracked from the path of the world's progress. While I was on shore, negotiating with the sleepy storekeeper, Pilgrim and her crew waited alongside the flatboat which serves as the town ferry.	Shippingsport (thirty two miles), on the left bank, where we stopped this noon for eggs, butter, and fresh water, is on a narrow hill bench-a dry, woe begone hamlet, side tracked from the path of the world's progress. While I was on shore, negotiating with the sleepy storekeeper, Pilgrim and her crew waited alongside the flatboat which serves as the town ferry.
7247_94108_000006_000000	These cartridges, he explained, are dropped into oil or gas wells whose owners are desirous of accelerating the flow.	These cartridges, he explained, are dropped into oil or gas wells whose owners are desirous of accelerating the flow.
7247_94108_000006_000001	The cartridge, in exploding, enlarges the hole, and often the output of the well is at once increased by several hundred per cent.	The cartridge, in exploding, enlarges the hole, and often the output of the well is at once increased by several hundred per cent.
7247_94108_000006_000002	The young fellow had the air of a self-confident rustic, with little experience in the world. Indeed, it seemed from his elated manner as if this might be his first trip from home, and the blowing of oil wells an incidental speculation.	The young fellow had the air of a self confident rustic, with little experience in the world. Indeed, it seemed from his elated manner as if this might be his first trip from home, and the blowing of oil wells an incidental speculation.
7247_94108_000007_000005	It was with some difficulty that he could comprehend the fact.	It was with some difficulty that he could comprehend the fact.
7247_94108_000007_000006	A hundred miles on the river was a great outing for this village lad; nine hundred was rather beyond his comprehension, although he finally compromised by "allowing" that we might be going as far as Cincinnati.	A hundred miles on the river was a great outing for this village lad; nine hundred was rather beyond his comprehension, although he finally compromised by "allowing" that we might be going as far as Cincinnati.
7247_94108_000007_000007	Wouldn't the Doctor go into partnership with him?	Wouldn't the Doctor go into partnership with him?
7247_94108_000008_000000	By the middle of the afternoon we reached the boundary line (40 miles) between Pennsylvania on the east and Ohio and West Virginia on the west.	By the middle of the afternoon we reached the boundary line (forty miles) between Pennsylvania on the east and Ohio and West Virginia on the west.
7247_94108_000008_000002	Two high iron towers supporting the cable of a current ferry add dignity to the twin settlements.	Two high iron towers supporting the cable of a current ferry add dignity to the twin settlements.
