4116_3582_000000_000000	Was Polly homesick? and so soon!	Was Polly homesick? and so soon!	false	6.3	20.67	24.864058
4116_3582_000001_000000	POLLY IS COMFORTED	POLLY IS COMFORTED	true	20.67	22.09	26.87488
4116_3582_000002_000000	Yes, it must be confessed.	Yes, it must be confessed.	true	22.58	24.63	20.315582
4116_3582_000002_000001	Polly was homesick.	Polly was homesick.	true	24.63	26.32	20.129854
4116_3582_000002_000002	All her imaginations of her mother's hard work, increased by her absence, loomed up before her, till she was almost ready to fly home without a minute's warning.	All her imaginations of her mother's hard work, increased by her absence, loomed up before her, till she was almost ready to fly home without a minute's warning.	true	26.45	34.45	21
4116_3582_000002_000003	At night, when no one knew it, the tears would come racing over the poor, forlorn little face, and would not be squeezed back.	At night, when no one knew it, the tears would come racing over the poor, forlorn little face, and would not be squeezed back.	false	34.79	42.28	24.125967
4116_3582_000002_000004	It got to be noticed finally; and one and all redoubled their exertions to make everything twice as pleasant as ever!	It got to be noticed finally; and one and all redoubled their exertions to make everything twice as pleasant as ever!	true	42.5	49.03	22.168524
4116_3582_000003_000000	The only place, except in front of the grand piano, where Polly approached a state of comparative happiness, was in the greenhouse.	The only place, except in front of the grand piano, where Polly approached a state of comparative happiness, was in the greenhouse.	true	49.64	57.34	26.883032
4116_3582_000004_000000	Here she would stay, comforted and soothed among the lovely plants and rich exotics, rejoicing the heart of Old Turner the gardener, who since Polly's first rapturous entrance, had taken her into his good graces for all time.	Here she would stay, comforted and soothed among the lovely plants and rich exotics, rejoicing the heart of Old Turner the gardener, who since Polly's first rapturous entrance, had taken her into his good graces for all time.	true	57.65	71.08	22.47124
4116_3582_000005_000000	Every chance she could steal after practice hours were over, and after the clamorous demands of the boys upon her time were fully satisfied, was seized to fly on the wings of the wind, to the flowers.	Every chance she could steal after practice hours were over, and after the clamorous demands of the boys upon her time were fully satisfied, was seized to fly on the wings of the wind, to the flowers.	true	71.42	82.78	22.68675
4116_3582_000006_000000	But even with the music and flowers the dancing light in the eyes went down a little; and Polly, growing more silent and pale, moved around with a little droop to the small figure that had only been wont to fly through the wide halls and spacious rooms with gay and springing step.	But even with the music and flowers the dancing light in the eyes went down a little; and Polly, growing more silent and pale, moved around with a little droop to the small figure that had only been wont to fly through the wide halls and spacious rooms with gay and springing step.	false	83.21	99.19	20.838633
4116_3582_000007_000000	"Polly don't like us," at last said Van one day in despair.	"Polly don't like us," at last said Van one day in despair.	true	99.65	103.96	25.291698
4116_3582_000007_000001	"Then, dear," said Mrs. Whitney, "you must be kinder to her than ever; think what it would be for one of you to be away from home even among friends."	"Then, dear," said mrs Whitney, "you must be kinder to her than ever; think what it would be for one of you to be away from home even among friends."	false	104.24	113.38	22.314455
