561_126313_000003_000000	THE WHITE SNAKE	THE WHITE SNAKE
561_126313_000004_000000	A long time ago there lived a king who was famed for his wisdom through all the land.	A long time ago there lived a king who was famed for his wisdom through all the land.
561_126313_000004_000001	Nothing was hidden from him, and it seemed as if news of the most secret things was brought to him through the air.	Nothing was hidden from him, and it seemed as if news of the most secret things was brought to him through the air.
561_126313_000004_000002	But he had a strange custom; every day after dinner, when the table was cleared, and no one else was present, a trusty servant had to bring him one more dish.	But he had a strange custom; every day after dinner, when the table was cleared, and no one else was present, a trusty servant had to bring him one more dish.
561_126313_000004_000003	It was covered, however, and even the servant did not know what was in it, neither did anyone know, for the king never took off the cover to eat of it until he was quite alone.	It was covered, however, and even the servant did not know what was in it, neither did anyone know, for the king never took off the cover to eat of it until he was quite alone.
561_126313_000005_000000	This had gone on for a long time, when one day the servant, who took away the dish, was overcome with such curiosity that he could not help carrying the dish into his room.	This had gone on for a long time, when one day the servant, who took away the dish, was overcome with such curiosity that he could not help carrying the dish into his room.
561_126313_000005_000001	When he had carefully locked the door, he lifted up the cover, and saw a white snake lying on the dish.	When he had carefully locked the door, he lifted up the cover, and saw a white snake lying on the dish.
561_126313_000006_000000	Now it so happened that on this very day the queen lost her most beautiful ring, and suspicion of having stolen it fell upon this trusty servant, who was allowed to go everywhere.	Now it so happened that on this very day the queen lost her most beautiful ring, and suspicion of having stolen it fell upon this trusty servant, who was allowed to go everywhere.
561_126313_000006_000001	The king ordered the man to be brought before him, and threatened with angry words that unless he could before the morrow point out the thief, he himself should be looked upon as guilty and executed.	The king ordered the man to be brought before him, and threatened with angry words that unless he could before the morrow point out the thief, he himself should be looked upon as guilty and executed.
561_126313_000006_000002	In vain he declared his innocence; he was dismissed with no better answer.	In vain he declared his innocence; he was dismissed with no better answer.
561_126313_000007_000000	In his trouble and fear he went down into the courtyard and took thought how to help himself out of his trouble.	In his trouble and fear he went down into the courtyard and took thought how to help himself out of his trouble.
561_126313_000008_000000	The servant could now easily prove his innocence; and the king, to make amends for the wrong, allowed him to ask a favour, and promised him the best place in the court that he could wish for.	The servant could now easily prove his innocence; and the king, to make amends for the wrong, allowed him to ask a favour, and promised him the best place in the court that he could wish for.
561_126313_000008_000002	When his request was granted he set out on his way, and one day came to a pond, where he saw three fishes caught in the reeds and gasping for water.	When his request was granted he set out on his way, and one day came to a pond, where he saw three fishes caught in the reeds and gasping for water.
561_126313_000008_000003	Now, though it is said that fishes are dumb, he heard them lamenting that they must perish so miserably, and, as he had a kind heart, he got off his horse and put the three prisoners back into the water.	Now, though it is said that fishes are dumb, he heard them lamenting that they must perish so miserably, and, as he had a kind heart, he got off his horse and put the three prisoners back into the water.
561_126313_000009_000000	He rode on, and after a while it seemed to him that he heard a voice in the sand at his feet.	He rode on, and after a while it seemed to him that he heard a voice in the sand at his feet.
561_126313_000009_000001	He listened, and heard an ant-king complain: 'Why cannot folks, with their clumsy beasts, keep off our bodies?	He listened, and heard an ant king complain: 'Why cannot folks, with their clumsy beasts, keep off our bodies?
561_126313_000009_000002	That stupid horse, with his heavy hoofs, has been treading down my people without mercy!' So he turned on to a side path and the ant-king cried out to him: 'We will remember you--one good turn deserves another!'	That stupid horse, with his heavy hoofs, has been treading down my people without mercy!' So he turned on to a side path and the ant king cried out to him: 'We will remember you-one good turn deserves another!'
561_126313_000010_000001	'Out with you, you idle, good-for-nothing creatures!' cried they; 'we cannot find food for you any longer; you are big enough, and can provide for yourselves.' But the poor young ravens lay upon the ground, flapping their wings, and crying: 'Oh, what helpless chicks we are!	'Out with you, you idle, good for nothing creatures!' cried they; 'we cannot find food for you any longer; you are big enough, and can provide for yourselves.' But the poor young ravens lay upon the ground, flapping their wings, and crying: 'Oh, what helpless chicks we are!
561_126313_000010_000002	We must shift for ourselves, and yet we cannot fly!	We must shift for ourselves, and yet we cannot fly!
561_126313_000010_000003	What can we do, but lie here and starve?' So the good young fellow alighted and killed his horse with his sword, and gave it to them for food.	What can we do, but lie here and starve?' So the good young fellow alighted and killed his horse with his sword, and gave it to them for food.
561_126313_000010_000004	Then they came hopping up to it, satisfied their hunger, and cried: 'We will remember you--one good turn deserves another!'	Then they came hopping up to it, satisfied their hunger, and cried: 'We will remember you-one good turn deserves another!'
561_126313_000011_000000	And now he had to use his own legs, and when he had walked a long way, he came to a large city.	And now he had to use his own legs, and when he had walked a long way, he came to a large city.
561_126313_000014_000000	But when the proud princess perceived that he was not her equal in birth, she scorned him, and required him first to perform another task.	But when the proud princess perceived that he was not her equal in birth, she scorned him, and required him first to perform another task.
561_126313_000015_000001	The ant-king had come in the night with thousands and thousands of ants, and the grateful creatures had by great industry picked up all the millet-seed and gathered them into the sacks.	The ant king had come in the night with thousands and thousands of ants, and the grateful creatures had by great industry picked up all the millet seed and gathered them into the sacks.
561_126313_000016_000002	But he heard a rustling in the branches, and a golden apple fell into his hand.	But he heard a rustling in the branches, and a golden apple fell into his hand.
