6269_66184_000001_000000	Chapter Twenty-One--In Which I Leave Rivermouth	Chapter Twenty One-In Which I Leave Rivermouth
6269_66184_000002_000000	A letter with a great black seal!	A letter with a great black seal!
6269_66184_000003_000001	But which was it, father or mother?	But which was it, father or mother?
6269_66184_000003_000002	I do not like to look back to the agony and suspense of that moment.	I do not like to look back to the agony and suspense of that moment.
6269_66184_000004_000000	My father had died at New Orleans during one of his weekly visits to the city.	My father had died at New Orleans during one of his weekly visits to the city.
6269_66184_000004_000001	The letter bearing these tidings had reached Rivermouth the evening of my flight--had passed me on the road by the down train.	The letter bearing these tidings had reached Rivermouth the evening of my flight-had passed me on the road by the down train.
6269_66184_000005_000000	I must turn back for a moment to that eventful evening.	I must turn back for a moment to that eventful evening.
6269_66184_000005_000001	When I failed to make my appearance at supper, the Captain began to suspect that I had really started on my wild tour southward--a conjecture which Sailor Ben's absence helped to confirm.	When I failed to make my appearance at supper, the Captain began to suspect that I had really started on my wild tour southward-a conjecture which Sailor Ben's absence helped to confirm.
6269_66184_000005_000002	I had evidently got off by the train and Sailor Ben had followed me.	I had evidently got off by the train and Sailor Ben had followed me.
6269_66184_000006_000000	There was no telegraphic communication between Boston and Rivermouth in those days; so my grandfather could do nothing but await the result. Even if there had been another mail to Boston, he could not have availed himself of it, not knowing how to address a message to the fugitives. The post-office was naturally the last place either I or the Admiral would think of visiting.	There was no telegraphic communication between Boston and Rivermouth in those days; so my grandfather could do nothing but await the result. Even if there had been another mail to Boston, he could not have availed himself of it, not knowing how to address a message to the fugitives. The post office was naturally the last place either I or the Admiral would think of visiting.
6269_66184_000007_000000	My grandfather, however, was too full of trouble to allow this to add to his distress.	My grandfather, however, was too full of trouble to allow this to add to his distress.
6269_66184_000007_000001	He knew that the faithful old sailor would not let me come to any harm, and even if I had managed for the time being to elude him, was sure to bring me back sooner or later.	He knew that the faithful old sailor would not let me come to any harm, and even if I had managed for the time being to elude him, was sure to bring me back sooner or later.
6269_66184_000008_000000	Our return, therefore, by the first train on the following day did not surprise him.	Our return, therefore, by the first train on the following day did not surprise him.
6269_66184_000011_000000	"I can't read it, Tom," said the old gentleman, breaking down.	"I can't read it, Tom," said the old gentleman, breaking down.
6269_66184_000011_000001	"I thought I could."	"I thought I could."
6269_66184_000012_000000	He handed it to me.	He handed it to me.
6269_66184_000014_000000	As the days went by my first grief subsided, and in its place grew up a want which I have experienced at every step in life from boyhood to manhood.	As the days went by my first grief subsided, and in its place grew up a want which I have experienced at every step in life from boyhood to manhood.
6269_66184_000014_000001	Often, even now, after all these years, when I see a lad of twelve or fourteen walking by his father's side, and glancing merrily up at his face, I turn and look after them, and am conscious that I have missed companionship most sweet and sacred.	Often, even now, after all these years, when I see a lad of twelve or fourteen walking by his father's side, and glancing merrily up at his face, I turn and look after them, and am conscious that I have missed companionship most sweet and sacred.
6269_66184_000015_000000	I shall not dwell on this portion of my story.	I shall not dwell on this portion of my story.
6269_66184_000015_000001	There were many tranquil, pleasant hours in store for me at that period, and I prefer to turn to them.	There were many tranquil, pleasant hours in store for me at that period, and I prefer to turn to them.
6269_66184_000016_000001	My mother had arrived at New York, and would be with us the next day.	My mother had arrived at New York, and would be with us the next day.
6269_66184_000016_000003	I was to go to Boston with the Captain to meet her and bring her home.	I was to go to Boston with the Captain to meet her and bring her home.
6269_66184_000016_000005	With my mother's hand in mine once more, all the long years we had been parted appeared like a dream.	With my mother's hand in mine once more, all the long years we had been parted appeared like a dream.
6269_66184_000017_000000	Everything was changed with us now.	Everything was changed with us now.
6269_66184_000017_000001	There were consultations with lawyers, and signing of papers, and correspondence; for my father's affairs had been left in great confusion.	There were consultations with lawyers, and signing of papers, and correspondence; for my father's affairs had been left in great confusion.
6269_66184_000018_000001	Little Black Sam, by the by, had been taken by his master from my father's service ten months previously, and put on a sugar-plantation near Baton Rouge.	Little Black Sam, by the by, had been taken by his master from my father's service ten months previously, and put on a sugar plantation near Baton Rouge.
6269_66184_000019_000000	How all these simple details interested me will be readily understood by any boy who has been long absent from home.	How all these simple details interested me will be readily understood by any boy who has been long absent from home.
6269_66184_000020_000000	I was sorry when it became necessary to discuss questions more nearly affecting myself.	I was sorry when it became necessary to discuss questions more nearly affecting myself.
6269_66184_000020_000001	I had been removed from school temporarily, but it was decided, after much consideration, that I should not return, the decision being left, in a manner, in my own hands.	I had been removed from school temporarily, but it was decided, after much consideration, that I should not return, the decision being left, in a manner, in my own hands.
6269_66184_000021_000000	The Captain wished to carry out his son's intention and send me to college, for which I was nearly fitted; but our means did not admit of this.	The Captain wished to carry out his son's intention and send me to college, for which I was nearly fitted; but our means did not admit of this.
6269_66184_000022_000000	In the midst of our discussions a letter came from my Uncle Snow, a merchant in New York, generously offering me a place in his counting-house.	In the midst of our discussions a letter came from my Uncle Snow, a merchant in New York, generously offering me a place in his counting house.
6269_66184_000022_000002	If I accepted my uncle's offer, I might hope to work my way to independence without loss of time.	If I accepted my uncle's offer, I might hope to work my way to independence without loss of time.
6269_66184_000022_000003	It was hard to give up the long-cherished dream of being a Harvard boy; but I gave it up.	It was hard to give up the long cherished dream of being a Harvard boy; but I gave it up.
6269_66184_000023_000000	The decision once made, it was Uncle Snow's wish that I should enter his counting-house immediately.	The decision once made, it was Uncle Snow's wish that I should enter his counting house immediately.
6269_66184_000023_000001	The cause of my good uncle's haste was this--he was afraid that I would turn out to be a poet before he could make a merchant of me.	The cause of my good uncle's haste was this-he was afraid that I would turn out to be a poet before he could make a merchant of me.
6269_66184_000023_000002	His fears were based upon the fact that I had published in the Rivermouth Barnacle some verses addressed in a familiar manner "To the Moon." Now, the idea of a boy, with his living to get, placing himself in communication with the Moon, struck the mercantile mind as monstrous.	His fears were based upon the fact that I had published in the Rivermouth Barnacle some verses addressed in a familiar manner "To the Moon." Now, the idea of a boy, with his living to get, placing himself in communication with the Moon, struck the mercantile mind as monstrous.
6269_66184_000023_000003	It was not only a bad investment, it was lunacy.	It was not only a bad investment, it was lunacy.
6269_66184_000024_000000	'We adopted Uncle Snow's views so far as to accede to his proposition forthwith.	'We adopted Uncle Snow's views so far as to accede to his proposition forthwith.
