6269_66184_000000_000000	It was a letter with a great black seal.	It was a letter with a great black seal.	false	1.23	22.71	21.5693
6269_66184_000001_000000	Chapter Twenty-One--In Which I Leave Rivermouth	Chapter Twenty One-In Which I Leave Rivermouth	true	22.71	26.32	21.447296
6269_66184_000002_000000	A letter with a great black seal!	A letter with a great black seal!	true	27.17	29.68	23.534191
6269_66184_000003_000000	I knew then what had happened as well as I know it now.	I knew then what had happened as well as I know it now.	true	30.26	33.31	19.316553
6269_66184_000003_000001	But which was it, father or mother?	But which was it, father or mother?	true	33.77	36.07	20.220425
6269_66184_000003_000002	I do not like to look back to the agony and suspense of that moment.	I do not like to look back to the agony and suspense of that moment.	true	36.14	40.09	23.267263
6269_66184_000004_000000	My father had died at New Orleans during one of his weekly visits to the city.	My father had died at New Orleans during one of his weekly visits to the city.	true	40.31	45.07	21.172964
6269_66184_000004_000001	The letter bearing these tidings had reached Rivermouth the evening of my flight--had passed me on the road by the down train.	The letter bearing these tidings had reached Rivermouth the evening of my flight-had passed me on the road by the down train.	true	45.5	53.17	21.529917
6269_66184_000005_000000	I must turn back for a moment to that eventful evening.	I must turn back for a moment to that eventful evening.	true	53.48	56.62	23.317297
6269_66184_000005_000001	When I failed to make my appearance at supper, the Captain began to suspect that I had really started on my wild tour southward--a conjecture which Sailor Ben's absence helped to confirm.	When I failed to make my appearance at supper, the Captain began to suspect that I had really started on my wild tour southward-a conjecture which Sailor Ben's absence helped to confirm.	true	57.29	70.11	22.79806
6269_66184_000005_000002	I had evidently got off by the train and Sailor Ben had followed me.	I had evidently got off by the train and Sailor Ben had followed me.	true	70.11	74.65	21.673243
6269_66184_000006_000000	There was no telegraphic communication between Boston and Rivermouth in those days; so my grandfather could do nothing but await the result. Even if there had been another mail to Boston, he could not have availed himself of it, not knowing how to address a message to the fugitives. The post-office was naturally the last place either I or the Admiral would think of visiting.	There was no telegraphic communication between Boston and Rivermouth in those days; so my grandfather could do nothing but await the result. Even if there had been another mail to Boston, he could not have availed himself of it, not knowing how to address a message to the fugitives. The post office was naturally the last place either I or the Admiral would think of visiting.	true	74.99	99.37	21.062895
6269_66184_000007_000000	My grandfather, however, was too full of trouble to allow this to add to his distress.	My grandfather, however, was too full of trouble to allow this to add to his distress.	true	99.95	105.07	22.914059
6269_66184_000007_000001	He knew that the faithful old sailor would not let me come to any harm, and even if I had managed for the time being to elude him, was sure to bring me back sooner or later.	He knew that the faithful old sailor would not let me come to any harm, and even if I had managed for the time being to elude him, was sure to bring me back sooner or later.	true	105.2	115.51	20.020752
6269_66184_000008_000000	Our return, therefore, by the first train on the following day did not surprise him.	Our return, therefore, by the first train on the following day did not surprise him.	true	116.6	121.51	21.082256
6269_66184_000009_000000	I was greatly puzzled, as I have said, by the gentle manner of his reception; but when we were alone together in the sitting-room, and he began slowly to unfold the letter, I understood it all.	I was greatly puzzled, as I have said, by the gentle manner of his reception; but when we were alone together in the sitting room, and he began slowly to unfold the letter, I understood it all.	false	122.03	133.69	20.112331
6269_66184_000009_000001	I caught a sight of my mother's handwriting in the superscription, and there was nothing left to tell me.	I caught a sight of my mother's handwriting in the superscription, and there was nothing left to tell me.	false	133.7	139.54	22.230751
6269_66184_000010_000000	My grandfather held the letter a few seconds irresolutely, and then commenced reading it aloud; but he could get no further than the date.	My grandfather held the letter a few seconds irresolutely, and then commenced reading it aloud; but he could get no further than the date.	false	139.88	149.11	21.842405
6269_66184_000011_000000	"I can't read it, Tom," said the old gentleman, breaking down.	"I can't read it, Tom," said the old gentleman, breaking down.	true	149.96	153.99	21
6269_66184_000011_000001	"I thought I could."	"I thought I could."	true	153.99	155.32	23.46997
6269_66184_000012_000000	He handed it to me.	He handed it to me.	true	155.6	157.12	22.951767
6269_66184_000012_000001	I took the letter mechanically, and hurried away with it to my little room, where I had passed so many happy hours.	I took the letter mechanically, and hurried away with it to my little room, where I had passed so many happy hours.	false	157.4	164.23	21
6269_66184_000013_000000	The week that followed the receipt of this letter is nearly a blank in my memory.	The week that followed the receipt of this letter is nearly a blank in my memory.	true	165.47	169.84	18
