369_125882_000000_000000	"Some other poor fish, waiting as patiently as we to be digested by the Shark."	"Some other poor fish, waiting as patiently as we to be digested by the Shark."	false	0	3.75	19.376429
369_125882_000001_000000	"I want to see him.	"I want to see him.	false	3.75	4.8	25.685608
369_125882_000001_000001	He may be an old fish and may know some way of escape."	He may be an old fish and may know some way of escape."	false	4.8	7.95	23.241388
369_125882_000002_000000	"I wish you all good luck, dear Marionette."	"I wish you all good luck, dear Marionette."	false	7.95	9.69	26.037018
369_125882_000003_000000	"Good-by, Tunny."	"Good by, Tunny."	false	9.69	10.41	7
369_125882_000004_000000	"Good-by, Marionette, and good luck."	"Good by, Marionette, and good luck."	false	10.41	13.74	16
369_125882_000005_000000	"When shall I see you again?"	"When shall I see you again?"	false	13.74	16.83	25.954794
369_125882_000006_000000	"Who knows?	"Who knows?	false	16.83	17.34	21.776154
369_125882_000006_000001	It is better not to think about it."	It is better not to think about it."	false	17.34	19.44	25.573242
369_125882_000007_000000	CHAPTER 35	CHAPTER thirty five	true	19.44	20.925	23.15739
369_125882_000008_000000	In the Shark's body Pinocchio finds whom?	In the Shark's body Pinocchio finds whom?	true	20.925	23.265	21.765305
369_125882_000008_000001	Read this chapter, my children, and you will know.	Read this chapter, my children, and you will know.	true	23.265	26.25	19.329062
369_125882_000009_000000	Pinocchio, as soon as he had said good-by to his good friend, the Tunny, tottered away in the darkness and began to walk as well as he could toward the faint light which glowed in the distance.	Pinocchio, as soon as he had said good by to his good friend, the Tunny, tottered away in the darkness and began to walk as well as he could toward the faint light which glowed in the distance.	false	26.25	36.045	20.741585
369_125882_000010_000000	As he walked his feet splashed in a pool of greasy and slippery water, which had such a heavy smell of fish fried in oil that Pinocchio thought it was Lent.	As he walked his feet splashed in a pool of greasy and slippery water, which had such a heavy smell of fish fried in oil that Pinocchio thought it was Lent.	true	36.045	45.34	21.790052
369_125882_000011_000000	The farther on he went, the brighter and clearer grew the tiny light.	The farther on he went, the brighter and clearer grew the tiny light.	true	45.44	49.17	20.73907
369_125882_000011_000001	On and on he walked till finally he found--I give you a thousand guesses, my dear children!	On and on he walked till finally he found-I give you a thousand guesses, my dear children!	true	49.17	54.4	20.375063
369_125882_000011_000002	He found a little table set for dinner and lighted by a candle stuck in a glass bottle; and near the table sat a little old man, white as the snow, eating live fish.	He found a little table set for dinner and lighted by a candle stuck in a glass bottle; and near the table sat a little old man, white as the snow, eating live fish.	false	54.44	65.415	22.44699
369_125882_000011_000003	They wriggled so that, now and again, one of them slipped out of the old man's mouth and escaped into the darkness under the table.	They wriggled so that, now and again, one of them slipped out of the old man's mouth and escaped into the darkness under the table.	true	65.415	72.375	23.152863
369_125882_000012_000000	At this sight, the poor Marionette was filled with such great and sudden happiness that he almost dropped in a faint.	At this sight, the poor Marionette was filled with such great and sudden happiness that he almost dropped in a faint.	true	72.375	78.81	23.99345
369_125882_000012_000001	He wanted to laugh, he wanted to cry, he wanted to say a thousand and one things, but all he could do was to stand still, stuttering and stammering brokenly.	He wanted to laugh, he wanted to cry, he wanted to say a thousand and one things, but all he could do was to stand still, stuttering and stammering brokenly.	true	78.81	88.74	22.312887
369_125882_000012_000002	At last, with a great effort, he was able to let out a scream of joy and, opening wide his arms he threw them around the old man's neck.	At last, with a great effort, he was able to let out a scream of joy and, opening wide his arms he threw them around the old man's neck.	false	88.74	97.425	21.83835
369_125882_000013_000000	"Oh, Father, dear Father!	"Oh, Father, dear Father!	false	97.425	99.39	23.004675
369_125882_000013_000001	Have I found you at last?	Have I found you at last?	false	99.39	101.08	21.909815
369_125882_000013_000002	Now I shall never, never leave you again!"	Now I shall never, never leave you again!"	true	101.12	104.32	13.673781
369_125882_000014_000000	"Are my eyes really telling me the truth?" answered the old man, rubbing his eyes.	"Are my eyes really telling me the truth?" answered the old man, rubbing his eyes.	false	104.33	108.825	25.804724
369_125882_000014_000001	"Are you really my own dear Pinocchio?"	"Are you really my own dear Pinocchio?"	true	108.825	112.2	20.840727
369_125882_000015_000000	"Yes, yes, yes!	"Yes, yes, yes!	true	112.2	113.64	21.164122
369_125882_000015_000001	It is I! Look at me!	It is I! Look at me!	true	113.64	115.33	32.702988
369_125882_000015_000002	And you have forgiven me, haven't you?	And you have forgiven me, haven't you?	true	115.55	117.82	24.542799
369_125882_000015_000003	Oh, my dear Father, how good you are!	Oh, my dear Father, how good you are!	true	117.83	120.91	25.485678
369_125882_000015_000004	And to think that I--Oh, but if you only knew how many misfortunes have fallen on my head and how many troubles I have had!	And to think that I-Oh, but if you only knew how many misfortunes have fallen on my head and how many troubles I have had!	true	120.92	129.13	21.831047
369_125882_000015_000005	Just think that on the day you sold your old coat to buy me my A-B-C book so that I could go to school, I ran away to the Marionette Theater and the proprietor caught me and wanted to burn me to cook his roast lamb!	Just think that on the day you sold your old coat to buy me my A B C book so that I could go to school, I ran away to the Marionette Theater and the proprietor caught me and wanted to burn me to cook his roast lamb!	true	129.29	143.98	23.389587
369_125882_000015_000006	He was the one who gave me the five gold pieces for you, but I met the Fox and the Cat, who took me to the Inn of the Red Lobster.	He was the one who gave me the five gold pieces for you, but I met the Fox and the Cat, who took me to the Inn of the Red Lobster.	true	144.17	151.47	20.698895
369_125882_000015_000007	There they ate like wolves and I left the Inn alone and I met the Assassins in the wood.	There they ate like wolves and I left the Inn alone and I met the Assassins in the wood.	true	151.47	157.155	20.884186
369_125882_000015_000008	I ran and they ran after me, always after me, till they hanged me to the branch of a giant oak tree.	I ran and they ran after me, always after me, till they hanged me to the branch of a giant oak tree.	false	157.155	163.455	22.590223
369_125882_000015_000009	Then the Fairy of the Azure Hair sent the coach to rescue me and the doctors, after looking at me, said, 'If he is not dead, then he is surely alive,' and then I told a lie and my nose began to grow.	Then the Fairy of the Azure Hair sent the coach to rescue me and the doctors, after looking at me, said, 'If he is not dead, then he is surely alive,' and then I told a lie and my nose began to grow.	false	163.455	175.8	22.556955
369_125882_000015_000010	It grew and it grew, till I couldn't get it through the door of the room.	It grew and it grew, till I couldn't get it through the door of the room.	true	175.8	179.74	21.392164
369_125882_000015_000011	And then I went with the Fox and the Cat to the Field of Wonders to bury the gold pieces.	And then I went with the Fox and the Cat to the Field of Wonders to bury the gold pieces.	false	179.75	184.75	22.559195
369_125882_000015_000012	The Parrot laughed at me and, instead of two thousand gold pieces, I found none.	The Parrot laughed at me and, instead of two thousand gold pieces, I found none.	false	184.91	189.75	22.399216
369_125882_000015_000013	When the Judge heard I had been robbed, he sent me to jail to make the thieves happy; and when I came away I saw a fine bunch of grapes hanging on a vine.	When the Judge heard I had been robbed, he sent me to jail to make the thieves happy; and when I came away I saw a fine bunch of grapes hanging on a vine.	false	189.75	198.25	19.06618
