724_123284_000000_000000	My uncle made no doubt about it at all; I both desired and feared.	My uncle made no doubt about it at all; I both desired and feared.	false	4.56	11.85	23.210503
724_123284_000001_000000	After spending an hour in the contemplation of this marvellous spectacle, we returned to the shore to regain the grotto, and I fell asleep in the midst of the strangest thoughts.	After spending an hour in the contemplation of this marvellous spectacle, we returned to the shore to regain the grotto, and I fell asleep in the midst of the strangest thoughts.	false	11.85	29.22	21.01623
724_123284_000002_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	29.22	30.67	25.245043
724_123284_000003_000000	PREPARATIONS FOR A VOYAGE OF DISCOVERY	PREPARATIONS FOR A VOYAGE OF DISCOVERY	true	31.25	34.15	15.5220995
724_123284_000004_000000	The next morning I awoke feeling perfectly well.	The next morning I awoke feeling perfectly well.	true	36.26	39.31	22.330519
724_123284_000004_000001	I thought a bathe would do me good, and I went to plunge for a few minutes into the waters of this mediterranean sea, for assuredly it better deserved this name than any other sea.	I thought a bathe would do me good, and I went to plunge for a few minutes into the waters of this mediterranean sea, for assuredly it better deserved this name than any other sea.	true	39.56	50.98	19.744457
724_123284_000005_000000	I came back to breakfast with a good appetite.	I came back to breakfast with a good appetite.	true	52.01	54.49	28.392809
724_123284_000005_000001	Hans was a good caterer for our little household; he had water and fire at his disposal, so that he was able to vary our bill of fare now and then. For dessert he gave us a few cups of coffee, and never was coffee so delicious.	Hans was a good caterer for our little household; he had water and fire at his disposal, so that he was able to vary our bill of fare now and then. For dessert he gave us a few cups of coffee, and never was coffee so delicious.	true	54.53	70.72	20.480375
724_123284_000006_000000	"Now," said my uncle, "now is the time for high tide, and we must not lose the opportunity to study this phenomenon."	"Now," said my uncle, "now is the time for high tide, and we must not lose the opportunity to study this phenomenon."	true	71.69	80.44	22.893736
724_123284_000007_000000	"What! the tide!" I cried.	"What! the tide!" I cried.	true	81.17	83.86	22.147009
724_123284_000007_000001	"Can the influence of the sun and moon be felt down here?"	"Can the influence of the sun and moon be felt down here?"	true	84.29	87.1	24
724_123284_000008_000000	"Why not?	"Why not?	true	88.1	89.14	25.599913
724_123284_000008_000001	Are not all bodies subject throughout their mass to the power of universal attraction?	Are not all bodies subject throughout their mass to the power of universal attraction?	true	89.45	93.97	19
724_123284_000008_000002	This mass of water cannot escape the general law.	This mass of water cannot escape the general law.	true	94.43	97.66	23
724_123284_000008_000003	And in spite of the heavy atmospheric pressure on the surface, you will see it rise like the Atlantic itself."	And in spite of the heavy atmospheric pressure on the surface, you will see it rise like the Atlantic itself."	true	98.27	105.04	22.425589
724_123284_000009_000000	At the same moment we reached the sand on the shore, and the waves were by slow degrees encroaching on the shore.	At the same moment we reached the sand on the shore, and the waves were by slow degrees encroaching on the shore.	true	106.31	113.53	17.486322
724_123284_000010_000000	"Here is the tide rising," I cried.	"Here is the tide rising," I cried.	true	114.53	117.01	20.506948
724_123284_000011_000000	"Yes, Axel; and judging by these ridges of foam, you may observe that the sea will rise about twelve feet."	"Yes, Axel; and judging by these ridges of foam, you may observe that the sea will rise about twelve feet."	true	118.1	126.07	19.4347
724_123284_000012_000000	"This is wonderful," I said.	"This is wonderful," I said.	true	126.35	128.5	24.505175
724_123284_000013_000000	"No; it is quite natural."	"No; it is quite natural."	true	128.87	131.05	19.893478
724_123284_000014_000000	"You may say so, uncle; but to me it is most extraordinary, and I can hardly believe my eyes.	"You may say so, uncle; but to me it is most extraordinary, and I can hardly believe my eyes.	false	132.05	137.02	20.40321
724_123284_000014_000001	Who would ever have imagined, under this terrestrial crust, an ocean with ebbing and flowing tides, with winds and storms?"	Who would ever have imagined, under this terrestrial crust, an ocean with ebbing and flowing tides, with winds and storms?"	true	137.33	145.96	20.756824
724_123284_000015_000000	"Well," replied my uncle, "is there any scientific reason against it?"	"Well," replied my uncle, "is there any scientific reason against it?"	true	146.51	151.45	25.04368
724_123284_000016_000000	"No; I see none, as soon as the theory of central heat is given up." "So then, thus far," he answered, "the theory of Sir Humphry Davy is confirmed."	"No; I see none, as soon as the theory of central heat is given up." "So then, thus far," he answered, "the theory of Sir Humphry Davy is confirmed."	false	152.39	164.53	20.51038
724_123284_000017_000000	"Evidently it is; and now there is no reason why there should not be seas and continents in the interior of the earth."	"Evidently it is; and now there is no reason why there should not be seas and continents in the interior of the earth."	true	165.38	171.82	19.422737
724_123284_000018_000000	"No doubt," said my uncle; "and inhabited too."	"No doubt," said my uncle; "and inhabited too."	true	172.04	176.26	18.25216
724_123284_000019_000000	"To be sure," said I; "and why should not these waters yield to us fishes of unknown species?"	"To be sure," said I; "and why should not these waters yield to us fishes of unknown species?"	true	177.17	183.58	21.198036
724_123284_000020_000000	"At any rate," he replied, "we have not seen any yet."	"At any rate," he replied, "we have not seen any yet."	true	184.55	188.62	22.679504
724_123284_000021_000000	"Well, let us make some lines, and see if the bait will draw here as it does in sublunary regions."	"Well, let us make some lines, and see if the bait will draw here as it does in sublunary regions."	true	189.56	195.97	19
724_123284_000022_000000	"We will try, Axel, for we must penetrate all secrets of these newly discovered regions."	"We will try, Axel, for we must penetrate all secrets of these newly discovered regions."	true	196.73	202.06	20.827812
724_123284_000023_000000	"But where are we, uncle? for I have not yet asked you that question, and your instruments must be able to furnish the answer."	"But where are we, uncle? for I have not yet asked you that question, and your instruments must be able to furnish the answer."	true	203.12	210.25	21.434855
724_123284_000024_000000	"Horizontally, three hundred and fifty leagues from Iceland."	"Horizontally, three hundred and fifty leagues from Iceland."	true	211.16	216.16	20.914623
724_123284_000025_000000	"So much as that?"	"So much as that?"	true	217.1	218.44	31.797651
724_123284_000026_000000	"I am sure of not being a mile out of my reckoning."	"I am sure of not being a mile out of my reckoning."	true	219.2	222.79	20.655704
724_123284_000027_000000	"And does the compass still show south-east?"	"And does the compass still show south-east?"	true	223.85	226.9	23.68957
724_123284_000028_000000	"Yes; with a westerly deviation of nineteen degrees forty-five minutes, just as above ground.	"Yes; with a westerly deviation of nineteen degrees forty five minutes, just as above ground.	true	227.87	235.18	18.936089
724_123284_000028_000001	As for its dip, a curious fact is coming to light, which I have observed carefully: that the needle, instead of dipping towards the pole as in the northern hemisphere, on the contrary, rises from it."	As for its dip, a curious fact is coming to light, which I have observed carefully: that the needle, instead of dipping towards the pole as in the northern hemisphere, on the contrary, rises from it."	false	235.7	251.35	23.790033
724_123284_000029_000000	"Would you then conclude," I said, "that the magnetic pole is somewhere between the surface of the globe and the point where we are?"	"Would you then conclude," I said, "that the magnetic pole is somewhere between the surface of the globe and the point where we are?"	true	252.44	260.11	22.951138
724_123284_000030_000000	"Exactly so; and it is likely enough that if we were to reach the spot beneath the polar regions, about that seventy-first degree where Sir James Ross has discovered the magnetic pole to be situated, we should see the needle point straight up.	"Exactly so; and it is likely enough that if we were to reach the spot beneath the polar regions, about that seventy first degree where Sir james Ross has discovered the magnetic pole to be situated, we should see the needle point straight up.	true	260.75	276.76	23.89305
724_123284_000030_000001	Therefore that mysterious centre of attraction is at no great depth."	Therefore that mysterious centre of attraction is at no great depth."	true	277.37	282.22	22.26096
724_123284_000031_000000	I remarked: "It is so; and here is a fact which science has scarcely suspected."	I remarked: "It is so; and here is a fact which science has scarcely suspected."	true	282.92	288.4	23.224323
724_123284_000032_000000	"Science, my lad, has been built upon many errors; but they are errors which it was good to fall into, for they led to the truth."	"Science, my lad, has been built upon many errors; but they are errors which it was good to fall into, for they led to the truth."	true	289.07	297.91	21.025372
724_123284_000033_000000	"What depth have we now reached?"	"What depth have we now reached?"	true	298.73	300.55	25.26286
724_123284_000034_000000	"We are thirty-five leagues below the surface."	"We are thirty five leagues below the surface."	true	301.37	304.18	21.26759
724_123284_000035_000000	"So," I said, examining the map, "the Highlands of Scotland are over our heads, and the Grampians are raising their rugged summits above us."	"So," I said, examining the map, "the Highlands of Scotland are over our heads, and the Grampians are raising their rugged summits above us."	true	305.36	315.25	19.191189
724_123284_000036_000000	"Yes," answered the Professor laughing.	"Yes," answered the Professor laughing.	true	315.5	318.43	20.795202
724_123284_000036_000001	"It is rather a heavy weight to bear, but a solid arch spans over our heads.	"It is rather a heavy weight to bear, but a solid arch spans over our heads.	true	318.77	324.49	19.706408
724_123284_000036_000002	The great Architect has built it of the best materials; and never could man have given it so wide a stretch.	The great Architect has built it of the best materials; and never could man have given it so wide a stretch.	true	325.04	332.05	22.034235
724_123284_000036_000003	What are the finest arches of bridges and the arcades of cathedrals, compared with this far reaching vault, with a radius of three leagues, beneath which a wide and tempest-tossed ocean may flow at its ease?"	What are the finest arches of bridges and the arcades of cathedrals, compared with this far reaching vault, with a radius of three leagues, beneath which a wide and tempest tossed ocean may flow at its ease?"	true	332.48	346.24	22.145483
724_123284_000037_000000	"Oh, I am not afraid that it will fall down upon my head.	"Oh, I am not afraid that it will fall down upon my head.	true	347.12	350.38	24
724_123284_000037_000001	But now what are your plans?	But now what are your plans?	true	350.81	352.72	27.681574
724_123284_000037_000002	Are you not thinking of returning to the surface now?"	Are you not thinking of returning to the surface now?"	true	353.09	355.53	20
724_123284_000038_000000	"Return!	"Return!	false	355.53	357.9	27.111404
724_123284_000038_000001	no, indeed!	no, indeed!	true	357.9	359.26	19.65877
724_123284_000038_000002	We will continue our journey, everything having gone on well so far."	We will continue our journey, everything having gone on well so far."	false	359.33	363.61	19.544365
724_123284_000039_000000	"But how are we to get down below this liquid surface?"	"But how are we to get down below this liquid surface?"	true	364.43	367.51	22.14127
724_123284_000040_000000	"Oh, I am not going to dive head foremost.	"Oh, I am not going to dive head foremost.	true	368.36	371.35	22.489956
724_123284_000040_000001	But if all oceans are properly speaking but lakes, since they are encompassed by land, of course this internal sea will be surrounded by a coast of granite, and on the opposite shores we shall find fresh passages opening."	But if all oceans are properly speaking but lakes, since they are encompassed by land, of course this internal sea will be surrounded by a coast of granite, and on the opposite shores we shall find fresh passages opening."	true	371.81	386.05	22.791588
724_123284_000041_000000	"How long do you suppose this sea to be?"	"How long do you suppose this sea to be?"	true	387.02	389.26	20.176239
724_123284_000042_000000	"Thirty or forty leagues; so that we have no time to lose, and we shall set sail to-morrow."	"Thirty or forty leagues; so that we have no time to lose, and we shall set sail to morrow."	true	390.26	396.52	20.608423
724_123284_000043_000000	I looked about for a ship.	I looked about for a ship.	false	397.19	399.37	23.975124
724_123284_000044_000000	"Set sail, shall we?	"Set sail, shall we?	true	400.25	402.1	22.861893
724_123284_000044_000001	But I should like to see my boat first."	But I should like to see my boat first."	true	402.59	405.88	22.374556
724_123284_000045_000000	"It will not be a boat at all, but a good, well-made raft."	"It will not be a boat at all, but a good, well made raft."	true	406.52	410.77	22.981312
724_123284_000046_000000	"Why," I said, "a raft would be just as hard to make as a boat, and I don't see--"	"Why," I said, "a raft would be just as hard to make as a boat, and I don't see-"	true	411.29	417.61	25.980711
724_123284_000047_000000	"I know you don't see; but you might hear if you would listen.	"I know you don't see; but you might hear if you would listen.	true	417.86	422.14	22.898626
724_123284_000047_000001	Don't you hear the hammer at work?	Don't you hear the hammer at work?	true	422.99	425.14	22.23571
724_123284_000047_000002	Hans is already busy at it."	Hans is already busy at it."	true	425.84	427.78	19.844082
724_123284_000048_000000	"What, has he already felled the trees?"	"What, has he already felled the trees?"	true	428.87	430.95	19
724_123284_000049_000000	"Oh, the trees were already down.	"Oh, the trees were already down.	false	430.95	433.48	18.33227
724_123284_000049_000001	Come, and you will see for yourself."	Come, and you will see for yourself."	true	433.79	435.64	20.04288
724_123284_000050_000000	After half an hour's walking, on the other side of the promontory which formed the little natural harbour, I perceived Hans at work.	After half an hour's walking, on the other side of the promontory which formed the little natural harbour, I perceived Hans at work.	true	437.06	444.91	21.620522
724_123284_000050_000001	In a few more steps I was at his side.	In a few more steps I was at his side.	true	445.37	448.24	23.909767
724_123284_000050_000002	To my great surprise a half-finished raft was already lying on the sand, made of a peculiar kind of wood, and a great number of planks, straight and bent, and of frames, were covering the ground, enough almost for a little fleet.	To my great surprise a half finished raft was already lying on the sand, made of a peculiar kind of wood, and a great number of planks, straight and bent, and of frames, were covering the ground, enough almost for a little fleet.	true	448.76	464.05	24.502842
724_123284_000051_000000	"Uncle, what wood is this?" I cried.	"Uncle, what wood is this?" I cried.	true	464.72	467.35	27.866064
724_123284_000052_000000	"It is fir, pine, or birch, and other northern coniferae, mineralised by the action of the sea.	"It is fir, pine, or birch, and other northern coniferae, mineralised by the action of the sea.	true	467.84	476.44	25.100252
724_123284_000052_000001	It is called surturbrand, a variety of brown coal or lignite, found chiefly in Iceland."	It is called surturbrand, a variety of brown coal or lignite, found chiefly in Iceland."	true	476.78	482.68	20.577747
724_123284_000053_000000	"But surely, then, like other fossil wood, it must be as hard as stone, and cannot float?"	"But surely, then, like other fossil wood, it must be as hard as stone, and cannot float?"	false	483.53	490.26	25.057144
724_123284_000054_000000	"Sometimes that may happen; some of these woods become true anthracites; but others, such as this, have only gone through the first stage of fossil transformation.	"Sometimes that may happen; some of these woods become true anthracites; but others, such as this, have only gone through the first stage of fossil transformation.	false	490.26	501.24	20.199253
724_123284_000054_000001	Just look," added my uncle, throwing into the sea one of those precious waifs.	Just look," added my uncle, throwing into the sea one of those precious waifs.	true	501.24	505.81	21.346107
724_123284_000055_000000	The bit of wood, after disappearing, returned to the surface and oscillated to and fro with the waves.	The bit of wood, after disappearing, returned to the surface and oscillated to and fro with the waves.	true	506.66	513.76	24.50032
724_123284_000056_000000	"Are you convinced?" said my uncle.	"Are you convinced?" said my uncle.	true	514.52	517.48	24.273212
724_123284_000057_000000	"I am quite convinced, although it is incredible!"	"I am quite convinced, although it is incredible!"	true	518.18	521.32	25.212183
724_123284_000058_000000	By next evening, thanks to the industry and skill of our guide, the raft was made.	By next evening, thanks to the industry and skill of our guide, the raft was made.	true	522.65	528.16	22.53439
