296_142727_000000_000000	CHAPTER IV	CHAPTER four	false	1.11	21.06	21.90123
296_142727_000001_000000	DEFINITION OF THE EMOTIONS	DEFINITION OF THE EMOTIONS	true	21.06	22.87	18.693123
296_142727_000002_000000	After sensations and images, we have to name among the phenomena of consciousness, the whole series of affective states--our pleasures and our pains, our joys and our griefs, our sentiments, our emotions, and our passions.	After sensations and images, we have to name among the phenomena of consciousness, the whole series of affective states-our pleasures and our pains, our joys and our griefs, our sentiments, our emotions, and our passions.	true	23.33	37.93	20.980593
296_142727_000002_000001	It is universally admitted that these states are of a mental nature, for several reasons. (1) We never objectivate them as we do our sensations, but we constantly consider them as indwelling or subjective states.	It is universally admitted that these states are of a mental nature, for several reasons. (one) We never objectivate them as we do our sensations, but we constantly consider them as indwelling or subjective states.	false	38.15	53.17	21.316526
296_142727_000002_000002	This rule, however, allows an exception for the pleasure and the pain termed physical, which are often localised in particular parts of our bodies, although the position attributed to them is less precise than with indifferent sensations. (2) We do not alienate them as we do our indifferent sensations.	This rule, however, allows an exception for the pleasure and the pain termed physical, which are often localised in particular parts of our bodies, although the position attributed to them is less precise than with indifferent sensations. (two) We do not alienate them as we do our indifferent sensations.	false	53.9	72.82	21.696943
296_142727_000002_000003	The sensations of weight, of colour, and of form serve us for the construction of bodies which appear to us as perceived by us, but as being other than ourselves.	The sensations of weight, of colour, and of form serve us for the construction of bodies which appear to us as perceived by us, but as being other than ourselves.	false	73.22	83.77	23.247461
296_142727_000002_000004	On the contrary, we constantly and without hesitation refer our emotional states to our _Ego_.	On the contrary, we constantly and without hesitation refer our emotional states to our underscore Ego underscore.	false	84.35	90.99	23.217262
296_142727_000002_000005	It is I who suffer, we say, I who complain, I who hope.	It is I who suffer, we say, I who complain, I who hope.	true	90.99	95.98	24.412012
296_142727_000002_000006	It is true that this attribution is not absolutely characteristic of mental phenomena, for it happens that we put a part of our Ego into material objects, such as our bodies, and even into objects separate from our bodies, and whose sole relation to us is that of a legal proprietorship.	It is true that this attribution is not absolutely characteristic of mental phenomena, for it happens that we put a part of our Ego into material objects, such as our bodies, and even into objects separate from our bodies, and whose sole relation to us is that of a legal proprietorship.	true	96.14	113.98	22.287455
296_142727_000002_000007	We must guard against the somewhat frequent error of identifying the Ego with the psychical.	We must guard against the somewhat frequent error of identifying the Ego with the psychical.	true	114.5	120.07	24.314085
296_142727_000003_000000	These two reasons sufficiently explain the tendency to see only psychological states in the emotional ones; and, in fact, those authors who have sought to oppose mind to matter have not failed to introduce emotion into their parallel as representing the essence of mind.	These two reasons sufficiently explain the tendency to see only psychological states in the emotional ones; and, in fact, those authors who have sought to oppose mind to matter have not failed to introduce emotion into their parallel as representing the essence of mind.	true	121.61	138.7	21.56142
296_142727_000003_000001	On this point I will recall the fine ironical image used by Tyndall, the illustrious English physicist, to show the abyss which separates thought from the molecular states of the brain.	On this point I will recall the fine ironical image used by Tyndall, the illustrious English physicist, to show the abyss which separates thought from the molecular states of the brain.	true	139.28	150.37	20.984673
296_142727_000003_000002	"Let us suppose," he says, "that the sentiment love, for example, corresponds to a right-hand spiral movement of the molecules of the brain and the sentiment hatred to a left-hand spiral movement.	"Let us suppose," he says, "that the sentiment love, for example, corresponds to a right-hand spiral movement of the molecules of the brain and the sentiment hatred to a left hand spiral movement.	false	150.83	163.06	23.683023
296_142727_000003_000003	We should then know that when we love, a movement is produced in one direction, and when we hate, in another.	We should then know that when we love, a movement is produced in one direction, and when we hate, in another.	true	163.52	169.78	20.910929
296_142727_000003_000004	But the Why would remain without an answer."	But the Why would remain without an answer."	true	170.3	173.05	20.51402
296_142727_000004_000000	The question of knowing what place in our metaphysical theory we ought to secure for emotion seems difficult to resolve, and we even find some pleasure in leaving it in suspense, in order that it may be understood that a metaphysician is not compelled to explain everything.	The question of knowing what place in our metaphysical theory we ought to secure for emotion seems difficult to resolve, and we even find some pleasure in leaving it in suspense, in order that it may be understood that a metaphysician is not compelled to explain everything.	true	174.23	190.33	21.096188
296_142727_000004_000001	Besides, the difficulties which atop us here are peculiarly of a psychological order.	Besides, the difficulties which atop us here are peculiarly of a psychological order.	true	190.67	196.18	23.764128
296_142727_000004_000002	They proceed from the fact that studies on the nature of the emotions are still very little advanced. The physical conditions of these states are pretty well known, and their psychical and social effects have been abundantly described; but very little is known as to what distinguishes an emotion from a thought.	They proceed from the fact that studies on the nature of the emotions are still very little advanced. The physical conditions of these states are pretty well known, and their psychical and social effects have been abundantly described; but very little is known as to what distinguishes an emotion from a thought.	true	196.55	214.3	22.951094
296_142727_000005_000000	Two principal opinions may be upheld in the actual state of our acquaintance with the psychology of the feelings.	Two principal opinions may be upheld in the actual state of our acquaintance with the psychology of the feelings.	true	215.03	220.96	21.765419
296_142727_000005_000001	When we endeavour to penetrate their essential and final nature, we have a choice between two contrary theories.	When we endeavour to penetrate their essential and final nature, we have a choice between two contrary theories.	true	221.15	227.29	21.334686
296_142727_000006_000000	The first and traditional one consists in seeing in emotion a phenomenon _sui generis_; this is very simple, and leaves nothing more to be said.	The first and traditional one consists in seeing in emotion a phenomenon underscore sui generis underscore; this is very simple, and leaves nothing more to be said.	false	228.23	237.16	19.065327
296_142727_000007_000000	The second bears the name of the intellectualist theory.	The second bears the name of the intellectualist theory.	true	237.74	241.06	23.065893
296_142727_000007_000001	It consists in expunging the characteristic of the affective states.	It consists in expunging the characteristic of the affective states.	true	241.52	245.8	26.93643
296_142727_000007_000002	We consider them as derivative forms of particular modes of cognition, and they are only "confused intelligence." This intellectualist thesis is of early date; it will be found in Herbart, who, by-the-by, gave it a peculiar form, by causing the play of images to intervene in the formation of the feelings.	We consider them as derivative forms of particular modes of cognition, and they are only "confused intelligence." This intellectualist thesis is of early date; it will be found in Herbart, who, by the by, gave it a peculiar form, by causing the play of images to intervene in the formation of the feelings.	false	246.29	267.37	23.17658
296_142727_000007_000003	However, this particular point is of slight Importance.	However, this particular point is of slight Importance.	true	267.98	271.99	25.459993
