100_122655_000003_000000	CHAPTER XXX	CHAPTER thirty
100_122655_000004_000000	The more I knew of the inmates of Moor House, the better I liked them.	The more I knew of the inmates of Moor House, the better I liked them.
100_122655_000004_000001	In a few days I had so far recovered my health that I could sit up all day, and walk out sometimes.	In a few days I had so far recovered my health that I could sit up all day, and walk out sometimes.
100_122655_000004_000002	I could join with Diana and Mary in all their occupations; converse with them as much as they wished, and aid them when and where they would allow me.	I could join with Diana and Mary in all their occupations; converse with them as much as they wished, and aid them when and where they would allow me.
100_122655_000004_000003	There was a reviving pleasure in this intercourse, of a kind now tasted by me for the first time--the pleasure arising from perfect congeniality of tastes, sentiments, and principles.	There was a reviving pleasure in this intercourse, of a kind now tasted by me for the first time-the pleasure arising from perfect congeniality of tastes, sentiments, and principles.
100_122655_000005_000000	I liked to read what they liked to read: what they enjoyed, delighted me; what they approved, I reverenced.	I liked to read what they liked to read: what they enjoyed, delighted me; what they approved, I reverenced.
100_122655_000005_000001	They loved their sequestered home.	They loved their sequestered home.
100_122655_000005_000004	I could comprehend the feeling, and share both its strength and truth.	I could comprehend the feeling, and share both its strength and truth.
100_122655_000005_000005	I saw the fascination of the locality.	I saw the fascination of the locality.
100_122655_000005_000007	These details were just to me what they were to them--so many pure and sweet sources of pleasure.	These details were just to me what they were to them-so many pure and sweet sources of pleasure.
100_122655_000006_000000	Indoors we agreed equally well.	Indoors we agreed equally well.
100_122655_000006_000001	They were both more accomplished and better read than I was; but with eagerness I followed in the path of knowledge they had trodden before me.	They were both more accomplished and better read than I was; but with eagerness I followed in the path of knowledge they had trodden before me.
100_122655_000006_000002	I devoured the books they lent me: then it was full satisfaction to discuss with them in the evening what I had perused during the day.	I devoured the books they lent me: then it was full satisfaction to discuss with them in the evening what I had perused during the day.
100_122655_000006_000003	Thought fitted thought; opinion met opinion: we coincided, in short, perfectly.	Thought fitted thought; opinion met opinion: we coincided, in short, perfectly.
100_122655_000007_000000	If in our trio there was a superior and a leader, it was Diana. Physically, she far excelled me: she was handsome; she was vigorous.	If in our trio there was a superior and a leader, it was Diana. Physically, she far excelled me: she was handsome; she was vigorous.
100_122655_000007_000001	In her animal spirits there was an affluence of life and certainty of flow, such as excited my wonder, while it baffled my comprehension.	In her animal spirits there was an affluence of life and certainty of flow, such as excited my wonder, while it baffled my comprehension.
100_122655_000007_000002	I could talk a while when the evening commenced, but the first gush of vivacity and fluency gone, I was fain to sit on a stool at Diana's feet, to rest my head on her knee, and listen alternately to her and Mary, while they sounded thoroughly the topic on which I had but touched.	I could talk a while when the evening commenced, but the first gush of vivacity and fluency gone, I was fain to sit on a stool at Diana's feet, to rest my head on her knee, and listen alternately to her and Mary, while they sounded thoroughly the topic on which I had but touched.
100_122655_000007_000003	Diana offered to teach me German.	Diana offered to teach me German.
100_122655_000007_000004	I liked to learn of her: I saw the part of instructress pleased and suited her; that of scholar pleased and suited me no less.	I liked to learn of her: I saw the part of instructress pleased and suited her; that of scholar pleased and suited me no less.
100_122655_000007_000005	Our natures dovetailed: mutual affection--of the strongest kind--was the result.	Our natures dovetailed: mutual affection-of the strongest kind-was the result.
100_122655_000007_000006	They discovered I could draw: their pencils and colour-boxes were immediately at my service.	They discovered I could draw: their pencils and colour boxes were immediately at my service.
100_122655_000007_000007	My skill, greater in this one point than theirs, surprised and charmed them.	My skill, greater in this one point than theirs, surprised and charmed them.
100_122655_000007_000008	Mary would sit and watch me by the hour together: then she would take lessons; and a docile, intelligent, assiduous pupil she made.	Mary would sit and watch me by the hour together: then she would take lessons; and a docile, intelligent, assiduous pupil she made.
100_122655_000007_000009	Thus occupied, and mutually entertained, days passed like hours, and weeks like days.	Thus occupied, and mutually entertained, days passed like hours, and weeks like days.
100_122655_000008_000001	One reason of the distance yet observed between us was, that he was comparatively seldom at home: a large proportion of his time appeared devoted to visiting the sick and poor among the scattered population of his parish.	One reason of the distance yet observed between us was, that he was comparatively seldom at home: a large proportion of his time appeared devoted to visiting the sick and poor among the scattered population of his parish.
100_122655_000009_000000	No weather seemed to hinder him in these pastoral excursions: rain or fair, he would, when his hours of morning study were over, take his hat, and, followed by his father's old pointer, Carlo, go out on his mission of love or duty--I scarcely know in which light he regarded it. Sometimes, when the day was very unfavourable, his sisters would expostulate.	No weather seemed to hinder him in these pastoral excursions: rain or fair, he would, when his hours of morning study were over, take his hat, and, followed by his father's old pointer, Carlo, go out on his mission of love or duty-I scarcely know in which light he regarded it. Sometimes, when the day was very unfavourable, his sisters would expostulate.
100_122655_000009_000001	He would then say, with a peculiar smile, more solemn than cheerful--	He would then say, with a peculiar smile, more solemn than cheerful-
100_122655_000010_000000	"And if I let a gust of wind or a sprinkling of rain turn me aside from these easy tasks, what preparation would such sloth be for the future I propose to myself?"	"And if I let a gust of wind or a sprinkling of rain turn me aside from these easy tasks, what preparation would such sloth be for the future I propose to myself?"
100_122655_000011_000000	Diana and Mary's general answer to this question was a sigh, and some minutes of apparently mournful meditation.	Diana and Mary's general answer to this question was a sigh, and some minutes of apparently mournful meditation.
100_122655_000012_000000	But besides his frequent absences, there was another barrier to friendship with him: he seemed of a reserved, an abstracted, and even of a brooding nature.	But besides his frequent absences, there was another barrier to friendship with him: he seemed of a reserved, an abstracted, and even of a brooding nature.
100_122655_000014_000000	Incommunicative as he was, some time elapsed before I had an opportunity of gauging his mind.	Incommunicative as he was, some time elapsed before I had an opportunity of gauging his mind.
100_122655_000014_000001	I first got an idea of its calibre when I heard him preach in his own church at Morton.	I first got an idea of its calibre when I heard him preach in his own church at Morton.
100_122655_000014_000002	I wish I could describe that sermon: but it is past my power.	I wish I could describe that sermon: but it is past my power.
100_122655_000014_000003	I cannot even render faithfully the effect it produced on me.	I cannot even render faithfully the effect it produced on me.
100_122655_000016_000000	Meantime a month was gone.	Meantime a month was gone.
100_122655_000018_000000	"Yes; I wish to know whether you have heard of any service I can offer myself to undertake?"	"Yes; I wish to know whether you have heard of any service I can offer myself to undertake?"
100_122655_000019_000000	"I found or devised something for you three weeks ago; but as you seemed both useful and happy here--as my sisters had evidently become attached to you, and your society gave them unusual pleasure--I deemed it inexpedient to break in on your mutual comfort till their approaching departure from Marsh End should render yours necessary."	"I found or devised something for you three weeks ago; but as you seemed both useful and happy here-as my sisters had evidently become attached to you, and your society gave them unusual pleasure-I deemed it inexpedient to break in on your mutual comfort till their approaching departure from Marsh End should render yours necessary."
100_122655_000020_000000	"And they will go in three days now?" I said.	"And they will go in three days now?" I said.
100_122655_000021_000000	"Yes; and when they go, I shall return to the parsonage at Morton: Hannah will accompany me; and this old house will be shut up."	"Yes; and when they go, I shall return to the parsonage at Morton: Hannah will accompany me; and this old house will be shut up."
100_122655_000022_000000	I waited a few moments, expecting he would go on with the subject first broached: but he seemed to have entered another train of reflection: his look denoted abstraction from me and my business.	I waited a few moments, expecting he would go on with the subject first broached: but he seemed to have entered another train of reflection: his look denoted abstraction from me and my business.
100_122655_000022_000001	I was obliged to recall him to a theme which was of necessity one of close and anxious interest to me.	I was obliged to recall him to a theme which was of necessity one of close and anxious interest to me.
100_122655_000023_000000	"What is the employment you had in view, Mr. Rivers?	"What is the employment you had in view, mr Rivers?
100_122655_000023_000001	I hope this delay will not have increased the difficulty of securing it."	I hope this delay will not have increased the difficulty of securing it."
100_122655_000024_000000	"Oh, no; since it is an employment which depends only on me to give, and you to accept."	"Oh, no; since it is an employment which depends only on me to give, and you to accept."
100_122655_000025_000000	He again paused: there seemed a reluctance to continue.	He again paused: there seemed a reluctance to continue.
100_122655_000025_000001	I grew impatient: a restless movement or two, and an eager and exacting glance fastened on his face, conveyed the feeling to him as effectually as words could have done, and with less trouble.	I grew impatient: a restless movement or two, and an eager and exacting glance fastened on his face, conveyed the feeling to him as effectually as words could have done, and with less trouble.
100_122655_000026_000001	Before I explain, recall, if you please, my notice, clearly given, that if I helped you, it must be as the blind man would help the lame.	Before I explain, recall, if you please, my notice, clearly given, that if I helped you, it must be as the blind man would help the lame.
100_122655_000026_000002	I am poor; for I find that, when I have paid my father's debts, all the patrimony remaining to me will be this crumbling grange, the row of scathed firs behind, and the patch of moorish soil, with the yew-trees and holly-bushes in front.	I am poor; for I find that, when I have paid my father's debts, all the patrimony remaining to me will be this crumbling grange, the row of scathed firs behind, and the patch of moorish soil, with the yew trees and holly bushes in front.
100_122655_000026_000003	I am obscure: Rivers is an old name; but of the three sole descendants of the race, two earn the dependant's crust among strangers, and the third considers himself an alien from his native country--not only for life, but in death.	I am obscure: Rivers is an old name; but of the three sole descendants of the race, two earn the dependant's crust among strangers, and the third considers himself an alien from his native country-not only for life, but in death.
100_122655_000027_000001	He resumed--	He resumed-
