6865_95959_000000_000000	Other sayings of the Master:--	Other sayings of the Master:--	false	0	1.56	19.372723
6865_95959_000001_000000	"It is but flattery to make sacrificial offerings to departed spirits not belonging to one's own family.	"It is but flattery to make sacrificial offerings to departed spirits not belonging to one's own family.	false	1.56	4.8	15
6865_95959_000002_000000	"It is moral cowardice to leave undone what one perceives to be right to do."	"It is moral cowardice to leave undone what one perceives to be right to do."	false	4.8	6.45	24.416216
6865_95959_000003_000000	[Footnote 2: Of Lu (Confucius's native State).]	[Footnote two: Of Lu (Confucius's native State).]	false	6.45	6.87	12
6865_95959_000004_000000	[Footnote 3: Head of one of the "Three Families" of Lu.]	[Footnote three: Head of one of the "Three Families" of Lu.]	false	6.87	9.87	23.583553
6865_95959_000005_000000	BOOK III	BOOK three	true	9.87	10.78	18
6865_95959_000006_000000	Abuse of Proprieties in Ceremonial and Music	Abuse of Proprieties in Ceremonial and Music	false	10.79	14.56	18.532124
6865_95959_000007_000000	Alluding to the head of the Ki family, [4] and the eight lines of posturers [5] before their ancestral hall, Confucius remarked, "If the Ki can allow himself to go to this extent, to what extent will he not allow himself to go?"	Alluding to the head of the Ki family, [four] and the eight lines of posturers [five] before their ancestral hall, Confucius remarked, "If the Ki can allow himself to go to this extent, to what extent will he not allow himself to go?"	false	15.8	29.8	20
6865_95959_000008_000000	The Three Families [6] were in the habit, during the Removal of the sacred vessels after sacrifice, of using the hymn commencing,	The Three Families [six] were in the habit, during the Removal of the sacred vessels after sacrifice, of using the hymn commencing,	false	30.56	38.38	15
6865_95959_000009_000000	"Harmoniously the Princes Draw near with reverent tread, Assisting in his worship Heaven's Son, the great and dread."	"Harmoniously the Princes Draw near with reverent tread, Assisting in his worship Heaven's Son, the great and dread."	true	39.23	48.43	18
6865_95959_000010_000000	"How," exclaimed the Master, "can such words be appropriated in the ancestral hall of the Three Families?"	"How," exclaimed the Master, "can such words be appropriated in the ancestral hall of the Three Families?"	false	49.01	56.35	16
6865_95959_000011_000000	"Where a man," said he again, "has not the proper feelings due from one man to another, how will he stand as regards the Rules of Propriety?	"Where a man," said he again, "has not the proper feelings due from one man to another, how will he stand as regards the Rules of Propriety?	false	56.84	66.25	17
6865_95959_000011_000001	And in such a case, what shall we say of his sense of harmony?"	And in such a case, what shall we say of his sense of harmony?"	false	66.47	70.63	20
6865_95959_000012_000000	On a question being put to him by Lin Fang, a disciple, as to what was the radical idea upon which the Rules of Propriety were based, the Master exclaimed, "Ah! that is a large question.	On a question being put to him by Lin Fang, a disciple, as to what was the radical idea upon which the Rules of Propriety were based, the Master exclaimed, "Ah! that is a large question.	true	71.72	84.82	22
6865_95959_000012_000001	As to some rules, where there is likelihood of extravagance, they would rather demand economy; in those which relate to mourning, and where there is likelihood of being easily satisfied, what is wanted is real sorrow."	As to some rules, where there is likelihood of extravagance, they would rather demand economy; in those which relate to mourning, and where there is likelihood of being easily satisfied, what is wanted is real sorrow."	true	85.04	99.46	20
6865_95959_000013_000000	Speaking of the disorder of the times he remarked that while the barbarians on the North and East had their Chieftains, we here in this great country had nothing to compare with them in that respect:--we had lost these distinctions!	Speaking of the disorder of the times he remarked that while the barbarians on the North and East had their Chieftains, we here in this great country had nothing to compare with them in that respect:--we had lost these distinctions!	false	100.73	115.15	19
6865_95959_000014_000000	Alluding to the matter of the Chief of the Ki family worshipping on Tai-shan, [7] the Master said to Yen Yu, "Cannot you save him from this?" He replied, "It is beyond my power." "Alas, alas!" exclaimed the Master, "are we to say that the spirits of T'ai-shan have not as much discernment as Lin Fang?"	Alluding to the matter of the Chief of the Ki family worshipping on Tai shan, [seven] the Master said to Yen Yu, "Cannot you save him from this?" He replied, "It is beyond my power." "Alas, alas!" exclaimed the Master, "are we to say that the spirits of T'ai shan have not as much discernment as Lin Fang?"	false	116.42	138.73	22.627224
6865_95959_000015_000000	Of "the superior man," the Master observed, "In him there is no contentiousness.	Of "the superior man," the Master observed, "In him there is no contentiousness.	true	139.97	145.84	22
6865_95959_000015_000001	Say even that he does certainly contend with others, as in archery competitions; yet mark, in that case, how courteously he will bow and go up for the forfeit-cup, and come down again and give it to his competitor.	Say even that he does certainly contend with others, as in archery competitions; yet mark, in that case, how courteously he will bow and go up for the forfeit cup, and come down again and give it to his competitor.	true	145.88	160.56	23
6865_95959_000015_000002	In his very contest he is still the superior man."	In his very contest he is still the superior man."	true	160.56	164.55	17
6865_95959_000016_000000	Tsz-hia once inquired what inference might be drawn from the lines--	t s z hia once inquired what inference might be drawn from the lines-	false	164.55	170.68	19.68364
6865_95959_000017_000000	"Dimples playing in witching smile, Beautiful eyes, so dark, so bright! Oh, and her face may be thought the while Colored by art, red rose on white!"	"Dimples playing in witching smile, Beautiful eyes, so dark, so bright! Oh, and her face may be thought the while Colored by art, red rose on white!"	true	170.78	184.09	23.557386
6865_95959_000018_000000	"Coloring," replied the Master, "requires a pure and clear background." "Then," said the other, "rules of ceremony require to have a background!" "Ah!" exclaimed the Master, "you are the man to catch the drift of my thought.	"Coloring," replied the Master, "requires a pure and clear background." "Then," said the other, "rules of ceremony require to have a background!" "Ah!" exclaimed the Master, "you are the man to catch the drift of my thought.	true	185.03	200.35	22.939196
6865_95959_000018_000001	Such as you may well introduce a discussion on the Odes."	Such as you may well introduce a discussion on the Odes."	true	200.36	203.98	14
6865_95959_000019_000000	Said the Master, "As regards the ceremonial adopted and enforced by the Hia dynasty, I am able to describe it, although their own descendants in the State of Ki can adduce no adequate testimony in favor of its use there.	Said the Master, "As regards the ceremonial adopted and enforced by the Hia dynasty, I am able to describe it, although their own descendants in the State of Ki can adduce no adequate testimony in favor of its use there.	false	205.34	220.77	22
6865_95959_000019_000001	So, too, I am able to describe the ceremonial of the Yin dynasty, although no more can the Sung people show sufficient reason for its continuance amongst themselves.	So, too, I am able to describe the ceremonial of the Yin dynasty, although no more can the Sung people show sufficient reason for its continuance amongst themselves.	true	220.77	231.58	15
6865_95959_000019_000002	And why cannot they do so?	And why cannot they do so?	true	231.77	233.62	25
6865_95959_000019_000003	Because they have not documents enough, nor men learned enough.	Because they have not documents enough, nor men learned enough.	true	233.84	238.41	20
6865_95959_000019_000004	If only they had such, I could refer them to them in support of their usages.	If only they had such, I could refer them to them in support of their usages.	true	238.41	243.61	17
6865_95959_000020_000000	"When I am present at the great quinquennial sacrifice to the _manes_ of the royal ancestors," the Master said, "from the pouring-out of the oblation onwards, I have no heart to look on."	"When I am present at the great quinquennial sacrifice to the underscore manes underscore of the royal ancestors," the Master said, "from the pouring out of the oblation onwards, I have no heart to look on."	false	245.15	259.86	21.64168
6865_95959_000021_000000	Some one asked what was the purport of this great sacrifice, and the Master replied, "I cannot tell.	Some one asked what was the purport of this great sacrifice, and the Master replied, "I cannot tell.	true	259.86	266.92	23.140306
6865_95959_000021_000001	The position in the empire of him who could tell you is as evident as when you look at this"--pointing to the palm of his hand.	The position in the empire of him who could tell you is as evident as when you look at this"--pointing to the palm of his hand.	true	267.02	274.9	21
6865_95959_000022_000000	When he offered sacrifices to his ancestors, he used to act as if they were present before him.	When he offered sacrifices to his ancestors, he used to act as if they were present before him.	true	275.69	281.86	19.977745
6865_95959_000022_000001	In offering to other spirits it was the same.	In offering to other spirits it was the same.	true	281.93	285.28	22.074177
6865_95959_000023_000000	He would say, "If I do not myself take part in my offerings, it is all the same as if I did not offer them."	He would say, "If I do not myself take part in my offerings, it is all the same as if I did not offer them."	true	286.76	293.85	24.697353
6865_95959_000024_000000	Wang-sun Kia asked him once, "What says the proverb, 'Better to court favor in the kitchen than in the drawing-room'?"	Wang sun Kia asked him once, "What says the proverb, 'Better to court favor in the kitchen than in the drawing room'?"	false	293.85	303.7	23.185612
6865_95959_000024_000001	The Master replied, "Nay, better say, He who has sinned against Heaven has none other to whom prayer may be addressed."	The Master replied, "Nay, better say, He who has sinned against Heaven has none other to whom prayer may be addressed."	false	304.16	312.82	20
6865_95959_000025_000000	Of the Chow dynasty the Master remarked, "It looks back upon two other dynasties; and what a rich possession it has in its records of those times!	Of the Chow dynasty the Master remarked, "It looks back upon two other dynasties; and what a rich possession it has in its records of those times!	false	314.09	324.06	24
6865_95959_000025_000001	I follow Chow!"	I follow Chow!"	true	324.06	325.51	21.576881
6865_95959_000026_000000	On his first entry into the grand temple, he inquired about every matter connected with its usages.	On his first entry into the grand temple, he inquired about every matter connected with its usages.	true	326.96	333.67	18
6865_95959_000026_000001	Some one thereupon remarked, "Who says that the son of the man of Tsou [8] understands about ceremonial?	Some one thereupon remarked, "Who says that the son of the man of Tsou [eight] understands about ceremonial?	false	333.89	340.36	20
6865_95959_000026_000002	On entering the grand temple he inquired about everything."	On entering the grand temple he inquired about everything."	true	340.76	344.41	21
6865_95959_000026_000003	This remark coming to the Master's ears, he said, "What I did is part of the ceremonial!"	This remark coming to the Master's ears, he said, "What I did is part of the ceremonial!"	true	344.9	350.86	22.78932
6865_95959_000027_000000	"In archery," he said, "the great point to be observed is not simply the perforation of the leather; for men have not all the same strength.	"In archery," he said, "the great point to be observed is not simply the perforation of the leather; for men have not all the same strength.	true	353.03	362.325	23.613602
6865_95959_000027_000001	That was the fashion in the olden days."	That was the fashion in the olden days."	true	362.325	364.81	17
6865_95959_000028_000000	Once, seeing that his disciple Tsz-kung was desirous that the ceremonial observance of offering a sheep at the new moon might be dispensed with, the Master said, "Ah! you grudge the loss of the sheep; I grudge the loss of the ceremony."	Once, seeing that his disciple t s z kung was desirous that the ceremonial observance of offering a sheep at the new moon might be dispensed with, the Master said, "Ah! you grudge the loss of the sheep; I grudge the loss of the ceremony."	false	366.23	381.31	22.744259
6865_95959_000029_000000	"To serve one's ruler nowadays," he remarked, "fully complying with the Rules of Propriety, is regarded by others as toadyism!"	"To serve one's ruler nowadays," he remarked, "fully complying with the Rules of Propriety, is regarded by others as toadyism!"	true	382.94	391.51	21
6865_95959_000030_000000	When Duke Ting questioned him as to how a prince should deal with his ministers, and how they in turn should serve their prince, Confucius said in reply, "In dealing with his ministers a prince should observe the proprieties; in serving his prince a minister should observe the duty of loyalty."	When Duke Ting questioned him as to how a prince should deal with his ministers, and how they in turn should serve their prince, Confucius said in reply, "In dealing with his ministers a prince should observe the proprieties; in serving his prince a minister should observe the duty of loyalty."	false	393.26	413.11	21
6865_95959_000031_000000	Referring to the First of the Odes, he remarked that it was mirthful without being lewd, and sad also without being painful.	Referring to the First of the Odes, he remarked that it was mirthful without being lewd, and sad also without being painful.	true	414.74	423.88	21.703709
6865_95959_000032_000000	Duke Ngai asked the disciple Tsai Wo respecting the places for sacrificing to the Earth.	Duke Ngai asked the disciple Tsai Wo respecting the places for sacrificing to the Earth.	false	425.06	431.22	23.60095
6865_95959_000032_000001	The latter replied, "The Family of the Great Yu, of the Hia dynasty, chose a place of pine trees; the Yin founders chose cypresses; and the Chow founders chestnut trees, solemn and majestic, to inspire, 'tis said, the people with feelings of awe."	The latter replied, "The Family of the Great Yu, of the Hia dynasty, chose a place of pine trees; the Yin founders chose cypresses; and the Chow founders chestnut trees, solemn and majestic, to inspire, 'tis said, the people with feelings of awe."	false	431.22	450.93	22.812225
6865_95959_000033_000000	The Master on hearing of this exclaimed, "Never an allusion to things that have been enacted in the past!	The Master on hearing of this exclaimed, "Never an allusion to things that have been enacted in the past!	true	450.93	457.81	18
6865_95959_000033_000001	Never a remonstrance against what is now going on!	Never a remonstrance against what is now going on!	true	457.91	461.47	17
6865_95959_000033_000002	He has gone away without a word of censure."	He has gone away without a word of censure."	true	461.66	464.5	22
6865_95959_000034_000000	The Master once said of Kwan Chung, [9] "A small-minded man indeed!"	The Master once said of Kwan Chung, [nine] "A small minded man indeed!"	false	465.8	470.95	20.554346
6865_95959_000035_000000	"Was he miserly?" some one asked.	"Was he miserly?" some one asked.	true	471.38	474.13	21.928745
6865_95959_000036_000000	"Miserly, indeed!" said he; "not that: he married three rimes, and he was not a man who restricted his official business to too few hands--how could he be miserly?"	"Miserly, indeed!" said he; "not that: he married three rimes, and he was not a man who restricted his official business to too few hands-how could he be miserly?"	false	474.26	486.01	21
6865_95959_000037_000000	"He knew the Rules of Propriety, I suppose?"	"He knew the Rules of Propriety, I suppose?"	true	486.8	489.79	21
6865_95959_000038_000000	"Judge:--Seeing that the feudal lords planted a screen at their gates, he too would have one at his!	"Judge:--Seeing that the feudal lords planted a screen at their gates, he too would have one at his!	true	490.1	496.93	24
6865_95959_000038_000001	Seeing that when any two of the feudal lords met in friendly conclave they had an earthenware stand on which to place their inverted cups after drinking, he must have the same!	Seeing that when any two of the feudal lords met in friendly conclave they had an earthenware stand on which to place their inverted cups after drinking, he must have the same!	true	497.36	508.45	18
6865_95959_000038_000002	If he knew the Rules of Propriety, who is there that does not know them?"	If he knew the Rules of Propriety, who is there that does not know them?"	true	508.64	513.31	23.826778
6865_95959_000039_000000	In a discourse to the Chief Preceptor of Music at the court of Lu, the Master said, "Music is an intelligible thing.	In a discourse to the Chief Preceptor of Music at the court of Lu, the Master said, "Music is an intelligible thing.	true	514.88	522.84	23.814945
6865_95959_000039_000001	When you begin a performance, let all the various instruments produce as it were one sound (inharmonious); then, as you go on, bring out the harmony fully, distinctly, and with uninterrupted flow, unto the end."	When you begin a performance, let all the various instruments produce as it were one sound (inharmonious); then, as you go on, bring out the harmony fully, distinctly, and with uninterrupted flow, unto the end."	false	522.84	538.09	22.14672
6865_95959_000040_000000	The warden of the border-town of I requested an interview with Confucius, and said, "When great men have come here, I have never yet failed to obtain a sight of them." The followers introduced him; and, on leaving, he said to them, "Sirs, why grieve at his loss of office?	The warden of the border town of I requested an interview with Confucius, and said, "When great men have come here, I have never yet failed to obtain a sight of them." The followers introduced him; and, on leaving, he said to them, "Sirs, why grieve at his loss of office?	false	539.54	558.22	23.027437
6865_95959_000040_000001	The empire has for long been without good government; and Heaven is about to use your master as its edict-announcer."	The empire has for long been without good government; and Heaven is about to use your master as its edict announcer."	false	558.35	565.99	19
6865_95959_000041_000000	Comparing the music of the emperor Shun with the music of King Wu, the Master said, "That of Shun is beautiful throughout, and also good throughout.	Comparing the music of the emperor Shun with the music of King Wu, the Master said, "That of Shun is beautiful throughout, and also good throughout.	true	567.41	577.75	19
6865_95959_000041_000001	That of Wu is all of it beautiful, but scarcely all of it good."	That of Wu is all of it beautiful, but scarcely all of it good."	false	577.91	583.27	25.251657
6865_95959_000042_000000	"High station," said the Master, "occupied by men who have no large and generous heart; ceremonial performed with no reverence; duties of mourning engaging the attention, where there is absence of sorrow;--how should I look on, where this is the state of things?"	"High station," said the Master, "occupied by men who have no large and generous heart; ceremonial performed with no reverence; duties of mourning engaging the attention, where there is absence of sorrow;--how should I look on, where this is the state of things?"	true	585.02	603.34	19
6865_95959_000043_000000	[Footnote 4: The Chief of the Ki clan was virtually the Duke of Lu, under whom Confucius for a time held office.]	[Footnote four: The Chief of the Ki clan was virtually the Duke of Lu, under whom Confucius for a time held office.]	false	606.62	615.94	24.18142
6865_95959_000044_000000	[Footnote 5: These posturers were mutes who took part in the ritual of the ancestral temple, waving plumes, flags, etc.	[Footnote five: These posturers were mutes who took part in the ritual of the ancestral temple, waving plumes, flags, etc	false	617.69	628	22.098814
6865_95959_000044_000001	Each line or rank of these contained eight men.	Each line or rank of these contained eight men.	true	628.13	631.48	18
6865_95959_000044_000002	Only in the sovereign's household should there have been eight lines of them; a ducal family like the Ki should have had but six lines; a great official had four, and one of lower grade two.	Only in the sovereign's household should there have been eight lines of them; a ducal family like the Ki should have had but six lines; a great official had four, and one of lower grade two.	false	631.58	644.35	23
6865_95959_000044_000003	These were the gradations marking the status of families, and Confucius's sense of propriety was offended at the Ki's usurping in this way the appearance of royalty.]	These were the gradations marking the status of families, and Confucius's sense of propriety was offended at the Ki's usurping in this way the appearance of royalty.]	false	644.57	654.76	18
6865_95959_000045_000000	[Footnote 6: Three great families related to each other, in whose hands the government of the State of Lu then was, and of which the Ki was the chief.]	[Footnote six: Three great families related to each other, in whose hands the government of the State of Lu then was, and of which the Ki was the chief.]	false	657.23	669.34	22.781612
6865_95959_000046_000000	[Footnote 7: One of the five sacred mountains, worshipped upon only by the sovereign.]	[Footnote seven: One of the five sacred mountains, worshipped upon only by the sovereign.]	false	671	678.49	21.723768
6865_95959_000047_000000	[Footnote 8: Tsou was Confucius's birthplace; his father was governor of the town.]	[Footnote eight: Tsou was Confucius's birthplace; his father was governor of the town.]	false	680.72	689.4	23.502035
6865_95959_000048_000000	[Footnote 9: A renowned statesman who flourished about two hundred years before Confucius's time.	[Footnote nine: A renowned statesman who flourished about two hundred years before Confucius's time.	false	689.4	698.11	22.79467
6865_95959_000048_000001	A philosophical work on law and government, said to have been written by him, is still extant.	A philosophical work on law and government, said to have been written by him, is still extant.	false	698.21	704.85	22
6865_95959_000048_000002	He was regarded as a sage by the people, but he lacked, in Confucius's eyes, the one thing needful--propriety.]	He was regarded as a sage by the people, but he lacked, in Confucius's eyes, the one thing needful-propriety.]	false	704.85	722.01	20.351364
