5918_46890_000000_000000	CHAPTER TEN.	CHAPTER TEN.	true	18.27	19.36	25.847464
5918_46890_000001_000000	CHASED BY PIRATES.	CHASED BY PIRATES.	true	19.55	21.22	25.939198
5918_46890_000002_000000	The weather now rapidly became finer, and the ocean, no longer lashed into fury by the breath of the tempest, subsided once more into long regular undulations.	The weather now rapidly became finer, and the ocean, no longer lashed into fury by the breath of the tempest, subsided once more into long regular undulations.	true	22.37	33.64	23.0212
5918_46890_000002_000001	The wind hauled gradually more round from the northward too, and blew warm and balmy; a most welcome change after the raw and chilly weather we had lately experienced.	The wind hauled gradually more round from the northward too, and blew warm and balmy; a most welcome change after the raw and chilly weather we had lately experienced.	true	34.07	43.96	22.161411
5918_46890_000003_000000	We once more cracked on sail upon the little _Water Lily_; and on the morning following that upon which we filled away upon our course, finding by observation that we were well clear of the Cape, and that we had plenty of room even should the wind once more back round from the westward, we hauled close-up, and stood away on a nor'-west-and-by- westerly course.	We once more cracked on sail upon the little underscore Water Lily underscore; and on the morning following that upon which we filled away upon our course, finding by observation that we were well clear of the Cape, and that we had plenty of room even should the wind once more back round from the westward, we hauled close-up, and stood away on a nor'-west and by westerly course.	false	44.51	63.97	22.85785
5918_46890_000004_000000	Nothing of importance occurred for more than a week.	Nothing of importance occurred for more than a week.	true	64.52	67.24	21.916128
5918_46890_000004_000001	The weather continued settled, and the glass stood high; the wind was out at about north, and sufficiently moderate to permit of our carrying our jib- headed topsail; and day after day we flew forward upon our course, seldom making less than ten knots in the hour, and occasionally reaching as high as thirteen.	The weather continued settled, and the glass stood high; the wind was out at about north, and sufficiently moderate to permit of our carrying our jib headed topsail; and day after day we flew forward upon our course, seldom making less than ten knots in the hour, and occasionally reaching as high as thirteen.	false	67.34	84.94	22.893888
5918_46890_000005_000000	We were perfectly jubilant; for having rounded the Cape in safety we now considered our troubles over and our ultimate success as certain.	We were perfectly jubilant; for having rounded the Cape in safety we now considered our troubles over and our ultimate success as certain.	false	85.58	93.7	22.625937
5918_46890_000005_000001	We were fairly in the Pacific, the region of fine weather; and our little barkie had behaved so well in the gale that our confidence in her seaworthiness was thoroughly established; so that all fear of future danger from bad weather was completely taken off our minds.	We were fairly in the Pacific, the region of fine weather; and our little barkie had behaved so well in the gale that our confidence in her seaworthiness was thoroughly established; so that all fear of future danger from bad weather was completely taken off our minds.	true	94.16	109.96	21.833942
5918_46890_000006_000000	One morning, the wind having fallen considerably lighter during the preceding night, as soon as breakfast was over I roused up our square- headed topsail, with the intention of setting it in the room of the small one.	One morning, the wind having fallen considerably lighter during the preceding night, as soon as breakfast was over I roused up our square headed topsail, with the intention of setting it in the room of the small one.	true	110.84	122.23	21.734137
5918_46890_000007_000000	But when I proceeded to take the latter in, I found that the halliards were somehow jammed aloft, and I shinned up to clear them.	But when I proceeded to take the latter in, I found that the halliards were somehow jammed aloft, and I shinned up to clear them.	true	122.72	130.53	24.743925
5918_46890_000007_000001	No sailor, if he really be a _seaman_, and not a tinker or a tailor, ever goes aloft without taking a good look round him; so after I had cleared the halliards I clung to the slim spar for a minute or two whilst I swept the horizon carefully around.	No sailor, if he really be a underscore seaman underscore, and not a tinker or a tailor, ever goes aloft without taking a good look round him; so after I had cleared the halliards I clung to the slim spar for a minute or two whilst I swept the horizon carefully around.	false	130.53	130.59	8
5918_46890_000008_000000	"Sail ho!" shouted I, as I caught a glimpse of the royals of a vessel gleaming snowy white in the brilliant sunshine far away in the south- western board.	"Sail ho!" shouted I, as I caught a glimpse of the royals of a vessel gleaming snowy white in the brilliant sunshine far away in the south western board.	true	130.59	141.1	19.07276
5918_46890_000009_000000	"Where away?" shouted Bob.	"Where away?" shouted Bob.	true	141.26	143.86	19.123667
5918_46890_000010_000000	"Broad on our lee-bow," I answered, still clinging to the thin wire topmast shrouds.	"Broad on our lee bow," I answered, still clinging to the thin wire topmast shrouds.	true	144.02	150.04	21.677584
5918_46890_000011_000000	"What d'ye make her out to be, Harry, my lad?" was the next question.	"What d'ye make her out to be, Harry, my lad?" was the next question.	true	150.77	154.96	22.103752
5918_46890_000012_000000	"Either a barque or a brig," answered I; "the latter I am inclined to believe, though he is still too far away for his mizzen-mast to show, if he has one."	"Either a barque or a brig," answered I; "the latter I am inclined to believe, though he is still too far away for his mizzen mast to show, if he has one."	true	155.12	164.83	22.300598
5918_46890_000013_000000	"Why d'ye think it's a brig, Harry?" queried Bob.	"Why d'ye think it's a brig, Harry?" queried Bob.	true	165.2	168.49	23.681482
5918_46890_000014_000000	"His canvas looks too small for that of a barque," replied I, as I slid down on deck, having seen all that it was possible to see at present.	"His canvas looks too small for that of a barque," replied I, as I slid down on deck, having seen all that it was possible to see at present.	false	168.86	176.74	21.282633
5918_46890_000015_000000	"Then it's that murderin' _Albatross_ again, for a thousand," ejaculated Bob, in a tone of deep disgust.	"Then it's that murderin' underscore Albatross underscore again, for a thousand," ejaculated Bob, in a tone of deep disgust.	false	176.78	183.52	22.815718
5918_46890_000015_000001	"That's just the p'int where he might reasonably be looked for.	"That's just the p'int where he might reasonably be looked for.	false	183.56	186.94	24.54943
5918_46890_000015_000002	He made sail long enough afore we did, a'ter the gale had blowed itself out, and consequently got a good long leg to the west'ard of us; but as we've been steering perhaps a couple of p'ints higher than he has for most of the time since, we've overhauled him; and now he's come round to go to the nor'ard, and we've fallen in with him once more."	He made sail long enough afore we did, a'ter the gale had blowed itself out, and consequently got a good long leg to the west'ard of us; but as we've been steering perhaps a couple of p'ints higher than he has for most of the time since, we've overhauled him; and now he's come round to go to the nor'ard, and we've fallen in with him once more."	false	187.19	204.4	22.566925
5918_46890_000016_000000	I was inclined to take the same view of the matter that Bob did.	I was inclined to take the same view of the matter that Bob did.	true	204.71	208.18	22.04859
5918_46890_000016_000001	It is true that when once a ship passes out of sight at sea you can never be sure of her exact position afterwards; yet, under certain circumstances, taking the direction of the wind and the state of the weather as data upon which to base your argument, and, in conjunction with these, the course the vessel was steering when last seen, or the part of the world to which you have reason to believe she is bound, it is astonishing how near a guess may be and is not unfrequently made as to her whereabouts.	It is true that when once a ship passes out of sight at sea you can never be sure of her exact position afterwards; yet, under certain circumstances, taking the direction of the wind and the state of the weather as data upon which to base your argument, and, in conjunction with these, the course the vessel was steering when last seen, or the part of the world to which you have reason to believe she is bound, it is astonishing how near a guess may be and is not unfrequently made as to her whereabouts.	true	208.4	235.09	22.218111
5918_46890_000017_000000	Now we knew that the _Albatross_ was bound to the Pacific when we last saw her, because she was then hove-to, evidently with the intention of maintaining as weatherly a position as possible.	Now we knew that the underscore Albatross underscore was bound to the Pacific when we last saw her, because she was then hove to, evidently with the intention of maintaining as weatherly a position as possible.	false	236.24	247.485	21.141068
5918_46890_000017_000001	Had she been bound to the eastward, the weather was not so bad at that time as to have prevented her scudding before it, which she undoubtedly would have done under such circumstances, making a fair wind of it.	Had she been bound to the eastward, the weather was not so bad at that time as to have prevented her scudding before it, which she undoubtedly would have done under such circumstances, making a fair wind of it.	true	247.485	257.95	21.548138
5918_46890_000018_000000	At the same time there was of course a possibility of our being mistaken as to the craft in sight being the pirate-brig, it being by no means an unusual thing for vessels as small as she was, or even smaller, to venture round the Cape.	At the same time there was of course a possibility of our being mistaken as to the craft in sight being the pirate brig, it being by no means an unusual thing for vessels as small as she was, or even smaller, to venture round the Cape.	true	258.23	272.14	21.037115
5918_46890_000019_000000	"Well," said I, "perhaps it will be safest, Bob, to assume for the present that this brig _is_ the _Albatross_.	"Well," said I, "perhaps it will be safest, Bob, to assume for the present that this brig underscore is underscore the underscore Albatross underscore.	false	272.27	279.84	22.446867
5918_46890_000019_000001	What, under such circumstances, is your advice?"	What, under such circumstances, is your advice?"	true	279.84	282.46	22
5918_46890_000020_000000	"Which of us has the weather-gauge, d'ye think?" queried Bob.	"Which of us has the weather gauge, d'ye think?" queried Bob.	true	283.43	286.78	21.011015
5918_46890_000021_000000	"It is rather difficult to decide at present," I replied.	"It is rather difficult to decide at present," I replied.	false	287.27	290.1	22.86019
5918_46890_000021_000001	"Much depends upon which of us is the fastest.	"Much depends upon which of us is the fastest.	false	290.1	292.69	22.170694
5918_46890_000021_000002	If we are both going at about the same speed, I should say we shall pass extremely close to her."	If we are both going at about the same speed, I should say we shall pass extremely close to her."	true	293.03	298.6	22.346079
5918_46890_000022_000000	"How is she heading, Harry?" was the next question.	"How is she heading, Harry?" was the next question.	true	298.94	301.66	20.397713
5918_46890_000023_000000	"To the northward, rather edging down towards us, if anything, I thought."	"To the northward, rather edging down towards us, if anything, I thought."	true	302.36	306.39	21.618088
5918_46890_000024_000000	"Ay, ay," chuckled Bob, "it ain't _every_ craft as can stick her bowsprit into the wind's eye like this here little barkie.	"Ay, ay," chuckled Bob, "it ain't underscore every underscore craft as can stick her bowsprit into the wind's eye like this here little barkie.	false	306.39	314.05	24.13584
5918_46890_000024_000001	Now I dare swear he's jammed hard up upon a taut bowline, and here _we_ are going as close to the wind as he is, and every thread ramping full.	Now I dare swear he's jammed hard up upon a taut bowline, and here underscore we underscore are going as close to the wind as he is, and every thread ramping full.	false	314.36	323.64	23.355639
5918_46890_000024_000002	Take hold of her a minute, Hal, and let's see what these old eyes of mine can tell us about the stranger."	Take hold of her a minute, Hal, and let's see what these old eyes of mine can tell us about the stranger."	false	323.64	329.89	22.734356
5918_46890_000025_000000	I took hold of the tiller, and Bob went aloft with the deliberation of the seaman who is in no particular hurry.	I took hold of the tiller, and Bob went aloft with the deliberation of the seaman who is in no particular hurry.	false	330.26	336.43	22.465622
5918_46890_000025_000001	Having reached the cross- trees, he stood upon them, with one hand grasping the peak-halliards to steady himself, whilst with the other he shaded his eyes.	Having reached the cross trees, he stood upon them, with one hand grasping the peak halliards to steady himself, whilst with the other he shaded his eyes.	true	336.89	345.49	22.135723
5918_46890_000026_000000	"I see her, I see her," he exclaimed; "we're raising her fast, Harry, my boy; and in another half-hour or so we shall see her from the deck." He then went as high as the yard of the topsail, and clung there for a good five minutes, reading all the signs which a seaman sees in the almost imperceptible peculiarities of rig, shape of sails, etcetera.	"I see her, I see her," he exclaimed; "we're raising her fast, Harry, my boy; and in another half hour or so we shall see her from the deck." He then went as high as the yard of the topsail, and clung there for a good five minutes, reading all the signs which a seaman sees in the almost imperceptible peculiarities of rig, shape of sails, etcetera.	false	346.19	367.12	20.898117
5918_46890_000026_000001	Having satisfied himself, he descended deliberately to the deck, evidently ruminating deeply.	Having satisfied himself, he descended deliberately to the deck, evidently ruminating deeply.	true	367.76	374.08	24.498816
5918_46890_000027_000000	"Now I'll tell ye what I think of the matter, Harry," said he, as he came aft and seated himself beside me.	"Now I'll tell ye what I think of the matter, Harry," said he, as he came aft and seated himself beside me.	false	374.3	379.33	22.11737
5918_46890_000027_000001	"There's a familiar sort of a look with that craft away yonder; I seems to recognise her as some'at I've seen afore; and I've no moral doubt in the world but what it's that villain Johnson, although we can't be _sartain_ of it until we gets a nearer look at her.	"There's a familiar sort of a look with that craft away yonder; I seems to recognise her as some'at I've seen afore; and I've no moral doubt in the world but what it's that villain Johnson, although we can't be underscore sartain underscore of it until we gets a nearer look at her.	false	379.58	393.7	22.262888
5918_46890_000027_000002	And I've an idee that, if anything, it's _we_ that's got the weather-gauge; and if _so_, by all means keep it, even if we has to run the gauntlet of her broadside for a minute or two.	And I've an idee that, if anything, it's underscore we underscore that's got the weather gauge; and if underscore so underscore, by all means keep it, even if we has to run the gauntlet of her broadside for a minute or two.	false	393.92	403.33	22.333626
5918_46890_000027_000003	Once let's be to wind'ard, and in such weather as this I wouldn't fear the smartest _square-rigged_ craft that ever was launched.	Once let's be to wind'ard, and in such weather as this I wouldn't fear the smartest underscore square rigged underscore craft that ever was launched.	false	403.61	409.99	20.332481
5918_46890_000027_000004	We could lead 'em no end of a dance, and then give 'em the slip a'terwards when we was tired of the fun.	We could lead 'em no end of a dance, and then give 'em the slip a'terwards when we was tired of the fun.	false	410.06	414.79	22.508572
5918_46890_000027_000005	So my advice is to luff up as close as you can; not _too_ close ye know, lad; let her go through it; but spring your luff all as you can get, and let's try what our friend yonder is made of.	So my advice is to luff up as close as you can; not underscore too underscore close ye know, lad; let her go through it; but spring your luff all as you can get, and let's try what our friend yonder is made of.	false	415.1	425.53	20.933374
5918_46890_000027_000006	As long as we're to _leeward_ of him the game is _his_; but let's get to _wind'ard_ of him and it's _ours_ to do what we like with it."	As long as we're to underscore leeward underscore of him the game is underscore his underscore; but let's get to underscore wind'ard underscore of him and it's underscore ours underscore to do what we like with it."	false	425.69	432.13	22.240845
5918_46890_000028_000000	I had it in my mind to take in all the canvas and lie _perdu_ until the brig had crossed our course and was well out of our road to the northward; but that would still be leaving him the weather-gauge; and I saw fully as clearly as Bob did the advantage of obtaining this, if possible; so on we stood, boldly, lying a good point higher than we had been before steering, yet keeping every sail a good clean full, and drawing to perfection.	I had it in my mind to take in all the canvas and lie underscore perdu underscore until the brig had crossed our course and was well out of our road to the northward; but that would still be leaving him the weather gauge; and I saw fully as clearly as Bob did the advantage of obtaining this, if possible; so on we stood, boldly, lying a good point higher than we had been before steering, yet keeping every sail a good clean full, and drawing to perfection.	false	432.56	458.68	23.150127
5918_46890_000029_000000	The wind, however, was dropping fast; and by the time that the sun was on the meridian we were not going more than five knots.	The wind, however, was dropping fast; and by the time that the sun was on the meridian we were not going more than five knots.	true	459.56	466.72	22.103819
5918_46890_000029_000001	This made me extremely anxious; more particularly as the stranger proved a remarkably fast vessel; so much _so_, that it still remained a matter of doubt which of us would cross the other.	This made me extremely anxious; more particularly as the stranger proved a remarkably fast vessel; so much underscore so underscore, that it still remained a matter of doubt which of us would cross the other.	false	467.24	478.57	22.007435
5918_46890_000030_000000	Bob, on the other hand, was delighted beyond measure, stoutly avowing that the falling breeze was little, if anything, short of a divine manifestation in our favour.	Bob, on the other hand, was delighted beyond measure, stoutly avowing that the falling breeze was little, if anything, short of a divine manifestation in our favour.	true	478.97	488.38	21.413877
5918_46890_000030_000001	He declared himself ready to stake all he was possessed of in the world (and if the brig should turn out to be the pirate, he actually _was_ staking his life) on our speed as against that of the stranger in light winds, and was already chuckling in anticipation over that craft's discomfiture.	He declared himself ready to stake all he was possessed of in the world (and if the brig should turn out to be the pirate, he actually underscore was underscore staking his life) on our speed as against that of the stranger in light winds, and was already chuckling in anticipation over that craft's discomfiture.	false	488.9	504.85	22.762135
5918_46890_000031_000000	She was within about five miles of us, still maintaining her relative position of about four points on our lee-bow, when Bob served dinner on deck, as was our custom in fine weather.	She was within about five miles of us, still maintaining her relative position of about four points on our lee bow, when Bob served dinner on deck, as was our custom in fine weather.	false	505.25	516.22	23.133308
5918_46890_000032_000000	We were very busy with the viands, keeping one eye always on the brig however, when we noticed something fluttering over her taffrail; and the next moment a flag of some sort floated up to her peak.	We were very busy with the viands, keeping one eye always on the brig however, when we noticed something fluttering over her taffrail; and the next moment a flag of some sort floated up to her peak.	true	516.65	528.46	23.1076
