4800_73728_000000_000000	'You must pour a libation,' he said, 'to the nymph of the fane.'	'You must pour a libation,' he said, 'to the nymph of the fane.'	false	0	23.145	22.741901
4800_73728_000001_000000	CHAPTER IV.	CHAPTER four.	true	23.145	24.12	19.612558
4800_73728_000002_000000	_Showing That It Is the First Step That Is Ever the Most Difficult_.	underscore Showing That It Is the First Step That Is Ever the Most Difficult underscore.	false	24.12	31.56	20.283249
4800_73728_000003_000000	ABOUT a week after this visit to the villa, Mr. Temple and his daughter were absolutely induced to accompany Lord Montfort to Rome.	ABOUT a week after this visit to the villa, mr Temple and his daughter were absolutely induced to accompany Lord Montfort to Rome.	true	31.56	39.46	18
4800_73728_000003_000001	It is impossible to do justice to the tender solicitude with which he made all the arrangements for the journey.	It is impossible to do justice to the tender solicitude with which he made all the arrangements for the journey.	true	40.04	46.63	14
4800_73728_000003_000002	Wherever they halted they found preparations for their reception; and so admirably had everything been concerted, that Miss Temple at length found herself in the Eternal City with almost as little fatigue as she had reached the Tuscan villa.	Wherever they halted they found preparations for their reception; and so admirably had everything been concerted, that Miss Temple at length found herself in the Eternal City with almost as little fatigue as she had reached the Tuscan villa.	true	47.69	62.41	19
4800_73728_000004_000000	The palace of Lord Montfort was in the most distinguished quarter of the city, and situate in the midst of vast gardens full of walls of laurel, arches of ilex, and fountains of lions.	The palace of Lord Montfort was in the most distinguished quarter of the city, and situate in the midst of vast gardens full of walls of laurel, arches of ilex, and fountains of lions.	true	63.71	74.83	16
4800_73728_000004_000001	They arrived at twilight, and the shadowy hour lent even additional space to the huge halls and galleries.	They arrived at twilight, and the shadowy hour lent even additional space to the huge halls and galleries.	true	75.83	82.69	15
4800_73728_000004_000002	Yet in the suite of rooms intended for Mr. Temple and his daughter, every source of comfort seemed to have been collected.	Yet in the suite of rooms intended for mr Temple and his daughter, every source of comfort seemed to have been collected.	true	83.42	90.34	15
4800_73728_000004_000003	The marble floors were covered with Indian mats and carpets, the windows were well secured from the air which might have proved fatal to an invalid, while every species of chair and couch, and sofa, courted the languid or capricious form of Miss Temple, and she was even favoured with an English stove, and guarded by an Indian screen.	The marble floors were covered with Indian mats and carpets, the windows were well secured from the air which might have proved fatal to an invalid, while every species of chair and couch, and sofa, courted the languid or capricious form of Miss Temple, and she was even favoured with an English stove, and guarded by an Indian screen.	true	91.19	112.03	16
4800_73728_000004_000004	The apartments were supplied with every book which it could have been supposed might amuse her; there were guitars of the city and of Florence, and even an English piano; a library of the choicest music; and all the materials of art.	The apartments were supplied with every book which it could have been supposed might amuse her; there were guitars of the city and of Florence, and even an English piano; a library of the choicest music; and all the materials of art.	true	113.12	129.07	21.229755
4800_73728_000004_000005	The air of elegance and cheerful comfort that pervaded these apartments, so unusual in this land, the bright blaze of the fire, evert the pleasant wax-lights, all combined to deprive the moment of that feeling of gloom and exhaustion which attends an arrival at a strange place at a late hour, and Henrietta looked around her, and almost fancied she was once more at Ducie.	The air of elegance and cheerful comfort that pervaded these apartments, so unusual in this land, the bright blaze of the fire, evert the pleasant wax lights, all combined to deprive the moment of that feeling of gloom and exhaustion which attends an arrival at a strange place at a late hour, and Henrietta looked around her, and almost fancied she was once more at Ducie.	false	129.59	152.86	20.555262
4800_73728_000004_000006	Lord Montfort introduced his fellow-travellers to their apartments, presented to them the servant who was to assume the management of their little household, and then reminding them of their mutual promises that they were to be entirely their own masters, and not trouble themselves about him any more than if they were at Pisa, he shook them both by the hand, and bade them good-night.	Lord Montfort introduced his fellow travellers to their apartments, presented to them the servant who was to assume the management of their little household, and then reminding them of their mutual promises that they were to be entirely their own masters, and not trouble themselves about him any more than if they were at Pisa, he shook them both by the hand, and bade them good night.	true	153.74	175.09	13
4800_73728_000005_000000	It must be confessed that the acquaintance of Lord Montfort had afforded consolation to Henrietta Temple.	It must be confessed that the acquaintance of Lord Montfort had afforded consolation to Henrietta Temple.	true	176.54	182.26	17
4800_73728_000005_000001	It was impossible to be insensible to the sympathy and solicitude of one so highly gifted and so very amiable. Nor should it be denied that this homage, from one of his distinguished rank, was entirely without its charm.	It was impossible to be insensible to the sympathy and solicitude of one so highly gifted and so very amiable. Nor should it be denied that this homage, from one of his distinguished rank, was entirely without its charm.	false	182.6	197.11	20.51699
