8848_293963_000002_000000	CHAPTER XXIII	CHAPTER twenty three
8848_293963_000003_000000	A YEAR LATER	A YEAR LATER
8848_293963_000004_000000	It was midsummer, and Miss Berengaria's garden was a sight.	It was midsummer, and Miss Berengaria's garden was a sight.
8848_293963_000004_000001	Such splendid colors, such magnificent blossoms, such triumphs of the floricultural art, had never been seen outside the walls of a flower show.	Such splendid colors, such magnificent blossoms, such triumphs of the floricultural art, had never been seen outside the walls of a flower show.
8848_293963_000004_000002	The weather was exceedingly warm, and on this particular day there was not a cloud in the sky.	The weather was exceedingly warm, and on this particular day there was not a cloud in the sky.
8848_293963_000004_000004	And well she might be, for this was a red-letter day with her.	And well she might be, for this was a red letter day with her.
8848_293963_000005_000001	She looked particularly pretty, and her face was a most becoming color.	She looked particularly pretty, and her face was a most becoming color.
8848_293963_000006_000000	"The train won't be here for another hour," he said, smiling.	"The train won't be here for another hour," he said, smiling.
8848_293963_000006_000001	"You will see Bernard soon enough, Miss Malleson."	"You will see Bernard soon enough, Miss Malleson."
8848_293963_000007_000000	"Oh, dear me," sighed Alice, "can I ever see him soon enough?	"Oh, dear me," sighed Alice, "can I ever see him soon enough?
8848_293963_000007_000002	I wish he hadn't gone."	I wish he hadn't gone."
8848_293963_000008_000000	"Well," said Durham, following with his eyes the spare little figure of Miss Berengaria flitting about amongst the flowers, "I didn't approve of it at the time, and I told Conniston so.	"Well," said Durham, following with his eyes the spare little figure of Miss Berengaria flitting about amongst the flowers, "I didn't approve of it at the time, and I told Conniston so.
8848_293963_000008_000001	But now I think it was just as well Bernard did keep to his original intention and go to the Front.	But now I think it was just as well Bernard did keep to his original intention and go to the Front.
8848_293963_000008_000002	It is advisable there should be an interval between the new life and the old."	It is advisable there should be an interval between the new life and the old."
8848_293963_000009_000000	"The new life?" asked Alice, flushing.	"The new life?" asked Alice, flushing.
8848_293963_000010_000000	"He is coming home to be married to you," said Durham.	"He is coming home to be married to you," said Durham.
8848_293963_000011_000001	"I shall have to nurse him back to health before we can marry."	"I shall have to nurse him back to health before we can marry."
8848_293963_000012_000000	"Miss Randolph will be occupied in the same pleasing task with Conniston," replied Durham, lazily, "and I envy both my friends."	"Miss Randolph will be occupied in the same pleasing task with Conniston," replied Durham, lazily, "and I envy both my friends."
8848_293963_000013_000000	"You needn't," laughed Miss Malleson, opening her sunshade which cast a delicate pink hue on her cheeks.	"You needn't," laughed Miss Malleson, opening her sunshade which cast a delicate pink hue on her cheeks.
8848_293963_000013_000001	"Poor Bernard has been wounded and Lord Conniston has been down with enteric fever."	"Poor Bernard has been wounded and Lord Conniston has been down with enteric fever."
8848_293963_000014_000000	"I am glad they have got off so easily.	"I am glad they have got off so easily.
8848_293963_000015_000000	Alice shuddered and grew pale.	Alice shuddered and grew pale.
8848_293963_000015_000001	"Don't, Mr. Durham!"	"Don't, mr Durham!"
8848_293963_000016_000000	"That was why I feared about his going out," said he.	"That was why I feared about his going out," said he.
8848_293963_000016_000001	"I thought it would be a pity, after all he passed through, that he should be killed by a Boer bullet.	"I thought it would be a pity, after all he passed through, that he should be killed by a Boer bullet.
8848_293963_000017_000000	"And Lord Conniston?"	"And Lord Conniston?"
8848_293963_000018_000000	"He is coming also to marry Miss Randolph.	"He is coming also to marry Miss Randolph.
8848_293963_000018_000001	Both weddings will take place on the same day, and Conniston has escaped the dangers of the war with a slight touch of fever.	Both weddings will take place on the same day, and Conniston has escaped the dangers of the war with a slight touch of fever.
8848_293963_000018_000002	But why tell you all this--you know it as well as I do."	But why tell you all this-you know it as well as I do."
