7498_99156_000002_000000	META MOLLER.	META MOLLER.
7498_99156_000003_000000	[1750.]	[seventeen fifty.]
7498_99156_000004_000000	LETTERS.	LETTERS.
7498_99156_000005_000000	Klopstock first beheld Meta Moeller in passing through Hamburg in April 1751.	Klopstock first beheld Meta Moeller in passing through Hamburg in april seventeen fifty one.
7498_99156_000005_000001	In a letter to one of his friends, written soon after this, he describes her as mistress of the French, English, and Italian languages, and even conversant with Greek and Latin literature.	In a letter to one of his friends, written soon after this, he describes her as mistress of the French, English, and Italian languages, and even conversant with Greek and Latin literature.
7498_99156_000005_000003	Their marriage took place about three years afterwards.	Their marriage took place about three years afterwards.
7498_99156_000005_000004	Here is Meta's own narrative of the rise and course of their true love, given in one of her letters to Richardson, a narrative which will bear a hundred readings, and a hundred more after that, and still be as fresh and as touching as ever:--	Here is Meta's own narrative of the rise and course of their true love, given in one of her letters to Richardson, a narrative which will bear a hundred readings, and a hundred more after that, and still be as fresh and as touching as ever:--
7498_99156_000006_000000	"You will know all what concerns me.	"You will know all what concerns me.
7498_99156_000006_000001	Love, dear sir, is all what me concerns.	Love, dear sir, is all what me concerns.
7498_99156_000006_000002	And love shall be all what I will tell you in this letter.	And love shall be all what I will tell you in this letter.
7498_99156_000006_000003	In one happy night I read my husband's poem, 'The Messiah.' I was extremely touched with it.	In one happy night I read my husband's poem, 'The Messiah.' I was extremely touched with it.
7498_99156_000006_000004	The next day I asked one of his friends who was the author of this poem, and this was the first time I heard Klopstock's name.	The next day I asked one of his friends who was the author of this poem, and this was the first time I heard Klopstock's name.
7498_99156_000006_000005	I believe I fell immediately in love with him.	I believe I fell immediately in love with him.
7498_99156_000006_000006	At the least, my thoughts were ever with him filled, especially because his friend told me very much of his character.	At the least, my thoughts were ever with him filled, especially because his friend told me very much of his character.
7498_99156_000006_000007	But I had no hopes ever to see him, when quite unexpectedly I heard that he should pass through Hamburg.	But I had no hopes ever to see him, when quite unexpectedly I heard that he should pass through Hamburg.
7498_99156_000006_000008	I wrote immediately to the same friend, for procuring, by his means, that I might see the author of the 'Messiah' when in Hamburg.	I wrote immediately to the same friend, for procuring, by his means, that I might see the author of the 'Messiah' when in Hamburg.
7498_99156_000006_000009	He told him that a certain girl in Hamburg wished to see him, and for all recommendation showed him some letters in which I made bold to criticise Klopstock's verses.	He told him that a certain girl in Hamburg wished to see him, and for all recommendation showed him some letters in which I made bold to criticise Klopstock's verses.
7498_99156_000006_000010	Klopstock came, and came to me.	Klopstock came, and came to me.
7498_99156_000006_000011	I must confess that, though greatly prepossessed of his qualities, I never thought him the amiable youth whom I found him.	I must confess that, though greatly prepossessed of his qualities, I never thought him the amiable youth whom I found him.
7498_99156_000006_000012	This made its effect.	This made its effect.
7498_99156_000006_000013	After having seen him for two hours I was obliged to pass the evening in a company which never had been so wearisome to me.	After having seen him for two hours I was obliged to pass the evening in a company which never had been so wearisome to me.
7498_99156_000006_000014	I could not speak.	I could not speak.
7498_99156_000006_000015	I could not play.	I could not play.
7498_99156_000007_000000	"I saw him the next day, and the following, and we were very seriously friends.	"I saw him the next day, and the following, and we were very seriously friends.
7498_99156_000007_000001	But the fourth day he departed!	But the fourth day he departed!
7498_99156_000007_000002	He wrote soon after, and from that time our correspondence began to be a very diligent one.	He wrote soon after, and from that time our correspondence began to be a very diligent one.
