4967_3586_000000_000000	"Oh, dear Mrs. Pepper," said Mrs. Whitney, laying her hand on hers.	"Oh, dear mrs Pepper," said mrs Whitney, laying her hand on hers.	false	0	4.83	21.8046
4967_3586_000000_000001	"Can you doubt it?"	"Can you doubt it?"	false	4.83	6.42	17.84668
4967_3586_000001_000000	"Then," said Mr. King, getting up, but still holding on to Phronsie, "we'll consider it settled.	"Then," said mr King, getting up, but still holding on to Phronsie, "we'll consider it settled.	false	6.42	12.87	20.273386
4967_3586_000001_000001	This is your home, children," he said, waving his hand at the five little Peppers in a bunch.	This is your home, children," he said, waving his hand at the five little Peppers in a bunch.	false	12.87	21.195	22.44834
4967_3586_000001_000002	And having thus summarily disposed of the whole business, he marched out with Phronsie on his shoulder.	And having thus summarily disposed of the whole business, he marched out with Phronsie on his shoulder.	false	21.195	26.34	21
4967_3586_000002_000000	POLLY'S DISMAL MORNING	POLLY'S DISMAL MORNING	true	26.34	28.66	18.51252
4967_3586_000003_000000	Everything had gone wrong with Polly that day.	Everything had gone wrong with Polly that day.	true	29.48	32.47	20
4967_3586_000003_000001	It began with her boots.	It began with her boots.	true	32.78	34.62	20
4967_3586_000004_000000	Of all things in the world that tried Polly's patience most were the troublesome little black buttons that originally adorned those useful parts of her clothing, and that were fondly supposed to be there when needed.	Of all things in the world that tried Polly's patience most were the troublesome little black buttons that originally adorned those useful parts of her clothing, and that were fondly supposed to be there when needed.	true	34.62	48.76	21.409943
4967_3586_000004_000001	But they never were.	But they never were.	true	48.86	50.22	21.99617
4967_3586_000004_000002	The little black things seemed to be invested with a special spite, for one by one they would hop off on the slightest provocation, and go rolling over the floor, just when she was in her most terrible hurry, compelling her to fly for needle and thread on the instant.	The little black things seemed to be invested with a special spite, for one by one they would hop off on the slightest provocation, and go rolling over the floor, just when she was in her most terrible hurry, compelling her to fly for needle and thread on the instant.	false	50.22	68.35	21.211891
4967_3586_000004_000003	For one thing Mrs. Pepper was very strict about--and that was, Polly should do nothing else till the buttons were all on again, and the boots buttoned up firm and snug.	For one thing mrs Pepper was very strict about-and that was, Polly should do nothing else till the buttons were all on again, and the boots buttoned up firm and snug.	true	68.81	80.41	23.262304
4967_3586_000005_000000	"Oh dear!" said Polly, sitting down on the floor, and pulling on her stockings.	"Oh dear!" said Polly, sitting down on the floor, and pulling on her stockings.	true	81.23	87.52	20.408497
4967_3586_000005_000001	"There now, see that hateful old shoe, mamsie!" And she thrust out one foot in dismay.	"There now, see that hateful old shoe, mamsie!" And she thrust out one foot in dismay.	false	88.37	95.32	19.664442
4967_3586_000006_000000	"What's the matter with it?" said Mrs. Pepper straightening the things on the bureau.	"What's the matter with it?" said mrs Pepper straightening the things on the bureau.	true	96.29	101.56	22.288172
4967_3586_000006_000001	"You haven't worn it out already, Polly?"	"You haven't worn it out already, Polly?"	true	101.96	104.44	20.872637
4967_3586_000007_000000	"Oh no," said Polly, with a little laugh.	"Oh no," said Polly, with a little laugh.	true	105.05	108.4	16.450018
4967_3586_000007_000001	"I hope not yet, but it's these dreadful hateful old buttons!" And she twitched the boot off from her foot with such an impatient little pull, that three or four more went flying under the bed.	"I hope not yet, but it's these dreadful hateful old buttons!" And she twitched the boot off from her foot with such an impatient little pull, that three or four more went flying under the bed.	false	108.68	121.39	22.076235
4967_3586_000007_000002	"There now--there's a lot more.	"There now-there's a lot more.	true	121.52	123.48	19.494493
4967_3586_000007_000003	I don't care! I wish they'd all go; they might as well!" she cried, tossing that boot on the floor in intense scorn, while she investigated the state of the other one.	I don't care! I wish they'd all go; they might as well!" she cried, tossing that boot on the floor in intense scorn, while she investigated the state of the other one.	true	123.48	134.22	21.678009
4967_3586_000008_000000	"Are they all off?" asked Phronsie, pulling herself up out of a little heap in the middle of the bed, and leaning over the side, where she viewed Polly sorrowfully.	"Are they all off?" asked Phronsie, pulling herself up out of a little heap in the middle of the bed, and leaning over the side, where she viewed Polly sorrowfully.	false	134.22	145.57	20.818537
4967_3586_000008_000001	"Every one, Polly?"	"Every one, Polly?"	true	146.12	147.82	20.376186
4967_3586_000009_000000	"No," said Polly, "but I wish they were, mean old things; when I was going down to play a duet with Jasper!	"No," said Polly, "but I wish they were, mean old things; when I was going down to play a duet with Jasper!	true	148.43	155.83	21.760792
4967_3586_000009_000001	We should have had a good long time before breakfast.	We should have had a good long time before breakfast.	false	156.08	159.37	21.899364
4967_3586_000009_000002	Oh, mayn't I go just once, mamsie?	Oh, mayn't I go just once, mamsie?	true	159.83	162.94	18
4967_3586_000009_000003	Nobody'll see me if I tuck my foot under the piano; and I can sew 'em on afterwards--there'll be plenty of time.	Nobody'll see me if I tuck my foot under the piano; and I can sew 'em on afterwards-there'll be plenty of time.	false	163.1	169.77	16
4967_3586_000009_000004	Do, just once, mamsie!"	Do, just once, mamsie!"	false	169.77	172.12	23.504417
4967_3586_000010_000000	"No," said Mrs. Pepper firmly, "there isn't any time but now.	"No," said mrs Pepper firmly, "there isn't any time but now.	true	172.79	178.24	22.242643
4967_3586_000010_000001	And piano playing isn't very nice when you've got to stick your toes under it to keep your shoes on."	And piano playing isn't very nice when you've got to stick your toes under it to keep your shoes on."	true	178.43	183.58	22
4967_3586_000011_000000	"Well then," grumbled Polly, hopping around in her stocking-feet, "where is the work-basket, mamsie?	"Well then," grumbled Polly, hopping around in her stocking feet, "where is the work basket, mamsie?	false	183.98	190.56	20.771524
4967_3586_000011_000001	Oh--here it is on the window-seat." A rattle of spools, scissors and necessary utensils showed plainly that Polly had found it, followed by a jumble of words and despairing ejaculations as she groped hurriedly under chairs and tables to collect the scattered contents.	Oh-here it is on the window seat." A rattle of spools, scissors and necessary utensils showed plainly that Polly had found it, followed by a jumble of words and despairing ejaculations as she groped hurriedly under chairs and tables to collect the scattered contents.	true	190.56	208.6	21
4967_3586_000012_000000	When she got back with a very red face, she found Phronsie, who had crawled out of bed, sitting down on the floor in her little nightgown and examining the boot with profound interest.	When she got back with a very red face, she found Phronsie, who had crawled out of bed, sitting down on the floor in her little nightgown and examining the boot with profound interest.	true	209.18	219.79	21.637829
4967_3586_000013_000000	"I can sew 'em, Polly," she said, holding up her hand for the big needle that Polly was trying to thread--"I can now truly; let me, Polly, do!"	"I can sew 'em, Polly," she said, holding up her hand for the big needle that Polly was trying to thread-"I can now truly; let me, Polly, do!"	false	220.58	230.91	20.668846
4967_3586_000014_000000	"Dear no!" said Polly with a little laugh, beginning to be very much ashamed.	"Dear no!" said Polly with a little laugh, beginning to be very much ashamed.	false	230.91	236.625	20.292181
4967_3586_000014_000001	"What could you do with your little mites of hands pulling this big thread through that old leather?	"What could you do with your little mites of hands pulling this big thread through that old leather?	true	236.625	241.96	19
4967_3586_000014_000002	There, scamper into bed again; you'll catch cold out here.	There, scamper into bed again; you'll catch cold out here.	true	242.03	245.14	19
4967_3586_000015_000000	"Tisn't very cold," said Phronsie, tucking up her toes under the night-gown, but Polly hurried her into bed, where she curled herself up under the clothes, watching her make a big knot.	"Tisn't very cold," said Phronsie, tucking up her toes under the night gown, but Polly hurried her into bed, where she curled herself up under the clothes, watching her make a big knot.	true	245.45	257.5	21.927174
4967_3586_000015_000001	But the knot didn't stay; for when Polly drew up the long thread triumphantly to the end--out it flew, and away the button hopped again as if glad to be released.	But the knot didn't stay; for when Polly drew up the long thread triumphantly to the end-out it flew, and away the button hopped again as if glad to be released.	false	257.9	267.91	22.223667
4967_3586_000015_000002	And then the thread kinked horribly, and got all twisted up in disagreeable little snarls that took all Polly's patience to unravel.	And then the thread kinked horribly, and got all twisted up in disagreeable little snarls that took all Polly's patience to unravel.	true	268.07	276.16	21.164646
4967_3586_000016_000000	"It's because you're in such a hurry," said Mrs. Pepper, who was getting Phronsie's clothes.	"It's because you're in such a hurry," said mrs Pepper, who was getting Phronsie's clothes.	true	277.1	282.58	18.850239
4967_3586_000016_000001	And coming over across the room she got down on one knee, and looked over Polly's shoulder.	And coming over across the room she got down on one knee, and looked over Polly's shoulder.	true	283.04	287.32	19
4967_3586_000016_000002	"There now, let mother see what's the matter."	"There now, let mother see what's the matter."	true	288.23	290.89	20
4967_3586_000017_000000	"Oh dear," said Polly, resigning the needle with a big sigh, and leaning back to take a good stretch, followed by Phronsie's sympathizing eyes; "they never'll be on!	"Oh dear," said Polly, resigning the needle with a big sigh, and leaning back to take a good stretch, followed by Phronsie's sympathizing eyes; "they never'll be on!	false	291.86	304.96	21.6423
4967_3586_000017_000001	And there goes the first bell!" as the loud sounds under Jane's vigorous ringing pealed up over the stairs.	And there goes the first bell!" as the loud sounds under Jane's vigorous ringing pealed up over the stairs.	false	305	312.13	21.831364
4967_3586_000017_000002	"There won't be time anyway, now!	"There won't be time anyway, now!	true	312.74	314.92	19.513996
