6538_81859_000000_000002	Yet Beauregard and his generals were still sanguine of completing the victory.	Yet Beauregard and his generals were still sanguine of completing the victory.
6538_81859_000000_000003	Their scouts and skirmishers had failed to discover that the entire army of Buell also was now in front of them.	Their scouts and skirmishers had failed to discover that the entire army of Buell also was now in front of them.
6538_81859_000001_000002	But as they moved forward to attack the Union troops came out to meet them. Nelson had occupied the high ground between Lick and Owl Creeks, and his and the Southern troops met in a fierce clash shortly after dawn.	But as they moved forward to attack the Union troops came out to meet them. Nelson had occupied the high ground between Lick and Owl Creeks, and his and the Southern troops met in a fierce clash shortly after dawn.
6538_81859_000002_000000	Beauregard, drawn by the firing at that point, and noticing the courage and tenacity with which the Northern troops held their ground, sending in volley after volley, divined at once that these were not the beaten troops of the day before, but new men.	Beauregard, drawn by the firing at that point, and noticing the courage and tenacity with which the Northern troops held their ground, sending in volley after volley, divined at once that these were not the beaten troops of the day before, but new men.
6538_81859_000002_000001	This swarthy general, volatile and dramatic, nevertheless had great penetration.	This swarthy general, volatile and dramatic, nevertheless had great penetration.
6538_81859_000002_000002	He understood on the instant a fact that his soldiers did not comprehend until later.	He understood on the instant a fact that his soldiers did not comprehend until later.
6538_81859_000002_000003	He knew that the whole army of Buell was now before him.	He knew that the whole army of Buell was now before him.
6538_81859_000003_000003	A long and furious combat ensued.	A long and furious combat ensued.
6538_81859_000004_000000	Buell led splendid troops that he had trained long and rigidly, and they had not been in the conflict the day before.	Buell led splendid troops that he had trained long and rigidly, and they had not been in the conflict the day before.
6538_81859_000005_000001	He and Grant had reckoned that the decimated brigades of the South could not stand at all before him, but just as on the first day they came on with the fierce rebel yell, hurling themselves upon superior numbers, taking the cannon of their enemy, losing them, and retaking them and losing them again, but never yielding.	He and Grant had reckoned that the decimated brigades of the South could not stand at all before him, but just as on the first day they came on with the fierce rebel yell, hurling themselves upon superior numbers, taking the cannon of their enemy, losing them, and retaking them and losing them again, but never yielding.
6538_81859_000006_000000	The great conflict increased in violence.	The great conflict increased in violence.
6538_81859_000006_000001	Buell, a man of iron courage, saw that his soldiers must fight to the uttermost, not for victory only, but even to ward off defeat.	Buell, a man of iron courage, saw that his soldiers must fight to the uttermost, not for victory only, but even to ward off defeat.
6538_81859_000007_000000	Nine o'clock came.	Nine o'clock came.
6538_81859_000007_000006	Another battery dashed up to the relief of the men in blue.	Another battery dashed up to the relief of the men in blue.
