5935_55927_000001_000000	CHAPTER VI.	CHAPTER six.
5935_55927_000002_000000	SHIPS.	SHIPS.
5935_55927_000003_000001	The object aimed at by the owners of cargo boats will be to secure the greatest possible economy of working, combined with a moderately good rate of speed, such as may ensure shippers against having to stand out of their capital locked up in the cargo for too long a period.	The object aimed at by the owners of cargo boats will be to secure the greatest possible economy of working, combined with a moderately good rate of speed, such as may ensure shippers against having to stand out of their capital locked up in the cargo for too long a period.
5935_55927_000003_000002	Hence cheap power will become increasingly a desideratum, and the possible applications of natural sources of energy will be keenly scrutinised with a view to turning any feasible plan to advantage.	Hence cheap power will become increasingly a desideratum, and the possible applications of natural sources of energy will be keenly scrutinised with a view to turning any feasible plan to advantage.
5935_55927_000003_000003	The sailing ship, and the economic and constructive lines upon which it is built and worked, will be carefully overhauled with a view to finding how its deficiencies may be supplemented and its good points turned to account.	The sailing ship, and the economic and constructive lines upon which it is built and worked, will be carefully overhauled with a view to finding how its deficiencies may be supplemented and its good points turned to account.
5935_55927_000003_000004	One result of this renewed attention will be to confirm, for some little time, the movement which showed itself during the past decade of the nineteenth century for an increase of sailing tonnage. Sooner or later, however, it will be recognised that sail power must be largely supplemented, even on the "sailer," if it is to hold its own against steam.	One result of this renewed attention will be to confirm, for some little time, the movement which showed itself during the past decade of the nineteenth century for an increase of sailing tonnage. Sooner or later, however, it will be recognised that sail power must be largely supplemented, even on the "sailer," if it is to hold its own against steam.
5935_55927_000004_000000	For mails and passengers, on the other hand, steam must more and more decidedly assert its supremacy.	For mails and passengers, on the other hand, steam must more and more decidedly assert its supremacy.
5935_55927_000004_000001	Yet the mail-packet of the twentieth century will be very different from packets which have "made the running" towards the close of the nineteenth.	Yet the mail packet of the twentieth century will be very different from packets which have "made the running" towards the close of the nineteenth.
5935_55927_000004_000002	She will carry little or no cargo excepting specie, and goods of exceptionally high value in proportion to their weight and bulk.	She will carry little or no cargo excepting specie, and goods of exceptionally high value in proportion to their weight and bulk.
5935_55927_000004_000003	Nearly all her below-deck capacity, indeed, will be filled with machinery and fuel.	Nearly all her below deck capacity, indeed, will be filled with machinery and fuel.
5935_55927_000004_000004	She will be in other respects more like a floating hotel than the old ideal of a ship, her cellars, so to speak, being crammed with coal and her upper stories fitted luxuriously for sitting and bed rooms and brilliant with the electric light.	She will be in other respects more like a floating hotel than the old ideal of a ship, her cellars, so to speak, being crammed with coal and her upper stories fitted luxuriously for sitting and bed rooms and brilliant with the electric light.
5935_55927_000004_000006	Indeed the probability is that, on the average, the twentieth century mail-packets will be smaller, being built for speed rather than for magnificence or carrying capacity.	Indeed the probability is that, on the average, the twentieth century mail packets will be smaller, being built for speed rather than for magnificence or carrying capacity.
5935_55927_000005_000000	The turbine-engine will be the main factor in working the approaching revolution in mail steamer construction.	The turbine engine will be the main factor in working the approaching revolution in mail steamer construction.
5935_55927_000005_000001	The special reason for this will consist in the fact that only by its adoption can the conditions mentioned above be fulfilled.	The special reason for this will consist in the fact that only by its adoption can the conditions mentioned above be fulfilled.
