699_132866_000000_000000	She waived references.	She waived references.	false	0	0.51	8
699_132866_000001_000000	The two as they walked to the station in Kensington High Street could not help thinking that this way of putting it was lofty.	The two as they walked to the station in Kensington High Street could not help thinking that this way of putting it was lofty.	false	0.51	4.83	19.101192
699_132866_000001_000001	Even Mrs. Arbuthnot, spendthrift of excuses for lapses, thought Mrs. Fisher might have used other words; and Mrs. Wilkins, by the time she got to the station, and the walk and the struggle on the crowded pavement with other people's umbrellas had warmed her blood, actually suggested waiving Mrs. Fisher.	Even mrs Arbuthnot, spendthrift of excuses for lapses, thought mrs Fisher might have used other words; and mrs Wilkins, by the time she got to the station, and the walk and the struggle on the crowded pavement with other people's umbrellas had warmed her blood, actually suggested waiving mrs Fisher.	false	4.83	12.96	18.49827
699_132866_000002_000000	"If there is any waiving to be done, do let us be the ones who waive," she said eagerly.	"If there is any waiving to be done, do let us be the ones who waive," she said eagerly.	false	12.96	16.59	19.699787
699_132866_000003_000000	But Mrs. Arbuthnot, as usual, held on to Mrs. Wilkins; and presently, having cooled down in the train, Mrs. Wilkins announced that at San Salvatore Mrs. Fisher would find her level.	But mrs Arbuthnot, as usual, held on to mrs Wilkins; and presently, having cooled down in the train, mrs Wilkins announced that at San Salvatore mrs Fisher would find her level.	false	16.59	21.03	20.2389
699_132866_000003_000001	"I see her finding her level there," she said, her eyes very bright.	"I see her finding her level there," she said, her eyes very bright.	false	21.03	22.2	7
699_132866_000004_000000	Whereupon Mrs. Arbuthnot, sitting with her quiet hands folded, turned over in her mind how best she could help Mrs. Wilkins not to see quite so much; or at least, if she must see, to see in silence.	Whereupon mrs Arbuthnot, sitting with her quiet hands folded, turned over in her mind how best she could help mrs Wilkins not to see quite so much; or at least, if she must see, to see in silence.	false	22.2	28.455	16.297789
699_132866_000005_000000	Chapter 4	Chapter four	true	28.455	31.6	15.9485035
699_132866_000006_000000	It had been arranged that Mrs. Arbuthnot and Mrs. Wilkins, traveling together, should arrive at San Salvatore on the evening of March 31st--the owner, who told them how to get there, appreciated their disinclination to begin their time in it on April 1st--and Lady Caroline and Mrs. Fisher, as yet unacquainted and therefore under no obligations to bore each other on the journey, for only towards the end would they find out by a process of sifting who they were, were to arrive on the morning of April 2nd.	It had been arranged that mrs Arbuthnot and mrs Wilkins, traveling together, should arrive at San Salvatore on the evening of march thirty first--the owner, who told them how to get there, appreciated their disinclination to begin their time in it on april first--and Lady Caroline and mrs Fisher, as yet unacquainted and therefore under no obligations to bore each other on the journey, for only towards the end would they find out by a process of sifting who they were, were to arrive on the morning of april second.	false	32.57	71.89	20.399977
699_132866_000006_000001	In this way everything would be got nicely ready for the two who seemed, in spite of the equality of the sharing, yet to have something about them of guests.	In this way everything would be got nicely ready for the two who seemed, in spite of the equality of the sharing, yet to have something about them of guests.	true	72.74	85.36	21.852993
699_132866_000007_000000	There were disagreeable incidents towards the end of March, when Mrs. Wilkins, her heart in her mouth and her face a mixture of guilt, terror and determination, told her husband that she had been invited to Italy, and he declined to believe it.	There were disagreeable incidents towards the end of March, when mrs Wilkins, her heart in her mouth and her face a mixture of guilt, terror and determination, told her husband that she had been invited to Italy, and he declined to believe it.	true	85.49	104.62	20.778969
699_132866_000007_000001	Of course he declined to believe it.	Of course he declined to believe it.	true	105.89	108.04	23.976673
699_132866_000007_000002	Nobody had ever invited his wife to Italy before.	Nobody had ever invited his wife to Italy before.	true	108.65	111.94	17
699_132866_000007_000003	There was no precedent.	There was no precedent.	true	112.55	114.01	21.23946
699_132866_000007_000004	He required proofs.	He required proofs.	true	114.5	116.02	25.824488
699_132866_000007_000005	The only proof was Mrs. Arbuthnot, and Mrs. Wilkins had produced her; but after what entreaties, what passionate persuading!	The only proof was mrs Arbuthnot, and mrs Wilkins had produced her; but after what entreaties, what passionate persuading!	true	117.47	128.35	19.635902
699_132866_000007_000006	Mrs. Arbuthnot had not imagined she would have to face Mr. Wilkins and say things to him that were short of the truth, and it brought home to her what she had for some time suspected, that she was slipping more and more away from God.	mrs Arbuthnot had not imagined she would have to face mr Wilkins and say things to him that were short of the truth, and it brought home to her what she had for some time suspected, that she was slipping more and more away from God.	true	129.23	148.96	19.500454
699_132866_000008_000000	Indeed, the whole of March was filled with unpleasant, anxious moments.	Indeed, the whole of March was filled with unpleasant, anxious moments.	true	149.03	154.39	21.961138
699_132866_000008_000001	It was an uneasy month.	It was an uneasy month.	true	155.12	157.3	19
