4138_11079_000000_000000	CHAPTER IV.	CHAPTER four.	true	19.08	20.14	22.915346
4138_11079_000001_000000	ON THE "SPARTACUS."	ON THE "SPARTACUS."	true	20.45	21.82	23.041273
4138_11079_000002_000000	The ulster and the felt hat soon came off again, for a head wind lay waiting in the offing, and the "Spartacus" began to pitch and toss in a manner which made all her unseasoned passengers glad to betake themselves to their berths.	The ulster and the felt hat soon came off again, for a head wind lay waiting in the offing, and the "Spartacus" began to pitch and toss in a manner which made all her unseasoned passengers glad to betake themselves to their berths.	true	23.24	36.01	22.571352
4138_11079_000002_000001	Mrs. Ashe and Amy were among the earliest victims of sea-sickness; and Katy, after helping them to settle in their staterooms, found herself too dizzy and ill to sit up a moment longer, and thankfully resorted to her own.	mrs Ashe and Amy were among the earliest victims of sea sickness; and Katy, after helping them to settle in their staterooms, found herself too dizzy and ill to sit up a moment longer, and thankfully resorted to her own.	true	36.92	49.45	21.588879
4138_11079_000003_000000	As the night came on, the wind grew stronger and the motion worse.	As the night came on, the wind grew stronger and the motion worse.	true	50.36	53.83	16
4138_11079_000003_000001	The "Spartacus" had the reputation of being a dreadful "roller," and seemed bound to justify it on this particular voyage.	The "Spartacus" had the reputation of being a dreadful "roller," and seemed bound to justify it on this particular voyage.	true	54.29	60.73	22.770115
4138_11079_000003_000002	Down, down, down the great hull would slide till Katy would hold her breath with fear lest it might never right itself again; then slowly, slowly the turn would be made, and up, up, up it would go, till the cant on the other side was equally alarming.	Down, down, down the great hull would slide till Katy would hold her breath with fear lest it might never right itself again; then slowly, slowly the turn would be made, and up, up, up it would go, till the cant on the other side was equally alarming.	true	61.1	76.27	22.835787
4138_11079_000003_000003	On the whole, Katy preferred to have her own side of the ship, the downward one; for it was less difficult to keep herself in the berth, from which she was in continual danger of being thrown.	On the whole, Katy preferred to have her own side of the ship, the downward one; for it was less difficult to keep herself in the berth, from which she was in continual danger of being thrown.	true	77.24	87.22	24.757471
4138_11079_000003_000004	The night seemed endless, for she was too frightened to sleep except in broken snatches; and when day dawned, and she looked through the little round pane of glass in the port-hole, only gray sky and gray weltering waves and flying spray and rain met her view.	The night seemed endless, for she was too frightened to sleep except in broken snatches; and when day dawned, and she looked through the little round pane of glass in the port hole, only gray sky and gray weltering waves and flying spray and rain met her view.	true	87.8	102.49	21
4138_11079_000004_000000	"Oh, dear, why do people ever go to sea, unless they must?" she thought feebly to herself.	"Oh, dear, why do people ever go to sea, unless they must?" she thought feebly to herself.	true	103.46	109.09	23
4138_11079_000004_000001	She wanted to get up and see how Mrs. Ashe had lived through the night, but the attempt to move made her so miserably ill that she was glad to sink again on her pillows.	She wanted to get up and see how mrs Ashe had lived through the night, but the attempt to move made her so miserably ill that she was glad to sink again on her pillows.	true	109.55	117.88	20
