4236_8927_000000_000000	It was a man-trap.	It was a man trap.	false	6.84	17.055	18.88404
4236_8927_000001_000000	CHAPTER XLVII.	CHAPTER forty seven.	true	17.055	18.49	15
4236_8927_000002_000000	Were the inventors of automatic machines to be ranged according to the excellence of their devices for producing sound artistic torture, the creator of the man-trap would occupy a very respectable if not a very high place.	Were the inventors of automatic machines to be ranged according to the excellence of their devices for producing sound artistic torture, the creator of the man trap would occupy a very respectable if not a very high place.	false	19.55	31.63	13
4236_8927_000003_000000	It should rather, however, be said, the inventor of the particular form of man-trap of which this found in the keeper's out-house was a specimen.	It should rather, however, be said, the inventor of the particular form of man trap of which this found in the keeper's out house was a specimen.	true	32.51	40.21	15
4236_8927_000003_000001	For there were other shapes and other sizes, instruments which, if placed in a row beside one of the type disinterred by Tim, would have worn the subordinate aspect of the bears, wild boars, or wolves in a travelling menagerie, as compared with the leading lion or tiger.	For there were other shapes and other sizes, instruments which, if placed in a row beside one of the type disinterred by Tim, would have worn the subordinate aspect of the bears, wild boars, or wolves in a travelling menagerie, as compared with the leading lion or tiger.	true	40.46	55.87	16
4236_8927_000003_000002	In short, though many varieties had been in use during those centuries which we are accustomed to look back upon as the true and only period of merry England--in the rural districts more especially--and onward down to the third decade of the nineteenth century, this model had borne the palm, and had been most usually followed when the orchards and estates required new ones.	In short, though many varieties had been in use during those centuries which we are accustomed to look back upon as the true and only period of merry England-in the rural districts more especially-and onward down to the third decade of the nineteenth century, this model had borne the palm, and had been most usually followed when the orchards and estates required new ones.	false	56.39	76.66	15
4236_8927_000004_000000	There had been the toothless variety used by the softer-hearted landlords--quite contemptible in their clemency.	There had been the toothless variety used by the softer hearted landlords-quite contemptible in their clemency.	true	77.36	83.26	15
4236_8927_000004_000001	The jaws of these resembled the jaws of an old woman to whom time has left nothing but gums.	The jaws of these resembled the jaws of an old woman to whom time has left nothing but gums.	true	83.54	88.57	13
4236_8927_000004_000002	There were also the intermediate or half-toothed sorts, probably devised by the middle-natured squires, or those under the influence of their wives: two inches of mercy, two inches of cruelty, two inches of mere nip, two inches of probe, and so on, through the whole extent of the jaws.	There were also the intermediate or half toothed sorts, probably devised by the middle natured squires, or those under the influence of their wives: two inches of mercy, two inches of cruelty, two inches of mere nip, two inches of probe, and so on, through the whole extent of the jaws.	true	88.94	105.67	19
4236_8927_000004_000003	There were also, as a class apart, the bruisers, which did not lacerate the flesh, but only crushed the bone.	There were also, as a class apart, the bruisers, which did not lacerate the flesh, but only crushed the bone.	true	105.86	112.6	20
4236_8927_000005_000000	The sight of one of these gins when set produced a vivid impression that it was endowed with life.	The sight of one of these gins when set produced a vivid impression that it was endowed with life.	true	113.36	119.2	18
4236_8927_000005_000001	It exhibited the combined aspects of a shark, a crocodile, and a scorpion.	It exhibited the combined aspects of a shark, a crocodile, and a scorpion.	true	119.54	124.12	16
4236_8927_000005_000002	Each tooth was in the form of a tapering spine, two and a quarter inches long, which, when the jaws were closed, stood in alternation from this side and from that.	Each tooth was in the form of a tapering spine, two and a quarter inches long, which, when the jaws were closed, stood in alternation from this side and from that.	true	124.28	135.1	18.68367
4236_8927_000005_000003	When they were open, the two halves formed a complete circle between two and three feet in diameter, the plate or treading-place in the midst being about a foot square, while from beneath extended in opposite directions the soul of the apparatus, the pair of springs, each one being of a stiffness to render necessary a lever or the whole weight of the body when forcing it down.	When they were open, the two halves formed a complete circle between two and three feet in diameter, the plate or treading place in the midst being about a foot square, while from beneath extended in opposite directions the soul of the apparatus, the pair of springs, each one being of a stiffness to render necessary a lever or the whole weight of the body when forcing it down.	false	135.77	158.02	16
4236_8927_000006_000000	There were men at this time still living at Hintock who remembered when the gin and others like it were in use.	There were men at this time still living at Hintock who remembered when the gin and others like it were in use.	false	158.9	165.37	14
4236_8927_000006_000001	Tim Tangs's great-uncle had endured a night of six hours in this very trap, which lamed him for life.	Tim Tangs's great uncle had endured a night of six hours in this very trap, which lamed him for life.	true	165.68	171.76	18
4236_8927_000006_000002	Once a keeper of Hintock woods set it on the track of a poacher, and afterwards, coming back that way, forgetful of what he had done, walked into it himself.	Once a keeper of Hintock woods set it on the track of a poacher, and afterwards, coming back that way, forgetful of what he had done, walked into it himself.	true	172.13	181.09	16
4236_8927_000006_000003	The wound brought on lockjaw, of which he died.	The wound brought on lockjaw, of which he died.	true	181.46	184.99	21.054737
4236_8927_000006_000004	This event occurred during the thirties, and by the year 1840 the use of such implements was well-nigh discontinued in the neighborhood.	This event occurred during the thirties, and by the year eighteen forty the use of such implements was well nigh discontinued in the neighborhood.	false	185.36	193.15	15
4236_8927_000006_000005	But being made entirely of iron, they by no means disappeared, and in almost every village one could be found in some nook or corner as readily as this was found by Tim.	But being made entirely of iron, they by no means disappeared, and in almost every village one could be found in some nook or corner as readily as this was found by Tim.	false	193.31	203.65	16
4236_8927_000006_000006	It had, indeed, been a fearful amusement of Tim and other Hintock lads--especially those who had a dim sense of becoming renowned poachers when they reached their prime--to drag out this trap from its hiding, set it, and throw it with billets of wood, which were penetrated by the teeth to the depth of near an inch.	It had, indeed, been a fearful amusement of Tim and other Hintock lads-especially those who had a dim sense of becoming renowned poachers when they reached their prime-to drag out this trap from its hiding, set it, and throw it with billets of wood, which were penetrated by the teeth to the depth of near an inch.	true	204.44	224.77	19.058249
4236_8927_000007_000000	As soon as he had examined the trap, and found that the hinges and springs were still perfect, he shouldered it without more ado, and returned with his burden to his own garden, passing on through the hedge to the path immediately outside the boundary.	As soon as he had examined the trap, and found that the hinges and springs were still perfect, he shouldered it without more ado, and returned with his burden to his own garden, passing on through the hedge to the path immediately outside the boundary.	true	225.53	238.24	13
4236_8927_000007_000001	Here, by the help of a stout stake, he set the trap, and laid it carefully behind a bush while he went forward to reconnoitre.	Here, by the help of a stout stake, he set the trap, and laid it carefully behind a bush while he went forward to reconnoitre.	false	238.7	247.41	18.842758
4236_8927_000007_000002	As has been stated, nobody passed this way for days together sometimes; but there was just a possibility that some other pedestrian than the one in request might arrive, and it behooved Tim to be careful as to the identity of his victim.	As has been stated, nobody passed this way for days together sometimes; but there was just a possibility that some other pedestrian than the one in request might arrive, and it behooved Tim to be careful as to the identity of his victim.	false	247.41	262	18.062006
4236_8927_000008_000000	Going about a hundred yards along the rising ground to the right, he reached a ridge whereon a large and thick holly grew.	Going about a hundred yards along the rising ground to the right, he reached a ridge whereon a large and thick holly grew.	false	262.7	268.54	14
4236_8927_000008_000001	Beyond this for some distance the wood was more open, and the course which Fitzpiers must pursue to reach the point, if he came to-night, was visible a long way forward.	Beyond this for some distance the wood was more open, and the course which Fitzpiers must pursue to reach the point, if he came to night, was visible a long way forward.	false	268.76	278.53	18
4236_8927_000009_000000	For some time there was no sign of him or of anybody.	For some time there was no sign of him or of anybody.	true	279.08	281.86	17
4236_8927_000009_000001	Then there shaped itself a spot out of the dim mid-distance, between the masses of brushwood on either hand.	Then there shaped itself a spot out of the dim mid distance, between the masses of brushwood on either hand.	false	281.99	287.98	16
4236_8927_000009_000002	And it enlarged, and Tim could hear the brushing of feet over the tufts of sour-grass.	And it enlarged, and Tim could hear the brushing of feet over the tufts of sour grass.	true	288.44	293.59	18.75104
4236_8927_000009_000003	The airy gait revealed Fitzpiers even before his exact outline could be seen.	The airy gait revealed Fitzpiers even before his exact outline could be seen.	false	293.99	298.93	16
4236_8927_000010_000000	Tim Tangs turned about, and ran down the opposite side of the hill, till he was again at the head of his own garden.	Tim Tangs turned about, and ran down the opposite side of the hill, till he was again at the head of his own garden.	false	299.45	304.81	15
4236_8927_000010_000001	It was the work of a few moments to drag out the man-trap, very gently--that the plate might not be disturbed sufficiently to throw it--to a space between a pair of young oaks which, rooted in contiguity, grew apart upward, forming a V-shaped opening between; and, being backed up by bushes, left this as the only course for a foot-passenger.	It was the work of a few moments to drag out the man trap, very gently-that the plate might not be disturbed sufficiently to throw it-to a space between a pair of young oaks which, rooted in contiguity, grew apart upward, forming a V shaped opening between; and, being backed up by bushes, left this as the only course for a foot passenger.	false	305.06	325.69	18.75895
4236_8927_000010_000002	In it he laid the trap with the same gentleness of handling, locked the chain round one of the trees, and finally slid back the guard which was placed to keep the gin from accidentally catching the arms of him who set it, or, to use the local and better word, "toiled" it.	In it he laid the trap with the same gentleness of handling, locked the chain round one of the trees, and finally slid back the guard which was placed to keep the gin from accidentally catching the arms of him who set it, or, to use the local and better word, "toiled" it.	true	326.21	343.81	19.31217
4236_8927_000011_000000	Having completed these arrangements, Tim sprang through the adjoining hedge of his father's garden, ran down the path, and softly entered the house.	Having completed these arrangements, Tim sprang through the adjoining hedge of his father's garden, ran down the path, and softly entered the house.	true	344.63	353.23	19.106592
