100_121674_000000_000000	Little Bun Rabbit	Little Bun Rabbit	false	10.59	14.13	24.51161
100_121674_000001_000000	Little Bun Rabbit	Little Bun Rabbit	false	14.13	19.68	29.128666
100_121674_000002_000000	"Oh, Little Bun Rabbit, so soft and so shy, Say, what do you see with your big, round eye?" "On Christmas we rabbits," says Bunny so shy, "Keep watch to see Santa go galloping by."	"Oh, Little Bun Rabbit, so soft and so shy, Say, what do you see with your big, round eye?" "On Christmas we rabbits," says Bunny so shy, "Keep watch to see Santa go galloping by."	true	19.68	32.05	24.76386
100_121674_000003_000000	Little Dorothy had passed all the few years of her life in the country, and being the only child upon the farm she was allowed to roam about the meadows and woods as she pleased.	Little Dorothy had passed all the few years of her life in the country, and being the only child upon the farm she was allowed to roam about the meadows and woods as she pleased.	true	33.41	44.53	26.265509
100_121674_000003_000001	On the bright summer mornings Dorothy's mother would tie a sun-bonnet under the girl's chin, and then she romped away to the fields to amuse herself in her own way.	On the bright summer mornings Dorothy's mother would tie a sun bonnet under the girl's chin, and then she romped away to the fields to amuse herself in her own way.	true	44.54	54.25	24
100_121674_000004_000000	She came to know every flower that grew, and to call them by name, and she always stepped very carefully to avoid treading on them, for Dorothy was a kind-hearted child and did not like to crush the pretty flowers that bloomed in her path.	She came to know every flower that grew, and to call them by name, and she always stepped very carefully to avoid treading on them, for Dorothy was a kind hearted child and did not like to crush the pretty flowers that bloomed in her path.	true	55.25	69.73	22.647253
100_121674_000004_000001	And she was also very fond of all the animals, and learned to know them well, and even to understand their language, which very few people can do.	And she was also very fond of all the animals, and learned to know them well, and even to understand their language, which very few people can do.	true	69.92	78.67	23.994184
100_121674_000004_000002	And the animals loved Dorothy in turn, for the word passed around amongst them that she could be trusted to do them no harm.	And the animals loved Dorothy in turn, for the word passed around amongst them that she could be trusted to do them no harm.	true	78.98	86.68	25.13705
100_121674_000004_000003	For the horse, whose soft nose Dorothy often gently stroked, told the cow of her kindness, and the cow told the dog, and the dog told the cat, and the cat told her black kitten, and the black kitten told the rabbit when one day they met in the turnip patch.	For the horse, whose soft nose Dorothy often gently stroked, told the cow of her kindness, and the cow told the dog, and the dog told the cat, and the cat told her black kitten, and the black kitten told the rabbit when one day they met in the turnip patch.	true	86.93	103.33	28.471708
100_121674_000005_000000	Therefore when the rabbit, which is the most timid of all animals and the most difficult to get acquainted with, looked out of a small bush at the edge of the wood one day and saw Dorothy standing a little way off, he did not scamper away, as is his custom, but sat very still and met the gaze of her sweet eyes boldly, although perhaps his heart beat a little faster than usual.	Therefore when the rabbit, which is the most timid of all animals and the most difficult to get acquainted with, looked out of a small bush at the edge of the wood one day and saw Dorothy standing a little way off, he did not scamper away, as is his custom, but sat very still and met the gaze of her sweet eyes boldly, although perhaps his heart beat a little faster than usual.	true	103.76	127.18	25.434092
100_121674_000006_000000	Dorothy herself was afraid she might frighten him away, so she kept very quiet for a time, leaning silently against a tree and smiling encouragement at her timorous companion until the rabbit became reassured and blinked his big eyes at her thoughtfully.	Dorothy herself was afraid she might frighten him away, so she kept very quiet for a time, leaning silently against a tree and smiling encouragement at her timorous companion until the rabbit became reassured and blinked his big eyes at her thoughtfully.	true	127.79	143.89	24.055452
100_121674_000006_000001	For he was as much interested in the little girl as she in him, since it was the first time he had dared to meet a person face to face.	For he was as much interested in the little girl as she in him, since it was the first time he had dared to meet a person face to face.	true	144.23	153.19	26.734787
100_121674_000007_000000	Finally Dorothy ventured to speak, so she asked, very softly and slowly,	Finally Dorothy ventured to speak, so she asked, very softly and slowly,	true	153.86	159.13	24.562168
100_121674_000008_000000	"Oh, Little Bun Rabbit, so soft and so shy, Say, what do you see with your big, round eye?"	"Oh, Little Bun Rabbit, so soft and so shy, Say, what do you see with your big, round eye?"	true	159.53	166.15	22.909494
100_121674_000009_000000	"Many things," answered the rabbit, who was pleased to hear the girl speak in his own language; "in summer-time I see the clover-leaves that I love to feed upon and the cabbages at the end of the farmer's garden.	"Many things," answered the rabbit, who was pleased to hear the girl speak in his own language; "in summer time I see the clover leaves that I love to feed upon and the cabbages at the end of the farmer's garden.	true	166.79	179.02	25.793823
100_121674_000009_000001	I see the cool bushes where I can hide from my enemies, and I see the dogs and the men long before they can see me, or know that I am near, and therefore I am able to keep out of their way."	I see the cool bushes where I can hide from my enemies, and I see the dogs and the men long before they can see me, or know that I am near, and therefore I am able to keep out of their way."	true	179.27	191.65	22.252445
100_121674_000010_000000	"Is that the reason your eyes are so big?" asked Dorothy.	"Is that the reason your eyes are so big?" asked Dorothy.	true	192.11	195.37	24.901476
100_121674_000011_000000	"I suppose so," returned the rabbit; "you see we have only our eyes and our ears and our legs to defend ourselves with.	"I suppose so," returned the rabbit; "you see we have only our eyes and our ears and our legs to defend ourselves with.	true	195.65	203.26	20.950527
100_121674_000011_000001	We cannot fight, but we can always run away, and that is a much better way to save our lives than by fighting."	We cannot fight, but we can always run away, and that is a much better way to save our lives than by fighting."	true	203.33	210.16	26.525856
100_121674_000012_000000	"Where is your home, bunny?" enquired the girl.	"Where is your home, bunny?" enquired the girl.	true	210.8	213.37	23.710533
100_121674_000013_000000	"I live in the ground, far down in a cool, pleasant hole I have dug in the midst of the forest.	"I live in the ground, far down in a cool, pleasant hole I have dug in the midst of the forest.	true	213.92	219.85	28.224512
100_121674_000013_000001	At the bottom of the hole is the nicest little room you can imagine, and there I have made a soft bed to rest in at night.	At the bottom of the hole is the nicest little room you can imagine, and there I have made a soft bed to rest in at night.	true	219.98	227.38	24.620981
100_121674_000013_000002	When I meet an enemy I run to my hole and jump in, and there I stay until all danger is over."	When I meet an enemy I run to my hole and jump in, and there I stay until all danger is over."	true	227.6	234.01	24.287207
100_121674_000014_000000	"You have told me what you see in summer," continued Dorothy, who was greatly interested in the rabbit's account of himself, "but what do you see in the winter?"	"You have told me what you see in summer," continued Dorothy, who was greatly interested in the rabbit's account of himself, "but what do you see in the winter?"	true	234.62	243.46	23.629953
100_121674_000015_000000	"In winter we rabbits," said Bunny so shy, "Keep watch to see Santa go galloping by."	"In winter we rabbits," said Bunny so shy, "Keep watch to see Santa go galloping by."	true	244.19	249.91	28.230642
100_121674_000016_000000	"And do you ever see him?" asked the girl, eagerly.	"And do you ever see him?" asked the girl, eagerly.	true	250.46	253.18	25.054071
100_121674_000017_000000	"Oh, yes; every winter.	"Oh, yes; every winter.	true	253.58	255.4	27.0688
100_121674_000017_000001	I am not afraid of him, nor of his reindeer. And it is such fun to see him come dashing along, cracking his whip and calling out cheerily to his reindeer, who are able to run even swifter than we rabbits.	I am not afraid of him, nor of his reindeer. And it is such fun to see him come dashing along, cracking his whip and calling out cheerily to his reindeer, who are able to run even swifter than we rabbits.	true	255.44	268.15	25.377134
100_121674_000017_000002	And Santa Claus, when he sees me, always gives me a nod and a smile, and then I look after him and his big load of toys which he is carrying to the children, until he has galloped away out of sight.	And Santa Claus, when he sees me, always gives me a nod and a smile, and then I look after him and his big load of toys which he is carrying to the children, until he has galloped away out of sight.	false	268.25	280.39	24.945456
100_121674_000017_000003	I like to see the toys, for they are so bright and pretty, and every year there is something new amongst them.	I like to see the toys, for they are so bright and pretty, and every year there is something new amongst them.	true	280.58	286.75	22.283878
100_121674_000017_000004	Once I visited Santa, and saw him make the toys."	Once I visited Santa, and saw him make the toys."	true	286.88	290.26	23.50442
100_121674_000018_000000	"Oh, tell me about it!" pleaded Dorothy.	"Oh, tell me about it!" pleaded Dorothy.	true	290.66	293.29	28.896107
100_121674_000019_000000	"It was one morning after Christmas," said the rabbit, who seemed to enjoy talking, now that he had overcome his fear of Dorothy, "and I was sitting by the road-side when Santa Claus came riding back in his empty sleigh.	"It was one morning after Christmas," said the rabbit, who seemed to enjoy talking, now that he had overcome his fear of Dorothy, "and I was sitting by the road side when Santa Claus came riding back in his empty sleigh.	true	293.75	306.19	25.703579
100_121674_000019_000001	He does not come home quite so fast as he goes, and when he saw me he stopped for a word.	He does not come home quite so fast as he goes, and when he saw me he stopped for a word.	true	306.47	312.4	24.912952
