716_129582_000000_000000	VI.	VI.	false	6.9	7.2	17
716_129582_000000_000001	THE EVIL-LOOKING BOATMEN.	THE EVIL LOOKING BOATMEN.	false	7.2	20.92	22.112062
716_129582_000001_000000	BUT the islanders, seeing that I was really adrift, took pity on me. I drifted very slowly to the eastward, approaching the island slantingly; and presently I saw, with hysterical relief, the launch come round and return towards me.	BUT the islanders, seeing that I was really adrift, took pity on me. I drifted very slowly to the eastward, approaching the island slantingly; and presently I saw, with hysterical relief, the launch come round and return towards me.	true	22.07	35.05	24.95621
716_129582_000001_000001	She was heavily laden, and I could make out as she drew nearer Montgomery's white-haired, broad-shouldered companion sitting cramped up with the dogs and several packing-cases in the stern sheets. This individual stared fixedly at me without moving or speaking. The black-faced cripple was glaring at me as fixedly in the bows near the puma.	She was heavily laden, and I could make out as she drew nearer Montgomery's white haired, broad shouldered companion sitting cramped up with the dogs and several packing cases in the stern sheets. This individual stared fixedly at me without moving or speaking. The black faced cripple was glaring at me as fixedly in the bows near the puma.	false	35.21	55.15	24.05936
716_129582_000001_000002	There were three other men besides,--three strange brutish-looking fellows, at whom the staghounds were snarling savagely. Montgomery, who was steering, brought the boat by me, and rising, caught and fastened my painter to the tiller to tow me, for there was no room aboard.	There were three other men besides,--three strange brutish looking fellows, at whom the staghounds were snarling savagely. Montgomery, who was steering, brought the boat by me, and rising, caught and fastened my painter to the tiller to tow me, for there was no room aboard.	true	55.61	71.26	23.336212
716_129582_000002_000000	I had recovered from my hysterical phase by this time and answered his hail, as he approached, bravely enough. I told him the dingey was nearly swamped, and he reached me a piggin. I was jerked back as the rope tightened between the boats. For some time I was busy baling.	I had recovered from my hysterical phase by this time and answered his hail, as he approached, bravely enough. I told him the dingey was nearly swamped, and he reached me a piggin. I was jerked back as the rope tightened between the boats. For some time I was busy baling.	true	71.51	87.25	24.857738
716_129582_000003_000000	It was not until I had got the water under (for the water in the dingey had been shipped; the boat was perfectly sound) that I had leisure to look at the people in the launch again.	It was not until I had got the water under (for the water in the dingey had been shipped; the boat was perfectly sound) that I had leisure to look at the people in the launch again.	true	87.65	96.76	23.513823
716_129582_000004_000000	The white-haired man I found was still regarding me steadfastly, but with an expression, as I now fancied, of some perplexity. When my eyes met his, he looked down at the staghound that sat between his knees.	The white haired man I found was still regarding me steadfastly, but with an expression, as I now fancied, of some perplexity. When my eyes met his, he looked down at the staghound that sat between his knees.	true	97.31	109.39	24.240469
716_129582_000004_000001	He was a powerfully-built man, as I have said, with a fine forehead and rather heavy features; but his eyes had that odd drooping of the skin above the lids which often comes with advancing years, and the fall of his heavy mouth at the corners gave him an expression of pugnacious resolution. He talked to Montgomery in a tone too low for me to hear.	He was a powerfully built man, as I have said, with a fine forehead and rather heavy features; but his eyes had that odd drooping of the skin above the lids which often comes with advancing years, and the fall of his heavy mouth at the corners gave him an expression of pugnacious resolution. He talked to Montgomery in a tone too low for me to hear.	true	109.67	129.49	23.462736
716_129582_000005_000000	From him my eyes travelled to his three men; and a strange crew they were. I saw only their faces, yet there was something in their faces--I knew not what--that gave me a queer spasm of disgust. I looked steadily at them, and the impression did not pass, though I failed to see what had occasioned it.	From him my eyes travelled to his three men; and a strange crew they were. I saw only their faces, yet there was something in their faces-I knew not what-that gave me a queer spasm of disgust. I looked steadily at them, and the impression did not pass, though I failed to see what had occasioned it.	false	130.43	149.14	25.77496
716_129582_000005_000001	They seemed to me then to be brown men; but their limbs were oddly swathed in some thin, dirty, white stuff down even to the fingers and feet: I have never seen men so wrapped up before, and women so only in the East. They wore turbans too, and thereunder peered out their elfin faces at me,--faces with protruding lower-jaws and bright eyes. They had lank black hair, almost like horsehair, and seemed as they sat to exceed in stature any race of men I have seen. The white-haired man, who I knew was a good six feet in height, sat a head below any one of the three.	They seemed to me then to be brown men; but their limbs were oddly swathed in some thin, dirty, white stuff down even to the fingers and feet: I have never seen men so wrapped up before, and women so only in the East. They wore turbans too, and thereunder peered out their elfin faces at me,--faces with protruding lower jaws and bright eyes. They had lank black hair, almost like horsehair, and seemed as they sat to exceed in stature any race of men I have seen. The white haired man, who I knew was a good six feet in height, sat a head below any one of the three.	false	149.69	185.11	23.001102
716_129582_000005_000002	I found afterwards that really none were taller than myself; but their bodies were abnormally long, and the thigh-part of the leg short and curiously twisted. At any rate, they were an amazingly ugly gang, and over the heads of them under the forward lug peered the black face of the man whose eyes were luminous in the dark.	I found afterwards that really none were taller than myself; but their bodies were abnormally long, and the thigh part of the leg short and curiously twisted. At any rate, they were an amazingly ugly gang, and over the heads of them under the forward lug peered the black face of the man whose eyes were luminous in the dark.	false	185.51	203.38	24.83275
716_129582_000005_000003	As I stared at them, they met my gaze; and then first one and then another turned away from my direct stare, and looked at me in an odd, furtive manner.	As I stared at them, they met my gaze; and then first one and then another turned away from my direct stare, and looked at me in an odd, furtive manner.	true	203.72	212.5	27.387781
716_129582_000005_000004	It occurred to me that I was perhaps annoying them, and I turned my attention to the island we were approaching.	It occurred to me that I was perhaps annoying them, and I turned my attention to the island we were approaching.	true	212.75	217.99	25.897682
716_129582_000006_000000	It was low, and covered with thick vegetation,--chiefly a kind of palm, that was new to me.	It was low, and covered with thick vegetation,--chiefly a kind of palm, that was new to me.	true	219.65	225.07	24.967003
716_129582_000006_000001	From one point a thin white thread of vapour rose slantingly to an immense height, and then frayed out like a down feather. We were now within the embrace of a broad bay flanked on either hand by a low promontory.	From one point a thin white thread of vapour rose slantingly to an immense height, and then frayed out like a down feather. We were now within the embrace of a broad bay flanked on either hand by a low promontory.	true	225.35	237.13	28.375942
716_129582_000006_000002	The beach was of dull-grey sand, and sloped steeply up to a ridge, perhaps sixty or seventy feet above the sea-level, and irregularly set with trees and undergrowth. Half way up was a square enclosure of some greyish stone, which I found subsequently was built partly of coral and partly of pumiceous lava. Two thatched roofs peeped from within this enclosure. A man stood awaiting us at the water's edge.	The beach was of dull grey sand, and sloped steeply up to a ridge, perhaps sixty or seventy feet above the sea-level, and irregularly set with trees and undergrowth. Half way up was a square enclosure of some greyish stone, which I found subsequently was built partly of coral and partly of pumiceous lava. Two thatched roofs peeped from within this enclosure. A man stood awaiting us at the water's edge.	false	237.38	262.93	23.127596
716_129582_000006_000003	I fancied while we were still far off that I saw some other and very grotesque-looking creatures scuttle into the bushes upon the slope; but I saw nothing of these as we drew nearer.	I fancied while we were still far off that I saw some other and very grotesque looking creatures scuttle into the bushes upon the slope; but I saw nothing of these as we drew nearer.	true	263.39	273.1	24.894787
716_129582_000006_000004	This man was of a moderate size, and with a black negroid face.	This man was of a moderate size, and with a black negroid face.	false	273.8	277.45	22.693476
716_129582_000006_000005	He had a large, almost lipless, mouth, extraordinary lank arms, long thin feet, and bow-legs, and stood with his heavy face thrust forward staring at us. He was dressed like Montgomery and his white-haired companion, in jacket and trousers of blue serge.	He had a large, almost lipless, mouth, extraordinary lank arms, long thin feet, and bow legs, and stood with his heavy face thrust forward staring at us. He was dressed like Montgomery and his white haired companion, in jacket and trousers of blue serge.	true	277.76	293.2	23.434814
716_129582_000006_000006	As we came still nearer, this individual began to run to and fro on the beach, making the most grotesque movements.	As we came still nearer, this individual began to run to and fro on the beach, making the most grotesque movements.	true	293.66	300.04	21.737865
716_129582_000007_000000	At a word of command from Montgomery, the four men in the launch sprang up, and with singularly awkward gestures struck the lugs. Montgomery steered us round and into a narrow little dock excavated in the beach.	At a word of command from Montgomery, the four men in the launch sprang up, and with singularly awkward gestures struck the lugs. Montgomery steered us round and into a narrow little dock excavated in the beach.	true	300.92	312.82	24.7429
716_129582_000007_000001	Then the man on the beach hastened towards us. This dock, as I call it, was really a mere ditch just long enough at this phase of the tide to take the longboat. I heard the bows ground in the sand, staved the dingey off the rudder of the big boat with my piggin, and freeing the painter, landed. The three muffled men, with the clumsiest movements, scrambled out upon the sand, and forthwith set to landing the cargo, assisted by the man on the beach.	Then the man on the beach hastened towards us. This dock, as I call it, was really a mere ditch just long enough at this phase of the tide to take the longboat. I heard the bows ground in the sand, staved the dingey off the rudder of the big boat with my piggin, and freeing the painter, landed. The three muffled men, with the clumsiest movements, scrambled out upon the sand, and forthwith set to landing the cargo, assisted by the man on the beach.	true	313.1	338.47	24.884012
716_129582_000007_000002	I was struck especially by the curious movements of the legs of the three swathed and bandaged boatmen,--not stiff they were, but distorted in some odd way, almost as if they were jointed in the wrong place.	I was struck especially by the curious movements of the legs of the three swathed and bandaged boatmen,--not stiff they were, but distorted in some odd way, almost as if they were jointed in the wrong place.	true	338.93	350.89	24.620358
716_129582_000007_000003	The dogs were still snarling, and strained at their chains after these men, as the white-haired man landed with them.	The dogs were still snarling, and strained at their chains after these men, as the white haired man landed with them.	true	351.32	357.88	21.100359
716_129582_000007_000004	The three big fellows spoke to one another in odd guttural tones, and the man who had waited for us on the beach began chattering to them excitedly--a foreign language, as I fancied--as they laid hands on some bales piled near the stern. Somewhere I had heard such a voice before, and I could not think where. The white-haired man stood, holding in a tumult of six dogs, and bawling orders over their din.	The three big fellows spoke to one another in odd guttural tones, and the man who had waited for us on the beach began chattering to them excitedly-a foreign language, as I fancied-as they laid hands on some bales piled near the stern. Somewhere I had heard such a voice before, and I could not think where. The white haired man stood, holding in a tumult of six dogs, and bawling orders over their din.	true	358.34	383.5	24.478605
716_129582_000007_000005	Montgomery, having unshipped the rudder, landed likewise, and all set to work at unloading.	Montgomery, having unshipped the rudder, landed likewise, and all set to work at unloading.	true	384.2	389.74	23.25963
716_129582_000007_000006	I was too faint, what with my long fast and the sun beating down on my bare head, to offer any assistance.	I was too faint, what with my long fast and the sun beating down on my bare head, to offer any assistance.	false	390.17	396.46	25.937077
716_129582_000008_000000	Presently the white-haired man seemed to recollect my presence, and came up to me.	Presently the white haired man seemed to recollect my presence, and came up to me.	true	396.83	401.11	24.388565
716_129582_000009_000000	"You look," said he, "as though you had scarcely breakfasted." His little eyes were a brilliant black under his heavy brows. "I must apologise for that.	"You look," said he, "as though you had scarcely breakfasted." His little eyes were a brilliant black under his heavy brows. "I must apologise for that.	false	401.78	411.13	26.588547
716_129582_000009_000001	Now you are our guest, we must make you comfortable,--though you are uninvited, you know." He looked keenly into my face.	Now you are our guest, we must make you comfortable,--though you are uninvited, you know." He looked keenly into my face.	true	411.26	419.05	26.199474
716_129582_000009_000002	"Montgomery says you are an educated man, Mr. Prendick; says you know something of science.	"Montgomery says you are an educated man, mr Prendick; says you know something of science.	true	419.27	424.21	21.130013
716_129582_000009_000003	May I ask what that signifies?"	May I ask what that signifies?"	true	424.28	426.58	25.949036
716_129582_000010_000000	I told him I had spent some years at the Royal College of Science, and had done some researches in biology under Huxley.	I told him I had spent some years at the Royal College of Science, and had done some researches in biology under Huxley.	true	427.4	433.99	22.481377
716_129582_000010_000001	He raised his eyebrows slightly at that.	He raised his eyebrows slightly at that.	true	434.24	436.6	21.330051
716_129582_000011_000000	"That alters the case a little, Mr. Prendick," he said, with a trifle more respect in his manner.	"That alters the case a little, mr Prendick," he said, with a trifle more respect in his manner.	false	437.3	442.21	24.610998
716_129582_000011_000001	"As it happens, we are biologists here.	"As it happens, we are biologists here.	true	442.58	444.97	25.16837
716_129582_000011_000002	This is a biological station--of a sort." His eye rested on the men in white who were busily hauling the puma, on rollers, towards the walled yard.	This is a biological station-of a sort." His eye rested on the men in white who were busily hauling the puma, on rollers, towards the walled yard.	true	445.13	454.42	21.479023
716_129582_000011_000003	"I and Montgomery, at least," he added.	"I and Montgomery, at least," he added.	true	454.82	457.485	31.329649
716_129582_000011_000004	Then, "When you will be able to get away, I can't say. We're off the track to anywhere.	Then, "When you will be able to get away, I can't say. We're off the track to anywhere.	true	457.485	462.945	23.811434
716_129582_000011_000005	We see a ship once in a twelve-month or so."	We see a ship once in a twelve month or so."	false	462.945	465.4	21.77552
716_129582_000012_000000	He left me abruptly, and went up the beach past this group, and I think entered the enclosure.	He left me abruptly, and went up the beach past this group, and I think entered the enclosure.	true	465.8	470.86	29.88537
716_129582_000012_000001	The other two men were with Montgomery, erecting a pile of smaller packages on a low-wheeled truck. The llama was still on the launch with the rabbit hutches; the staghounds were still lashed to the thwarts. The pile of things completed, all three men laid hold of the truck and began shoving the ton-weight or so upon it after the puma. Presently Montgomery left them, and coming back to me held out his hand.	The other two men were with Montgomery, erecting a pile of smaller packages on a low wheeled truck. The llama was still on the launch with the rabbit hutches; the staghounds were still lashed to the thwarts. The pile of things completed, all three men laid hold of the truck and began shoving the ton weight or so upon it after the puma. Presently Montgomery left them, and coming back to me held out his hand.	true	471.11	494.23	25.694185
716_129582_000013_000000	"I'm glad," said he, "for my own part.	"I'm glad," said he, "for my own part.	false	494.84	497.62	24.30269
716_129582_000013_000001	That captain was a silly ass. He'd have made things lively for you."	That captain was a silly ass. He'd have made things lively for you."	true	497.69	501.79	22.868935
