2960_155152_000000_000000	The disinterestedness of these would-be philosophers looked, at first sight, extremely imposing.	The disinterestedness of these would be philosophers looked, at first sight, extremely imposing.	false	0	1.29	29.074076
2960_155152_000000_000001	Instances were not rare in which they generously abandoned all the profits of their transmutations--even the honour of the discovery.	Instances were not rare in which they generously abandoned all the profits of their transmutations-even the honour of the discovery.	false	1.29	2.94	21.97012
2960_155152_000000_000002	But this apparent disinterestedness was one of the most cunning of their manoeuvres.	But this apparent disinterestedness was one of the most cunning of their manoeuvres.	false	2.94	3.99	17
2960_155152_000000_000003	It served to keep up the popular expectation; it seemed to shew the possibility of discovering the philosopher's stone, and provided the means of future advantages, which they were never slow to lay hold of--such as entrances into royal households, maintenance at the public expense, and gifts from ambitious potentates, too greedy after the gold they so easily promised.	It served to keep up the popular expectation; it seemed to shew the possibility of discovering the philosopher's stone, and provided the means of future advantages, which they were never slow to lay hold of-such as entrances into royal households, maintenance at the public expense, and gifts from ambitious potentates, too greedy after the gold they so easily promised.	false	3.99	20.07	20.385767
2960_155152_000001_000000	It now only remains to trace the progress of the delusion from the commencement of the eighteenth century until the present day.	It now only remains to trace the progress of the delusion from the commencement of the eighteenth century until the present day.	false	20.07	29.28	19.996113
2960_155152_000001_000001	It will be seen that, until a very recent period, there were but slight signs of a return to reason.	It will be seen that, until a very recent period, there were but slight signs of a return to reason.	false	29.28	35.16	21.208164
2960_155152_000002_000000	JEAN DELISLE.	JEAN DELISLE.	false	35.16	35.805	14.711813
2960_155152_000003_000000	In the year 1705, there was much talk in France of a blacksmith, named Delisle, who had discovered the philosopher's stone, and who went about the country turning lead into gold.	In the year seventeen o five, there was much talk in France of a blacksmith, named Delisle, who had discovered the philosopher's stone, and who went about the country turning lead into gold.	false	35.805	48.57	22.363504
2960_155152_000003_000001	He was a native of Provence, from which place his fame soon spread to the capital.	He was a native of Provence, from which place his fame soon spread to the capital.	false	48.57	53.89	20.51244
2960_155152_000003_000002	His early life is involved in obscurity; but Lenglet du Fresnoy has industriously collected some particulars of his later career, which possess considerable interest. He was a man without any education, and had been servant in his youth to an alchymist, from whom he learned many of the tricks of the fraternity. The name of his master has never been discovered; but it is pretended that he rendered himself in some manner obnoxious to the government of Louis XIV., and was obliged, in consequence, to take refuge in Switzerland. Delisle accompanied him as far as Savoy, and there, it is said, set upon him in a solitary mountain-pass, and murdered and robbed him.	His early life is involved in obscurity; but Lenglet du Fresnoy has industriously collected some particulars of his later career, which possess considerable interest. He was a man without any education, and had been servant in his youth to an alchymist, from whom he learned many of the tricks of the fraternity. The name of his master has never been discovered; but it is pretended that he rendered himself in some manner obnoxious to the government of Louis the fourteenth., and was obliged, in consequence, to take refuge in Switzerland. Delisle accompanied him as far as Savoy, and there, it is said, set upon him in a solitary mountain pass, and murdered and robbed him.	true	54.08	103.12	21.531265
2960_155152_000003_000003	He then disguised himself as a pilgrim, and returned to France.	He then disguised himself as a pilgrim, and returned to France.	true	103.55	107.94	20.644266
2960_155152_000003_000004	At a lonely inn, by the road-side, where he stopped for the night, he became acquainted with a woman, named Aluys; and so sudden a passion was enkindled betwixt them, that she consented to leave all, follow him, and share his good or evil fortune wherever he went.	At a lonely inn, by the road side, where he stopped for the night, he became acquainted with a woman, named Aluys; and so sudden a passion was enkindled betwixt them, that she consented to leave all, follow him, and share his good or evil fortune wherever he went.	false	107.94	128.115	20.931913
2960_155152_000003_000005	They lived together for five or six years in Provence, without exciting any attention, apparently possessed of a decent independence.	They lived together for five or six years in Provence, without exciting any attention, apparently possessed of a decent independence.	false	128.115	136.965	23
