2960_155152_000003_000003	He then disguised himself as a pilgrim, and returned to France.	He then disguised himself as a pilgrim, and returned to France.
2960_155152_000004_000000	"I have something to relate to you, my dear cousin, which will be interesting to you and your friends.	"I have something to relate to you, my dear cousin, which will be interesting to you and your friends.
2960_155152_000004_000003	He turns lead into gold, and iron into silver, by merely heating these metals red hot, and pouring upon them in that state some oil and powder he is possessed of; so that it would not be impossible for any man to make a million a day, if he had sufficient of this wondrous mixture.	He turns lead into gold, and iron into silver, by merely heating these metals red hot, and pouring upon them in that state some oil and powder he is possessed of; so that it would not be impossible for any man to make a million a day, if he had sufficient of this wondrous mixture.
2960_155152_000004_000005	He also sold twenty pounds weight of it to a merchant of Digne, named Taxis.	He also sold twenty pounds weight of it to a merchant of Digne, named Taxis.
2960_155152_000004_000008	He promised to give me one of them, in a long conversation which I had with him the other day, by order of the Bishop of Senes, who saw his operations with his own eyes, and detailed all the circumstances to me.	He promised to give me one of them, in a long conversation which I had with him the other day, by order of the Bishop of Senes, who saw his operations with his own eyes, and detailed all the circumstances to me.
2960_155152_000005_000002	This excellent workman received, a short time ago, a very kind letter from the superintendent of the royal household, which I read.	This excellent workman received, a short time ago, a very kind letter from the superintendent of the royal household, which I read.
2960_155152_000005_000003	He offered to use all his influence with the ministers to prevent any attempts upon his liberty, which has twice been attacked by the agents of government.	He offered to use all his influence with the ministers to prevent any attempts upon his liberty, which has twice been attacked by the agents of government.
2960_155152_000005_000006	He told me that it generally took him six months to make all his preparations.	He told me that it generally took him six months to make all his preparations.
2960_155152_000005_000007	I told him that, apparently, the king wanted to see him.	I told him that, apparently, the king wanted to see him.
2960_155152_000005_000008	He replied that he could not exercise his art in every place, as a certain climate and temperature were absolutely necessary to his success. The truth is, that this man appears to have no ambition.	He replied that he could not exercise his art in every place, as a certain climate and temperature were absolutely necessary to his success. The truth is, that this man appears to have no ambition.
2960_155152_000005_000009	He only keeps two horses and two men-servants.	He only keeps two horses and two men servants.
2960_155152_000005_000010	Besides, he loves his liberty, has no politeness, and speaks very bad French; but his judgment seems to be solid.	Besides, he loves his liberty, has no politeness, and speaks very bad French; but his judgment seems to be solid.
2960_155152_000005_000015	At all events, posterity will hear of him."	At all events, posterity will hear of him."
2960_155152_000006_000001	A good deal of that was only hearsay, but now I am enabled to speak from my own experience.	A good deal of that was only hearsay, but now I am enabled to speak from my own experience.
2960_155152_000006_000002	I have in my possession a nail, half iron and half silver, which I made myself.	I have in my possession a nail, half iron and half silver, which I made myself.
2960_155152_000006_000004	All the country have their eyes upon this gentleman; some deny loudly, others are incredulous; but those who have seen acknowledge the truth.	All the country have their eyes upon this gentleman; some deny loudly, others are incredulous; but those who have seen acknowledge the truth.
2960_155152_000006_000005	I have read the passport that has been sent to him from court, with orders that he should present himself at Paris early in the spring.	I have read the passport that has been sent to him from court, with orders that he should present himself at Paris early in the spring.
2960_155152_000006_000006	He told me that he would go willingly, and that it was himself who fixed the spring for his departure; as he wanted to collect his materials, in order that, immediately on his introduction to the king, he might make an experiment worthy of his majesty, by converting a large quantity of lead into the finest gold.	He told me that he would go willingly, and that it was himself who fixed the spring for his departure; as he wanted to collect his materials, in order that, immediately on his introduction to the king, he might make an experiment worthy of his majesty, by converting a large quantity of lead into the finest gold.
2960_155152_000006_000008	As I had the honour to dine with him on Thursday last, the 20th of this month, being seated at his side, I told him in a whisper that he could, if he liked, humble all the enemies of France.	As I had the honour to dine with him on Thursday last, the twentieth of this month, being seated at his side, I told him in a whisper that he could, if he liked, humble all the enemies of France.
2960_155152_000006_000009	He did not deny it, but began to smile.	He did not deny it, but began to smile.
2960_155152_000006_000010	In fact, this man is the miracle of art.	In fact, this man is the miracle of art.
