953_130625_000000_000000	CHAPTER IV.	CHAPTER four.	true	26.955	28.27	24.544443
953_130625_000001_000000	The food question.--Objections to paraffine oil as an atmosphere.--Advantages of cheese as a travelling companion.--A married woman deserts her home.--Further provision for getting upset.--I pack.--Cussedness of tooth-brushes.--George and Harris pack.--Awful behaviour of Montmorency.--We retire to rest.	The food question.--Objections to paraffine oil as an atmosphere.--Advantages of cheese as a travelling companion.--A married woman deserts her home.--Further provision for getting upset.--I pack.--Cussedness of tooth brushes.--George and Harris pack.--Awful behaviour of Montmorency.--We retire to rest.	false	28.73	53.62	21.336535
953_130625_000002_000000	Then we discussed the food question.	Then we discussed the food question.	true	55.1	57.73	24.510359
953_130625_000002_000001	George said:	George said:	true	58.04	59.17	21.441902
953_130625_000003_000000	"Begin with breakfast." (George is so practical.) "Now for breakfast we shall want a frying-pan"--(Harris said it was indigestible; but we merely urged him not to be an ass, and George went on)--"a tea-pot and a kettle, and a methylated spirit stove."	"Begin with breakfast." (George is so practical.) "Now for breakfast we shall want a frying pan"--(Harris said it was indigestible; but we merely urged him not to be an ass, and George went on)--"a tea pot and a kettle, and a methylated spirit stove."	false	59.39	76.81	21.17923
953_130625_000004_000000	"No oil," said George, with a significant look; and Harris and I agreed.	"No oil," said George, with a significant look; and Harris and I agreed.	true	77.15	82.33	19.904879
953_130625_000005_000000	We had taken up an oil-stove once, but "never again." It had been like living in an oil-shop that week.	We had taken up an oil stove once, but "never again." It had been like living in an oil shop that week.	true	82.73	89.73	21.23128
953_130625_000005_000001	It oozed.	It oozed.	true	89.73	90.945	18.979568
953_130625_000005_000002	I never saw such a thing as paraffine oil is to ooze.	I never saw such a thing as paraffine oil is to ooze.	true	90.945	94.81	19
953_130625_000005_000003	We kept it in the nose of the boat, and, from there, it oozed down to the rudder, impregnating the whole boat and everything in it on its way, and it oozed over the river, and saturated the scenery and spoilt the atmosphere.	We kept it in the nose of the boat, and, from there, it oozed down to the rudder, impregnating the whole boat and everything in it on its way, and it oozed over the river, and saturated the scenery and spoilt the atmosphere.	false	95	109.3	21.501661
953_130625_000005_000004	Sometimes a westerly oily wind blew, and at other times an easterly oily wind, and sometimes it blew a northerly oily wind, and maybe a southerly oily wind; but whether it came from the Arctic snows, or was raised in the waste of the desert sands, it came alike to us laden with the fragrance of paraffine oil.	Sometimes a westerly oily wind blew, and at other times an easterly oily wind, and sometimes it blew a northerly oily wind, and maybe a southerly oily wind; but whether it came from the Arctic snows, or was raised in the waste of the desert sands, it came alike to us laden with the fragrance of paraffine oil.	true	109.64	131.77	19.37402
953_130625_000006_000000	And that oil oozed up and ruined the sunset; and as for the moonbeams, they positively reeked of paraffine.	And that oil oozed up and ruined the sunset; and as for the moonbeams, they positively reeked of paraffine.	false	132.92	140.77	21.837532
953_130625_000007_000000	We tried to get away from it at Marlow.	We tried to get away from it at Marlow.	true	141.56	144.1	21.09418
953_130625_000007_000001	We left the boat by the bridge, and took a walk through the town to escape it, but it followed us.	We left the boat by the bridge, and took a walk through the town to escape it, but it followed us.	true	144.38	150.73	23.260378
953_130625_000007_000002	The whole town was full of oil.	The whole town was full of oil.	true	150.98	153.19	23.031387
953_130625_000007_000003	We passed through the church-yard, and it seemed as if the people had been buried in oil.	We passed through the church yard, and it seemed as if the people had been buried in oil.	true	153.41	157.93	19
953_130625_000007_000004	The High Street stunk of oil; we wondered how people could live in it.	The High Street stunk of oil; we wondered how people could live in it.	true	158.33	163.06	21.614594
953_130625_000007_000005	And we walked miles upon miles out Birmingham way; but it was no use, the country was steeped in oil.	And we walked miles upon miles out Birmingham way; but it was no use, the country was steeped in oil.	true	163.22	169.96	20
953_130625_000008_000000	At the end of that trip we met together at midnight in a lonely field, under a blasted oak, and took an awful oath (we had been swearing for a whole week about the thing in an ordinary, middle-class way, but this was a swell affair)--an awful oath never to take paraffine oil with us in a boat again-except, of course, in case of sickness.	At the end of that trip we met together at midnight in a lonely field, under a blasted oak, and took an awful oath (we had been swearing for a whole week about the thing in an ordinary, middle class way, but this was a swell affair)--an awful oath never to take paraffine oil with us in a boat again except, of course, in case of sickness.	false	170.48	194.8	21.398962
953_130625_000009_000000	Therefore, in the present instance, we confined ourselves to methylated spirit.	Therefore, in the present instance, we confined ourselves to methylated spirit.	true	196.58	202.42	21.107761
953_130625_000009_000001	Even that is bad enough.	Even that is bad enough.	true	202.61	204.4	21.322554
953_130625_000009_000002	You get methylated pie and methylated cake.	You get methylated pie and methylated cake.	true	204.56	207.73	21.142555
953_130625_000009_000003	But methylated spirit is more wholesome when taken into the system in large quantities than paraffine oil.	But methylated spirit is more wholesome when taken into the system in large quantities than paraffine oil.	true	207.83	214.3	21.335142
953_130625_000010_000000	For other breakfast things, George suggested eggs and bacon, which were easy to cook, cold meat, tea, bread and butter, and jam.	For other breakfast things, George suggested eggs and bacon, which were easy to cook, cold meat, tea, bread and butter, and jam.	true	215.3	225.4	22.318466
953_130625_000010_000001	For lunch, he said, we could have biscuits, cold meat, bread and butter, and jam--but _no cheese_.	For lunch, he said, we could have biscuits, cold meat, bread and butter, and jam-but underscore no cheese underscore.	false	225.92	233.25	22.460506
953_130625_000010_000002	Cheese, like oil, makes too much of itself.	Cheese, like oil, makes too much of itself.	true	233.25	236.77	22.517368
953_130625_000010_000003	It wants the whole boat to itself.	It wants the whole boat to itself.	true	236.84	239.26	22.725588
953_130625_000010_000004	It goes through the hamper, and gives a cheesy flavour to everything else there.	It goes through the hamper, and gives a cheesy flavour to everything else there.	true	239.33	244.27	20.472485
953_130625_000010_000005	You can't tell whether you are eating apple-pie or German sausage, or strawberries and cream.	You can't tell whether you are eating apple pie or German sausage, or strawberries and cream.	true	244.61	250.875	20.192068
953_130625_000010_000006	It all seems cheese.	It all seems cheese.	true	250.875	252.91	19.076263
953_130625_000010_000007	There is too much odour about cheese.	There is too much odour about cheese.	true	252.98	255.46	24.68393
953_130625_000011_000000	I remember a friend of mine, buying a couple of cheeses at Liverpool. Splendid cheeses they were, ripe and mellow, and with a two hundred horse-power scent about them that might have been warranted to carry three miles, and knock a man over at two hundred yards.	I remember a friend of mine, buying a couple of cheeses at Liverpool. Splendid cheeses they were, ripe and mellow, and with a two hundred horse power scent about them that might have been warranted to carry three miles, and knock a man over at two hundred yards.	true	256.04	272.86	21.107422
953_130625_000011_000001	I was in Liverpool at the time, and my friend said that if I didn't mind he would get me to take them back with me to London, as he should not be coming up for a day or two himself, and he did not think the cheeses ought to be kept much longer.	I was in Liverpool at the time, and my friend said that if I didn't mind he would get me to take them back with me to London, as he should not be coming up for a day or two himself, and he did not think the cheeses ought to be kept much longer.	false	273.26	288.76	22.59853
953_130625_000012_000000	"Oh, with pleasure, dear boy," I replied, "with pleasure."	"Oh, with pleasure, dear boy," I replied, "with pleasure."	true	289.22	292.66	23.432201
953_130625_000013_000000	I called for the cheeses, and took them away in a cab.	I called for the cheeses, and took them away in a cab.	true	293.12	296.77	23.347292
953_130625_000013_000001	It was a ramshackle affair, dragged along by a knock-kneed, broken-winded somnambulist, which his owner, in a moment of enthusiasm, during conversation, referred to as a horse.	It was a ramshackle affair, dragged along by a knock kneed, broken winded somnambulist, which his owner, in a moment of enthusiasm, during conversation, referred to as a horse.	true	296.96	310.12	19.940594
953_130625_000013_000002	I put the cheeses on the top, and we started off at a shamble that would have done credit to the swiftest steam-roller ever built, and all went merry as a funeral bell, until we turned the corner.	I put the cheeses on the top, and we started off at a shamble that would have done credit to the swiftest steam roller ever built, and all went merry as a funeral bell, until we turned the corner.	false	310.58	323.29	20.895138
