953_130625_000000_000000	CHAPTER IV.	CHAPTER four.
953_130625_000002_000000	Then we discussed the food question.	Then we discussed the food question.
953_130625_000002_000001	George said:	George said:
953_130625_000005_000000	We had taken up an oil-stove once, but "never again." It had been like living in an oil-shop that week.	We had taken up an oil stove once, but "never again." It had been like living in an oil shop that week.
953_130625_000007_000000	We tried to get away from it at Marlow.	We tried to get away from it at Marlow.
953_130625_000007_000001	We left the boat by the bridge, and took a walk through the town to escape it, but it followed us.	We left the boat by the bridge, and took a walk through the town to escape it, but it followed us.
953_130625_000007_000002	The whole town was full of oil.	The whole town was full of oil.
953_130625_000007_000004	The High Street stunk of oil; we wondered how people could live in it.	The High Street stunk of oil; we wondered how people could live in it.
953_130625_000007_000005	And we walked miles upon miles out Birmingham way; but it was no use, the country was steeped in oil.	And we walked miles upon miles out Birmingham way; but it was no use, the country was steeped in oil.
953_130625_000009_000000	Therefore, in the present instance, we confined ourselves to methylated spirit.	Therefore, in the present instance, we confined ourselves to methylated spirit.
953_130625_000009_000001	Even that is bad enough.	Even that is bad enough.
953_130625_000009_000002	You get methylated pie and methylated cake.	You get methylated pie and methylated cake.
953_130625_000009_000003	But methylated spirit is more wholesome when taken into the system in large quantities than paraffine oil.	But methylated spirit is more wholesome when taken into the system in large quantities than paraffine oil.
953_130625_000010_000000	For other breakfast things, George suggested eggs and bacon, which were easy to cook, cold meat, tea, bread and butter, and jam.	For other breakfast things, George suggested eggs and bacon, which were easy to cook, cold meat, tea, bread and butter, and jam.
953_130625_000010_000002	Cheese, like oil, makes too much of itself.	Cheese, like oil, makes too much of itself.
953_130625_000010_000003	It wants the whole boat to itself.	It wants the whole boat to itself.
953_130625_000010_000004	It goes through the hamper, and gives a cheesy flavour to everything else there.	It goes through the hamper, and gives a cheesy flavour to everything else there.
953_130625_000010_000005	You can't tell whether you are eating apple-pie or German sausage, or strawberries and cream.	You can't tell whether you are eating apple pie or German sausage, or strawberries and cream.
953_130625_000010_000007	There is too much odour about cheese.	There is too much odour about cheese.
953_130625_000011_000000	I remember a friend of mine, buying a couple of cheeses at Liverpool. Splendid cheeses they were, ripe and mellow, and with a two hundred horse-power scent about them that might have been warranted to carry three miles, and knock a man over at two hundred yards.	I remember a friend of mine, buying a couple of cheeses at Liverpool. Splendid cheeses they were, ripe and mellow, and with a two hundred horse power scent about them that might have been warranted to carry three miles, and knock a man over at two hundred yards.
953_130625_000012_000000	"Oh, with pleasure, dear boy," I replied, "with pleasure."	"Oh, with pleasure, dear boy," I replied, "with pleasure."
953_130625_000013_000000	I called for the cheeses, and took them away in a cab.	I called for the cheeses, and took them away in a cab.
953_130625_000013_000003	There, the wind carried a whiff from the cheeses full on to our steed.	There, the wind carried a whiff from the cheeses full on to our steed.
953_130625_000013_000004	It woke him up, and, with a snort of terror, he dashed off at three miles an hour.	It woke him up, and, with a snort of terror, he dashed off at three miles an hour.
953_130625_000014_000000	It took two porters as well as the driver to hold him in at the station; and I do not think they would have done it, even then, had not one of the men had the presence of mind to put a handkerchief over his nose, and to light a bit of brown paper.	It took two porters as well as the driver to hold him in at the station; and I do not think they would have done it, even then, had not one of the men had the presence of mind to put a handkerchief over his nose, and to light a bit of brown paper.
953_130625_000015_000000	I took my ticket, and marched proudly up the platform, with my cheeses, the people falling back respectfully on either side.	I took my ticket, and marched proudly up the platform, with my cheeses, the people falling back respectfully on either side.
953_130625_000015_000001	The train was crowded, and I had to get into a carriage where there were already seven other people.	The train was crowded, and I had to get into a carriage where there were already seven other people.
953_130625_000015_000002	One crusty old gentleman objected, but I got in, notwithstanding; and, putting my cheeses upon the rack, squeezed down with a pleasant smile, and said it was a warm day.	One crusty old gentleman objected, but I got in, notwithstanding; and, putting my cheeses upon the rack, squeezed down with a pleasant smile, and said it was a warm day.
953_130625_000016_000000	A few moments passed, and then the old gentleman began to fidget.	A few moments passed, and then the old gentleman began to fidget.
953_130625_000018_000000	"Quite oppressive," said the man next him.	"Quite oppressive," said the man next him.
953_130625_000019_000000	And then they both began sniffing, and, at the third sniff, they caught it right on the chest, and rose up without another word and went out. And then a stout lady got up, and said it was disgraceful that a respectable married woman should be harried about in this way, and gathered up a bag and eight parcels and went.	And then they both began sniffing, and, at the third sniff, they caught it right on the chest, and rose up without another word and went out. And then a stout lady got up, and said it was disgraceful that a respectable married woman should be harried about in this way, and gathered up a bag and eight parcels and went.
953_130625_000019_000001	The remaining four passengers sat on for a while, until a solemn-looking man in the corner, who, from his dress and general appearance, seemed to belong to the undertaker class, said it put him in mind of dead baby; and the other three passengers tried to get out of the door at the same time, and hurt themselves.	The remaining four passengers sat on for a while, until a solemn looking man in the corner, who, from his dress and general appearance, seemed to belong to the undertaker class, said it put him in mind of dead baby; and the other three passengers tried to get out of the door at the same time, and hurt themselves.
953_130625_000021_000000	I smiled at the black gentleman, and said I thought we were going to have the carriage to ourselves; and he laughed pleasantly, and said that some people made such a fuss over a little thing.	I smiled at the black gentleman, and said I thought we were going to have the carriage to ourselves; and he laughed pleasantly, and said that some people made such a fuss over a little thing.
953_130625_000021_000002	He accepted, and we forced our way into the buffet, where we yelled, and stamped, and waved our umbrellas for a quarter of an hour; and then a young lady came, and asked us if we wanted anything.	He accepted, and we forced our way into the buffet, where we yelled, and stamped, and waved our umbrellas for a quarter of an hour; and then a young lady came, and asked us if we wanted anything.
953_130625_000022_000000	"What's yours?" I said, turning to my friend.	"What's yours?" I said, turning to my friend.
953_130625_000023_000000	"I'll have half-a-crown's worth of brandy, neat, if you please, miss," he responded.	"I'll have half a crown's worth of brandy, neat, if you please, miss," he responded.
953_130625_000025_000000	From Crewe I had the compartment to myself, though the train was crowded. As we drew up at the different stations, the people, seeing my empty carriage, would rush for it.	From Crewe I had the compartment to myself, though the train was crowded. As we drew up at the different stations, the people, seeing my empty carriage, would rush for it.
953_130625_000025_000002	And they would run along, carrying heavy bags, and fight round the door to get in first.	And they would run along, carrying heavy bags, and fight round the door to get in first.
953_130625_000026_000000	From Euston, I took the cheeses down to my friend's house.	From Euston, I took the cheeses down to my friend's house.
953_130625_000026_000001	When his wife came into the room she smelt round for an instant.	When his wife came into the room she smelt round for an instant.
953_130625_000026_000002	Then she said:	Then she said:
953_130625_000027_000000	"What is it?	"What is it?
953_130625_000027_000001	Tell me the worst."	Tell me the worst."
953_130625_000028_000000	I said:	I said:
953_130625_000029_000000	"It's cheeses.	"It's cheeses.
953_130625_000029_000001	Tom bought them in Liverpool, and asked me to bring them up with me."	Tom bought them in Liverpool, and asked me to bring them up with me."
953_130625_000031_000000	My friend was detained in Liverpool longer than he expected; and, three days later, as he hadn't returned home, his wife called on me.	My friend was detained in Liverpool longer than he expected; and, three days later, as he hadn't returned home, his wife called on me.
953_130625_000031_000001	She said:	She said:
953_130625_000032_000000	"What did Tom say about those cheeses?"	"What did Tom say about those cheeses?"
953_130625_000033_000000	I replied that he had directed they were to be kept in a moist place, and that nobody was to touch them.	I replied that he had directed they were to be kept in a moist place, and that nobody was to touch them.
953_130625_000034_000000	She said:	She said:
953_130625_000035_000000	"Nobody's likely to touch them.	"Nobody's likely to touch them.
953_130625_000035_000001	Had he smelt them?"	Had he smelt them?"
953_130625_000037_000000	"You think he would be upset," she queried, "if I gave a man a sovereign to take them away and bury them?"	"You think he would be upset," she queried, "if I gave a man a sovereign to take them away and bury them?"
953_130625_000040_000000	"Do you mind keeping them for him?	"Do you mind keeping them for him?
953_130625_000040_000001	Let me send them round to you."	Let me send them round to you."
953_130625_000041_000000	"Madam," I replied, "for myself I like the smell of cheese, and the journey the other day with them from Liverpool I shall ever look back upon as a happy ending to a pleasant holiday.	"Madam," I replied, "for myself I like the smell of cheese, and the journey the other day with them from Liverpool I shall ever look back upon as a happy ending to a pleasant holiday.
953_130625_000041_000001	But, in this world, we must consider others.	But, in this world, we must consider others.
953_130625_000042_000000	"Very well, then," said my friend's wife, rising, "all I have to say is, that I shall take the children and go to an hotel until those cheeses are eaten.	"Very well, then," said my friend's wife, rising, "all I have to say is, that I shall take the children and go to an hotel until those cheeses are eaten.
953_130625_000043_000000	She kept her word, leaving the place in charge of the charwoman, who, when asked if she could stand the smell, replied, "What smell?" and who, when taken close to the cheeses and told to sniff hard, said she could detect a faint odour of melons.	She kept her word, leaving the place in charge of the charwoman, who, when asked if she could stand the smell, replied, "What smell?" and who, when taken close to the cheeses and told to sniff hard, said she could detect a faint odour of melons.
953_130625_000044_000003	They said it made them feel quite faint.	They said it made them feel quite faint.
953_130625_000044_000004	And, after that, he took them one dark night and left them in the parish mortuary.	And, after that, he took them one dark night and left them in the parish mortuary.
953_130625_000044_000005	But the coroner discovered them, and made a fearful fuss.	But the coroner discovered them, and made a fearful fuss.
953_130625_000045_000000	He said it was a plot to deprive him of his living by waking up the corpses.	He said it was a plot to deprive him of his living by waking up the corpses.
953_130625_000046_000000	My friend got rid of them, at last, by taking them down to a sea-side town, and burying them on the beach.	My friend got rid of them, at last, by taking them down to a sea side town, and burying them on the beach.
953_130625_000046_000001	It gained the place quite a reputation.	It gained the place quite a reputation.
953_130625_000046_000002	Visitors said they had never noticed before how strong the air was, and weak-chested and consumptive people used to throng there for years afterwards.	Visitors said they had never noticed before how strong the air was, and weak chested and consumptive people used to throng there for years afterwards.
953_130625_000047_000000	Fond as I am of cheese, therefore, I hold that George was right in declining to take any.	Fond as I am of cheese, therefore, I hold that George was right in declining to take any.
953_130625_000049_000000	Harris grew more cheerful.	Harris grew more cheerful.
953_130625_000049_000001	George suggested meat and fruit pies, cold meat, tomatoes, fruit, and green stuff.	George suggested meat and fruit pies, cold meat, tomatoes, fruit, and green stuff.
