7717_104491_000003_000000	"I know she is.	"I know she is.
7717_104491_000003_000001	Have a nice dinner for her.	Have a nice dinner for her.
7717_104491_000003_000002	I don't think she ever has a nice dinner at home."	I don't think she ever has a nice dinner at home."
7717_104491_000004_000000	"And the three eldest girls are coming."	"And the three eldest girls are coming."
7717_104491_000005_000000	"Three!"	"Three!"
7717_104491_000006_000000	"You asked them yourself on Sunday."	"You asked them yourself on Sunday."
7717_104491_000007_000001	They said their papa would be away on business."	They said their papa would be away on business."
7717_104491_000007_000002	It was understood that Mr. Carroll was never asked to the Manor-house.	It was understood that mr Carroll was never asked to the Manor house.
7717_104491_000008_000000	"Business!	"Business!
7717_104491_000009_000000	"They must have their dinner, at any rate," said Mr. Grey.	"They must have their dinner, at any rate," said mr Grey.
7717_104491_000009_000001	"I don't think they should suffer because he drinks."	"I don't think they should suffer because he drinks."
7717_104491_000009_000002	This had been a subject much discussed between them, but on the present occasion Miss Grey would not renew it.	This had been a subject much discussed between them, but on the present occasion Miss Grey would not renew it.
7717_104491_000009_000003	She despatched her father in a cab, the cab having been procured because he was supposed to be a quarter of an hour late, and then went to work to order her dinner.	She despatched her father in a cab, the cab having been procured because he was supposed to be a quarter of an hour late, and then went to work to order her dinner.
7717_104491_000010_000000	It has been said that Miss Grey hated the Carrolls; but she hated the daughters worse than the mother, and of all the people she hated in the world she hated Amelia Carroll the worst.	It has been said that Miss Grey hated the Carrolls; but she hated the daughters worse than the mother, and of all the people she hated in the world she hated Amelia Carroll the worst.
7717_104491_000010_000001	Amelia, the eldest, entertained an idea that she was more of a personage in the world's eyes than her cousin,--that she went to more parties, which certainly was true if she went to any,--that she wore finer clothes, which was also true, and that she had a lover, whereas Dolly Grey,--as she called her cousin behind her back,--had none.	Amelia, the eldest, entertained an idea that she was more of a personage in the world's eyes than her cousin,--that she went to more parties, which certainly was true if she went to any,--that she wore finer clothes, which was also true, and that she had a lover, whereas Dolly Grey,--as she called her cousin behind her back,--had none.
7717_104491_000010_000002	This lover had something to do with horses, and had only been heard of, had never been seen, at the Manor-house. Sophy was a good deal hated also, being a forward, flirting, tricky girl of seventeen, who had just left the school at which Uncle John had paid for her education.	This lover had something to do with horses, and had only been heard of, had never been seen, at the Manor house. Sophy was a good deal hated also, being a forward, flirting, tricky girl of seventeen, who had just left the school at which Uncle john had paid for her education.
7717_104491_000010_000003	Georgina, the third, was still at school under similar circumstances, and was pardoned her egregious noisiness and romping propensities under the score of youth.	Georgina, the third, was still at school under similar circumstances, and was pardoned her egregious noisiness and romping propensities under the score of youth.
7717_104491_000010_000004	She was sixteen, and was possessed of terrible vitality.	She was sixteen, and was possessed of terrible vitality.
7717_104491_000010_000005	"I am sure they take after their father altogether," Mr. Grey had once said when the three left the Manor-house together.	"I am sure they take after their father altogether," mr Grey had once said when the three left the Manor house together.
7717_104491_000010_000006	At half-past six punctually they came.	At half past six punctually they came.
7717_104491_000010_000007	Dolly heard a great clatter of four people leaving their clogs and cloaks in the hall, and would not move out of the unused drawing-room, in which for the moment she was seated.	Dolly heard a great clatter of four people leaving their clogs and cloaks in the hall, and would not move out of the unused drawing room, in which for the moment she was seated.
7717_104491_000010_000010	"Well, Aunt Carroll, how does the world use you?"	"Well, Aunt Carroll, how does the world use you?"
7717_104491_000011_000000	"Very badly.	"Very badly.
7717_104491_000012_000000	"I haven't counted; but when I do come I don't often do any good.	"I haven't counted; but when I do come I don't often do any good.
7717_104491_000012_000001	How are Minna, and Brenda, and Potsey?"	How are Minna, and Brenda, and Potsey?"
7717_104491_000013_000000	"Poor Potsey has got a nasty boil under her arm."	"Poor Potsey has got a nasty boil under her arm."
7717_104491_000014_000000	"It comes from eating too much toffy," said Georgina.	"It comes from eating too much toffy," said Georgina.
7717_104491_000014_000001	"I told her it would."	"I told her it would."
7717_104491_000015_000000	"How very nasty you are!" said Miss Carroll.	"How very nasty you are!" said Miss Carroll.
7717_104491_000015_000001	"Do leave the child and her ailments alone!"	"Do leave the child and her ailments alone!"
7717_104491_000016_000000	"Poor papa isn't very well, either," said Sophy, who was supposed to be her father's pet.	"Poor papa isn't very well, either," said Sophy, who was supposed to be her father's pet.
7717_104491_000017_000000	"I hope his state of health will not debar him from dining with his friends to-night," said Miss Grey.	"I hope his state of health will not debar him from dining with his friends to night," said Miss Grey.
7717_104491_000019_000001	This came from his afflicted wife, who, in spite of all his misfortunes, would ever speak with some respect of her husband's employments.	This came from his afflicted wife, who, in spite of all his misfortunes, would ever speak with some respect of her husband's employments.
7717_104491_000019_000002	"He wasn't at all in a fit state to go to-night, but he had promised, and that was enough."	"He wasn't at all in a fit state to go to night, but he had promised, and that was enough."
7717_104491_000020_000000	When they had waited three-quarters of an hour Amelia began to complain,--certainly not without reason.	When they had waited three quarters of an hour Amelia began to complain,--certainly not without reason.
7717_104491_000020_000001	"I wonder why Uncle John always keeps us waiting in this way?"	"I wonder why Uncle john always keeps us waiting in this way?"
7717_104491_000021_000000	"Papa has, unfortunately, something to do with his time, which is not altogether his own." There was not much in these words, but the tone in which they were uttered would have crushed any one more susceptible than Amelia Carroll.	"Papa has, unfortunately, something to do with his time, which is not altogether his own." There was not much in these words, but the tone in which they were uttered would have crushed any one more susceptible than Amelia Carroll.
7717_104491_000021_000001	But at that moment the cab arrived, and Dolly went down to meet her father.	But at that moment the cab arrived, and Dolly went down to meet her father.
7717_104491_000023_000001	"That girl up-stairs is nearly famished."	"That girl up stairs is nearly famished."
7717_104491_000024_000000	"I won't be half a moment," said the repentant father, hastening up-stairs to go through his ordinary dressing arrangement.	"I won't be half a moment," said the repentant father, hastening up stairs to go through his ordinary dressing arrangement.
7717_104491_000025_000000	"I wouldn't hurry for her," said Dolly; "but of course you'll hurry. You always do, don't you, papa?" Then they sat down to dinner.	"I wouldn't hurry for her," said Dolly; "but of course you'll hurry. You always do, don't you, papa?" Then they sat down to dinner.
7717_104491_000026_000000	"Well, girls, what is your news?"	"Well, girls, what is your news?"
7717_104491_000027_000000	"We were out to-day on the Brompton Road," said the eldest, "and there came up Prince Chitakov's drag with four roans."	"We were out to day on the Brompton Road," said the eldest, "and there came up Prince Chitakov's drag with four roans."
7717_104491_000028_000001	I didn't know there was such a prince."	I didn't know there was such a prince."
7717_104491_000029_000000	"Oh, dear, yes; with very stiff mustaches, turned up high at the corners, and pink cheeks, and a very sharp, nobby-looking hat, with a light-colored grey coat, and light gloves.	"Oh, dear, yes; with very stiff mustaches, turned up high at the corners, and pink cheeks, and a very sharp, nobby looking hat, with a light colored grey coat, and light gloves.
7717_104491_000029_000001	You must know the prince."	You must know the prince."
7717_104491_000030_000001	What did the prince do?"	What did the prince do?"
7717_104491_000031_000000	"He was tooling his own drag, and he had a lady with him on the box.	"He was tooling his own drag, and he had a lady with him on the box.
7717_104491_000031_000001	I never saw anything more tasty than her dress,--dark red silk, with little fluffy fur ornaments all over it.	I never saw anything more tasty than her dress,--dark red silk, with little fluffy fur ornaments all over it.
7717_104491_000031_000002	I wonder who she was?"	I wonder who she was?"
7717_104491_000032_000000	"Mrs. Chitakov, probably," said the attorney.	"mrs Chitakov, probably," said the attorney.
7717_104491_000033_000000	"I don't think the prince is a married man," said Sophy.	"I don't think the prince is a married man," said Sophy.
7717_104491_000036_000001	"It's the Princess of Wales."	"It's the Princess of Wales."
7717_104491_000037_000000	"But it isn't the Princess of Christian, nor yet the Princess of Teck, nor the Princess of England.	"But it isn't the Princess of Christian, nor yet the Princess of Teck, nor the Princess of England.
7717_104491_000038_000000	"Papa, don't bamboozle her," said his daughter.	"Papa, don't bamboozle her," said his daughter.
7717_104491_000039_000000	"But," continued the attorney, "why shouldn't the lady have been his wife?	"But," continued the attorney, "why shouldn't the lady have been his wife?
7717_104491_000039_000001	Don't married ladies wear little fluffy fur ornaments?"	Don't married ladies wear little fluffy fur ornaments?"
7717_104491_000040_000001	"It really isn't becoming."	"It really isn't becoming."
7717_104491_000043_000000	"He did," said Sophy.	"He did," said Sophy.
7717_104491_000043_000001	"It's the most impertinent thing I ever heard.	"It's the most impertinent thing I ever heard.
7717_104491_000043_000002	If my father had seen it he'd have had the prince off the box of the coach in no time."	If my father had seen it he'd have had the prince off the box of the coach in no time."
7717_104491_000044_000001	That she should be sitting at table with a girl who could boast that a reprobate foreigner had kissed his hand to her from the box of a fashionable four-horsed coach!	That she should be sitting at table with a girl who could boast that a reprobate foreigner had kissed his hand to her from the box of a fashionable four horsed coach!
7717_104491_000044_000002	For it was in that light that Miss Grey regarded it. "And did you have any farther adventures besides this memorable encounter with the prince?"	For it was in that light that Miss Grey regarded it. "And did you have any farther adventures besides this memorable encounter with the prince?"
7717_104491_000045_000000	"Nothing nearly so interesting," said Sophy.	"Nothing nearly so interesting," said Sophy.
7717_104491_000046_000000	"That was hardly to be expected," said the attorney.	"That was hardly to be expected," said the attorney.
7717_104491_000046_000001	"Jane, you will have a glass of port-wine?	"Jane, you will have a glass of port wine?
7717_104491_000046_000002	Girls, you must have a glass of port-wine to support you after your disappointment with the prince."	Girls, you must have a glass of port wine to support you after your disappointment with the prince."
7717_104491_000047_000000	"We were not disappointed in the least," said Amelia.	"We were not disappointed in the least," said Amelia.
7717_104491_000049_000000	"That is because the prince did not kiss his hand to you," said Sophy. Then Miss Grey sunk again into silence, crushed beneath this last blow.	"That is because the prince did not kiss his hand to you," said Sophy. Then Miss Grey sunk again into silence, crushed beneath this last blow.
7717_104491_000050_000000	In the evening, when the dinner-things had been taken away, a matter of business came up, and took the place of the prince and his mustaches. Mrs. Carroll was most anxious to know whether her brother could "lend" her a small sum of twenty pounds.	In the evening, when the dinner things had been taken away, a matter of business came up, and took the place of the prince and his mustaches. mrs Carroll was most anxious to know whether her brother could "lend" her a small sum of twenty pounds.
