7717_104491_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	false	0.51	6.825	28.900818
7717_104491_000001_000000	THE CARROLL FAMILY.	THE CARROLL FAMILY.	false	6.825	24.72	24.799105
7717_104491_000002_000000	"Aunt Carroll is coming to dinner to-day," said Dolly the next day, with a serious face.	"Aunt Carroll is coming to dinner to day," said Dolly the next day, with a serious face.	false	24.72	31	22.700094
7717_104491_000003_000000	"I know she is.	"I know she is.	true	31.31	32.41	20.250622
7717_104491_000003_000001	Have a nice dinner for her.	Have a nice dinner for her.	true	32.66	34.66	22.386665
7717_104491_000003_000002	I don't think she ever has a nice dinner at home."	I don't think she ever has a nice dinner at home."	true	34.76	37.36	24.369349
7717_104491_000004_000000	"And the three eldest girls are coming."	"And the three eldest girls are coming."	true	37.76	39.97	25.154264
7717_104491_000005_000000	"Three!"	"Three!"	true	40.19	41.11	24.245266
7717_104491_000006_000000	"You asked them yourself on Sunday."	"You asked them yourself on Sunday."	true	41.51	43.57	22.662386
7717_104491_000007_000000	"Very well.	"Very well.	true	44.54	45.4	16.219248
7717_104491_000007_000001	They said their papa would be away on business."	They said their papa would be away on business."	true	45.5	47.86	23
7717_104491_000007_000002	It was understood that Mr. Carroll was never asked to the Manor-house.	It was understood that mr Carroll was never asked to the Manor house.	true	48.11	52.42	22.967007
7717_104491_000008_000000	"Business!	"Business!	true	53.21	54.13	25.141376
7717_104491_000008_000001	There is a club he belongs to where he dines and gets drunk once a month.	There is a club he belongs to where he dines and gets drunk once a month.	false	54.41	58.35	23.963171
7717_104491_000008_000002	It's the only thing he does regularly."	It's the only thing he does regularly."	false	58.35	60.67	20
7717_104491_000009_000000	"They must have their dinner, at any rate," said Mr. Grey.	"They must have their dinner, at any rate," said mr Grey.	true	61.43	64.6	21
7717_104491_000009_000001	"I don't think they should suffer because he drinks."	"I don't think they should suffer because he drinks."	true	64.76	67.54	29.062271
7717_104491_000009_000002	This had been a subject much discussed between them, but on the present occasion Miss Grey would not renew it.	This had been a subject much discussed between them, but on the present occasion Miss Grey would not renew it.	true	68.18	74.26	26.517591
7717_104491_000009_000003	She despatched her father in a cab, the cab having been procured because he was supposed to be a quarter of an hour late, and then went to work to order her dinner.	She despatched her father in a cab, the cab having been procured because he was supposed to be a quarter of an hour late, and then went to work to order her dinner.	true	74.27	83.32	26.825607
7717_104491_000010_000000	It has been said that Miss Grey hated the Carrolls; but she hated the daughters worse than the mother, and of all the people she hated in the world she hated Amelia Carroll the worst.	It has been said that Miss Grey hated the Carrolls; but she hated the daughters worse than the mother, and of all the people she hated in the world she hated Amelia Carroll the worst.	true	84.77	94.75	23.262087
7717_104491_000010_000001	Amelia, the eldest, entertained an idea that she was more of a personage in the world's eyes than her cousin,--that she went to more parties, which certainly was true if she went to any,--that she wore finer clothes, which was also true, and that she had a lover, whereas Dolly Grey,--as she called her cousin behind her back,--had none.	Amelia, the eldest, entertained an idea that she was more of a personage in the world's eyes than her cousin,--that she went to more parties, which certainly was true if she went to any,--that she wore finer clothes, which was also true, and that she had a lover, whereas Dolly Grey,--as she called her cousin behind her back,--had none.	true	95.06	115.06	24.058605
7717_104491_000010_000002	This lover had something to do with horses, and had only been heard of, had never been seen, at the Manor-house. Sophy was a good deal hated also, being a forward, flirting, tricky girl of seventeen, who had just left the school at which Uncle John had paid for her education.	This lover had something to do with horses, and had only been heard of, had never been seen, at the Manor house. Sophy was a good deal hated also, being a forward, flirting, tricky girl of seventeen, who had just left the school at which Uncle john had paid for her education.	true	115.46	131.83	24.355942
7717_104491_000010_000003	Georgina, the third, was still at school under similar circumstances, and was pardoned her egregious noisiness and romping propensities under the score of youth.	Georgina, the third, was still at school under similar circumstances, and was pardoned her egregious noisiness and romping propensities under the score of youth.	true	132.17	141.88	22.268616
7717_104491_000010_000004	She was sixteen, and was possessed of terrible vitality.	She was sixteen, and was possessed of terrible vitality.	true	142.13	145.96	23.494455
7717_104491_000010_000005	"I am sure they take after their father altogether," Mr. Grey had once said when the three left the Manor-house together.	"I am sure they take after their father altogether," mr Grey had once said when the three left the Manor house together.	true	146.45	153.19	23.88824
7717_104491_000010_000006	At half-past six punctually they came.	At half past six punctually they came.	true	154.43	157.24	25.132494
7717_104491_000010_000007	Dolly heard a great clatter of four people leaving their clogs and cloaks in the hall, and would not move out of the unused drawing-room, in which for the moment she was seated.	Dolly heard a great clatter of four people leaving their clogs and cloaks in the hall, and would not move out of the unused drawing room, in which for the moment she was seated.	true	157.34	166.72	22.383438
7717_104491_000010_000008	Betsey had to prepare the dinner-table down-stairs, and would have been sadly discomfited had she been driven to do it in the presence of three Carroll girls.	Betsey had to prepare the dinner table down stairs, and would have been sadly discomfited had she been driven to do it in the presence of three Carroll girls.	false	167.96	176.11	20
7717_104491_000010_000009	For it must be understood that Betsey had no greater respect for the Carroll girls than her mistress.	For it must be understood that Betsey had no greater respect for the Carroll girls than her mistress.	false	176.3	181.51	24.231997
7717_104491_000010_000010	"Well, Aunt Carroll, how does the world use you?"	"Well, Aunt Carroll, how does the world use you?"	true	182.36	184.78	22.840422
7717_104491_000011_000000	"Very badly.	"Very badly.	true	185.57	186.79	26.430151
7717_104491_000011_000001	You haven't been up to see me for ten days."	You haven't been up to see me for ten days."	true	186.83	189.43	19.011572
7717_104491_000012_000000	"I haven't counted; but when I do come I don't often do any good.	"I haven't counted; but when I do come I don't often do any good.	true	189.71	193.9	26.571587
7717_104491_000012_000001	How are Minna, and Brenda, and Potsey?"	How are Minna, and Brenda, and Potsey?"	true	194	196.33	27
7717_104491_000013_000000	"Poor Potsey has got a nasty boil under her arm."	"Poor Potsey has got a nasty boil under her arm."	true	196.64	199.75	20.804373
7717_104491_000014_000000	"It comes from eating too much toffy," said Georgina.	"It comes from eating too much toffy," said Georgina.	true	199.85	202.47	27
7717_104491_000014_000001	"I told her it would."	"I told her it would."	true	202.47	203.8	24.2346
7717_104491_000015_000000	"How very nasty you are!" said Miss Carroll.	"How very nasty you are!" said Miss Carroll.	true	204.02	206.325	20.45933
7717_104491_000015_000001	"Do leave the child and her ailments alone!"	"Do leave the child and her ailments alone!"	true	206.325	208.87	20.241999
