7460_104483_000000_000000	CHAPTER X.	CHAPTER ten	false	0.96	25.755	22.682533
7460_104483_000001_000000	SIR MAGNUS MOUNTJOY.	SIR MAGNUS MOUNTJOY.	true	25.755	27.52	20.359747
7460_104483_000002_000000	It was the peculiarity of Florence Mountjoy that she did not expect other people to be as good as herself.	It was the peculiarity of Florence Mountjoy that she did not expect other people to be as good as herself.	true	27.56	34.57	25.422873
7460_104483_000002_000001	It was not that she erected for herself a high standard and had then told herself that she had no right to demand from others one so exalted.	It was not that she erected for herself a high standard and had then told herself that she had no right to demand from others one so exalted.	false	35.21	43.27	23.32097
7460_104483_000002_000002	She had erected nothing.	She had erected nothing.	true	43.85	45.4	31.738472
7460_104483_000002_000003	Nor did she know that she attempted to live by grand rules.	Nor did she know that she attempted to live by grand rules.	true	45.59	49.27	20.693705
7460_104483_000002_000004	She had no idea that she was better than anybody else; but it came to her naturally as the result of what had gone before, to be unselfish, generous, trusting, and pure.	She had no idea that she was better than anybody else; but it came to her naturally as the result of what had gone before, to be unselfish, generous, trusting, and pure.	false	49.61	60.88	25.1256
7460_104483_000002_000005	These may be regarded as feminine virtues, and may be said to be sometimes tarnished, by faults which are equally feminine.	These may be regarded as feminine virtues, and may be said to be sometimes tarnished, by faults which are equally feminine.	true	61.52	68.14	22.555714
7460_104483_000002_000006	Unselfishness may become want of character; generosity essentially unjust; confidence may be weak, and purity insipid.	Unselfishness may become want of character; generosity essentially unjust; confidence may be weak, and purity insipid.	true	68.93	78.34	24.708794
7460_104483_000002_000007	Here it was that the strength of Florence Mountjoy asserted itself.	Here it was that the strength of Florence Mountjoy asserted itself.	true	79.22	83.05	22.898588
7460_104483_000002_000008	She knew well what was due to herself, though she would not claim it.	She knew well what was due to herself, though she would not claim it.	true	83.06	86.86	21.70415
7460_104483_000002_000009	She could trust to another, but in silence be quite sure of herself.	She could trust to another, but in silence be quite sure of herself.	true	87.35	91.72	25.643059
7460_104483_000002_000010	Though pure herself, she was rarely shocked by the ways of others.	Though pure herself, she was rarely shocked by the ways of others.	true	92.3	96.24	21.34783
7460_104483_000002_000011	And she was as true as a man pretends to be.	And she was as true as a man pretends to be.	false	96.24	100.24	22.66771
7460_104483_000003_000000	In figure, form, and face she never demanded immediate homage by the sudden flash of her beauty.	In figure, form, and face she never demanded immediate homage by the sudden flash of her beauty.	true	101.06	107.5	22.477741
7460_104483_000003_000001	But when her spell had once fallen on a man's spirit it was not often that he could escape from it quickly.	But when her spell had once fallen on a man's spirit it was not often that he could escape from it quickly.	true	108.17	113.86	22.84935
7460_104483_000003_000002	When she spoke a peculiar melody struck the hearer's ears.	When she spoke a peculiar melody struck the hearer's ears.	true	114.47	118.3	25.310577
7460_104483_000003_000003	Her voice was soft and low and sweet, and full at all times of harmonious words; but when she laughed it was like soft winds playing among countless silver bells. There was something in her touch which to men was almost divine.	Her voice was soft and low and sweet, and full at all times of harmonious words; but when she laughed it was like soft winds playing among countless silver bells. There was something in her touch which to men was almost divine.	false	118.73	134.77	22.744278
7460_104483_000003_000004	Of this she was all unconscious, but was as chary with her fingers as though it seemed that she could ill spare her divinity.	Of this she was all unconscious, but was as chary with her fingers as though it seemed that she could ill spare her divinity.	true	135.32	143.74	20.869873
7460_104483_000004_000000	In height she was a little above the common, but it was by the grace of her movements that the world was compelled to observe her figure.	In height she was a little above the common, but it was by the grace of her movements that the world was compelled to observe her figure.	true	144.62	152.56	24.56511
7460_104483_000004_000001	There are women whose grace is so remarkable as to demand the attention of all.	There are women whose grace is so remarkable as to demand the attention of all.	true	153.14	157.33	24.026253
7460_104483_000004_000002	But then it is known of them, and momentarily seen, that their grace is peculiar.	But then it is known of them, and momentarily seen, that their grace is peculiar.	false	157.64	163.44	20.249472
7460_104483_000004_000003	They have studied their graces, and the result is there only too evident.	They have studied their graces, and the result is there only too evident.	true	163.44	167.71	25.455242
7460_104483_000004_000004	But Florence seemed to have studied nothing.	But Florence seemed to have studied nothing.	true	168.11	170.5	22.650677
7460_104483_000004_000005	The beholder felt that she must have been as graceful when playing with her doll in the nursery.	The beholder felt that she must have been as graceful when playing with her doll in the nursery.	true	171.26	175.96	22.20462
7460_104483_000004_000006	And it was the same with her beauty.	And it was the same with her beauty.	true	176.15	178.06	21.554117
