7460_104483_000001_000000	SIR MAGNUS MOUNTJOY.	SIR MAGNUS MOUNTJOY.
7460_104483_000002_000000	It was the peculiarity of Florence Mountjoy that she did not expect other people to be as good as herself.	It was the peculiarity of Florence Mountjoy that she did not expect other people to be as good as herself.
7460_104483_000002_000002	She had erected nothing.	She had erected nothing.
7460_104483_000002_000003	Nor did she know that she attempted to live by grand rules.	Nor did she know that she attempted to live by grand rules.
7460_104483_000002_000005	These may be regarded as feminine virtues, and may be said to be sometimes tarnished, by faults which are equally feminine.	These may be regarded as feminine virtues, and may be said to be sometimes tarnished, by faults which are equally feminine.
7460_104483_000002_000006	Unselfishness may become want of character; generosity essentially unjust; confidence may be weak, and purity insipid.	Unselfishness may become want of character; generosity essentially unjust; confidence may be weak, and purity insipid.
7460_104483_000002_000007	Here it was that the strength of Florence Mountjoy asserted itself.	Here it was that the strength of Florence Mountjoy asserted itself.
7460_104483_000002_000008	She knew well what was due to herself, though she would not claim it.	She knew well what was due to herself, though she would not claim it.
7460_104483_000002_000009	She could trust to another, but in silence be quite sure of herself.	She could trust to another, but in silence be quite sure of herself.
7460_104483_000002_000010	Though pure herself, she was rarely shocked by the ways of others.	Though pure herself, she was rarely shocked by the ways of others.
7460_104483_000003_000000	In figure, form, and face she never demanded immediate homage by the sudden flash of her beauty.	In figure, form, and face she never demanded immediate homage by the sudden flash of her beauty.
7460_104483_000003_000001	But when her spell had once fallen on a man's spirit it was not often that he could escape from it quickly.	But when her spell had once fallen on a man's spirit it was not often that he could escape from it quickly.
7460_104483_000003_000002	When she spoke a peculiar melody struck the hearer's ears.	When she spoke a peculiar melody struck the hearer's ears.
7460_104483_000003_000004	Of this she was all unconscious, but was as chary with her fingers as though it seemed that she could ill spare her divinity.	Of this she was all unconscious, but was as chary with her fingers as though it seemed that she could ill spare her divinity.
7460_104483_000004_000000	In height she was a little above the common, but it was by the grace of her movements that the world was compelled to observe her figure.	In height she was a little above the common, but it was by the grace of her movements that the world was compelled to observe her figure.
7460_104483_000004_000001	There are women whose grace is so remarkable as to demand the attention of all.	There are women whose grace is so remarkable as to demand the attention of all.
7460_104483_000004_000003	They have studied their graces, and the result is there only too evident.	They have studied their graces, and the result is there only too evident.
7460_104483_000004_000004	But Florence seemed to have studied nothing.	But Florence seemed to have studied nothing.
7460_104483_000004_000005	The beholder felt that she must have been as graceful when playing with her doll in the nursery.	The beholder felt that she must have been as graceful when playing with her doll in the nursery.
7460_104483_000004_000006	And it was the same with her beauty.	And it was the same with her beauty.
7460_104483_000004_000008	Had you taken her face and measured it by certain rules, you would have found that her mouth was too large and her nose irregular.	Had you taken her face and measured it by certain rules, you would have found that her mouth was too large and her nose irregular.
7460_104483_000004_000010	But her eyes were more than ordinarily bright, and when she laughed there seemed to stream from them some heavenly delight. When she did laugh it was as though some spring had been opened from which ran for the time a stream of sweetest intimacy.	But her eyes were more than ordinarily bright, and when she laughed there seemed to stream from them some heavenly delight. When she did laugh it was as though some spring had been opened from which ran for the time a stream of sweetest intimacy.
7460_104483_000004_000011	For the time you would then fancy that you had been let into the inner life of this girl, and would be proud of yourself that so much should have been granted you.	For the time you would then fancy that you had been let into the inner life of this girl, and would be proud of yourself that so much should have been granted you.
7460_104483_000004_000014	It was simply Florence Mountjoy's hair, and that made it perfect in the eyes of her male friends generally.	It was simply Florence Mountjoy's hair, and that made it perfect in the eyes of her male friends generally.
7460_104483_000005_000000	"She's not such a wonderful beauty, after all," once said of her a gentleman to whom it may be presumed that she had not taken the trouble to be peculiarly attractive.	"She's not such a wonderful beauty, after all," once said of her a gentleman to whom it may be presumed that she had not taken the trouble to be peculiarly attractive.
7460_104483_000005_000001	"No," said another,--"no.	"No," said another,--"no
7460_104483_000005_000003	I shouldn't like to have the altering of her." It was thus that men generally felt in regard to Florence Mountjoy.	I shouldn't like to have the altering of her." It was thus that men generally felt in regard to Florence Mountjoy.
7460_104483_000005_000004	When they came to reckon her up they did not see how any change was to be made for the better.	When they came to reckon her up they did not see how any change was to be made for the better.
7460_104483_000006_000000	To Florence, as to most other girls, the question of her future life had been a great trouble.	To Florence, as to most other girls, the question of her future life had been a great trouble.
7460_104483_000006_000002	and whom should she decline to marry?	and whom should she decline to marry?
7460_104483_000006_000003	To a girl, when it is proposed to her suddenly to change everything in life, to go altogether away and place herself under the custody of a new master, to find for herself a new home, new pursuits, new aspirations, and a strange companion, the change must be so complete as almost to frighten her by its awfulness.	To a girl, when it is proposed to her suddenly to change everything in life, to go altogether away and place herself under the custody of a new master, to find for herself a new home, new pursuits, new aspirations, and a strange companion, the change must be so complete as almost to frighten her by its awfulness.
7460_104483_000006_000004	And yet it has to be always thought of, and generally done.	And yet it has to be always thought of, and generally done.
7460_104483_000007_000000	But this change had been presented to Florence in a manner more than ordinarily burdensome.	But this change had been presented to Florence in a manner more than ordinarily burdensome.
7460_104483_000007_000001	Early in life, when naturally she would not have begun to think seriously of marriage, she had been told rather than asked to give herself to her cousin Mountjoy.	Early in life, when naturally she would not have begun to think seriously of marriage, she had been told rather than asked to give herself to her cousin Mountjoy.
7460_104483_000007_000005	Mountjoy Scarborough had been so represented to her that she had considered it to be almost a duty to yield.	Mountjoy Scarborough had been so represented to her that she had considered it to be almost a duty to yield.
7460_104483_000007_000007	She had been subjected to what might be called cruel pressure.	She had been subjected to what might be called cruel pressure.
7460_104483_000007_000008	In season and out of season her mother had represented as a duty this marriage with her cousin.	In season and out of season her mother had represented as a duty this marriage with her cousin.
7460_104483_000007_000009	Why should she not marry her cousin?	Why should she not marry her cousin?
7460_104483_000007_000010	It must be understood that these questions had been asked before any of the terrible facts of Captain Scarborough's life had been made known to her.	It must be understood that these questions had been asked before any of the terrible facts of Captain Scarborough's life had been made known to her.
7460_104483_000007_000011	Because, it may be said, she did not love him.	Because, it may be said, she did not love him.
7460_104483_000007_000012	But in these days she had loved no man, and was inclined to think so little of herself as to make her want of love no necessary bar to the accomplishment of the wish of others.	But in these days she had loved no man, and was inclined to think so little of herself as to make her want of love no necessary bar to the accomplishment of the wish of others.
7460_104483_000007_000015	She did not quite know at first that she loved Harry Annesley, but was almost sure that it was impossible for her to become the wife of Mountjoy Scarborough.	She did not quite know at first that she loved Harry Annesley, but was almost sure that it was impossible for her to become the wife of Mountjoy Scarborough.
7460_104483_000008_000003	He was a dark, handsome, military-looking man, whose chief sin it was in the eyes of his cousin that he seemed to demand from her affection, worship, and obedience.	He was a dark, handsome, military looking man, whose chief sin it was in the eyes of his cousin that he seemed to demand from her affection, worship, and obedience.
7460_104483_000008_000004	She did not analyse his character, but she felt it.	She did not analyse his character, but she felt it.
7460_104483_000008_000005	And when it came to pass that tidings of his debts at last reached her, she felt that she was glad of an excuse, though she knew that the excuse would not have prevailed with her had she liked him.	And when it came to pass that tidings of his debts at last reached her, she felt that she was glad of an excuse, though she knew that the excuse would not have prevailed with her had she liked him.
7460_104483_000008_000006	Then came his debts, and with the knowledge of them a keener perception of his imperiousness.	Then came his debts, and with the knowledge of them a keener perception of his imperiousness.
7460_104483_000008_000007	She could consent to become the wife of the man who had squandered his property and wasted his estate; but not of one who before his marriage demanded of her that submission which, as she thought, should be given by her freely after her marriage.	She could consent to become the wife of the man who had squandered his property and wasted his estate; but not of one who before his marriage demanded of her that submission which, as she thought, should be given by her freely after her marriage.
7460_104483_000008_000008	Harry Annesley glided into her heart after a manner very different from this.	Harry Annesley glided into her heart after a manner very different from this.
7460_104483_000008_000011	It was not till he had come to acknowledge the trouble to which Mountjoy had subjected him that he had ever ventured to speak plainly of his own passion, and even then he had not asked for a reply.	It was not till he had come to acknowledge the trouble to which Mountjoy had subjected him that he had ever ventured to speak plainly of his own passion, and even then he had not asked for a reply.
7460_104483_000009_000000	Even now, when the captain had been declared not to be his father's heir, and when all the world knew that he had disappeared from the face of the earth, Mrs. Mountjoy did not altogether give him up.	Even now, when the captain had been declared not to be his father's heir, and when all the world knew that he had disappeared from the face of the earth, mrs Mountjoy did not altogether give him up.
7460_104483_000009_000001	She partly disbelieved her brother, and partly thought that circumstances could not be so bad as they were described.	She partly disbelieved her brother, and partly thought that circumstances could not be so bad as they were described.
7460_104483_000010_000000	To her feminine mind,--to her, living, not in the world of London, but in the very moderate fashion of Cheltenham,--it seemed to be impossible that an entail should be thus blighted in the bud.	To her feminine mind,--to her, living, not in the world of London, but in the very moderate fashion of Cheltenham,--it seemed to be impossible that an entail should be thus blighted in the bud.
7460_104483_000010_000003	Augustus, whom she had regarded always as quite a Mountjoy, because of his talent, and appearance, and habit of command, had whispered to her a word.	Augustus, whom she had regarded always as quite a Mountjoy, because of his talent, and appearance, and habit of command, had whispered to her a word.
7460_104483_000010_000005	She did not like to be untrue to her gallant nephew. But as she came to turn it in her mind there were certain circumstances which recommended the change to her--should the change be necessary. Florence certainly had expressed an unintelligible objection to the elder brother.	She did not like to be untrue to her gallant nephew. But as she came to turn it in her mind there were certain circumstances which recommended the change to her-should the change be necessary. Florence certainly had expressed an unintelligible objection to the elder brother.
7460_104483_000010_000006	Why should the younger not be more successful?	Why should the younger not be more successful?
7460_104483_000010_000008	Another charmer had come, most objectionable in her sight, but to him no word of absolute encouragement had, as she thought, been yet spoken.	Another charmer had come, most objectionable in her sight, but to him no word of absolute encouragement had, as she thought, been yet spoken.
7460_104483_000010_000009	Augustus had already obtained for himself among his friends the character of an eloquent young lawyer.	Augustus had already obtained for himself among his friends the character of an eloquent young lawyer.
7460_104483_000011_000000	"I think, my love," she said to her daughter one day, "that, under the immediate circumstances of the family, we should retire for a while into private life."	"I think, my love," she said to her daughter one day, "that, under the immediate circumstances of the family, we should retire for a while into private life."
7460_104483_000011_000001	This occurred on the very day on which Septimus Jones had been vaguely informed of the iniquitous falsehood of Harry Annesley.	This occurred on the very day on which Septimus Jones had been vaguely informed of the iniquitous falsehood of Harry Annesley.
7460_104483_000013_000001	Your poor uncle is dying."	Your poor uncle is dying."
7460_104483_000015_000000	"I fear, nevertheless, that he is dying,--though it may, perhaps, take a long time.	"I fear, nevertheless, that he is dying,--though it may, perhaps, take a long time.
7460_104483_000015_000001	And then poor Mountjoy has disappeared.	And then poor Mountjoy has disappeared.
7460_104483_000015_000002	I think that we should see no one till the mystery about Mountjoy has been cleared up. And then the story is so very discreditable."	I think that we should see no one till the mystery about Mountjoy has been cleared up. And then the story is so very discreditable."
7460_104483_000017_000000	"We cannot help ourselves.	"We cannot help ourselves.
7460_104483_000017_000001	This making his eldest son out to be--oh, something so very different--is too horrible to be thought of.	This making his eldest son out to be-oh, something so very different-is too horrible to be thought of.
7460_104483_000017_000002	I am told that nobody knows the truth."	I am told that nobody knows the truth."
7460_104483_000018_000000	"We at any rate are not implicated in that."	"We at any rate are not implicated in that."
7460_104483_000019_000002	Poor Augustus is thrown into terrible difficulties."	Poor Augustus is thrown into terrible difficulties."
7460_104483_000020_000000	"I am told that he is greatly pleased at finding that Tretton is to belong to him."	"I am told that he is greatly pleased at finding that Tretton is to belong to him."
7460_104483_000021_000000	"Who tells you that?	"Who tells you that?
7460_104483_000021_000001	You have no right to believe anything about such near relatives from any one.	You have no right to believe anything about such near relatives from any one.
7460_104483_000021_000002	Whoever told you so has been very wicked." Mrs. Mountjoy no doubt thought that this wicked communication had been made by Harry Annesley.	Whoever told you so has been very wicked." mrs Mountjoy no doubt thought that this wicked communication had been made by Harry Annesley.
7460_104483_000022_000000	"I do not know that the family can have any honor left," said Florence, severely.	"I do not know that the family can have any honor left," said Florence, severely.
7460_104483_000023_000000	"My dear, you have no right to say that.	"My dear, you have no right to say that.
7460_104483_000023_000001	The Scarboroughs have always held their heads very high in Staffordshire, and more so of late than ever.	The Scarboroughs have always held their heads very high in Staffordshire, and more so of late than ever.
