7926_254948_000000_000000	CHAPTER IV. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	CHAPTER four. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	false	29.25	36.78	23.774494
7926_254948_000001_000000	Drake--Cavendish--De Noort--Walter Raleigh.	Drake-Cavendish-De Noort-Walter Raleigh.	false	36.78	38.22	5
7926_254948_000002_000000	A very poor cottage at Tavistock in Devonshire was the birthplace in 1540, of Francis Drake, who was destined to gain millions by his indomitable courage, which however, he lost with as much facility as he had obtained them.	A very poor cottage at Tavistock in Devonshire was the birthplace in fifteen forty, of Francis Drake, who was destined to gain millions by his indomitable courage, which however, he lost with as much facility as he had obtained them.	false	38.22	52.45	24.210157
7926_254948_000002_000001	Edmund Drake his father, was one of those clergy who devote themselves to the education of the people.	Edmund Drake his father, was one of those clergy who devote themselves to the education of the people.	true	53.12	58.69	23.257889
7926_254948_000002_000002	His poverty was only equalled by the respect which was felt for his character.	His poverty was only equalled by the respect which was felt for his character.	true	59.18	63.46	24.51152
7926_254948_000002_000003	Burdened with a family as he was, the father of Francis Drake found himself obliged from necessity to allow his son to embrace the maritime profession, for which he had an ardent longing, and to serve as cabin-boy on board a coasting vessel which traded with Holland.	Burdened with a family as he was, the father of Francis Drake found himself obliged from necessity to allow his son to embrace the maritime profession, for which he had an ardent longing, and to serve as cabin boy on board a coasting vessel which traded with Holland.	true	63.92	79.63	22.557741
7926_254948_000002_000004	Industrious, active, self-reliant, and saving, the young Francis Drake had soon acquired all the theoretical knowledge needed for the direction of a vessel.	Industrious, active, self reliant, and saving, the young Francis Drake had soon acquired all the theoretical knowledge needed for the direction of a vessel.	true	80.24	90.1	25.09344
7926_254948_000002_000005	When he had realized a small sum, which was increased by the sale of a vessel bequeathed to him by his first master, he made more extended voyages; he visited the Bay of Biscay and the Gulf of Guinea, and laid out all his capital in purchasing a cargo which he hoped to sell in the West Indies.	When he had realized a small sum, which was increased by the sale of a vessel bequeathed to him by his first master, he made more extended voyages; he visited the Bay of Biscay and the Gulf of Guinea, and laid out all his capital in purchasing a cargo which he hoped to sell in the West Indies.	true	90.71	108.07	23.31059
7926_254948_000002_000006	But no sooner had he arrived at Rio de la Hacha, than both ship and cargo were confiscated, we know not under what frivolous pretext. All the remonstrances of Drake, who thus saw himself ruined, were useless.	But no sooner had he arrived at Rio de la Hacha, than both ship and cargo were confiscated, we know not under what frivolous pretext. All the remonstrances of Drake, who thus saw himself ruined, were useless.	true	108.62	122.2	22.267485
7926_254948_000002_000007	He vowed to avenge himself for such a piece of injustice, and he kept his word.	He vowed to avenge himself for such a piece of injustice, and he kept his word.	true	122.51	128.71	22.333923
7926_254948_000003_000000	In 1567, two years after this adventure, a small fleet of six vessels, of which the largest was of 700 tons' burden, left Plymouth with the sanction of the Queen, to make an expedition to the Coasts of Mexico.	In fifteen sixty seven, two years after this adventure, a small fleet of six vessels, of which the largest was of seven hundred tons' burden, left Plymouth with the sanction of the Queen, to make an expedition to the Coasts of Mexico.	true	129.08	142.09	24.39198
