6956_81870_000002_000005	It would take her five minutes to reach the lodge gate.	It would take her five minutes to reach the lodge gate.
6956_81870_000002_000007	She had, therefore, eight minutes to spare.	She had, therefore, eight minutes to spare.
6956_81870_000002_000009	Graciously she accepted the invitation.	Graciously she accepted the invitation.
6956_81870_000003_000001	Her appointments were kept to the minute, and her appointment (self-made on this occasion) was the welcoming of her uncle, the Archdeacon, on the threshold of Drane's Court.	Her appointments were kept to the minute, and her appointment (self made on this occasion) was the welcoming of her uncle, the Archdeacon, on the threshold of Drane's Court.
6956_81870_000004_000001	She loved Drane's Court.	She loved Drane's Court.
6956_81870_000004_000002	Save for the three years of her brother's short married life, it had been part of herself.	Save for the three years of her brother's short married life, it had been part of herself.
6956_81870_000004_000004	As for the name, he had used that of his wife, Viscountess Drane in her own right,--a notorious beauty of whom, so History recounts, he was senilely enamoured and on whose naughty account he was eventually run through the body by a young Mohawk of a paramour.	As for the name, he had used that of his wife, Viscountess Drane in her own right,--a notorious beauty of whom, so History recounts, he was senilely enamoured and on whose naughty account he was eventually run through the body by a young Mohawk of a paramour.
6956_81870_000005_000000	Ursula and her brother were proud of the romantic episode, and would relate it to guests and point out the scene of the duel.	Ursula and her brother were proud of the romantic episode, and would relate it to guests and point out the scene of the duel.
6956_81870_000006_000000	This aspect of family history seldom presented itself to Ursula Winwood.	This aspect of family history seldom presented itself to Ursula Winwood.
6956_81870_000006_000003	Ursula Winwood closed her eyes.	Ursula Winwood closed her eyes.
6956_81870_000006_000012	Miss Ursula Winwood fell asleep.	Miss Ursula Winwood fell asleep.
6956_81870_000007_000001	He was dark and handsome, and, by a trick of coincidence, was dressed in loose knickerbocker suit, just as he was when he had walked up that very avenue to say his last good-bye.	He was dark and handsome, and, by a trick of coincidence, was dressed in loose knickerbocker suit, just as he was when he had walked up that very avenue to say his last good bye.
6956_81870_000007_000002	She remained for a moment tense, passively awaiting co-ordination of her faculties.	She remained for a moment tense, passively awaiting co-ordination of her faculties.
6956_81870_000007_000003	Then clear awake, and sending scudding the dear ghosts of the past, she sat up, and catching the indignant spaniel by the collar, looked with a queer, sudden interest at the newcomer.	Then clear awake, and sending scudding the dear ghosts of the past, she sat up, and catching the indignant spaniel by the collar, looked with a queer, sudden interest at the newcomer.
6956_81870_000007_000004	He was young, extraordinarily beautiful; but he staggered and reeled like a drunken man.	He was young, extraordinarily beautiful; but he staggered and reeled like a drunken man.
6956_81870_000007_000005	The spaniel barked his respectable disapproval.	The spaniel barked his respectable disapproval.
6956_81870_000007_000008	But the trespasser did not hear.	But the trespasser did not hear.
6956_81870_000007_000009	He kept on advancing. Miss Winwood rose, disgusted, and drew herself up.	He kept on advancing. Miss Winwood rose, disgusted, and drew herself up.
6956_81870_000007_000010	The young man threw out his hands towards her, tripped over the three-inch-high border of grass, and fell in a sprawling heap at her feet.	The young man threw out his hands towards her, tripped over the three inch high border of grass, and fell in a sprawling heap at her feet.
6956_81870_000008_000000	He lay very still.	He lay very still.
6956_81870_000008_000001	Ursula Winwood looked down upon him.	Ursula Winwood looked down upon him.
6956_81870_000008_000002	The shiny brown spaniel took up a strategic position three yards away and growled, his chin between his paws.	The shiny brown spaniel took up a strategic position three yards away and growled, his chin between his paws.
6956_81870_000008_000006	For a moment or so she had a qualm of fear lest he might be dead.	For a moment or so she had a qualm of fear lest he might be dead.
