480_127525_000000_000000	Narrative Continued by the Doctor: The Jolly-boat's Last Trip	Narrative Continued by the Doctor: The Jolly boat's Last Trip	true	21.57	26.56	25.960442
480_127525_000001_000000	THIS fifth trip was quite different from any of the others.	THIS fifth trip was quite different from any of the others.	true	29.48	33.73	25.915339
480_127525_000001_000001	In the first place, the little gallipot of a boat that we were in was gravely overloaded.	In the first place, the little gallipot of a boat that we were in was gravely overloaded.	true	35.18	41.83	25.550455
480_127525_000001_000002	Five grown men, and three of them--Trelawney, Redruth, and the captain--over six feet high, was already more than she was meant to carry.	Five grown men, and three of them-Trelawney, Redruth, and the captain-over six feet high, was already more than she was meant to carry.	true	42.89	54.25	22.04191
480_127525_000001_000003	Add to that the powder, pork, and bread-bags.	Add to that the powder, pork, and bread bags.	true	56.03	60.1	27.51973
480_127525_000001_000004	The gunwale was lipping astern.	The gunwale was lipping astern.	true	61.88	64.39	23.016808
480_127525_000001_000005	Several times we shipped a little water, and my breeches and the tails of my coat were all soaking wet before we had gone a hundred yards.	Several times we shipped a little water, and my breeches and the tails of my coat were all soaking wet before we had gone a hundred yards.	true	65.42	74.89	21.762545
480_127525_000002_000000	The captain made us trim the boat, and we got her to lie a little more evenly.	The captain made us trim the boat, and we got her to lie a little more evenly.	false	77.33	83.02	23.864899
480_127525_000002_000001	All the same, we were afraid to breathe.	All the same, we were afraid to breathe.	true	83.99	88.36	21.83522
480_127525_000003_000000	In the second place, the ebb was now making--a strong rippling current running westward through the basin, and then south'ard and seaward down the straits by which we had entered in the morning.	In the second place, the ebb was now making-a strong rippling current running westward through the basin, and then south'ard and seaward down the straits by which we had entered in the morning.	false	88.73	105.04	23.751938
480_127525_000003_000001	Even the ripples were a danger to our overloaded craft, but the worst of it was that we were swept out of our true course and away from our proper landing-place behind the point.	Even the ripples were a danger to our overloaded craft, but the worst of it was that we were swept out of our true course and away from our proper landing place behind the point.	true	106.85	119.62	24.20912
480_127525_000003_000002	If we let the current have its way we should come ashore beside the gigs, where the pirates might appear at any moment.	If we let the current have its way we should come ashore beside the gigs, where the pirates might appear at any moment.	false	121.31	131.16	23.297037
480_127525_000004_000000	"I cannot keep her head for the stockade, sir," said I to the captain. I was steering, while he and Redruth, two fresh men, were at the oars. "The tide keeps washing her down.	"I cannot keep her head for the stockade, sir," said I to the captain. I was steering, while he and Redruth, two fresh men, were at the oars. "The tide keeps washing her down.	true	131.16	147.28	23.034071
480_127525_000004_000001	Could you pull a little stronger?"	Could you pull a little stronger?"	true	147.83	150.01	23.018608
480_127525_000005_000000	"Not without swamping the boat," said he.	"Not without swamping the boat," said he.	false	151.55	154.48	24
480_127525_000005_000001	"You must bear up, sir, if you please--bear up until you see you're gaining."	"You must bear up, sir, if you please-bear up until you see you're gaining."	true	155.3	161.26	23.621054
480_127525_000006_000000	I tried and found by experiment that the tide kept sweeping us westward until I had laid her head due east, or just about right angles to the way we ought to go.	I tried and found by experiment that the tide kept sweeping us westward until I had laid her head due east, or just about right angles to the way we ought to go.	true	163.37	176.23	22.404087
480_127525_000007_000000	"We'll never get ashore at this rate," said I.	"We'll never get ashore at this rate," said i	true	178.25	181.3	27.55934
480_127525_000008_000000	"If it's the only course that we can lie, sir, we must even lie it," returned the captain.	"If it's the only course that we can lie, sir, we must even lie it," returned the captain.	true	183.59	190.12	24.870949
480_127525_000008_000001	"We must keep upstream.	"We must keep upstream.	true	191.36	193.48	30.696121
480_127525_000008_000002	You see, sir," he went on, "if once we dropped to leeward of the landing-place, it's hard to say where we should get ashore, besides the chance of being boarded by the gigs; whereas, the way we go the current must slacken, and then we can dodge back along the shore."	You see, sir," he went on, "if once we dropped to leeward of the landing place, it's hard to say where we should get ashore, besides the chance of being boarded by the gigs; whereas, the way we go the current must slacken, and then we can dodge back along the shore."	false	194.24	218.38	22.111206
480_127525_000009_000000	"The current's less a'ready, sir," said the man Gray, who was sitting in the fore-sheets; "you can ease her off a bit."	"The current's less a'ready, sir," said the man Gray, who was sitting in the fore sheets; "you can ease her off a bit."	false	220.46	229.99	20.418505
480_127525_000010_000000	"Thank you, my man," said I, quite as if nothing had happened, for we had all quietly made up our minds to treat him like one of ourselves.	"Thank you, my man," said I, quite as if nothing had happened, for we had all quietly made up our minds to treat him like one of ourselves.	true	232.22	243.37	23.06079
480_127525_000011_000000	Suddenly the captain spoke up again, and I thought his voice was a little changed.	Suddenly the captain spoke up again, and I thought his voice was a little changed.	true	246.05	251.83	23.48431
480_127525_000012_000000	"The gun!" said he.	"The gun!" said he.	true	252.68	254.29	20.97605
480_127525_000013_000000	"I have thought of that," said I, for I made sure he was thinking of a bombardment of the fort.	"I have thought of that," said I, for I made sure he was thinking of a bombardment of the fort.	false	255.59	264.18	21.279362
480_127525_000013_000001	"They could never get the gun ashore, and if they did, they could never haul it through the woods."	"They could never get the gun ashore, and if they did, they could never haul it through the woods."	true	264.18	271.12	23.954609
480_127525_000014_000000	"Look astern, doctor," replied the captain.	"Look astern, doctor," replied the captain.	true	273.23	276.07	23.45741
480_127525_000015_000000	We had entirely forgotten the long nine; and there, to our horror, were the five rogues busy about her, getting off her jacket, as they called the stout tarpaulin cover under which she sailed.	We had entirely forgotten the long nine; and there, to our horror, were the five rogues busy about her, getting off her jacket, as they called the stout tarpaulin cover under which she sailed.	true	278.09	294.76	21.63591
480_127525_000015_000001	Not only that, but it flashed into my mind at the same moment that the round-shot and the powder for the gun had been left behind, and a stroke with an axe would put it all into the possession of the evil ones abroad.	Not only that, but it flashed into my mind at the same moment that the round shot and the powder for the gun had been left behind, and a stroke with an axe would put it all into the possession of the evil ones abroad.	false	296.42	317.46	20.854694
480_127525_000016_000000	"Israel was Flint's gunner," said Gray hoarsely.	"Israel was Flint's gunner," said Gray hoarsely.	true	317.46	321.43	21.614721
480_127525_000017_000000	At any risk, we put the boat's head direct for the landing-place.	At any risk, we put the boat's head direct for the landing place.	true	325.73	330.91	23.473734
480_127525_000017_000001	By this time we had got so far out of the run of the current that we kept steerage way even at our necessarily gentle rate of rowing, and I could keep her steady for the goal.	By this time we had got so far out of the run of the current that we kept steerage way even at our necessarily gentle rate of rowing, and I could keep her steady for the goal.	true	332.42	345.52	23.35278
480_127525_000017_000002	But the worst of it was that with the course I now held we turned our broadside instead of our stern to the HISPANIOLA and offered a target like a barn door.	But the worst of it was that with the course I now held we turned our broadside instead of our stern to the HISPANIOLA and offered a target like a barn door.	true	347.18	364.72	19.070492
480_127525_000018_000000	I could hear as well as see that brandy-faced rascal Israel Hands plumping down a round-shot on the deck.	I could hear as well as see that brandy faced rascal Israel Hands plumping down a round shot on the deck.	true	365.03	375.4	23.515863
480_127525_000019_000000	"Who's the best shot?" asked the captain.	"Who's the best shot?" asked the captain.	true	377.36	380.38	26.582197
480_127525_000020_000000	"Mr. Trelawney, out and away," said I.	"mr Trelawney, out and away," said i	false	382.13	385.3	21.140375
480_127525_000021_000000	"Mr. Trelawney, will you please pick me off one of these men, sir? Hands, if possible," said the captain.	"mr Trelawney, will you please pick me off one of these men, sir? Hands, if possible," said the captain.	true	388.88	397.5	23.12366
480_127525_000022_000000	Trelawney was as cool as steel.	Trelawney was as cool as steel.	false	397.5	401.8	21.95941
480_127525_000022_000001	He looked to the priming of his gun.	He looked to the priming of his gun.	true	402.26	404.71	25.178791
480_127525_000023_000000	"Now," cried the captain, "easy with that gun, sir, or you'll swamp the boat.	"Now," cried the captain, "easy with that gun, sir, or you'll swamp the boat.	true	405.8	412.42	26.767332
480_127525_000023_000001	All hands stand by to trim her when he aims."	All hands stand by to trim her when he aims."	true	413.63	417.16	22.613747
480_127525_000024_000000	The squire raised his gun, the rowing ceased, and we leaned over to the other side to keep the balance, and all was so nicely contrived that we did not ship a drop.	The squire raised his gun, the rowing ceased, and we leaned over to the other side to keep the balance, and all was so nicely contrived that we did not ship a drop.	false	419.93	435.67	24.000952
480_127525_000025_000000	They had the gun, by this time, slewed round upon the swivel, and Hands, who was at the muzzle with the rammer, was in consequence the most exposed.	They had the gun, by this time, slewed round upon the swivel, and Hands, who was at the muzzle with the rammer, was in consequence the most exposed.	true	437.75	451.3	21.12864
480_127525_000025_000001	However, we had no luck, for just as Trelawney fired, down he stooped, the ball whistled over him, and it was one of the other four who fell.	However, we had no luck, for just as Trelawney fired, down he stooped, the ball whistled over him, and it was one of the other four who fell.	true	452.84	466.33	20.720394
480_127525_000026_000000	The cry he gave was echoed not only by his companions on board but by a great number of voices from the shore, and looking in that direction I saw the other pirates trooping out from among the trees and tumbling into their places in the boats.	The cry he gave was echoed not only by his companions on board but by a great number of voices from the shore, and looking in that direction I saw the other pirates trooping out from among the trees and tumbling into their places in the boats.	true	468.86	492.22	20.13345
480_127525_000027_000000	"Here come the gigs, sir," said I.	"Here come the gigs, sir," said i	false	493.55	496.42	22.286352
480_127525_000028_000000	"Give way, then," cried the captain.	"Give way, then," cried the captain.	true	498.17	500.71	21.311443
480_127525_000028_000001	"We mustn't mind if we swamp her now.	"We mustn't mind if we swamp her now.	true	501.68	504.31	23
480_127525_000028_000002	If we can't get ashore, all's up."	If we can't get ashore, all's up."	true	504.89	507.61	21.729864
480_127525_000029_000000	"Only one of the gigs is being manned, sir," I added; "the crew of the other most likely going round by shore to cut us off."	"Only one of the gigs is being manned, sir," I added; "the crew of the other most likely going round by shore to cut us off."	false	509.63	519.4	20.971977
480_127525_000030_000000	"They'll have a hot run, sir," returned the captain.	"They'll have a hot run, sir," returned the captain.	true	522.71	526.42	20.50151
480_127525_000030_000001	"Jack ashore, you know.	"Jack ashore, you know.	true	527.54	529.27	22.659615
480_127525_000030_000002	It's not them I mind; it's the round-shot.	It's not them I mind; it's the round shot.	true	530.09	533.71	20.455002
480_127525_000030_000003	Carpet bowls!	Carpet bowls!	true	535.13	536.29	25.420742
480_127525_000030_000004	My lady's maid couldn't miss.	My lady's maid couldn't miss.	true	537.08	539.29	21
480_127525_000030_000005	Tell us, squire, when you see the match, and we'll hold water."	Tell us, squire, when you see the match, and we'll hold water."	true	540.62	545.41	25.465366
480_127525_000031_000000	In the meanwhile we had been making headway at a good pace for a boat so overloaded, and we had shipped but little water in the process.	In the meanwhile we had been making headway at a good pace for a boat so overloaded, and we had shipped but little water in the process.	true	548.12	559.06	22.000168
480_127525_000031_000001	We were now close in; thirty or forty strokes and we should beach her, for the ebb had already disclosed a narrow belt of sand below the clustering trees.	We were now close in; thirty or forty strokes and we should beach her, for the ebb had already disclosed a narrow belt of sand below the clustering trees.	true	560.57	573.46	22.015373
480_127525_000031_000002	The gig was no longer to be feared; the little point had already concealed it from our eyes.	The gig was no longer to be feared; the little point had already concealed it from our eyes.	true	574.79	581.77	21.559103
480_127525_000031_000003	The ebb-tide, which had so cruelly delayed us, was now making reparation and delaying our assailants.	The ebb tide, which had so cruelly delayed us, was now making reparation and delaying our assailants.	true	583.34	591.85	21.16149
480_127525_000031_000004	The one source of danger was the gun.	The one source of danger was the gun.	true	592.79	595.9	20.198315
480_127525_000032_000000	"If I durst," said the captain, "I'd stop and pick off another man."	"If I durst," said the captain, "I'd stop and pick off another man."	true	598.16	604.27	24.593033
480_127525_000033_000000	But it was plain that they meant nothing should delay their shot.	But it was plain that they meant nothing should delay their shot.	true	606.41	610.66	24.6564
480_127525_000033_000001	They had never so much as looked at their fallen comrade, though he was not dead, and I could see him trying to crawl away.	They had never so much as looked at their fallen comrade, though he was not dead, and I could see him trying to crawl away.	true	611.75	621.49	22.387478
480_127525_000034_000000	"Ready!" cried the squire.	"Ready!" cried the squire.	true	623.12	625.12	24.79165
480_127525_000035_000000	"Hold!" cried the captain, quick as an echo.	"Hold!" cried the captain, quick as an echo.	true	625.82	629.68	24.930506
480_127525_000036_000000	And he and Redruth backed with a great heave that sent her stern bodily under water.	And he and Redruth backed with a great heave that sent her stern bodily under water.	true	632.45	639.12	21.170235
480_127525_000036_000001	The report fell in at the same instant of time.	The report fell in at the same instant of time.	false	639.12	643.54	22.448797
480_127525_000036_000002	This was the first that Jim heard, the sound of the squire's shot not having reached him.	This was the first that Jim heard, the sound of the squire's shot not having reached him.	true	644.57	651.34	24.129423
