480_127525_000000_000000	Narrative Continued by the Doctor: The Jolly-boat's Last Trip	Narrative Continued by the Doctor: The Jolly boat's Last Trip
480_127525_000001_000000	THIS fifth trip was quite different from any of the others.	THIS fifth trip was quite different from any of the others.
480_127525_000001_000001	In the first place, the little gallipot of a boat that we were in was gravely overloaded.	In the first place, the little gallipot of a boat that we were in was gravely overloaded.
480_127525_000001_000002	Five grown men, and three of them--Trelawney, Redruth, and the captain--over six feet high, was already more than she was meant to carry.	Five grown men, and three of them-Trelawney, Redruth, and the captain-over six feet high, was already more than she was meant to carry.
480_127525_000001_000003	Add to that the powder, pork, and bread-bags.	Add to that the powder, pork, and bread bags.
480_127525_000001_000004	The gunwale was lipping astern.	The gunwale was lipping astern.
480_127525_000001_000005	Several times we shipped a little water, and my breeches and the tails of my coat were all soaking wet before we had gone a hundred yards.	Several times we shipped a little water, and my breeches and the tails of my coat were all soaking wet before we had gone a hundred yards.
480_127525_000002_000001	All the same, we were afraid to breathe.	All the same, we were afraid to breathe.
480_127525_000003_000001	Even the ripples were a danger to our overloaded craft, but the worst of it was that we were swept out of our true course and away from our proper landing-place behind the point.	Even the ripples were a danger to our overloaded craft, but the worst of it was that we were swept out of our true course and away from our proper landing place behind the point.
480_127525_000004_000000	"I cannot keep her head for the stockade, sir," said I to the captain. I was steering, while he and Redruth, two fresh men, were at the oars. "The tide keeps washing her down.	"I cannot keep her head for the stockade, sir," said I to the captain. I was steering, while he and Redruth, two fresh men, were at the oars. "The tide keeps washing her down.
480_127525_000004_000001	Could you pull a little stronger?"	Could you pull a little stronger?"
480_127525_000005_000001	"You must bear up, sir, if you please--bear up until you see you're gaining."	"You must bear up, sir, if you please-bear up until you see you're gaining."
480_127525_000006_000000	I tried and found by experiment that the tide kept sweeping us westward until I had laid her head due east, or just about right angles to the way we ought to go.	I tried and found by experiment that the tide kept sweeping us westward until I had laid her head due east, or just about right angles to the way we ought to go.
480_127525_000007_000000	"We'll never get ashore at this rate," said I.	"We'll never get ashore at this rate," said i
480_127525_000008_000000	"If it's the only course that we can lie, sir, we must even lie it," returned the captain.	"If it's the only course that we can lie, sir, we must even lie it," returned the captain.
480_127525_000008_000001	"We must keep upstream.	"We must keep upstream.
480_127525_000010_000000	"Thank you, my man," said I, quite as if nothing had happened, for we had all quietly made up our minds to treat him like one of ourselves.	"Thank you, my man," said I, quite as if nothing had happened, for we had all quietly made up our minds to treat him like one of ourselves.
480_127525_000011_000000	Suddenly the captain spoke up again, and I thought his voice was a little changed.	Suddenly the captain spoke up again, and I thought his voice was a little changed.
480_127525_000012_000000	"The gun!" said he.	"The gun!" said he.
480_127525_000013_000001	"They could never get the gun ashore, and if they did, they could never haul it through the woods."	"They could never get the gun ashore, and if they did, they could never haul it through the woods."
480_127525_000014_000000	"Look astern, doctor," replied the captain.	"Look astern, doctor," replied the captain.
480_127525_000015_000000	We had entirely forgotten the long nine; and there, to our horror, were the five rogues busy about her, getting off her jacket, as they called the stout tarpaulin cover under which she sailed.	We had entirely forgotten the long nine; and there, to our horror, were the five rogues busy about her, getting off her jacket, as they called the stout tarpaulin cover under which she sailed.
480_127525_000016_000000	"Israel was Flint's gunner," said Gray hoarsely.	"Israel was Flint's gunner," said Gray hoarsely.
480_127525_000017_000000	At any risk, we put the boat's head direct for the landing-place.	At any risk, we put the boat's head direct for the landing place.
480_127525_000017_000001	By this time we had got so far out of the run of the current that we kept steerage way even at our necessarily gentle rate of rowing, and I could keep her steady for the goal.	By this time we had got so far out of the run of the current that we kept steerage way even at our necessarily gentle rate of rowing, and I could keep her steady for the goal.
480_127525_000018_000000	I could hear as well as see that brandy-faced rascal Israel Hands plumping down a round-shot on the deck.	I could hear as well as see that brandy faced rascal Israel Hands plumping down a round shot on the deck.
480_127525_000019_000000	"Who's the best shot?" asked the captain.	"Who's the best shot?" asked the captain.
