475_125002_000000_000000	There are moments when one sympathises with Herod.	There are moments when one sympathises with Herod.	false	5.25	20.595	19.85301
475_125002_000001_000000	REGINALD AT THE CARLTON	REGINALD AT THE CARLTON	false	20.595	30.96	17.979248
475_125002_000002_000000	"A most variable climate," said the Duchess; "and how unfortunate that we should have had that very cold weather at a time when coal was so dear! So distressing for the poor."	"A most variable climate," said the Duchess; "and how unfortunate that we should have had that very cold weather at a time when coal was so dear! So distressing for the poor."	true	30.96	41.11	20.981167
475_125002_000003_000000	"Someone has observed that Providence is always on the side of the big dividends," remarked Reginald.	"Someone has observed that Providence is always on the side of the big dividends," remarked Reginald.	true	42.44	50.77	20.097744
475_125002_000004_000000	The Duchess ate an anchovy in a shocked manner; she was sufficiently old- fashioned to dislike irreverence towards dividends.	The Duchess ate an anchovy in a shocked manner; she was sufficiently old fashioned to dislike irreverence towards dividends.	true	51.5	59.86	19.925093
475_125002_000005_000000	Reginald had left the selection of a feeding-ground to her womanly intuition, but he chose the wine himself, knowing that womanly intuition stops short at claret.	Reginald had left the selection of a feeding ground to her womanly intuition, but he chose the wine himself, knowing that womanly intuition stops short at claret.	true	61.31	71.83	21.021856
475_125002_000005_000001	A woman will cheerfully choose husbands for her less attractive friends, or take sides in a political controversy without the least knowledge of the issues involved--but no woman ever cheerfully chose a claret.	A woman will cheerfully choose husbands for her less attractive friends, or take sides in a political controversy without the least knowledge of the issues involved-but no woman ever cheerfully chose a claret.	true	72.38	87.73	20.553127
475_125002_000006_000000	"Hors d'oeuvres have always a pathetic interest for me," said Reginald: "they remind me of one's childhood that one goes through, wondering what the next course is going to be like--and during the rest of the menu one wishes one had eaten more of the hors d'oeuvres.	"Hors d'oeuvres have always a pathetic interest for me," said Reginald: "they remind me of one's childhood that one goes through, wondering what the next course is going to be like-and during the rest of the menu one wishes one had eaten more of the hors d'oeuvres.	true	90.17	106.6	20.055567
475_125002_000006_000001	Don't you love watching the different ways people have of entering a restaurant?	Don't you love watching the different ways people have of entering a restaurant?	true	107.12	111.07	18.19245
475_125002_000006_000002	There is the woman who races in as though her whole scheme of life were held together by a one-pin despotism which might abdicate its functions at any moment; it's really a relief to see her reach her chair in safety.	There is the woman who races in as though her whole scheme of life were held together by a one pin despotism which might abdicate its functions at any moment; it's really a relief to see her reach her chair in safety.	false	111.5	123.28	20.54117
475_125002_000006_000003	Then there are the people who troop in with an-unpleasant-duty-to-perform air, as if they were angels of Death entering a plague city.	Then there are the people who troop in with an unpleasant duty to perform air, as if they were angels of Death entering a plague city.	false	124.01	132.49	21.538422
475_125002_000006_000004	You see that type of Briton very much in hotels abroad.	You see that type of Briton very much in hotels abroad.	true	133.01	136.485	21.099499
475_125002_000006_000005	And nowadays there are always the Johannesbourgeois, who bring a Cape-to-Cairo atmosphere with them--what may be called the Rand Manner, I suppose."	And nowadays there are always the Johannesbourgeois, who bring a Cape to Cairo atmosphere with them-what may be called the Rand Manner, I suppose."	true	136.485	146.67	20.802532
475_125002_000007_000000	"Talking about hotels abroad," said the Duchess, "I am preparing notes for a lecture at the Club on the educational effects of modern travel, dealing chiefly with the moral side of the question.	"Talking about hotels abroad," said the Duchess, "I am preparing notes for a lecture at the Club on the educational effects of modern travel, dealing chiefly with the moral side of the question.	false	146.67	160.21	20.59252
475_125002_000007_000001	I was talking to Lady Beauwhistle's aunt the other day--she's just come back from Paris, you know.	I was talking to Lady Beauwhistle's aunt the other day-she's just come back from Paris, you know.	false	160.43	165.88	23.73558
475_125002_000007_000002	Such a sweet woman"--	Such a sweet woman"--	true	166.01	167.56	22.30134
475_125002_000008_000000	"And so silly.	"And so silly.	true	168.95	170.68	20.52575
475_125002_000008_000001	In these days of the over-education of women she's quite refreshing.	In these days of the over education of women she's quite refreshing.	true	170.93	175.57	22.791698
475_125002_000008_000002	They say some people went through the siege of Paris without knowing that France and Germany were at war; but the Beauwhistle aunt is credited with having passed the whole winter in Paris under the impression that the Humberts were a kind of bicycle . . .	They say some people went through the siege of Paris without knowing that France and Germany were at war; but the Beauwhistle aunt is credited with having passed the whole winter in Paris under the impression that the Humberts were a kind of bicycle . . .	true	176.03	189.69	20.827074
