8506_293168_000002_000000	CHAPTER VIII.	CHAPTER eight.
8506_293168_000003_000000	THE SWEET SINGER OF ISRAEL	THE SWEET SINGER OF ISRAEL
8506_293168_000004_000000	"VERY well, then.	"VERY well, then.
8506_293168_000004_000001	Let us go back to the days of long ago, long, even, before the destruction of our beloved city.	Let us go back to the days of long ago, long, even, before the destruction of our beloved city.
8506_293168_000004_000002	Let us seek David on the hillsides, tending his flocks with loving care.	Let us seek David on the hillsides, tending his flocks with loving care.
8506_293168_000005_000000	"One day a visitor came to the house of Jesse, David's father.	"One day a visitor came to the house of Jesse, David's father.
8506_293168_000005_000001	This visitor was no other than the prophet Samuel.	This visitor was no other than the prophet Samuel.
8506_293168_000005_000002	He had received a command from the Lord telling him to take a vial of oil and seek the house of Jesse.	He had received a command from the Lord telling him to take a vial of oil and seek the house of Jesse.
8506_293168_000006_000000	"'There,' said the Lord, 'you will find the new king who is to succeed Saul.'	"'There,' said the Lord, 'you will find the new king who is to succeed Saul.'
8506_293168_000007_000000	"Samuel hastened to obey.	"Samuel hastened to obey.
8506_293168_000007_000001	When he reached Jesse's house, he asked to see his sons.	When he reached Jesse's house, he asked to see his sons.
8506_293168_000007_000002	One by one passed before him till the eighth son, David, appeared.	One by one passed before him till the eighth son, David, appeared.
8506_293168_000007_000003	Then the voice of the Lord again spoke to Samuel.	Then the voice of the Lord again spoke to Samuel.
8506_293168_000007_000004	It said:	It said:
8506_293168_000008_000000	"'Arise, anoint him, for this is he.'	"'Arise, anoint him, for this is he.'
8506_293168_000009_000000	"As soon as the prophet had anointed David with the oil, the young man was filled with the spirit and power of God.	"As soon as the prophet had anointed David with the oil, the young man was filled with the spirit and power of God.
8506_293168_000009_000001	At the same time, they left King Saul, who did many foolish and bad deeds after this.	At the same time, they left King Saul, who did many foolish and bad deeds after this.
8506_293168_000010_000001	Did he go out into the world and declare himself the future king of Israel?	Did he go out into the world and declare himself the future king of Israel?
8506_293168_000010_000002	Not so.	Not so.
8506_293168_000010_000003	He continued to live his peaceful, quiet life as a shepherd.	He continued to live his peaceful, quiet life as a shepherd.
8506_293168_000010_000004	He learned to sing, and play upon the harp.	He learned to sing, and play upon the harp.
8506_293168_000010_000005	He now showed himself indeed the 'Sweet Singer of Israel.'	He now showed himself indeed the 'Sweet Singer of Israel.'
8506_293168_000011_000000	"He began to show power in other ways, too.	"He began to show power in other ways, too.
8506_293168_000011_000001	Many times the fierce lions and savage bears came creeping upon his flocks.	Many times the fierce lions and savage bears came creeping upon his flocks.
