6683_63841_000000_000000	I do not copy these words as commendation, but as warning.	I do not copy these words as commendation, but as warning.	false	0	1.89	18.346796
6683_63841_000000_000001	Like so many other gifted men of this age, he lived too fast and attempted too much. He died when his greatest and best life would naturally have been just beginning.	Like so many other gifted men of this age, he lived too fast and attempted too much. He died when his greatest and best life would naturally have been just beginning.	false	1.89	7.89	21.059544
6683_63841_000000_000002	He died at the beginning of the period when the capacity for high enjoyment of life is naturally the greatest.	He died at the beginning of the period when the capacity for high enjoyment of life is naturally the greatest.	false	7.89	14.94	21.288904
6683_63841_000000_000003	He died when he could have ceased to be a manufacturer and become an artist.	He died when he could have ceased to be a manufacturer and become an artist.	false	14.94	22.02	23.15462
6683_63841_000001_000000	WILLIAM B. ASTOR.	WILLIAM b ASTOR.	true	22.02	23.95	20.459131
6683_63841_000002_000000	HOUSE-OWNER.	HOUSE OWNER.	true	24.2	25.45	20.389648
6683_63841_000003_000000	In estimating the character and merits of such a man as the late Mr. Astor, we are apt to leave out of view the enormous harm he might have done if he had chosen to do it.	In estimating the character and merits of such a man as the late mr Astor, we are apt to leave out of view the enormous harm he might have done if he had chosen to do it.	true	26.48	38.92	21.344868
6683_63841_000004_000000	The rich fool who tosses a dollar to a waiter for some trifling service, debases the waiter, injures himself, and wrongs the public.	The rich fool who tosses a dollar to a waiter for some trifling service, debases the waiter, injures himself, and wrongs the public.	true	39.62	50.17	22.548204
6683_63841_000004_000001	By acting in that manner in all the transactions of life, a rich man diffuses around him an atmosphere of corruption, and raises the scale of expense to a point which is oppressive to many, ruinous to some, and inconvenient to all.	By acting in that manner in all the transactions of life, a rich man diffuses around him an atmosphere of corruption, and raises the scale of expense to a point which is oppressive to many, ruinous to some, and inconvenient to all.	true	50.6	69.31	22.33533
6683_63841_000004_000002	The late Mr. Astor, with an income from invested property of nearly two millions a year, could have made life more difficult than it was to the whole body of people in New York who are able to live in a liberal manner.	The late mr Astor, with an income from invested property of nearly two millions a year, could have made life more difficult than it was to the whole body of people in New York who are able to live in a liberal manner.	true	69.95	85.75	22.086323
6683_63841_000004_000003	He refrained from doing so.	He refrained from doing so.	true	86.15	88	20.5798
