6683_63841_000001_000000	WILLIAM B. ASTOR.	WILLIAM b ASTOR.
6683_63841_000002_000000	HOUSE-OWNER.	HOUSE OWNER.
6683_63841_000003_000000	In estimating the character and merits of such a man as the late Mr. Astor, we are apt to leave out of view the enormous harm he might have done if he had chosen to do it.	In estimating the character and merits of such a man as the late mr Astor, we are apt to leave out of view the enormous harm he might have done if he had chosen to do it.
6683_63841_000004_000000	The rich fool who tosses a dollar to a waiter for some trifling service, debases the waiter, injures himself, and wrongs the public.	The rich fool who tosses a dollar to a waiter for some trifling service, debases the waiter, injures himself, and wrongs the public.
6683_63841_000004_000001	By acting in that manner in all the transactions of life, a rich man diffuses around him an atmosphere of corruption, and raises the scale of expense to a point which is oppressive to many, ruinous to some, and inconvenient to all.	By acting in that manner in all the transactions of life, a rich man diffuses around him an atmosphere of corruption, and raises the scale of expense to a point which is oppressive to many, ruinous to some, and inconvenient to all.
6683_63841_000004_000002	The late Mr. Astor, with an income from invested property of nearly two millions a year, could have made life more difficult than it was to the whole body of people in New York who are able to live in a liberal manner.	The late mr Astor, with an income from invested property of nearly two millions a year, could have made life more difficult than it was to the whole body of people in New York who are able to live in a liberal manner.
6683_63841_000004_000003	He refrained from doing so.	He refrained from doing so.
6683_63841_000004_000004	He paid for everything which he consumed the market price--no more, no less--and he made his purchases with prudence and forethought.	He paid for everything which he consumed the market price-no more, no less-and he made his purchases with prudence and forethought.
6683_63841_000004_000005	As he lived for many years next door to the Astor Library, the frequenters of that noble institution had an opportunity of observing that he laid in his year's supply of coal in the month of June, when coal is cheapest.	As he lived for many years next door to the Astor Library, the frequenters of that noble institution had an opportunity of observing that he laid in his year's supply of coal in the month of June, when coal is cheapest.
6683_63841_000005_000000	There was nothing which he so much abhorred as waste.	There was nothing which he so much abhorred as waste.
6683_63841_000005_000001	It was both an instinct and a principle with him to avoid waste.	It was both an instinct and a principle with him to avoid waste.
6683_63841_000005_000002	He did not have the gas turned down low in a temporarily vacated room because he would save two cents by doing so, but because he justly regarded waste as wicked. His example in this particular, in a city so given to careless and ostentatious profusion as New York, was most useful.	He did not have the gas turned down low in a temporarily vacated room because he would save two cents by doing so, but because he justly regarded waste as wicked. His example in this particular, in a city so given to careless and ostentatious profusion as New York, was most useful.
6683_63841_000005_000003	We needed such an example.	We needed such an example.
6683_63841_000005_000004	Nor did he appear to carry this principle to an extreme.	Nor did he appear to carry this principle to an extreme.
6683_63841_000005_000005	He was very far from being miserly, though keenly intent upon accumulation.	He was very far from being miserly, though keenly intent upon accumulation.
6683_63841_000006_000000	In the life of the Old World there is nothing so shocking to a republicanized mind as the awful contrast between the abodes of the poor and the establishments of the rich.	In the life of the Old World there is nothing so shocking to a republicanized mind as the awful contrast between the abodes of the poor and the establishments of the rich.
