56_1731_000000_000000	"It's that idiotic smile that's to blame for it all," thought Stepan Arkadyevitch.	"It's that idiotic smile that's to blame for it all," thought Stepan Arkadyevitch.	false	0	4.29	21.820963
56_1731_000001_000000	"But what's to be done?	"But what's to be done?	false	4.29	5.1	14
56_1731_000001_000001	What's to be done?" he said to himself in despair, and found no answer.	What's to be done?" he said to himself in despair, and found no answer.	false	5.1	7.38	13.680607
56_1731_000002_000000	Chapter 2	Chapter two	false	7.38	7.71	4
56_1731_000003_000000	Stepan Arkadyevitch was a truthful man in his relations with himself.	Stepan Arkadyevitch was a truthful man in his relations with himself.	true	7.71	11.68	20
56_1731_000003_000001	He was incapable of deceiving himself and persuading himself that he repented of his conduct.	He was incapable of deceiving himself and persuading himself that he repented of his conduct.	true	11.93	17.47	21.296858
56_1731_000003_000002	He could not at this date repent of the fact that he, a handsome, susceptible man of thirty-four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself.	He could not at this date repent of the fact that he, a handsome, susceptible man of thirty four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself.	true	17.69	30.7	22.577654
56_1731_000003_000003	All he repented of was that he had not succeeded better in hiding it from his wife.	All he repented of was that he had not succeeded better in hiding it from his wife.	false	31.25	35.8	19
56_1731_000003_000004	But he felt all the difficulty of his position and was sorry for his wife, his children, and himself.	But he felt all the difficulty of his position and was sorry for his wife, his children, and himself.	true	36.11	41.23	18
56_1731_000003_000005	Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.	Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.	true	41.33	48.61	20
56_1731_000003_000006	He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact.	He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact.	true	49.01	57.97	22.179962
56_1731_000003_000007	He had even supposed that she, a worn-out woman no longer young or good-looking, and in no way remarkable or interesting, merely a good mother, ought from a sense of fairness to take an indulgent view.	He had even supposed that she, a worn out woman no longer young or good looking, and in no way remarkable or interesting, merely a good mother, ought from a sense of fairness to take an indulgent view.	true	58.1	69.13	17
56_1731_000003_000008	It had turned out quite the other way.	It had turned out quite the other way.	true	69.53	71.62	22.60477
56_1731_000004_000000	"Oh, it's awful! oh dear, oh dear!	"Oh, it's awful! oh dear, oh dear!	false	72.14	74.31	22.230675
56_1731_000004_000001	awful!" Stepan Arkadyevitch kept repeating to himself, and he could think of nothing to be done.	awful!" Stepan Arkadyevitch kept repeating to himself, and he could think of nothing to be done.	true	74.31	79.36	22
56_1731_000004_000002	"And how well things were going up till now! how well we got on!	"And how well things were going up till now! how well we got on!	false	79.52	83.145	19.837215
56_1731_000004_000003	She was contented and happy in her children; I never interfered with her in anything; I let her manage the children and the house just as she liked. It's true it's bad _her_ having been a governess in our house.	She was contented and happy in her children; I never interfered with her in anything; I let her manage the children and the house just as she liked. It's true it's bad underscore her underscore having been a governess in our house.	false	83.145	93.52	17
56_1731_000004_000004	That's bad!	That's bad!	true	93.53	94.38	22.159533
56_1731_000004_000005	There's something common, vulgar, in flirting with one's governess. But what a governess!" (He vividly recalled the roguish black eyes of Mlle.	There's something common, vulgar, in flirting with one's governess. But what a governess!" (He vividly recalled the roguish black eyes of m l l e.	false	94.38	103.74	20.431149
56_1731_000004_000006	Roland and her smile.) "But after all, while she was in the house, I kept myself in hand.	Roland and her smile.) "But after all, while she was in the house, I kept myself in hand.	true	103.74	109	21
56_1731_000004_000007	And the worst of it all is that she's already ... it seems as if ill-luck would have it so!	And the worst of it all is that she's already ... it seems as if ill luck would have it so!	false	109.19	113.86	20.646757
56_1731_000004_000008	Oh, oh!	Oh, oh!	false	113.93	114.21	42
56_1731_000004_000009	But what, what is to be done?"	But what, what is to be done?"	false	114.21	115.45	23.33484
56_1731_000005_000000	There was no solution, but that universal solution which life gives to all questions, even the most complex and insoluble.	There was no solution, but that universal solution which life gives to all questions, even the most complex and insoluble.	true	115.91	122.73	20.32531
56_1731_000005_000001	That answer is: one must live in the needs of the day--that is, forget oneself.	That answer is: one must live in the needs of the day-that is, forget oneself.	false	122.73	128.5	19.823502
56_1731_000005_000002	To forget himself in sleep was impossible now, at least till nighttime; he could not go back now to the music sung by the decanter-women; so he must forget himself in the dream of daily life.	To forget himself in sleep was impossible now, at least till nighttime; he could not go back now to the music sung by the decanter women; so he must forget himself in the dream of daily life.	true	129.14	140.23	19.98403
56_1731_000006_000000	"Then we shall see," Stepan Arkadyevitch said to himself, and getting up he put on a gray dressing-gown lined with blue silk, tied the tassels in a knot, and, drawing a deep breath of air into his broad, bare chest, he walked to the window with his usual confident step, turning out his feet that carried his full frame so easily.	"Then we shall see," Stepan Arkadyevitch said to himself, and getting up he put on a gray dressing gown lined with blue silk, tied the tassels in a knot, and, drawing a deep breath of air into his broad, bare chest, he walked to the window with his usual confident step, turning out his feet that carried his full frame so easily.	false	140.78	160.33	21.156033
56_1731_000006_000001	He pulled up the blind and rang the bell loudly.	He pulled up the blind and rang the bell loudly.	true	160.7	163.33	23.03575
56_1731_000006_000002	It was at once answered by the appearance of an old friend, his valet, Matvey, carrying his clothes, his boots, and a telegram.	It was at once answered by the appearance of an old friend, his valet, Matvey, carrying his clothes, his boots, and a telegram.	false	163.43	170.74	22.486198
56_1731_000006_000003	Matvey was followed by the barber with all the necessaries for shaving.	Matvey was followed by the barber with all the necessaries for shaving.	true	170.93	174.46	22
56_1731_000007_000000	"Are there any papers from the office?" asked Stepan Arkadyevitch, taking the telegram and seating himself at the looking-glass.	"Are there any papers from the office?" asked Stepan Arkadyevitch, taking the telegram and seating himself at the looking glass.	true	174.89	181.03	22.627754
56_1731_000008_000000	"On the table," replied Matvey, glancing with inquiring sympathy at his master; and, after a short pause, he added with a sly smile, "They've sent from the carriage-jobbers."	"On the table," replied Matvey, glancing with inquiring sympathy at his master; and, after a short pause, he added with a sly smile, "They've sent from the carriage jobbers."	true	181.28	191.02	22.476954
56_1731_000009_000000	Stepan Arkadyevitch made no reply, he merely glanced at Matvey in the looking-glass.	Stepan Arkadyevitch made no reply, he merely glanced at Matvey in the looking glass.	true	191.87	196.66	22.814087
56_1731_000009_000001	In the glance, in which their eyes met in the looking-glass, it was clear that they understood one another.	In the glance, in which their eyes met in the looking glass, it was clear that they understood one another.	true	196.85	201.67	21.555967
56_1731_000009_000002	Stepan Arkadyevitch's eyes asked: "Why do you tell me that?	Stepan Arkadyevitch's eyes asked: "Why do you tell me that?	true	201.95	205.335	21.85197
56_1731_000009_000003	don't you know?"	don't you know?"	true	205.335	206.23	18.625284
56_1731_000010_000000	Matvey put his hands in his jacket pockets, thrust out one leg, and gazed silently, good-humoredly, with a faint smile, at his master.	Matvey put his hands in his jacket pockets, thrust out one leg, and gazed silently, good humoredly, with a faint smile, at his master.	true	206.63	214.66	21.939
56_1731_000011_000000	"I told them to come on Sunday, and till then not to trouble you or themselves for nothing," he said.	"I told them to come on Sunday, and till then not to trouble you or themselves for nothing," he said.	true	215.15	219.94	16
56_1731_000011_000001	He had obviously prepared the sentence beforehand.	He had obviously prepared the sentence beforehand.	true	220.22	222.91	20.81203
56_1731_000012_000000	Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.	Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.	true	223.58	228.25	22
56_1731_000012_000001	Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened.	Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened.	true	228.5	235.36	25.0806
