56_1731_000003_000000	Stepan Arkadyevitch was a truthful man in his relations with himself.	Stepan Arkadyevitch was a truthful man in his relations with himself.
56_1731_000003_000001	He was incapable of deceiving himself and persuading himself that he repented of his conduct.	He was incapable of deceiving himself and persuading himself that he repented of his conduct.
56_1731_000003_000002	He could not at this date repent of the fact that he, a handsome, susceptible man of thirty-four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself.	He could not at this date repent of the fact that he, a handsome, susceptible man of thirty four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself.
56_1731_000003_000005	Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.	Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.
56_1731_000003_000006	He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact.	He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact.
56_1731_000003_000008	It had turned out quite the other way.	It had turned out quite the other way.
56_1731_000004_000001	awful!" Stepan Arkadyevitch kept repeating to himself, and he could think of nothing to be done.	awful!" Stepan Arkadyevitch kept repeating to himself, and he could think of nothing to be done.
56_1731_000004_000004	That's bad!	That's bad!
56_1731_000004_000006	Roland and her smile.) "But after all, while she was in the house, I kept myself in hand.	Roland and her smile.) "But after all, while she was in the house, I kept myself in hand.
56_1731_000005_000000	There was no solution, but that universal solution which life gives to all questions, even the most complex and insoluble.	There was no solution, but that universal solution which life gives to all questions, even the most complex and insoluble.
56_1731_000006_000001	He pulled up the blind and rang the bell loudly.	He pulled up the blind and rang the bell loudly.
56_1731_000006_000003	Matvey was followed by the barber with all the necessaries for shaving.	Matvey was followed by the barber with all the necessaries for shaving.
56_1731_000007_000000	"Are there any papers from the office?" asked Stepan Arkadyevitch, taking the telegram and seating himself at the looking-glass.	"Are there any papers from the office?" asked Stepan Arkadyevitch, taking the telegram and seating himself at the looking glass.
56_1731_000008_000000	"On the table," replied Matvey, glancing with inquiring sympathy at his master; and, after a short pause, he added with a sly smile, "They've sent from the carriage-jobbers."	"On the table," replied Matvey, glancing with inquiring sympathy at his master; and, after a short pause, he added with a sly smile, "They've sent from the carriage jobbers."
56_1731_000009_000000	Stepan Arkadyevitch made no reply, he merely glanced at Matvey in the looking-glass.	Stepan Arkadyevitch made no reply, he merely glanced at Matvey in the looking glass.
56_1731_000009_000001	In the glance, in which their eyes met in the looking-glass, it was clear that they understood one another.	In the glance, in which their eyes met in the looking glass, it was clear that they understood one another.
56_1731_000009_000002	Stepan Arkadyevitch's eyes asked: "Why do you tell me that?	Stepan Arkadyevitch's eyes asked: "Why do you tell me that?
56_1731_000010_000000	Matvey put his hands in his jacket pockets, thrust out one leg, and gazed silently, good-humoredly, with a faint smile, at his master.	Matvey put his hands in his jacket pockets, thrust out one leg, and gazed silently, good humoredly, with a faint smile, at his master.
56_1731_000011_000001	He had obviously prepared the sentence beforehand.	He had obviously prepared the sentence beforehand.
56_1731_000012_000000	Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.	Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.
56_1731_000012_000001	Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened.	Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened.
56_1731_000015_000000	"Alone, or with her husband?" inquired Matvey.	"Alone, or with her husband?" inquired Matvey.
56_1731_000016_000000	Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger.	Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger.
56_1731_000016_000001	Matvey nodded at the looking-glass.	Matvey nodded at the looking glass.
56_1731_000017_000000	"Alone.	"Alone.
56_1731_000017_000001	Is the room to be got ready upstairs?"	Is the room to be got ready upstairs?"
56_1731_000018_000000	"Inform Darya Alexandrovna: where she orders."	"Inform Darya Alexandrovna: where she orders."
56_1731_000019_000000	"Darya Alexandrovna?" Matvey repeated, as though in doubt.	"Darya Alexandrovna?" Matvey repeated, as though in doubt.
56_1731_000020_000000	"Yes, inform her.	"Yes, inform her.
56_1731_000020_000001	Here, take the telegram; give it to her, and then do what she tells you."	Here, take the telegram; give it to her, and then do what she tells you."
56_1731_000021_000000	"You want to try it on," Matvey understood, but he only said, "Yes sir."	"You want to try it on," Matvey understood, but he only said, "Yes sir."
56_1731_000022_000001	The barber had gone.	The barber had gone.
56_1731_000025_000000	"It's all right, sir; she will come round," said Matvey.	"It's all right, sir; she will come round," said Matvey.
56_1731_000026_000000	"Come round?"	"Come round?"
56_1731_000027_000000	"Yes, sir."	"Yes, sir."
56_1731_000028_000000	"Do you think so?	"Do you think so?
56_1731_000031_000000	Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost every one in the house (even the nurse, Darya Alexandrovna's chief ally) was on his side.	Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost every one in the house (even the nurse, Darya Alexandrovna's chief ally) was on his side.
56_1731_000032_000000	"Well, what now?" he asked disconsolately.	"Well, what now?" he asked disconsolately.
56_1731_000033_000001	Maybe God will aid you.	Maybe God will aid you.
56_1731_000033_000003	You must have pity, sir, on the children.	You must have pity, sir, on the children.
56_1731_000033_000004	Beg her forgiveness, sir.	Beg her forgiveness, sir.
56_1731_000033_000006	One must take the consequences..."	One must take the consequences..."
56_1731_000034_000000	"But she won't see me."	"But she won't see me."
56_1731_000035_000000	"You do your part.	"You do your part.
56_1731_000035_000001	God is merciful; pray to God, sir, pray to God."	God is merciful; pray to God, sir, pray to God."
56_1731_000036_000000	"Come, that'll do, you can go," said Stepan Arkadyevitch, blushing suddenly.	"Come, that'll do, you can go," said Stepan Arkadyevitch, blushing suddenly.
56_1731_000037_000000	Matvey was already holding up the shirt like a horse's collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well-groomed body of his master.	Matvey was already holding up the shirt like a horse's collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well groomed body of his master.
