6352_88007_000000_000000	[* W. Malms, lib.	[asterisk w Malms, lib.	false	0	0.36	-20
6352_88007_000000_000001	ii.	ii.	false	0.36	0.45	-20
6352_88007_000000_000002	cap. 6.	cap. six.	false	0.45	0.66	-6
6352_88007_000000_000003	Higden, p. 263.]	Higden, p. two hundred sixty three.]	false	0.66	1.23	3
6352_88007_000001_000000	[** Brompton, p. 839 Ingulph.	[asterisk asterisk Brompton, p. eight hundred thirty nine Ingulph.	false	1.23	2.1	13
6352_88007_000001_000001	p. 29.]	p. twenty nine.]	false	2.1	2.37	3
6352_88007_000002_000000	[*** Chron.	[asterisk asterisk asterisk Chron.	false	2.37	2.76	30.956415
6352_88007_000002_000001	Sax. p. 114]	Sax. p. one hundred fourteen]	false	2.76	3.18	14
6352_88007_000003_000000	EDMUND.	EDMUND.	false	3.18	3.18	
6352_88007_000004_000000	{941.} Edmund, on his accession, met with disturbance from the restless Northumbrians, who lay in wait for every opportunity of breaking into rebellion.	{nine hundred forty one.} Edmund, on his accession, met with disturbance from the restless Northumbrians, who lay in wait for every opportunity of breaking into rebellion.	false	3.18	3.36	14
6352_88007_000004_000001	But marching suddenly with his forces into their country, he so overawed the rebels that they endeavored to appease him by the most humble submissions.[*]	But marching suddenly with his forces into their country, he so overawed the rebels that they endeavored to appease him by the most humble submissions.[asterisk]	false	3.36	3.69	7
6352_88007_000005_000000	[* W. Malms, lib.	[asterisk w Malms, lib.	false	3.69	3.72	-20
6352_88007_000005_000001	ii.	ii.	false	3.72	3.75	-20
6352_88007_000005_000002	cap. 7.	cap. seven.	false	3.75	3.75	
6352_88007_000005_000003	Brompton, p 857.]	Brompton, p eight hundred fifty seven.]	false	3.75	3.84	-5
6352_88007_000006_000000	In order to give him the surer pledge of their obedience, they offered to embrace Christianity; a religion which the English Danes had frequently professed, when reduced to difficulties, but which, for that very reason, they regarded as a badge of servitude, and shook off as soon as a favorable opportunity offered.	In order to give him the surer pledge of their obedience, they offered to embrace Christianity; a religion which the English Danes had frequently professed, when reduced to difficulties, but which, for that very reason, they regarded as a badge of servitude, and shook off as soon as a favorable opportunity offered.	false	3.84	4.5	12
6352_88007_000006_000001	Edmund, trusting little to their sincerity in this forced submission, used the precaution of removing the Five-burgers from the towns of Mercia, in which they had been allowed to settle; because it was always found that they took advantage of every commotion, and introduced the rebellious or foreign Danes into the heart of the kingdom.	Edmund, trusting little to their sincerity in this forced submission, used the precaution of removing the Five burgers from the towns of Mercia, in which they had been allowed to settle; because it was always found that they took advantage of every commotion, and introduced the rebellious or foreign Danes into the heart of the kingdom.	false	4.5	9.03	16
6352_88007_000006_000002	He also conquered Cumberland from the Britons; and conferred that territory on Malcolm, king of Scotland, on condition that he should do him homage for it, and protect the north from all future incursions of the Danes.	He also conquered Cumberland from the Britons; and conferred that territory on Malcolm, king of Scotland, on condition that he should do him homage for it, and protect the north from all future incursions of the Danes.	false	9.03	13.08	20.517162
6352_88007_000007_000000	Edmund was young when he came to the crown; yet was his reign short, as his death was violent.	Edmund was young when he came to the crown; yet was his reign short, as his death was violent.	false	13.08	13.77	16
6352_88007_000007_000001	One day, as he was solemnizing a festival in the county of Glocester, he remarked that Leolf, a notorious robber, whom he had sentenced to banishment, had yet the boldness to enter the hall where he himself dined, and to sit at table with his attendants.	One day, as he was solemnizing a festival in the county of Glocester, he remarked that Leolf, a notorious robber, whom he had sentenced to banishment, had yet the boldness to enter the hall where he himself dined, and to sit at table with his attendants.	false	13.77	17.82	22
6352_88007_000007_000002	Enraged at this insolence, he ordered him to leave the room; but on his refusing to obey, the king, whose temper, naturally choleric, was inflamed by this additional insult, leaped on him himself, and seized him by the hair; but the ruffian, pushed to extremity, drew his dagger, and gave Edmund a wound of which he immediately expired.	Enraged at this insolence, he ordered him to leave the room; but on his refusing to obey, the king, whose temper, naturally choleric, was inflamed by this additional insult, leaped on him himself, and seized him by the hair; but the ruffian, pushed to extremity, drew his dagger, and gave Edmund a wound of which he immediately expired.	false	17.82	26.37	22.039934
6352_88007_000007_000003	This event happened in the year 946, and in the sixth year of the king's reign.	This event happened in the year nine hundred forty six, and in the sixth year of the king's reign.	false	26.37	29.28	20.807608
6352_88007_000007_000004	Edmund left male issue, but so young, that they were incapable of governing the kingdom; and his brother, Edred, was promoted to the throne.	Edmund left male issue, but so young, that they were incapable of governing the kingdom; and his brother, Edred, was promoted to the throne.	false	29.28	39.24	22.270348
6352_88007_000008_000000	EDRED	e d r e d	false	39.24	39.24	
6352_88007_000009_000000	{946.} The reign of this prince, as those of his predecessors, was disturbed by the rebellions and incursions of the Northumbrian Danes, who, though frequently quelled, were never entirely subdued, nor had ever paid a sincere allegiance to the crown of England.	{nine hundred forty six.} The reign of this prince, as those of his predecessors, was disturbed by the rebellions and incursions of the Northumbrian Danes, who, though frequently quelled, were never entirely subdued, nor had ever paid a sincere allegiance to the crown of England.	false	39.24	53.26	18
6352_88007_000009_000001	The accession of a new king seemed to them a favorable opportunity for shaking off the yoke; but on Edred's appearance with an army, they made him their wonted submissions; and the king, having wasted the country with fire and sword, as a punishment of their rebellion, obliged them to renew their oaths of allegiance; and he straight retired with his forces.	The accession of a new king seemed to them a favorable opportunity for shaking off the yoke; but on Edred's appearance with an army, they made him their wonted submissions; and the king, having wasted the country with fire and sword, as a punishment of their rebellion, obliged them to renew their oaths of allegiance; and he straight retired with his forces.	true	53.6	72.79	19
6352_88007_000009_000002	The obedience of the Danes lasted no longer than the present terror. Provoked at the devastations of Edred, and even reduced by necessity to subsist on plunder, they broke into a new rebellion, and were again subdued; but the king, now instructed by experience, took greater precautions against their future revolt.	The obedience of the Danes lasted no longer than the present terror. Provoked at the devastations of Edred, and even reduced by necessity to subsist on plunder, they broke into a new rebellion, and were again subdued; but the king, now instructed by experience, took greater precautions against their future revolt.	true	73.1	90.76	21
6352_88007_000009_000003	He fixed English garrisons in their most considerable towns, and placed over them an English governor, who might watch all their motions, and suppress any insurrection on its first appearance.	He fixed English garrisons in their most considerable towns, and placed over them an English governor, who might watch all their motions, and suppress any insurrection on its first appearance.	true	90.77	101.11	20.791855
6352_88007_000009_000004	He obliged also Malcolm, king of Scotland, to renew his homage for the lands which he held in England.	He obliged also Malcolm, king of Scotland, to renew his homage for the lands which he held in England.	true	101.3	107.29	19.354174
6352_88007_000010_000000	Edred, though not unwarlike, nor unfit for active life, lay under the influence of the lowest superstition, and had blindly delivered over his conscience to the guidance of Dunstan commonly called _St. Dunstan_, abbot of Glastonbury, whom he advanced to the highest offices, and who covered, under the appearance of sanctity, the most violent and most insolent ambition.	Edred, though not unwarlike, nor unfit for active life, lay under the influence of the lowest superstition, and had blindly delivered over his conscience to the guidance of Dunstan commonly called underscore saint Dunstan underscore, abbot of Glastonbury, whom he advanced to the highest offices, and who covered, under the appearance of sanctity, the most violent and most insolent ambition.	false	107.81	129.91	21.234674
6352_88007_000010_000001	Taking advantage of the implicit confidence reposed in him by the king, this churchman imported into England a new order of monks, who much changed the state of ecclesiastical affairs, and excited, on their first establishment, the most violent commotions.	Taking advantage of the implicit confidence reposed in him by the king, this churchman imported into England a new order of monks, who much changed the state of ecclesiastical affairs, and excited, on their first establishment, the most violent commotions.	false	130.34	144.43	22
6352_88007_000011_000000	From the introduction of Christianity among the Saxons, there had been monasteries in England; and these establishments had extremely multiplied by the donations of the princes and nobles, whose superstition, derived from their ignorance and precarious life, and increased by remorses for the crimes into which they were so frequently betrayed, knew no other expedient for appeasing the Deity, than a profuse liberality towards the ecclesiastics.	From the introduction of Christianity among the Saxons, there had been monasteries in England; and these establishments had extremely multiplied by the donations of the princes and nobles, whose superstition, derived from their ignorance and precarious life, and increased by remorses for the crimes into which they were so frequently betrayed, knew no other expedient for appeasing the Deity, than a profuse liberality towards the ecclesiastics.	true	145.13	168.79	20
