7495_252341_000000_000001	SOME TRAITS OF LIFE	SOME TRAITS OF LIFE
7495_252341_000001_000000	It was the night Lady Glencore received; and, as usual, the street was crowded with equipages, which somehow seemed to have got into inextricable confusion,--some endeavoring to turn back, while others pressed forward,--the court of the palace being closely packed with carriages which the thronged street held in fast blockade.	It was the night Lady Glencore received; and, as usual, the street was crowded with equipages, which somehow seemed to have got into inextricable confusion,--some endeavoring to turn back, while others pressed forward,--the court of the palace being closely packed with carriages which the thronged street held in fast blockade.
7495_252341_000001_000001	As the apartments which faced the street were not ever used for these receptions, the dark unlighted windows suggested no remark; but they who had entered the courtyard were struck by the gloomy aspect of the vast building: not only that the entrance and the stairs were in darkness, but the whole suite of rooms, usually brilliant as the day, were now in deep gloom.	As the apartments which faced the street were not ever used for these receptions, the dark unlighted windows suggested no remark; but they who had entered the courtyard were struck by the gloomy aspect of the vast building: not only that the entrance and the stairs were in darkness, but the whole suite of rooms, usually brilliant as the day, were now in deep gloom.
7495_252341_000001_000002	From every carriage window heads were protruded, wondering at this strange spectacle; and eager inquiries passed on every side for an explanation.	From every carriage window heads were protruded, wondering at this strange spectacle; and eager inquiries passed on every side for an explanation.
7495_252341_000001_000003	The explanation of "sudden illness" was rapidly disseminated, but as rapidly contradicted, and the reply given by the porter to all demands quickly repeated from mouth to mouth, "Her Ladyship will not receive."	The explanation of "sudden illness" was rapidly disseminated, but as rapidly contradicted, and the reply given by the porter to all demands quickly repeated from mouth to mouth, "Her Ladyship will not receive."
7495_252341_000003_000000	Scaresby was, however, too busy in recounting his news to others to perceive the signals the old Princess held out; and it was only as her chasseur, six feet three of green and gold, bent down to give her Highness's message, that the Major hurried off, in all the importance of a momentary scandal, to the side of her carriage.	Scaresby was, however, too busy in recounting his news to others to perceive the signals the old Princess held out; and it was only as her chasseur, six feet three of green and gold, bent down to give her Highness's message, that the Major hurried off, in all the importance of a momentary scandal, to the side of her carriage.
7495_252341_000004_000000	"Here I am, all impatience.	"Here I am, all impatience.
7495_252341_000004_000001	What is it, Scaresby?	What is it, Scaresby?
7495_252341_000006_000000	"You can't mean that her fortune is in peril?"	"You can't mean that her fortune is in peril?"
7495_252341_000007_000000	"I suppose that must suffer also.	"I suppose that must suffer also.
7495_252341_000009_000000	"All is very briefly related, then," said he.	"All is very briefly related, then," said he.
7495_252341_000009_000001	"The charming Countess, you remember, ran away with a countryman of mine, young Glencore, of the 8th Hussars; I used to know his father intimately."	"The charming Countess, you remember, ran away with a countryman of mine, young Glencore, of the eighth Hussars; I used to know his father intimately."
7495_252341_000010_000000	"Never mind his father."	"Never mind his father."
7495_252341_000011_000001	He came over here and fell in love with the girl, and they ran off together; but they forgot to get married, Princess.	He came over here and fell in love with the girl, and they ran off together; but they forgot to get married, Princess.
