7495_252341_000000_000000	CHAPTER XXI.	CHAPTER twenty one.	false	0.39	20.22	25.73026
7495_252341_000000_000001	SOME TRAITS OF LIFE	SOME TRAITS OF LIFE	true	20.22	22.12	23.925312
7495_252341_000001_000000	It was the night Lady Glencore received; and, as usual, the street was crowded with equipages, which somehow seemed to have got into inextricable confusion,--some endeavoring to turn back, while others pressed forward,--the court of the palace being closely packed with carriages which the thronged street held in fast blockade.	It was the night Lady Glencore received; and, as usual, the street was crowded with equipages, which somehow seemed to have got into inextricable confusion,--some endeavoring to turn back, while others pressed forward,--the court of the palace being closely packed with carriages which the thronged street held in fast blockade.	true	24.5	44.35	24.069092
7495_252341_000001_000001	As the apartments which faced the street were not ever used for these receptions, the dark unlighted windows suggested no remark; but they who had entered the courtyard were struck by the gloomy aspect of the vast building: not only that the entrance and the stairs were in darkness, but the whole suite of rooms, usually brilliant as the day, were now in deep gloom.	As the apartments which faced the street were not ever used for these receptions, the dark unlighted windows suggested no remark; but they who had entered the courtyard were struck by the gloomy aspect of the vast building: not only that the entrance and the stairs were in darkness, but the whole suite of rooms, usually brilliant as the day, were now in deep gloom.	true	44.45	66.31	25.48472
7495_252341_000001_000002	From every carriage window heads were protruded, wondering at this strange spectacle; and eager inquiries passed on every side for an explanation.	From every carriage window heads were protruded, wondering at this strange spectacle; and eager inquiries passed on every side for an explanation.	true	67.22	76.12	22.691055
7495_252341_000001_000003	The explanation of "sudden illness" was rapidly disseminated, but as rapidly contradicted, and the reply given by the porter to all demands quickly repeated from mouth to mouth, "Her Ladyship will not receive."	The explanation of "sudden illness" was rapidly disseminated, but as rapidly contradicted, and the reply given by the porter to all demands quickly repeated from mouth to mouth, "Her Ladyship will not receive."	true	76.79	90.67	23.73448
7495_252341_000002_000000	"Can no one explain this mystery?" cried the old Princess Borinsky, as, heavy with fat and diamonds, she hung out of her carriage window. "Oh, there 's Major Scaresby; he is certain to know, if it be anything malicious."	"Can no one explain this mystery?" cried the old Princess Borinsky, as, heavy with fat and diamonds, she hung out of her carriage window. "Oh, there 's Major Scaresby; he is certain to know, if it be anything malicious."	false	91.64	105.7	24.826546
7495_252341_000003_000000	Scaresby was, however, too busy in recounting his news to others to perceive the signals the old Princess held out; and it was only as her chasseur, six feet three of green and gold, bent down to give her Highness's message, that the Major hurried off, in all the importance of a momentary scandal, to the side of her carriage.	Scaresby was, however, too busy in recounting his news to others to perceive the signals the old Princess held out; and it was only as her chasseur, six feet three of green and gold, bent down to give her Highness's message, that the Major hurried off, in all the importance of a momentary scandal, to the side of her carriage.	true	106.25	125.5	24.494951
7495_252341_000004_000000	"Here I am, all impatience.	"Here I am, all impatience.	true	126.08	127.935	20
7495_252341_000004_000001	What is it, Scaresby?	What is it, Scaresby?	true	127.935	128.91	20
7495_252341_000004_000002	Tell me quickly," cried she.	Tell me quickly," cried she.	false	128.91	130.93	27.937992
7495_252341_000005_000000	"A smash, my dear Princess,--nothing more or less," said he, in a voice which nature seemed to have invented to utter impertinences, so harsh and grating, and yet so painfully distinct in all its accents,--"as complete a smash as ever I heard of."	"A smash, my dear Princess,--nothing more or less," said he, in a voice which nature seemed to have invented to utter impertinences, so harsh and grating, and yet so painfully distinct in all its accents,--"as complete a smash as ever I heard of."	false	131.21	148.51	23.517702
7495_252341_000006_000000	"You can't mean that her fortune is in peril?"	"You can't mean that her fortune is in peril?"	true	149.3	152.43	25.717422
7495_252341_000007_000000	"I suppose that must suffer also.	"I suppose that must suffer also.	true	152.43	154.75	23.29099
7495_252341_000007_000001	It is her character--her station as one of us--that's shipwrecked here."	It is her character-her station as one of us-that's shipwrecked here."	false	155.09	159.94	29.619802
7495_252341_000008_000000	"Go on, go on," cried she, impatiently; "I wish to hear it all."	"Go on, go on," cried she, impatiently; "I wish to hear it all."	true	160.37	164.98	19.600702
7495_252341_000009_000000	"All is very briefly related, then," said he.	"All is very briefly related, then," said he.	true	166.22	169.21	23.608662
7495_252341_000009_000001	"The charming Countess, you remember, ran away with a countryman of mine, young Glencore, of the 8th Hussars; I used to know his father intimately."	"The charming Countess, you remember, ran away with a countryman of mine, young Glencore, of the eighth Hussars; I used to know his father intimately."	true	169.31	177.58	20.759087
7495_252341_000010_000000	"Never mind his father."	"Never mind his father."	true	177.89	179.67	26.390192
7495_252341_000011_000000	"That 's exactly what Glencore did.	"That 's exactly what Glencore did.	false	179.67	182.355	21.960293
7495_252341_000011_000001	He came over here and fell in love with the girl, and they ran off together; but they forgot to get married, Princess.	He came over here and fell in love with the girl, and they ran off together; but they forgot to get married, Princess.	true	182.355	188.85	24.732706
7495_252341_000011_000002	Ha--ha--ha!"	Ha-ha-ha!"	false	188.85	190.02	22.126564
7495_252341_000011_000003	And he laughed with a cackle a demon could not have rivalled.	And he laughed with a cackle a demon could not have rivalled.	false	190.02	193.54	23.852442
7495_252341_000012_000000	"I don't believe a word of it,--I'll never believe it," cried the Princess.	"I don't believe a word of it,--I'll never believe it," cried the Princess.	true	194.3	197.8	24.998793
7495_252341_000013_000000	"That's exactly what I was recommending to the Mar-quesa Guesteni.	"That's exactly what I was recommending to the Mar quesa Guesteni.	true	198.23	202.39	24.037148
7495_252341_000013_000001	I said, you need n't believe it.	I said, you need n't believe it.	true	202.46	204.13	30.643385
7495_252341_000013_000002	Why, how do we go anywhere, nowadays, except by 'not believing' the evil stories that are told of our entertainers."	Why, how do we go anywhere, nowadays, except by 'not believing' the evil stories that are told of our entertainers."	true	204.41	211.27	20
7495_252341_000014_000000	"Yes, yes; but I repeat that this is an infamous calumny.	"Yes, yes; but I repeat that this is an infamous calumny.	true	212.51	216.435	19.65904
7495_252341_000014_000001	She, a Countess, of a family second to none in all Italy; her father a Grand d'Espagne.	She, a Countess, of a family second to none in all Italy; her father a Grand d'Espagne.	true	216.435	222	25.729616
7495_252341_000014_000002	I 'll go to her this moment."	I 'l l go to her this moment."	false	222	224.41	27.687918
7495_252341_000015_000000	"She'll not see you.	"She'll not see you.	true	225.35	226.59	27.062727
7495_252341_000015_000001	She has just refused to see La Genori," said the Major, tartly.	She has just refused to see La Genori," said the Major, tartly.	false	226.59	230.59	21.01211
7495_252341_000015_000002	"Though, if a cracked reputation might have afforded any sympathy, she might have admitted _her_."	"Though, if a cracked reputation might have afforded any sympathy, she might have admitted underscore her underscore."	false	230.72	237.39	23.787752
7495_252341_000016_000000	"What is to be done?" exclaimed the Princess, sorrowfully.	"What is to be done?" exclaimed the Princess, sorrowfully.	true	237.39	241.06	21.772749
7495_252341_000017_000000	"Just what you suggested a few moments ago,--don't believe it.	"Just what you suggested a few moments ago,--don't believe it.	true	241.67	244.96	21.587345
7495_252341_000017_000001	Hang me, but good houses and good cooks are growing too scarce to make one credulous of the ills that can be said of their owners."	Hang me, but good houses and good cooks are growing too scarce to make one credulous of the ills that can be said of their owners."	true	245.12	251.53	21.044107
