3717_21493_000001_000000	The Wounded Lion	The Wounded Lion
3717_21493_000002_000000	Cuentos Populars Catalans.	Cuentos Populars Catalans.
3717_21493_000003_000000	There was once a girl so poor that she had nothing to live on, and wandered about the world asking for charity.	There was once a girl so poor that she had nothing to live on, and wandered about the world asking for charity.
3717_21493_000003_000001	One day she arrived at a thatched cottage, and inquired if they could give her any work.	One day she arrived at a thatched cottage, and inquired if they could give her any work.
3717_21493_000003_000002	The farmer said he wanted a cowherd, as his own had left him, and if the girl liked the place she might take it.	The farmer said he wanted a cowherd, as his own had left him, and if the girl liked the place she might take it.
3717_21493_000003_000003	So she became a cowherd.	So she became a cowherd.
3717_21493_000004_000000	One morning she was driving her cows through the meadows when she heard near by a loud groan that almost sounded human.	One morning she was driving her cows through the meadows when she heard near by a loud groan that almost sounded human.
3717_21493_000004_000001	She hastened to the spot from which the noise came, and found it proceeded from a lion who lay stretched upon the ground.	She hastened to the spot from which the noise came, and found it proceeded from a lion who lay stretched upon the ground.
3717_21493_000005_000000	You can guess how frightened she was!	You can guess how frightened she was!
3717_21493_000005_000002	She pulled out the thorn and bound up the place, and the lion was grateful, and licked her hand by way of thanks with his big rough tongue.	She pulled out the thorn and bound up the place, and the lion was grateful, and licked her hand by way of thanks with his big rough tongue.
3717_21493_000006_000001	Then he said, 'Now you will have to look after the asses.'	Then he said, 'Now you will have to look after the asses.'
3717_21493_000007_000000	So every day she had to take the asses to the woods to feed, until one morning, exactly a year after she had found the lion, she heard a groan which sounded quite human.	So every day she had to take the asses to the woods to feed, until one morning, exactly a year after she had found the lion, she heard a groan which sounded quite human.
3717_21493_000007_000001	She went straight to the place from which the noise came, and, to her great surprise, beheld the same lion stretched on the ground with a deep wound across his face.	She went straight to the place from which the noise came, and, to her great surprise, beheld the same lion stretched on the ground with a deep wound across his face.
3717_21493_000008_000000	This time she was not afraid at all, and ran towards him, washing the wound and laying soothing herbs upon it; and when she had bound it up the lion thanked her in the same manner as before.	This time she was not afraid at all, and ran towards him, washing the wound and laying soothing herbs upon it; and when she had bound it up the lion thanked her in the same manner as before.
3717_21493_000009_000000	After that she returned to her flock, but they were nowhere to be seen.	After that she returned to her flock, but they were nowhere to be seen.
3717_21493_000009_000001	She searched here and she searched there, but they had vanished completely!	She searched here and she searched there, but they had vanished completely!
3717_21493_000010_000000	Then she had to go home and confess to her master, who first scolded her and afterwards beat her.	Then she had to go home and confess to her master, who first scolded her and afterwards beat her.
3717_21493_000010_000001	'Now go,' he ended, 'and look after the pigs!'	'Now go,' he ended, 'and look after the pigs!'
3717_21493_000011_000000	So the next day she took out the pigs, and found them such good feeding grounds that they grew fatter every day.	So the next day she took out the pigs, and found them such good feeding grounds that they grew fatter every day.
3717_21493_000012_000000	Another year passed by, and one morning when the maiden was out with her pigs she heard a groan which sounded quite human.	Another year passed by, and one morning when the maiden was out with her pigs she heard a groan which sounded quite human.
3717_21493_000012_000001	She ran to see what it was, and found her old friend the lion, wounded through and through, fast dying under a tree.	She ran to see what it was, and found her old friend the lion, wounded through and through, fast dying under a tree.
3717_21493_000013_000000	She fell on her knees before him and washed his wounds one by one, and laid healing herbs upon them.	She fell on her knees before him and washed his wounds one by one, and laid healing herbs upon them.
3717_21493_000013_000001	And the lion licked her hands and thanked her, and asked if she would not stay and sit by him.	And the lion licked her hands and thanked her, and asked if she would not stay and sit by him.
3717_21493_000013_000002	But the girl said she had her pigs to watch, and she must go and see after them.	But the girl said she had her pigs to watch, and she must go and see after them.
3717_21493_000014_000000	So she ran to the place where she had left them, but they had vanished as if the earth had swallowed them up.	So she ran to the place where she had left them, but they had vanished as if the earth had swallowed them up.
3717_21493_000014_000001	She whistled and called, but only the birds answered her.	She whistled and called, but only the birds answered her.
3717_21493_000015_000000	Then she sank down on the ground and wept bitterly, not daring to return home until some hours had passed away.	Then she sank down on the ground and wept bitterly, not daring to return home until some hours had passed away.
3717_21493_000016_000001	But it was no use; there was not a sign of the pigs.	But it was no use; there was not a sign of the pigs.
3717_21493_000017_000000	At last she thought that perhaps if she climbed a tree she might see further.	At last she thought that perhaps if she climbed a tree she might see further.
3717_21493_000017_000001	But no sooner was she seated on the highest branch than something happened which put the pigs quite out of her head.	But no sooner was she seated on the highest branch than something happened which put the pigs quite out of her head.
3717_21493_000017_000002	This was a handsome young man who was coming down the path; and when he had almost reached the tree he pulled aside a rock and disappeared behind it.	This was a handsome young man who was coming down the path; and when he had almost reached the tree he pulled aside a rock and disappeared behind it.
3717_21493_000018_000000	The maiden rubbed her eyes and wondered if she had been dreaming.	The maiden rubbed her eyes and wondered if she had been dreaming.
3717_21493_000018_000001	Next she thought, 'I will not stir from here till I see him come out, and discover who he is.' Accordingly she waited, and at dawn the next morning the rock moved to one side and a lion came out.	Next she thought, 'I will not stir from here till I see him come out, and discover who he is.' Accordingly she waited, and at dawn the next morning the rock moved to one side and a lion came out.
