4806_26894_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.48	5.08	22.545807
4806_26894_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	5.27	7.75	29.080894
4806_26894_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	7.91	12.36	23.942053
4806_26894_000001_000000	THE GAMBLER ***	THE GAMBLER asterisk asterisk asterisk	false	12.36	12.96	26.063002
4806_26894_000002_000000	Produced by Martin Adamson.	Produced by Martin Adamson.	false	12.96	13.71	11
4806_26894_000002_000001	HTML version by Al Haines.	h t m l version by Al Haines.	false	13.71	15.345	24.55788
4806_26894_000003_000000	THE GAMBLER	THE GAMBLER	true	15.345	16.035	20.022245
4806_26894_000004_000000	By	By	true	16.035	16.17	52
4806_26894_000005_000000	FYODOR DOSTOYEVSKY	FYODOR DOSTOYEVSKY	true	16.17	17.77	25.547018
4806_26894_000006_000000	Translated by C. J. Hogarth	Translated by c j Hogarth	false	17.78	21.18	25.234142
4806_26894_000007_000000	I	I	false	21.18	22.56	-20
4806_26894_000008_000000	At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.	At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.	true	22.56	28.185	22.643929
4806_26894_000008_000001	I received from them a welcome quite different to that which I had expected.	I received from them a welcome quite different to that which I had expected.	true	28.185	31.48	24.798338
4806_26894_000008_000002	The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.	The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.	true	31.49	37.9	25.5718
4806_26894_000008_000003	It was clear that from SOMEWHERE money had been acquired.	It was clear that from SOMEWHERE money had been acquired.	true	38.21	41.08	23.740492
4806_26894_000008_000004	I thought I could even detect a certain shamefacedness in the General's glance.	I thought I could even detect a certain shamefacedness in the General's glance.	true	41.24	44.86	20.829746
4806_26894_000008_000005	Maria Philipovna, too, seemed distraught, and conversed with me with an air of detachment. Nevertheless, she took the money which I handed to her, counted it, and listened to what I had to tell.	Maria Philipovna, too, seemed distraught, and conversed with me with an air of detachment. Nevertheless, she took the money which I handed to her, counted it, and listened to what I had to tell.	false	45.14	54.7	22.586617
4806_26894_000008_000006	To luncheon there were expected that day a Monsieur Mezentsov, a French lady, and an Englishman; for, whenever money was in hand, a banquet in Muscovite style was always given.	To luncheon there were expected that day a Monsieur Mezentsov, a French lady, and an Englishman; for, whenever money was in hand, a banquet in Muscovite style was always given.	false	54.95	64.87	24.354454
4806_26894_000008_000007	Polina Alexandrovna, on seeing me, inquired why I had been so long away.	Polina Alexandrovna, on seeing me, inquired why I had been so long away.	true	65.15	69.73	20.212353
4806_26894_000008_000008	Then, without waiting for an answer, she departed.	Then, without waiting for an answer, she departed.	true	69.92	72.285	25.179287
4806_26894_000008_000009	Evidently this was not mere accident, and I felt that I must throw some light upon matters.	Evidently this was not mere accident, and I felt that I must throw some light upon matters.	true	72.285	76.96	24.782333
4806_26894_000008_000010	It was high time that I did so.	It was high time that I did so.	true	77.06	78.91	25.178013
4806_26894_000009_000000	I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General's suite).	I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General's suite).	true	79.04	84.645	25.154884
4806_26894_000009_000001	So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.	So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.	true	84.645	92.1	24.698061
4806_26894_000009_000002	Indeed, even before luncheon he charged me, among other things, to get two thousand-franc notes changed for him at the hotel counter, which put us in a position to be thought millionaires at all events for a week!	Indeed, even before luncheon he charged me, among other things, to get two thousand franc notes changed for him at the hotel counter, which put us in a position to be thought millionaires at all events for a week!	false	92.1	102.585	22.155396
4806_26894_000009_000003	Later, I was about to take Mischa and Nadia for a walk when a summons reached me from the staircase that I must attend the General. He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.	Later, I was about to take Mischa and Nadia for a walk when a summons reached me from the staircase that I must attend the General. He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.	true	102.585	115.78	23.818445
4806_26894_000009_000004	He WANTED to do so, but each time was met by me with such a fixed, disrespectful stare that he desisted in confusion.	He WANTED to do so, but each time was met by me with such a fixed, disrespectful stare that he desisted in confusion.	true	115.88	122.41	23.604418
4806_26894_000009_000005	In pompous language, however, which jumbled one sentence into another, and at length grew disconnected, he gave me to understand that I was to lead the children altogether away from the Casino, and out into the park. Finally his anger exploded, and he added sharply:	In pompous language, however, which jumbled one sentence into another, and at length grew disconnected, he gave me to understand that I was to lead the children altogether away from the Casino, and out into the park. Finally his anger exploded, and he added sharply:	true	122.51	136.81	24.658833
4806_26894_000010_000000	"I suppose you would like to take them to the Casino to play roulette? Well, excuse my speaking so plainly, but I know how addicted you are to gambling.	"I suppose you would like to take them to the Casino to play roulette? Well, excuse my speaking so plainly, but I know how addicted you are to gambling.	true	136.91	144.03	27.737062
4806_26894_000010_000001	Though I am not your mentor, nor wish to be, at least I have a right to require that you shall not actually compromise me."	Though I am not your mentor, nor wish to be, at least I have a right to require that you shall not actually compromise me."	false	144.03	149.68	25.726954
4806_26894_000011_000000	"I have no money for gambling," I quietly replied.	"I have no money for gambling," I quietly replied.	true	150.02	152.89	21.501234
4806_26894_000012_000000	"But you will soon be in receipt of some," retorted the General, reddening a little as he dived into his writing desk and applied himself to a memorandum book.	"But you will soon be in receipt of some," retorted the General, reddening a little as he dived into his writing desk and applied himself to a memorandum book.	false	152.99	160.45	19.535177
4806_26894_000012_000001	From it he saw that he had 120 roubles of mine in his keeping.	From it he saw that he had one hundred twenty roubles of mine in his keeping.	false	160.49	163.84	21.182991
4806_26894_000013_000000	"Let us calculate," he went on.	"Let us calculate," he went on.	true	164.18	166.09	27.216967
4806_26894_000013_000001	"We must translate these roubles into thalers.	"We must translate these roubles into thalers.	true	166.13	168.315	21
4806_26894_000013_000002	Here--take 100 thalers, as a round sum.	Here-take one hundred thalers, as a round sum.	false	168.315	171.07	25.894419
4806_26894_000013_000003	The rest will be safe in my hands."	The rest will be safe in my hands."	true	171.14	172.93	22.674065
4806_26894_000014_000000	In silence I took the money.	In silence I took the money.	true	173.24	174.79	24.349667
4806_26894_000015_000000	"You must not be offended at what I say," he continued.	"You must not be offended at what I say," he continued.	false	175.01	177.915	22.250885
4806_26894_000015_000001	"You are too touchy about these things.	"You are too touchy about these things.	true	177.915	179.68	27.396643
4806_26894_000015_000002	What I have said I have said merely as a warning.	What I have said I have said merely as a warning.	false	179.69	181.935	21.423637
4806_26894_000015_000003	To do so is no more than my right."	To do so is no more than my right."	true	181.935	183.76	16.029049
4806_26894_000016_000000	When returning home with the children before luncheon, I met a cavalcade of our party riding to view some ruins.	When returning home with the children before luncheon, I met a cavalcade of our party riding to view some ruins.	true	183.86	189	20
4806_26894_000016_000001	Two splendid carriages, magnificently horsed, with Mlle.	Two splendid carriages, magnificently horsed, with m l l e.	false	189	192.06	21
4806_26894_000016_000002	Blanche, Maria Philipovna, and Polina Alexandrovna in one of them, and the Frenchman, the Englishman, and the General in attendance on horseback!	Blanche, Maria Philipovna, and Polina Alexandrovna in one of them, and the Frenchman, the Englishman, and the General in attendance on horseback!	false	192.06	200.22	20
4806_26894_000016_000003	The passers-by stopped to stare at them, for the effect was splendid--the General could not have improved upon it.	The passers by stopped to stare at them, for the effect was splendid-the General could not have improved upon it.	true	200.22	205.335	23.265348
4806_26894_000016_000004	I calculated that, with the 4000 francs which I had brought with me, added to what my patrons seemed already to have acquired, the party must be in possession of at least 7000 or 8000 francs--though that would be none too much for Mlle. Blanche, who, with her mother and the Frenchman, was also lodging in our hotel.	I calculated that, with the four thousand francs which I had brought with me, added to what my patrons seemed already to have acquired, the party must be in possession of at least seven thousand or eight thousand francs-though that would be none too much for m l l e. Blanche, who, with her mother and the Frenchman, was also lodging in our hotel.	false	205.335	221.2	19
4806_26894_000016_000005	The latter gentleman was called by the lacqueys "Monsieur le Comte," and Mlle.	The latter gentleman was called by the lacqueys "Monsieur le Comte," and m l l e.	false	221.39	225.15	26
4806_26894_000016_000006	Blanche's mother was dubbed "Madame la Comtesse." Perhaps in very truth they WERE "Comte et Comtesse."	Blanche's mother was dubbed "Madame la Comtesse." Perhaps in very truth they WERE "Comte et Comtesse."	false	225.15	231.12	23.078192
4806_26894_000017_000000	I knew that "Monsieur le Comte" would take no notice of me when we met at dinner, as also that the General would not dream of introducing us, nor of recommending me to the "Comte." However, the latter had lived awhile in Russia, and knew that the person referred to as an "uchitel" is never looked upon as a bird of fine feather.	I knew that "Monsieur le Comte" would take no notice of me when we met at dinner, as also that the General would not dream of introducing us, nor of recommending me to the "Comte." However, the latter had lived awhile in Russia, and knew that the person referred to as an "uchitel" is never looked upon as a bird of fine feather.	false	231.12	247.45	21.453293
4806_26894_000017_000001	Of course, strictly speaking, he knew me; but I was an uninvited guest at the luncheon--the General had forgotten to arrange otherwise, or I should have been dispatched to dine at the table d'hote.	Of course, strictly speaking, he knew me; but I was an uninvited guest at the luncheon-the General had forgotten to arrange otherwise, or I should have been dispatched to dine at the table d'hote.	false	247.46	256.75	20.955173
4806_26894_000017_000002	Nevertheless, I presented myself in such guise that the General looked at me with a touch of approval; and, though the good Maria Philipovna was for showing me my place, the fact of my having previously met the Englishman, Mr. Astley, saved me, and thenceforward I figured as one of the company.	Nevertheless, I presented myself in such guise that the General looked at me with a touch of approval; and, though the good Maria Philipovna was for showing me my place, the fact of my having previously met the Englishman, mr Astley, saved me, and thenceforward I figured as one of the company.	false	256.88	270.96	18
4806_26894_000018_000000	This strange Englishman I had met first in Prussia, where we had happened to sit vis-a-vis in a railway train in which I was travelling to overtake our party; while, later, I had run across him in France, and again in Switzerland--twice within the space of two weeks!	This strange Englishman I had met first in Prussia, where we had happened to sit vis a vis in a railway train in which I was travelling to overtake our party; while, later, I had run across him in France, and again in Switzerland-twice within the space of two weeks!	false	270.96	282.25	17
4806_26894_000018_000001	To think, therefore, that I should suddenly encounter him again here, in Roulettenberg!	To think, therefore, that I should suddenly encounter him again here, in Roulettenberg!	true	282.53	286.68	20
4806_26894_000018_000002	Never in my life had I known a more retiring man, for he was shy to the pitch of imbecility, yet well aware of the fact (for he was no fool).	Never in my life had I known a more retiring man, for he was shy to the pitch of imbecility, yet well aware of the fact (for he was no fool).	true	286.68	294.21	22.729183
4806_26894_000018_000003	At the same time, he was a gentle, amiable sort of an individual, and, even on our first encounter in Prussia I had contrived to draw him out, and he had told me that he had just been to the North Cape, and was now anxious to visit the fair at Nizhni Novgorod.	At the same time, he was a gentle, amiable sort of an individual, and, even on our first encounter in Prussia I had contrived to draw him out, and he had told me that he had just been to the North Cape, and was now anxious to visit the fair at Nizhni Novgorod.	false	294.21	305.83	21.453634
4806_26894_000018_000004	How he had come to make the General's acquaintance I do not know, but, apparently, he was much struck with Polina.	How he had come to make the General's acquaintance I do not know, but, apparently, he was much struck with Polina.	true	306.17	311.385	22.22793
4806_26894_000018_000005	Also, he was delighted that I should sit next him at table, for he appeared to look upon me as his bosom friend.	Also, he was delighted that I should sit next him at table, for he appeared to look upon me as his bosom friend.	true	311.385	316.87	20.057783
4806_26894_000019_000000	During the meal the Frenchman was in great feather: he was discursive and pompous to every one.	During the meal the Frenchman was in great feather: he was discursive and pompous to every one.	true	318.02	322.21	19.727217
4806_26894_000019_000001	In Moscow too, I remembered, he had blown a great many bubbles.	In Moscow too, I remembered, he had blown a great many bubbles.	false	322.22	325.54	21.12815
