4806_26894_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
4806_26894_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
4806_26894_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
4806_26894_000003_000000	THE GAMBLER	THE GAMBLER
4806_26894_000004_000000	By	By
4806_26894_000005_000000	FYODOR DOSTOYEVSKY	FYODOR DOSTOYEVSKY
4806_26894_000008_000000	At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.	At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.
4806_26894_000008_000001	I received from them a welcome quite different to that which I had expected.	I received from them a welcome quite different to that which I had expected.
4806_26894_000008_000002	The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.	The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.
4806_26894_000008_000003	It was clear that from SOMEWHERE money had been acquired.	It was clear that from SOMEWHERE money had been acquired.
4806_26894_000008_000004	I thought I could even detect a certain shamefacedness in the General's glance.	I thought I could even detect a certain shamefacedness in the General's glance.
4806_26894_000008_000007	Polina Alexandrovna, on seeing me, inquired why I had been so long away.	Polina Alexandrovna, on seeing me, inquired why I had been so long away.
4806_26894_000008_000008	Then, without waiting for an answer, she departed.	Then, without waiting for an answer, she departed.
4806_26894_000008_000009	Evidently this was not mere accident, and I felt that I must throw some light upon matters.	Evidently this was not mere accident, and I felt that I must throw some light upon matters.
4806_26894_000008_000010	It was high time that I did so.	It was high time that I did so.
4806_26894_000009_000000	I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General's suite).	I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General's suite).
4806_26894_000009_000001	So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.	So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.
4806_26894_000009_000003	Later, I was about to take Mischa and Nadia for a walk when a summons reached me from the staircase that I must attend the General. He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.	Later, I was about to take Mischa and Nadia for a walk when a summons reached me from the staircase that I must attend the General. He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.
4806_26894_000009_000004	He WANTED to do so, but each time was met by me with such a fixed, disrespectful stare that he desisted in confusion.	He WANTED to do so, but each time was met by me with such a fixed, disrespectful stare that he desisted in confusion.
4806_26894_000009_000005	In pompous language, however, which jumbled one sentence into another, and at length grew disconnected, he gave me to understand that I was to lead the children altogether away from the Casino, and out into the park. Finally his anger exploded, and he added sharply:	In pompous language, however, which jumbled one sentence into another, and at length grew disconnected, he gave me to understand that I was to lead the children altogether away from the Casino, and out into the park. Finally his anger exploded, and he added sharply:
4806_26894_000010_000000	"I suppose you would like to take them to the Casino to play roulette? Well, excuse my speaking so plainly, but I know how addicted you are to gambling.	"I suppose you would like to take them to the Casino to play roulette? Well, excuse my speaking so plainly, but I know how addicted you are to gambling.
4806_26894_000011_000000	"I have no money for gambling," I quietly replied.	"I have no money for gambling," I quietly replied.
