2812_160187_000000_000000	THE SECOND BOOK	THE SECOND BOOK	false	7.29	21.3	17.767904
2812_160187_000001_000000	MEANWHILE the new-baptized, who yet remained At Jordan with the Baptist, and had seen Him whom they heard so late expressly called Jesus Messiah, Son of God, declared, And on that high authority had believed, And with him talked, and with him lodged--I mean Andrew and Simon, famous after known, With others, though in Holy Writ not named-- Now missing him, their joy so lately found, So lately found and so abruptly gone, 10 Began to doubt, and doubted many days, And, as the days increased, increased their doubt. Sometimes they thought he might be only shewn, And for a time caught up to God, as once Moses was in the Mount and missing long, And the great Thisbite, who on fiery wheels Rode up to Heaven, yet once again to come. Therefore, as those young prophets then with care Sought lost Eliah, so in each place these Nigh to Bethabara--in Jericho 20 The city of palms, AEnon, and Salem old, Machaerus, and each town or city walled On this side the broad lake Genezaret, Or in Peraea--but returned in vain. Then on the bank of Jordan, by a creek, Where winds with reeds and osiers whispering play, Plain fishermen (no greater men them call), Close in a cottage low together got, Their unexpected loss and plaints outbreathed:-- "Alas, from what high hope to what relapse 30 Unlooked for are we fallen!	MEANWHILE the new baptized, who yet remained At Jordan with the Baptist, and had seen Him whom they heard so late expressly called Jesus Messiah, Son of God, declared, And on that high authority had believed, And with him talked, and with him lodged-I mean Andrew and Simon, famous after known, With others, though in Holy Writ not named- Now missing him, their joy so lately found, So lately found and so abruptly gone, ten Began to doubt, and doubted many days, And, as the days increased, increased their doubt. Sometimes they thought he might be only shewn, And for a time caught up to God, as once Moses was in the Mount and missing long, And the great Thisbite, who on fiery wheels Rode up to Heaven, yet once again to come. Therefore, as those young prophets then with care Sought lost Eliah, so in each place these Nigh to Bethabara-in Jericho twenty The city of palms, AEnon, and Salem old, Machaerus, and each town or city walled On this side the broad lake Genezaret, Or in Peraea-but returned in vain. Then on the bank of Jordan, by a creek, Where winds with reeds and osiers whispering play, Plain fishermen (no greater men them call), Close in a cottage low together got, Their unexpected loss and plaints outbreathed:-- "Alas, from what high hope to what relapse thirty Unlooked for are we fallen!	false	21.3	99.93	21.543646
2812_160187_000001_000001	Our eyes beheld Messiah certainly now come, so long Expected of our fathers; we have heard His words, his wisdom full of grace and truth. 'Now, now, for sure, deliverance is at hand; The kingdom shall to Israel be restored:' Thus we rejoiced, but soon our joy is turned Into perplexity and new amaze. For whither is he gone?	Our eyes beheld Messiah certainly now come, so long Expected of our fathers; we have heard His words, his wisdom full of grace and truth. 'Now, now, for sure, deliverance is at hand; The kingdom shall to Israel be restored:' Thus we rejoiced, but soon our joy is turned Into perplexity and new amaze. For whither is he gone?	true	99.93	120.255	21.17233
2812_160187_000001_000002	what accident Hath rapt him from us?	what accident Hath rapt him from us?	true	120.255	122.62	26.00181
2812_160187_000001_000003	will he now retire 40 After appearance, and again prolong Our expectation?	will he now retire forty After appearance, and again prolong Our expectation?	false	122.69	127.09	26
2812_160187_000001_000004	God of Israel, Send thy Messiah forth; the time is come. Behold the kings of the earth, how they oppress Thy Chosen, to what highth their power unjust They have exalted, and behind them cast All fear of Thee; arise, and vindicate Thy glory; free thy people from their yoke! But let us wait; thus far He hath performed-- Sent his Anointed, and to us revealed him 50 By his great Prophet pointed at and shown In public, and with him we have conversed. Let us be glad of this, and all our fears Lay on his providence; He will not fail, Nor will withdraw him now, nor will recall-- Mock us with his blest sight, then snatch him hence: Soon we shall see our hope, our joy, return." Thus they out of their plaints new hope resume To find whom at the first they found unsought. But to his mother Mary, when she saw 60 Others returned from baptism, not her Son, Nor left at Jordan tidings of him none, Within her breast though calm, her breast though pure, Motherly cares and fears got head, and raised Some troubled thoughts, which she in sighs thus clad:-- "Oh, what avails me now that honour high, To have conceived of God, or that salute, 'Hail, highly favoured, among women blest!' While I to sorrows am no less advanced, And fears as eminent above the lot 70 Of other women, by the birth I bore: In such a season born, when scarce a shed Could be obtained to shelter him or me From the bleak air?	God of Israel, Send thy Messiah forth; the time is come. Behold the kings of the earth, how they oppress Thy Chosen, to what highth their power unjust They have exalted, and behind them cast All fear of Thee; arise, and vindicate Thy glory; free thy people from their yoke! But let us wait; thus far He hath performed- Sent his Anointed, and to us revealed him fifty By his great Prophet pointed at and shown In public, and with him we have conversed. Let us be glad of this, and all our fears Lay on his providence; He will not fail, Nor will withdraw him now, nor will recall- Mock us with his blest sight, then snatch him hence: Soon we shall see our hope, our joy, return." Thus they out of their plaints new hope resume To find whom at the first they found unsought. But to his mother Mary, when she saw sixty Others returned from baptism, not her Son, Nor left at Jordan tidings of him none, Within her breast though calm, her breast though pure, Motherly cares and fears got head, and raised Some troubled thoughts, which she in sighs thus clad:-- "Oh, what avails me now that honour high, To have conceived of God, or that salute, 'Hail, highly favoured, among women blest!' While I to sorrows am no less advanced, And fears as eminent above the lot seventy Of other women, by the birth I bore: In such a season born, when scarce a shed Could be obtained to shelter him or me From the bleak air?	false	127.43	215.44	20.792719
2812_160187_000001_000005	A stable was our warmth, A manger his; yet soon enforced to fly Thence into Egypt, till the murderous king Were dead, who sought his life, and, missing, filled With infant blood the streets of Bethlehem. From Egypt home returned, in Nazareth Hath been our dwelling many years; his life 80 Private, unactive, calm, contemplative, Little suspicious to any king.	A stable was our warmth, A manger his; yet soon enforced to fly Thence into Egypt, till the murderous king Were dead, who sought his life, and, missing, filled With infant blood the streets of Bethlehem. From Egypt home returned, in Nazareth Hath been our dwelling many years; his life eighty Private, unactive, calm, contemplative, Little suspicious to any king.	false	215.63	237.13	20.75977
2812_160187_000001_000006	But now, Full grown to man, acknowledged, as I hear, By John the Baptist, and in public shewn, Son owned from Heaven by his Father's voice, I looked for some great change.	But now, Full grown to man, acknowledged, as I hear, By john the Baptist, and in public shewn, Son owned from Heaven by his Father's voice, I looked for some great change.	true	237.32	246.915	21.875654
2812_160187_000001_000007	To honour?	To honour?	true	246.915	247.68	29.568394
2812_160187_000001_000008	no; But trouble, as old Simeon plain foretold, That to the fall and rising he should be Of many in Israel, and to a sign Spoken against--that through my very soul 90 A sword shall pierce.	no; But trouble, as old Simeon plain foretold, That to the fall and rising he should be Of many in Israel, and to a sign Spoken against-that through my very soul ninety A sword shall pierce.	false	247.68	258.64	20.913015
2812_160187_000001_000009	This is my favoured lot, My exaltation to afflictions high! Afflicted I may be, it seems, and blest! I will not argue that, nor will repine. But where delays he now?	This is my favoured lot, My exaltation to afflictions high! Afflicted I may be, it seems, and blest! I will not argue that, nor will repine. But where delays he now?	false	258.83	268.98	21.968657
