7816_108621_000000_000000	CHAPTER 11	CHAPTER eleven	true	27.915	29.17	27.038656
7816_108621_000001_000000	WE spent the remainder of the day in a condition of stupid lethargy, gazing after the retreating vessel until the darkness, hiding her from our sight, recalled us in some measure to our senses.	WE spent the remainder of the day in a condition of stupid lethargy, gazing after the retreating vessel until the darkness, hiding her from our sight, recalled us in some measure to our senses.	true	31.19	43.12	24.129745
7816_108621_000001_000001	The pangs of hunger and thirst then returned, absorbing all other cares and considerations.	The pangs of hunger and thirst then returned, absorbing all other cares and considerations.	true	43.88	49.9	22.747509
7816_108621_000001_000002	Nothing, however, could be done until the morning, and, securing ourselves as well as possible, we endeavoured to snatch a little repose.	Nothing, however, could be done until the morning, and, securing ourselves as well as possible, we endeavoured to snatch a little repose.	true	50.24	58.36	23.713633
7816_108621_000001_000003	In this I succeeded beyond my expectations, sleeping until my companions, who had not been so fortunate, aroused me at daybreak to renew our attempts at getting up provisions from the hull.	In this I succeeded beyond my expectations, sleeping until my companions, who had not been so fortunate, aroused me at daybreak to renew our attempts at getting up provisions from the hull.	true	58.97	70.12	24.777979
7816_108621_000002_000000	It was now a dead calm, with the sea as smooth as have ever known it,--the weather warm and pleasant.	It was now a dead calm, with the sea as smooth as have ever known it,--the weather warm and pleasant.	true	70.55	76.84	23.31032
7816_108621_000002_000001	The brig was out of sight.	The brig was out of sight.	true	77.3	79.09	27.231634
7816_108621_000002_000002	We commenced our operations by wrenching off, with some trouble, another of the forechains; and having fastened both to Peters' feet, he again made an endeavour to reach the door of the storeroom, thinking it possible that he might be able to force it open, provided he could get at it in sufficient time; and this he hoped to do, as the hulk lay much more steadily than before.	We commenced our operations by wrenching off, with some trouble, another of the forechains; and having fastened both to Peters' feet, he again made an endeavour to reach the door of the storeroom, thinking it possible that he might be able to force it open, provided he could get at it in sufficient time; and this he hoped to do, as the hulk lay much more steadily than before.	false	79.61	101.38	23.964231
7816_108621_000003_000000	He succeeded very quickly in reaching the door, when, loosening one of the chains from his ankle, he made every exertion to force the passage with it, but in vain, the framework of the room being far stronger than was anticipated.	He succeeded very quickly in reaching the door, when, loosening one of the chains from his ankle, he made every exertion to force the passage with it, but in vain, the framework of the room being far stronger than was anticipated.	true	102.08	116.32	24.6346
7816_108621_000003_000001	He was quite exhausted with his long stay under water, and it became absolutely necessary that some other one of us should take his place.	He was quite exhausted with his long stay under water, and it became absolutely necessary that some other one of us should take his place.	true	116.66	124.51	25.162966
7816_108621_000003_000002	For this service Parker immediately volunteered; but, after making three ineffectual efforts, found that he could never even succeed in getting near the door.	For this service Parker immediately volunteered; but, after making three ineffectual efforts, found that he could never even succeed in getting near the door.	false	125.3	134.71	23.791733
7816_108621_000003_000003	The condition of Augustus's wounded arm rendered it useless for him to attempt going down, as he would be unable to force the room open should he reach it, and it accordingly now devolved upon me to exert myself for our common deliverance.	The condition of Augustus's wounded arm rendered it useless for him to attempt going down, as he would be unable to force the room open should he reach it, and it accordingly now devolved upon me to exert myself for our common deliverance.	true	135.17	148.84	23
7816_108621_000004_000000	Peters had left one of the chains in the passage, and I found, upon plunging in, that I had not sufficient balance to keep me firmly down. I determined, therefore, to attempt no more, in my first effort, than merely to recover the other chain.	Peters had left one of the chains in the passage, and I found, upon plunging in, that I had not sufficient balance to keep me firmly down. I determined, therefore, to attempt no more, in my first effort, than merely to recover the other chain.	false	150.05	163.93	24.010073
7816_108621_000004_000001	In groping along the floor of the passage for this, I felt a hard substance, which I immediately grasped, not having time to ascertain what it was, but returning and ascending instantly to the surface.	In groping along the floor of the passage for this, I felt a hard substance, which I immediately grasped, not having time to ascertain what it was, but returning and ascending instantly to the surface.	true	164.18	176.38	25.042526
7816_108621_000004_000002	The prize proved to be a bottle, and our joy may be conceived when I say that it was found to be full of port wine.	The prize proved to be a bottle, and our joy may be conceived when I say that it was found to be full of port wine.	false	177.02	183.94	26.087463
7816_108621_000004_000003	Giving thanks to God for this timely and cheering assistance, we immediately drew the cork with my penknife, and, each taking a moderate sup, felt the most indescribable comfort from the warmth, strength, and spirits with which it inspired us.	Giving thanks to God for this timely and cheering assistance, we immediately drew the cork with my penknife, and, each taking a moderate sup, felt the most indescribable comfort from the warmth, strength, and spirits with which it inspired us.	true	184.19	199.57	25.05102
7816_108621_000004_000004	We then carefully recorked the bottle, and, by means of a handkerchief, swung it in such a manner that there was no possibility of its getting broken.	We then carefully recorked the bottle, and, by means of a handkerchief, swung it in such a manner that there was no possibility of its getting broken.	true	200.18	208.93	24.431145
7816_108621_000005_000000	Having rested a while after this fortunate discovery, I again descended, and now recovered the chain, with which I instantly came up.	Having rested a while after this fortunate discovery, I again descended, and now recovered the chain, with which I instantly came up.	true	209.42	217.29	24.398998
7816_108621_000005_000001	I then fastened it on and went down for the third time, when I became fully satisfied that no exertions whatever, in that situation, would enable me to force open the door of the storeroom.	I then fastened it on and went down for the third time, when I became fully satisfied that no exertions whatever, in that situation, would enable me to force open the door of the storeroom.	false	217.29	229.69	23.73011
