7816_108621_000000_000000	CHAPTER 11	CHAPTER eleven
7816_108621_000001_000000	WE spent the remainder of the day in a condition of stupid lethargy, gazing after the retreating vessel until the darkness, hiding her from our sight, recalled us in some measure to our senses.	WE spent the remainder of the day in a condition of stupid lethargy, gazing after the retreating vessel until the darkness, hiding her from our sight, recalled us in some measure to our senses.
7816_108621_000001_000001	The pangs of hunger and thirst then returned, absorbing all other cares and considerations.	The pangs of hunger and thirst then returned, absorbing all other cares and considerations.
7816_108621_000001_000002	Nothing, however, could be done until the morning, and, securing ourselves as well as possible, we endeavoured to snatch a little repose.	Nothing, however, could be done until the morning, and, securing ourselves as well as possible, we endeavoured to snatch a little repose.
7816_108621_000001_000003	In this I succeeded beyond my expectations, sleeping until my companions, who had not been so fortunate, aroused me at daybreak to renew our attempts at getting up provisions from the hull.	In this I succeeded beyond my expectations, sleeping until my companions, who had not been so fortunate, aroused me at daybreak to renew our attempts at getting up provisions from the hull.
7816_108621_000002_000000	It was now a dead calm, with the sea as smooth as have ever known it,--the weather warm and pleasant.	It was now a dead calm, with the sea as smooth as have ever known it,--the weather warm and pleasant.
7816_108621_000002_000001	The brig was out of sight.	The brig was out of sight.
7816_108621_000003_000000	He succeeded very quickly in reaching the door, when, loosening one of the chains from his ankle, he made every exertion to force the passage with it, but in vain, the framework of the room being far stronger than was anticipated.	He succeeded very quickly in reaching the door, when, loosening one of the chains from his ankle, he made every exertion to force the passage with it, but in vain, the framework of the room being far stronger than was anticipated.
7816_108621_000003_000001	He was quite exhausted with his long stay under water, and it became absolutely necessary that some other one of us should take his place.	He was quite exhausted with his long stay under water, and it became absolutely necessary that some other one of us should take his place.
7816_108621_000003_000003	The condition of Augustus's wounded arm rendered it useless for him to attempt going down, as he would be unable to force the room open should he reach it, and it accordingly now devolved upon me to exert myself for our common deliverance.	The condition of Augustus's wounded arm rendered it useless for him to attempt going down, as he would be unable to force the room open should he reach it, and it accordingly now devolved upon me to exert myself for our common deliverance.
7816_108621_000004_000001	In groping along the floor of the passage for this, I felt a hard substance, which I immediately grasped, not having time to ascertain what it was, but returning and ascending instantly to the surface.	In groping along the floor of the passage for this, I felt a hard substance, which I immediately grasped, not having time to ascertain what it was, but returning and ascending instantly to the surface.
7816_108621_000004_000003	Giving thanks to God for this timely and cheering assistance, we immediately drew the cork with my penknife, and, each taking a moderate sup, felt the most indescribable comfort from the warmth, strength, and spirits with which it inspired us.	Giving thanks to God for this timely and cheering assistance, we immediately drew the cork with my penknife, and, each taking a moderate sup, felt the most indescribable comfort from the warmth, strength, and spirits with which it inspired us.
7816_108621_000004_000004	We then carefully recorked the bottle, and, by means of a handkerchief, swung it in such a manner that there was no possibility of its getting broken.	We then carefully recorked the bottle, and, by means of a handkerchief, swung it in such a manner that there was no possibility of its getting broken.
7816_108621_000005_000000	Having rested a while after this fortunate discovery, I again descended, and now recovered the chain, with which I instantly came up.	Having rested a while after this fortunate discovery, I again descended, and now recovered the chain, with which I instantly came up.
7816_108621_000005_000002	I therefore returned in despair.	I therefore returned in despair.
7816_108621_000006_000000	There seemed now to be no longer any room for hope, and I could perceive in the countenances of my companions that they had made up their minds to perish.	There seemed now to be no longer any room for hope, and I could perceive in the countenances of my companions that they had made up their minds to perish.
7816_108621_000006_000002	They talked incoherently, and about matters unconnected with our condition, Peters repeatedly asking me questions about Nantucket.	They talked incoherently, and about matters unconnected with our condition, Peters repeatedly asking me questions about Nantucket.
7816_108621_000006_000003	Augustus, too, I remember, approached me with a serious air, and requested me to lend him a pocket-comb, as his hair was full of fish-scales, and he wished to get them out before going on shore.	Augustus, too, I remember, approached me with a serious air, and requested me to lend him a pocket comb, as his hair was full of fish scales, and he wished to get them out before going on shore.
7816_108621_000006_000004	Parker appeared somewhat less affected, and urged me to dive at random into the cabin, and bring up any article which might come to hand.	Parker appeared somewhat less affected, and urged me to dive at random into the cabin, and bring up any article which might come to hand.
7816_108621_000006_000005	To this I consented, and, in the first attempt, after staying under a full minute, brought up a small leather trunk belonging to Captain Barnard.	To this I consented, and, in the first attempt, after staying under a full minute, brought up a small leather trunk belonging to Captain Barnard.
7816_108621_000006_000006	This was immediately opened in the faint hope that it might contain something to eat or drink.	This was immediately opened in the faint hope that it might contain something to eat or drink.
7816_108621_000006_000007	We found nothing, however, except a box of razors and two linen shirts.	We found nothing, however, except a box of razors and two linen shirts.
7816_108621_000006_000008	I now went down again, and returned without any success.	I now went down again, and returned without any success.
7816_108621_000006_000009	As my head came above water I heard a crash on deck, and, upon getting up, saw that my companions had ungratefully taken advantage of my absence to drink the remainder of the wine, having let the bottle fall in the endeavour to replace it before I saw them.	As my head came above water I heard a crash on deck, and, upon getting up, saw that my companions had ungratefully taken advantage of my absence to drink the remainder of the wine, having let the bottle fall in the endeavour to replace it before I saw them.
7816_108621_000006_000010	I remonstrated with them on the heartlessness of their conduct, when Augustus burst into tears.	I remonstrated with them on the heartlessness of their conduct, when Augustus burst into tears.
